#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002630        2.738568e+07      2.738772e+07     -2.159450e+03      1.230302e+02   
     0.001185          0.013838        8.178767e+06      8.180013e+06     -1.342675e+03      9.600085e+01   
     0.001185          0.033931        2.831888e+06      2.832618e+06     -7.988252e+02      6.842752e+01   
     0.001185          0.062793        1.331807e+06      1.332314e+06     -5.568071e+02      5.068952e+01   
     0.001185          0.100252        6.932988e+05      6.936605e+05     -4.022788e+02      4.053570e+01   
     0.001185          0.146081        4.288176e+05      4.291018e+05     -3.163981e+02      3.213909e+01   
     0.001185          0.200005        2.664312e+05      2.666486e+05     -2.437020e+02      2.633862e+01   
     0.001185          0.261700        1.923765e+05      1.925661e+05     -2.119549e+02      2.236350e+01   
     0.001185          0.330795        1.232883e+05      1.234389e+05     -1.696991e+02      1.907739e+01   
     0.001185          0.406875        8.987481e+04      9.000340e+04     -1.449049e+02      1.631619e+01   
     0.001185          0.489481        6.437329e+04      6.448196e+04     -1.226515e+02      1.398769e+01   
     0.001185          0.578117        4.520832e+04      4.529929e+04     -1.028015e+02      1.182843e+01   
     0.001185          0.672250        3.105232e+04      3.112801e+04     -8.521760e+01      9.526283e+00   
     0.001185          0.771314        2.549948e+04      2.556780e+04     -7.723254e+01      8.913015e+00   
     0.001185          0.874714        1.684404e+04      1.689968e+04     -6.279034e+01      7.154248e+00   
     0.001185          0.981826        1.353589e+04      1.358601e+04     -5.629885e+01      6.176213e+00   
     0.001185          1.092007        9.066001e+03      9.105456e+03     -4.468930e+01      5.234392e+00   
     0.001185          1.204594        6.665407e+03      6.700352e+03     -3.953688e+01      4.591940e+00   
     0.001185          1.318911        5.158866e+03      5.189956e+03     -3.479649e+01      3.706388e+00   
     0.001185          1.434270        3.947394e+03      3.974610e+03     -3.045095e+01      3.234428e+00   
     0.001185          1.549976        2.982352e+03      3.006287e+03     -2.648310e+01      2.548117e+00   
     0.001185          1.665335        1.631125e+03      1.648645e+03     -1.961179e+01      2.091988e+00   
     0.001185          1.779651        1.176876e+03      1.191713e+03     -1.667399e+01      1.836748e+00   
     0.001185          1.892239        8.330492e+02      8.455690e+02     -1.404521e+01      1.525432e+00   
     0.001185          2.002420        5.771488e+02      5.875955e+02     -1.170827e+01      1.261578e+00   
     0.001185          2.109532        3.901218e+02      3.988312e+02     -9.646021e+00      9.365655e-01   
     0.001185          2.212931        2.564329e+02      2.635523e+02     -7.841281e+00      7.218647e-01   
