#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.117104e+08      1.117161e+08     -6.018121e+03      3.392300e+02   
     0.001185          0.009274        3.905981e+07      3.906330e+07     -3.790420e+03      3.056906e+02   
     0.001185          0.022740        1.694656e+07      1.694888e+07     -2.574259e+03      2.576437e+02   
     0.001185          0.042083        8.926565e+06      8.928241e+06     -1.887931e+03      2.122669e+02   
     0.001185          0.067187        5.248109e+06      5.249380e+06     -1.446652e+03      1.761354e+02   
     0.001185          0.097901        3.317789e+06      3.318808e+06     -1.167504e+03      1.481687e+02   
     0.001185          0.134040        2.269842e+06      2.270675e+06     -9.594543e+02      1.263220e+02   
     0.001185          0.175388        1.556163e+06      1.556853e+06     -7.996336e+02      1.093899e+02   
     0.001185          0.221694        1.140790e+06      1.141379e+06     -6.846713e+02      9.563997e+01   
     0.001185          0.272682        8.222268e+05      8.227238e+05     -5.812918e+02      8.431305e+01   
     0.001185          0.328043        6.541452e+05      6.545890e+05     -5.185033e+02      7.466770e+01   
     0.001185          0.387446        4.681963e+05      4.685629e+05     -4.330618e+02      6.642670e+01   
     0.001185          0.450533        3.777345e+05      3.780569e+05     -3.816700e+02      5.927311e+01   
     0.001185          0.516924        3.109905e+05      3.112940e+05     -3.575630e+02      5.408141e+01   
     0.001185          0.586221        2.374360e+05      2.376993e+05     -3.124505e+02      4.907167e+01   
     0.001185          0.658006        2.064906e+05      2.067381e+05     -2.913919e+02      4.389378e+01   
     0.001185          0.731848        1.545998e+05      1.548121e+05     -2.521562e+02      3.986359e+01   
     0.001185          0.807302        1.330475e+05      1.332449e+05     -2.339335e+02      3.655000e+01   
     0.001185          0.883916        1.140586e+05      1.142418e+05     -2.166106e+02      3.344577e+01   
     0.001185          0.961228        9.738300e+04      9.755295e+04     -2.001647e+02      3.021596e+01   
     0.001185          1.038772        8.278963e+04      8.294714e+04     -1.845729e+02      2.707202e+01   
     0.001185          1.116084        7.006577e+04      7.021098e+04     -1.698125e+02      2.460166e+01   
     0.001185          1.192698        5.901476e+04      5.914790e+04     -1.558608e+02      2.271869e+01   
     0.001185          1.268152        4.945541e+04      4.957726e+04     -1.426949e+02      2.084668e+01   
     0.001185          1.341994        4.122203e+04      4.133346e+04     -1.302921e+02      1.886480e+01   
     0.001185          1.413779        3.416338e+04      3.426507e+04     -1.186296e+02      1.693965e+01   
     0.001185          1.483076        2.814146e+04      2.823402e+04     -1.076846e+02      1.511935e+01   
     0.001185          1.549467        2.814032e+04      2.823402e+04     -1.076846e+02      1.398119e+01   
     0.001185          1.612554        2.303049e+04      2.311478e+04     -9.743435e+01      1.314008e+01   
     0.001185          1.671957        1.871744e+04      1.879356e+04     -8.785606e+01      1.173887e+01   
     0.001185          1.727318        1.871643e+04      1.879356e+04     -8.785606e+01      1.072684e+01   
     0.001185          1.778306        1.509888e+04      1.516758e+04     -7.892695e+01      1.022888e+01   
     0.001185          1.824612        1.208288e+04      1.214432e+04     -7.062424e+01      9.189523e+00   
     0.001185          1.865960        1.208258e+04      1.214432e+04     -7.062424e+01      8.887935e+00   
