#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002362        1.588797e+08      1.588848e+08     -5.414353e+03      3.491448e+02   
     0.001185          0.012430        5.553133e+07      5.553450e+07     -3.472606e+03      3.038559e+02   
     0.001185          0.030479        2.722387e+07      2.722610e+07     -2.481929e+03      2.503868e+02   
     0.001185          0.056405        1.602682e+07      1.602853e+07     -1.916758e+03      2.097067e+02   
     0.001185          0.090052        1.030755e+07      1.030892e+07     -1.548866e+03      1.797747e+02   
     0.001185          0.131218        7.185181e+06      7.186305e+06     -1.280923e+03      1.567384e+02   
     0.001185          0.179656        5.269330e+06      5.270282e+06     -1.090312e+03      1.382736e+02   
     0.001185          0.235074        3.953477e+06      3.954313e+06     -9.604819e+02      1.236754e+02   
     0.001185          0.297140        3.033776e+06      3.034506e+06     -8.413905e+02      1.116776e+02   
     0.001185          0.365479        2.525797e+06      2.526465e+06     -7.677331e+02      1.000706e+02   
     0.001185          0.439680        2.090766e+06      2.091374e+06     -6.985049e+02      9.044474e+01   
     0.001185          0.519299        1.720049e+06      1.720601e+06     -6.335687e+02      8.167514e+01   
     0.001185          0.603855        1.405806e+06      1.406303e+06     -5.727869e+02      7.605077e+01   
     0.001185          0.692840        1.140931e+06      1.141379e+06     -5.160224e+02      6.836767e+01   
     0.001185          0.785719        9.731127e+05      9.735159e+05     -4.643542e+02      6.111005e+01   
     0.001185          0.881933        8.223409e+05      8.227238e+05     -4.381075e+02      5.528027e+01   
     0.001185          0.980904        7.342941e+05      7.346564e+05     -4.139956e+02      5.174147e+01   
     0.001185          1.082037        5.816067e+05      5.819294e+05     -3.684587e+02      4.572331e+01   
     0.001185          1.184723        5.158123e+05      5.161189e+05     -3.469992e+02      4.036365e+01   
     0.001185          1.288345        4.563423e+05      4.566309e+05     -3.263896e+02      3.780773e+01   
     0.001185          1.392279        3.782935e+05      3.785480e+05     -2.880304e+02      3.350478e+01   
     0.001185          1.495901        3.110548e+05      3.112940e+05     -2.694877e+02      3.033849e+01   
     0.001185          1.598587        2.722062e+05      2.724317e+05     -2.521056e+02      2.661848e+01   
     0.001185          1.699720        2.374890e+05      2.376993e+05     -2.354874e+02      2.510598e+01   
     0.001185          1.798691        1.909166e+05      1.910991e+05     -2.044742e+02      2.199590e+01   
     0.001185          1.894905        1.546413e+05      1.548121e+05     -1.900448e+02      1.923455e+01   
     0.001185          1.987784        1.330868e+05      1.332449e+05     -1.763108e+02      1.818238e+01   
     0.001185          2.076770        9.765720e+04      9.779325e+04     -1.508599e+02      1.480917e+01   
     0.001185          2.161326        8.282137e+04      8.294714e+04     -1.391087e+02      1.333962e+01   
     0.001185          2.240944        6.066287e+04      6.076868e+04     -1.174690e+02      1.166637e+01   
     0.001185          2.315146        4.948015e+04      4.957726e+04     -1.075462e+02      1.043499e+01   
     0.001185          2.383485        3.418417e+04      3.426507e+04     -8.940863e+01      8.500436e+00   
     0.001185          2.445550        2.304822e+04      2.311478e+04     -7.343422e+01      6.875138e+00   
     0.001185          2.500968        1.358769e+04      1.363606e+04     -5.347914e+01      5.110085e+00   
     0.001185          2.549406        5.870992e+03      5.905016e+03     -3.711626e+01      3.092238e+00   
     0.001185          2.590572        1.023845e+03      1.038044e+03     -1.532204e+01      1.123290e+00   
     0.001185          2.624220        8.148759e+01      8.552506e+01     -4.343392e+00      3.059164e-01   
     0.001185          2.650145        7.290079e+00      8.406626e+00     -1.201729e+00      8.518215e-02   
     0.001185          2.668195        2.225728e-01      4.693150e-01     -2.575133e-01      1.077112e-02   
     0.001185          2.678262       -1.422325e-02      3.625368e-03     -1.812128e-02      2.726576e-04   
     0.006239          0.002362        5.537752e+07      5.538063e+07     -3.221874e+03      1.155100e+02   
     0.006239          0.012430        4.817439e+07      4.817700e+07     -2.712034e+03      1.084441e+02   
     0.006239          0.030479        2.656656e+07      2.656860e+07     -2.132456e+03      9.971956e+01   
     0.006239          0.056405        1.587858e+07      1.588020e+07     -1.704971e+03      9.006538e+01   
     0.006239          0.090052        1.041296e+07      1.041429e+07     -1.403967e+03      8.127916e+01   
     0.006239          0.131218        7.237132e+06      7.238237e+06     -1.178758e+03      7.371080e+01   
     0.006239          0.179656        5.293840e+06      5.294786e+06     -1.012745e+03      6.718208e+01   
     0.006239          0.235074        4.033120e+06      4.033950e+06     -8.921512e+02      6.150309e+01   
     0.006239          0.297140        3.116062e+06      3.116787e+06     -7.815323e+02      5.594711e+01   
     0.006239          0.365479        2.493322e+06      2.493975e+06     -7.039443e+02      5.149762e+01   
     0.006239          0.439680        2.010990e+06      2.011567e+06     -6.240531e+02      4.663667e+01   
     0.006239          0.519299        1.654577e+06      1.655101e+06     -5.660925e+02      4.242672e+01   
     0.006239          0.603855        1.404075e+06      1.404568e+06     -5.313812e+02      3.806717e+01   
     0.006239          0.692840        1.140934e+06      1.141379e+06     -4.793115e+02      3.446094e+01   
     0.006239          0.785719        9.706335e+05      9.710333e+05     -4.302191e+02      3.051415e+01   
     0.006239          0.881933        8.223446e+05      8.227238e+05     -4.069396e+02      2.775291e+01   
     0.006239          0.980904        7.272328e+05      7.275897e+05     -3.808442e+02      2.387570e+01   
     0.006239          1.082037        5.816083e+05      5.819294e+05     -3.422458e+02      2.111452e+01   
     0.006239          1.184723        5.158158e+05      5.161189e+05     -3.223130e+02      1.914535e+01   
     0.006239          1.288345        4.563441e+05      4.566309e+05     -3.031696e+02      1.636163e+01   
     0.006239          1.392279        3.777839e+05      3.780372e+05     -2.671869e+02      1.383306e+01   
     0.006239          1.495901        3.110559e+05      3.112940e+05     -2.503158e+02      1.221562e+01   
     0.006239          1.598587        2.722086e+05      2.724317e+05     -2.341703e+02      1.108551e+01   
     0.006239          1.699720        2.374899e+05      2.376993e+05     -2.187343e+02      9.333215e+00   
     0.006239          1.798691        1.919947e+05      1.921768e+05     -1.899275e+02      7.824530e+00   
     0.006239          1.894905        1.546428e+05      1.548121e+05     -1.765247e+02      7.198596e+00   
     0.006239          1.987784        1.330872e+05      1.332449e+05     -1.637677e+02      6.048644e+00   
     0.006239          2.076770        1.039337e+05      1.040685e+05     -1.401274e+02      5.368181e+00   
     0.006239          2.161326        8.282270e+04      8.294714e+04     -1.292122e+02      4.774011e+00   
     0.006239          2.240944        6.362537e+04      6.373061e+04     -1.091120e+02      3.866828e+00   
     0.006239          2.315146        4.948067e+04      4.957726e+04     -9.989510e+01      3.300570e+00   
     0.006239          2.383485        3.418483e+04      3.426507e+04     -8.304792e+01      2.800321e+00   
     0.006239          2.445550        2.295618e+04      2.302192e+04     -6.793595e+01      2.194795e+00   
     0.006239          2.500968        1.353241e+04      1.358035e+04     -4.947158e+01      1.527822e+00   
     0.006239          2.549406        5.985403e+03      6.016833e+03     -3.234392e+01      9.136143e-01   
     0.006239          2.590572        1.007672e+03      1.019197e+03     -1.180041e+01      2.752559e-01   
     0.006239          2.624220        8.690430e+01      9.021618e+01     -3.388223e+00      7.633634e-02   
     0.006239          2.650145        7.220141e+00      8.110389e+00     -9.038953e-01      1.364738e-02   
     0.006239          2.668195        1.760998e-01      2.977097e-01     -1.232747e-01      1.664735e-03   
     0.006239          2.678262       -2.403155e-03      6.579547e-04     -3.106863e-03      4.575340e-05   
     0.015318          0.002362        2.711012e+07      2.711231e+07     -2.252596e+03      6.666488e+01   
     0.015318          0.012430        2.646985e+07      2.647187e+07     -2.085722e+03      6.427444e+01   
     0.015318          0.030479        2.318458e+07      2.318634e+07     -1.816943e+03      6.089807e+01   
     0.015318          0.056405        1.526928e+07      1.527076e+07     -1.536803e+03      5.728402e+01   
     0.015318          0.090052        1.022356e+07      1.022481e+07     -1.300687e+03      5.365683e+01   
     0.015318          0.131218        7.182507e+06      7.183571e+06     -1.113704e+03      5.012369e+01   
     0.015318          0.179656        5.280045e+06      5.280967e+06     -9.678952e+02      4.670657e+01   
     0.015318          0.235074        3.999241e+06      4.000047e+06     -8.501368e+02      4.339502e+01   
     0.015318          0.297140        3.102697e+06      3.103410e+06     -7.527607e+02      4.016006e+01   
     0.015318          0.365479        2.474250e+06      2.474888e+06     -6.745461e+02      3.690885e+01   
     0.015318          0.439680        1.996871e+06      1.997444e+06     -6.067761e+02      3.372673e+01   
     0.015318          0.519299        1.641599e+06      1.642119e+06     -5.499639e+02      3.058606e+01   
     0.015318          0.603855        1.361600e+06      1.362077e+06     -5.045822e+02      2.759485e+01   
     0.015318          0.692840        1.153388e+06      1.153833e+06     -4.693369e+02      2.460520e+01   
     0.015318          0.785719        9.697540e+05      9.701535e+05     -4.212368e+02      2.171680e+01   
     0.015318          0.881933        8.223443e+05      8.227238e+05     -3.984711e+02      1.903008e+01   
     0.015318          0.980904        7.064839e+05      7.068296e+05     -3.622783e+02      1.654685e+01   
     0.015318          1.082037        5.990503e+05      5.993712e+05     -3.351235e+02      1.421174e+01   
     0.015318          1.184723        5.158154e+05      5.161189e+05     -3.156056e+02      1.207195e+01   
     0.015318          1.288345        4.469939e+05      4.472745e+05     -2.907778e+02      1.021584e+01   
     0.015318          1.392279        3.775768e+05      3.778299e+05     -2.616267e+02      8.545175e+00   
     0.015318          1.495901        3.183044e+05      3.185424e+05     -2.451067e+02      7.156378e+00   
     0.015318          1.598587        2.722083e+05      2.724317e+05     -2.292971e+02      5.921224e+00   
     0.015318          1.699720        2.325320e+05      2.327367e+05     -2.097108e+02      4.929764e+00   
     0.015318          1.798691        1.920828e+05      1.922647e+05     -1.859750e+02      4.071550e+00   
     0.015318          1.894905        1.578970e+05      1.580665e+05     -1.728511e+02      3.391404e+00   
     0.015318          1.987784        1.307209e+05      1.308756e+05     -1.575082e+02      2.862678e+00   
     0.015318          2.076770        1.047731e+05      1.049080e+05     -1.372113e+02      2.359640e+00   
     0.015318          2.161326        8.270218e+04      8.282559e+04     -1.254001e+02      1.988642e+00   
     0.015318          2.240944        6.401716e+04      6.412234e+04     -1.068414e+02      1.661788e+00   
