#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.685493e+08      1.685523e+08     -4.055985e+03      1.055691e+03   
     0.001185          0.009274        6.909600e+07      6.909778e+07     -2.748249e+03      9.657722e+02   
     0.001185          0.022740        3.463655e+07      3.463771e+07     -1.993299e+03      8.344278e+02   
     0.001185          0.042083        2.075533e+07      2.075618e+07     -1.560272e+03      7.073243e+02   
     0.001185          0.067187        1.370733e+07      1.370800e+07     -1.281217e+03      6.041606e+02   
     0.001185          0.097901        9.548255e+06      9.548804e+06     -1.069326e+03      5.205899e+02   
     0.001185          0.134040        7.032507e+06      7.032969e+06     -9.177090e+02      4.552172e+02   
     0.001185          0.175388        5.531703e+06      5.532113e+06     -8.139190e+02      4.035631e+02   
     0.001185          0.221694        4.307866e+06      4.308224e+06     -7.182651e+02      3.603234e+02   
     0.001185          0.272682        3.318503e+06      3.318808e+06     -6.304153e+02      3.252748e+02   
     0.001185          0.328043        2.770515e+06      2.770795e+06     -5.760204e+02      2.963378e+02   
     0.001185          0.387446        2.300106e+06      2.300359e+06     -5.248479e+02      2.712211e+02   
     0.001185          0.450533        1.898228e+06      1.898456e+06     -4.767996e+02      2.493989e+02   
     0.001185          0.516924        1.720377e+06      1.720601e+06     -4.539162e+02      2.301109e+02   
     0.001185          0.586221        1.406109e+06      1.406303e+06     -4.103695e+02      2.158847e+02   
     0.001185          0.658006        1.267897e+06      1.268086e+06     -3.896816e+02      2.013165e+02   
     0.001185          0.731848        1.025239e+06      1.025403e+06     -3.504152e+02      1.863557e+02   
     0.001185          0.807302        9.192633e+05      9.194182e+05     -3.318121e+02      1.768455e+02   
     0.001185          0.883916        8.225776e+05      8.227238e+05     -3.138793e+02      1.677046e+02   
     0.001185          0.961228        7.345176e+05      7.346564e+05     -2.966045e+02      1.578577e+02   
     0.001185          1.038772        6.544584e+05      6.545890e+05     -2.799755e+02      1.493682e+02   
     0.001185          1.116084        5.818075e+05      5.819294e+05     -2.639799e+02      1.420539e+02   
     0.001185          1.192698        5.160042e+05      5.161189e+05     -2.486054e+02      1.339293e+02   
     0.001185          1.268152        4.565231e+05      4.566309e+05     -2.338397e+02      1.260199e+02   
     0.001185          1.341994        4.028683e+05      4.029699e+05     -2.196706e+02      1.180904e+02   
     0.001185          1.413779        3.545745e+05      3.546700e+05     -2.060857e+02      1.105172e+02   
     0.001185          1.483076        3.112038e+05      3.112940e+05     -1.930728e+02      1.028911e+02   
     0.001185          1.549467        3.111998e+05      3.112940e+05     -1.930728e+02      9.895585e+01   
     0.001185          1.612554        2.723459e+05      2.724317e+05     -1.806194e+02      9.487367e+01   
     0.001185          1.671957        2.376187e+05      2.376993e+05     -1.687134e+02      8.809045e+01   
     0.001185          1.727318        2.066622e+05      2.067381e+05     -1.573425e+02      8.146561e+01   
     0.001185          1.778306        2.066608e+05      2.067381e+05     -1.573425e+02      8.001910e+01   
     0.001185          1.824612        1.791411e+05      1.792131e+05     -1.464942e+02      7.452599e+01   
     0.001185          1.865960        1.791373e+05      1.792131e+05     -1.464942e+02      7.067502e+01   
