#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002451        4.521598e+08      4.521608e+08     -1.228504e+03      1.935460e+02   
     0.001185          0.012899        1.381254e+08      1.381260e+08     -7.419431e+02      1.609406e+02   
     0.001185          0.031630        6.134317e+07      6.134355e+07     -5.049572e+02      1.242564e+02   
     0.001185          0.058535        3.336238e+07      3.336266e+07     -3.752661e+02      9.774361e+01   
     0.001185          0.093453        2.059222e+07      2.059244e+07     -2.978479e+02      7.926132e+01   
     0.001185          0.136174        1.370783e+07      1.370800e+07     -2.430120e+02      6.590898e+01   
     0.001185          0.186441        9.548657e+06      9.548804e+06     -2.028220e+02      5.614699e+01   
     0.001185          0.243952        7.032844e+06      7.032969e+06     -1.740644e+02      4.841236e+01   
     0.001185          0.308362        5.311471e+06      5.311577e+06     -1.482240e+02      4.218638e+01   
     0.001185          0.379282        4.138085e+06      4.138179e+06     -1.308581e+02      3.714120e+01   
     0.001185          0.456286        3.318723e+06      3.318808e+06     -1.195726e+02      3.363921e+01   
     0.001185          0.538911        2.731822e+06      2.731901e+06     -1.077217e+02      2.966379e+01   
     0.001185          0.626661        2.091306e+06      2.091374e+06     -9.491972e+01      2.679884e+01   
     0.001185          0.719006        1.885462e+06      1.885528e+06     -8.982004e+01      2.451130e+01   
     0.001185          0.815393        1.556795e+06      1.556853e+06     -8.189633e+01      2.366849e+01   
     0.001185          0.915241        1.268032e+06      1.268086e+06     -7.391199e+01      2.055086e+01   
     0.001185          1.017950        1.141329e+06      1.141379e+06     -7.012220e+01      2.002754e+01   
     0.001185          1.122903        9.193730e+05      9.194182e+05     -6.293571e+01      1.766871e+01   
     0.001185          1.229467        8.226809e+05      8.227238e+05     -5.953435e+01      1.671649e+01   
     0.001185          1.337002        7.171330e+05      7.171725e+05     -5.491894e+01      1.541627e+01   
     0.001185          1.444862        5.818937e+05      5.819294e+05     -5.006979e+01      1.435151e+01   
     0.001185          1.552397        5.160847e+05      5.161189e+05     -4.715367e+01      1.295802e+01   
     0.001185          1.658961        4.565991e+05      4.566309e+05     -4.435303e+01      1.256109e+01   
     0.001185          1.763913        3.546424e+05      3.546700e+05     -3.908885e+01      1.143416e+01   
     0.001185          1.866622        3.112677e+05      3.112940e+05     -3.662064e+01      1.032318e+01   
     0.001185          1.966470        2.724071e+05      2.724317e+05     -3.425858e+01      9.685595e+00   
     0.001185          2.062857        2.376764e+05      2.376993e+05     -3.200034e+01      9.041791e+00   
     0.001185          2.155203        1.791931e+05      1.792131e+05     -2.778596e+01      7.844668e+00   
     0.001185          2.242952        1.547937e+05      1.548121e+05     -2.582516e+01      7.454223e+00   
     0.001185          2.325578        1.165428e+05      1.165589e+05     -2.218468e+01      6.065973e+00   
     0.001185          2.402582        9.753803e+04      9.755295e+04     -2.050033e+01      5.584108e+00   
     0.001185          2.473502        7.019887e+04      7.021098e+04     -1.739174e+01      5.290145e+00   
     0.001185          2.537911        5.913602e+04      5.914790e+04     -1.596284e+01      4.079431e+00   
     0.001185          2.595422        4.132382e+04      4.133346e+04     -1.334417e+01      3.698639e+00   
     0.001185          2.645690        2.822581e+04      2.823402e+04     -1.102877e+01      2.810980e+00   
     0.001185          2.688411        1.650747e+04      1.651325e+04     -8.083486e+00      2.300640e+00   
     0.001185          2.723329        9.420042e+03      9.424935e+03     -6.300309e+00      1.407350e+00   
     0.001185          2.750234        3.887279e+03      3.890211e+03     -3.862110e+00      9.292223e-01   
     0.001185          2.768964        1.329530e+03      1.331495e+03     -2.342442e+00      3.769394e-01   
     0.001185          2.779412        1.892044e+02      1.898629e+02     -6.913279e-01      3.283997e-02   
     0.006239          0.002451        1.420888e+08      1.420893e+08     -5.961735e+02      4.580264e+01   
     0.006239          0.012899        1.192565e+08      1.192569e+08     -4.873067e+02      4.104015e+01   
     0.006239          0.031630        5.988143e+07      5.988176e+07     -3.693699e+02      3.547775e+01   
     0.006239          0.058535        3.326026e+07      3.326052e+07     -2.852890e+02      2.965998e+01   
     0.006239          0.093453        2.046772e+07      2.046792e+07     -2.278164e+02      2.476975e+01   
     0.006239          0.136174        1.362703e+07      1.362720e+07     -1.881692e+02      2.093528e+01   
     0.006239          0.186441        9.561758e+06      9.561899e+06     -1.582784e+02      1.790218e+01   
     0.006239          0.243952        7.005714e+06      7.005834e+06     -1.362021e+02      1.559174e+01   
     0.006239          0.308362        5.305494e+06      5.305598e+06     -1.177425e+02      1.363752e+01   
     0.006239          0.379282        4.126587e+06      4.126678e+06     -1.037222e+02      1.215618e+01   
     0.006239          0.456286        3.317451e+06      3.317535e+06     -9.498623e+01      1.094902e+01   
     0.006239          0.538911        2.660691e+06      2.660765e+06     -8.337589e+01      9.906476e+00   
     0.006239          0.626661        2.171844e+06      2.171911e+06     -7.543139e+01      9.026270e+00   
     0.006239          0.719006        1.821366e+06      1.821427e+06     -6.895214e+01      8.211630e+00   
     0.006239          0.815393        1.556796e+06      1.556853e+06     -6.508188e+01      7.365046e+00   
     0.006239          0.915241        1.268034e+06      1.268086e+06     -5.873683e+01      7.110377e+00   
     0.006239          1.017950        1.132854e+06      1.132903e+06     -5.531134e+01      6.224539e+00   
     0.006239          1.122903        9.193742e+05      9.194182e+05     -5.001414e+01      5.986366e+00   
     0.006239          1.229467        8.226820e+05      8.227238e+05     -4.731112e+01      5.574958e+00   
     0.006239          1.337002        6.977467e+05      6.977842e+05     -4.246345e+01      4.920192e+00   
     0.006239          1.444862        5.818943e+05      5.819294e+05     -3.978977e+01      4.657508e+00   
     0.006239          1.552397        5.160860e+05      5.161189e+05     -3.747237e+01      4.562183e+00   
     0.006239          1.658961        4.565997e+05      4.566309e+05     -3.524673e+01      4.042735e+00   
     0.006239          1.763913        3.692454e+05      3.692729e+05     -3.106336e+01      3.599352e+00   
     0.006239          1.866622        3.112684e+05      3.112940e+05     -2.910192e+01      3.514168e+00   
     0.006239          1.966470        2.724077e+05      2.724317e+05     -2.722482e+01      3.249884e+00   
     0.006239          2.062857        2.310264e+05      2.310483e+05     -2.471866e+01      2.818676e+00   
     0.006239          2.155203        1.791937e+05      1.792131e+05     -2.208112e+01      2.663604e+00   
     0.006239          2.242952        1.547939e+05      1.548121e+05     -2.052290e+01      2.341342e+00   
     0.006239          2.325578        1.220440e+05      1.220595e+05     -1.762986e+01      2.168018e+00   
     0.006239          2.402582        9.753860e+04      9.755295e+04     -1.629133e+01      1.941467e+00   
     0.006239          2.473502        7.418345e+04      7.419579e+04     -1.382098e+01      1.481643e+00   
     0.006239          2.537911        5.699781e+04      5.700857e+04     -1.222663e+01      1.464694e+00   
     0.006239          2.595422        4.061004e+04      4.061934e+04     -1.042121e+01      1.126251e+00   
     0.006239          2.645690        2.697202e+04      2.697945e+04     -8.374962e+00      9.456486e-01   
     0.006239          2.688411        1.680355e+04      1.680935e+04     -6.423834e+00      6.224302e-01   
     0.006239          2.723329        8.902121e+03      8.906230e+03     -4.574813e+00      4.660634e-01   
     0.006239          2.750234        3.822219e+03      3.824846e+03     -2.827950e+00      2.012290e-01   
     0.006239          2.768964        1.082754e+03      1.083985e+03     -1.283325e+00      5.256097e-02   
