#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        3.753409e+08      3.753400e+08     -2.383716e+03      3.252005e+03   
     0.001185          0.009274        1.414747e+08      1.414735e+08     -1.509562e+03      2.675528e+03   
     0.001185          0.022740        6.659390e+07      6.659294e+07     -1.046214e+03      2.006788e+03   
     0.001185          0.042083        3.799716e+07      3.799641e+07     -7.993385e+02      1.551559e+03   
     0.001185          0.067187        2.414433e+07      2.414372e+07     -6.431910e+02      1.250237e+03   
     0.001185          0.097901        1.641638e+07      1.641587e+07     -5.345895e+02      1.044438e+03   
     0.001185          0.134040        1.187307e+07      1.187264e+07     -4.606669e+02      8.944992e+02   
     0.001185          0.175388        8.842387e+06      8.842004e+06     -3.961116e+02      7.792002e+02   
     0.001185          0.221694        6.806565e+06      6.806229e+06     -3.518680e+02      6.881909e+02   
     0.001185          0.272682        5.311236e+06      5.310932e+06     -3.114905e+02      6.161335e+02   
     0.001185          0.328043        4.485011e+06      4.484738e+06     -2.856686e+02      5.594662e+02   
     0.001185          0.387446        3.622905e+06      3.622652e+06     -2.617086e+02      5.141946e+02   
     0.001185          0.450533        3.032682e+06      3.032448e+06     -2.391273e+02      4.740865e+02   
     0.001185          0.516924        2.524858e+06      2.524643e+06     -2.178837e+02      4.326159e+02   
     0.001185          0.586221        2.193586e+06      2.193379e+06     -2.077508e+02      4.150357e+02   
     0.001185          0.658006        1.897148e+06      1.896950e+06     -1.884374e+02      3.863557e+02   
     0.001185          0.731848        1.636873e+06      1.636680e+06     -1.792465e+02      3.721417e+02   
     0.001185          0.807302        1.405255e+06      1.405071e+06     -1.617712e+02      3.457843e+02   
     0.001185          0.883916        1.267109e+06      1.266935e+06     -1.534765e+02      3.277007e+02   
     0.001185          0.961228        1.089560e+06      1.089392e+06     -1.454703e+02      3.133392e+02   
     0.001185          1.038772        9.711318e+05      9.709656e+05     -1.377474e+02      3.038746e+02   
     0.001185          1.116084        8.698913e+05      8.697283e+05     -1.303029e+02      2.933103e+02   
     0.001185          1.192698        7.776028e+05      7.774440e+05     -1.231315e+02      2.818367e+02   
     0.001185          1.268152        6.936227e+05      6.934681e+05     -1.162281e+02      2.708827e+02   
     0.001185          1.341994        6.173382e+05      6.171909e+05     -1.095878e+02      2.568899e+02   
     0.001185          1.413779        5.813859e+05      5.812450e+05     -1.032053e+02      2.441113e+02   
     0.001185          1.483076        5.481781e+05      5.480372e+05     -1.032053e+02      2.440680e+02   
     0.001185          1.549467        4.856003e+05      4.854646e+05     -9.707549e+01      2.327617e+02   
     0.001185          1.612554        4.290872e+05      4.289622e+05     -9.119336e+01      2.162505e+02   
     0.001185          1.671957        4.025525e+05      4.024342e+05     -8.555377e+01      2.037798e+02   
     0.001185          1.727318        3.781669e+05      3.780494e+05     -8.555377e+01      2.030045e+02   
     0.001185          1.778306        3.323808e+05      3.322749e+05     -8.015161e+01      1.860000e+02   
     0.001185          1.824612        3.213452e+05      3.212426e+05     -7.749038e+01      1.801455e+02   
     0.001185          1.865960        2.913118e+05      2.912153e+05     -7.498178e+01      1.714896e+02   
     0.001185          1.902099        2.817197e+05      2.816275e+05     -7.251312e+01      1.647940e+02   
     0.001185          1.932813        2.545587e+05      2.544736e+05     -7.003916e+01      1.550862e+02   
     0.001185          1.957917        2.545603e+05      2.544736e+05     -7.003916e+01      1.566763e+02   
     0.001185          1.977260        2.433102e+05      2.432283e+05     -6.694408e+01      1.488768e+02   
     0.001185          1.990726        2.373998e+05      2.373226e+05     -6.531865e+01      1.424871e+02   
     0.001185          1.998238        2.254044e+05      2.253286e+05     -6.531865e+01      1.410951e+02   
     0.006239          0.001762        1.115553e+08      1.115562e+08     -8.551454e+02      2.776180e+01   
     0.006239          0.009274        1.029858e+08      1.029866e+08     -7.900964e+02      2.622299e+01   
     0.006239          0.022740        6.359257e+07      6.359318e+07     -6.343411e+02      2.334357e+01   
     0.006239          0.042083        3.739545e+07      3.739593e+07     -5.036263e+02      2.022173e+01   
     0.006239          0.067187        2.400059e+07      2.400098e+07     -4.087715e+02      1.744088e+01   
     0.006239          0.097901        1.648004e+07      1.648037e+07     -3.417479e+02      1.512322e+01   
     0.006239          0.134040        1.188681e+07      1.188709e+07     -2.922499e+02      1.323704e+01   
     0.006239          0.175388        8.913733e+06      8.913976e+06     -2.547206e+02      1.168772e+01   
     0.006239          0.221694        6.910607e+06      6.910822e+06     -2.255237e+02      1.042908e+01   
     0.006239          0.272682        5.469254e+06      5.469446e+06     -2.014363e+02      9.381461e+00   
     0.006239          0.328043        4.411989e+06      4.412163e+06     -1.819017e+02      8.531109e+00   
     0.006239          0.387446        3.637778e+06      3.637936e+06     -1.661017e+02      7.817937e+00   
     0.006239          0.450533        3.032302e+06      3.032448e+06     -1.522662e+02      7.180650e+00   
     0.006239          0.516924        2.524511e+06      2.524643e+06     -1.387392e+02      6.635364e+00   
     0.006239          0.586221        2.182397e+06      2.182521e+06     -1.299510e+02      6.181387e+00   
     0.006239          0.658006        1.896836e+06      1.896950e+06     -1.199890e+02      5.785213e+00   
     0.006239          0.731848        1.642010e+06      1.642118e+06     -1.141366e+02      5.413788e+00   
