#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.869693e+08      2.869784e+08     -9.720916e+03      6.652894e+02   
     0.001185          0.009274        1.100496e+08      1.100554e+08     -6.400685e+03      6.142810e+02   
     0.001185          0.022740        5.299829e+07      5.300231e+07     -4.558609e+03      5.399279e+02   
     0.001185          0.042083        3.095198e+07      3.095503e+07     -3.518627e+03      4.694833e+02   
     0.001185          0.067187        2.003983e+07      2.004225e+07     -2.830478e+03      4.108845e+02   
     0.001185          0.097901        1.384564e+07      1.384764e+07     -2.372763e+03      3.644146e+02   
     0.001185          0.134040        1.028128e+07      1.028301e+07     -2.055073e+03      3.274027e+02   
     0.001185          0.175388        7.601465e+06      7.602935e+06     -1.767087e+03      2.967754e+02   
     0.001185          0.221694        5.998072e+06      5.999371e+06     -1.569712e+03      2.704067e+02   
     0.001185          0.272682        4.700343e+06      4.701483e+06     -1.387611e+03      2.480757e+02   
     0.001185          0.328043        3.953268e+06      3.954313e+06     -1.274391e+03      2.289614e+02   
     0.001185          0.387446        3.317853e+06      3.318808e+06     -1.167504e+03      2.117426e+02   
     0.001185          0.450533        2.769924e+06      2.770795e+06     -1.066767e+03      1.961808e+02   
     0.001185          0.516924        2.299569e+06      2.300359e+06     -9.719973e+02      1.814150e+02   
     0.001185          0.586221        2.090614e+06      2.091374e+06     -9.267937e+02      1.668434e+02   
     0.001185          0.658006        1.719916e+06      1.720601e+06     -8.406346e+02      1.560819e+02   
     0.001185          0.731848        1.556199e+06      1.556853e+06     -7.996336e+02      1.451086e+02   
     0.001185          0.807302        1.267497e+06      1.268086e+06     -7.216747e+02      1.327897e+02   
     0.001185          0.883916        1.140818e+06      1.141379e+06     -6.846713e+02      1.237727e+02   
     0.001185          0.961228        1.024869e+06      1.025403e+06     -6.489549e+02      1.148945e+02   
     0.001185          1.038772        9.189109e+05      9.194182e+05     -6.145027e+02      1.071198e+02   
     0.001185          1.116084        8.222419e+05      8.227238e+05     -5.812918e+02      9.944527e+01   
     0.001185          1.192698        7.341988e+05      7.346564e+05     -5.492997e+02      9.169951e+01   
     0.001185          1.268152        6.541552e+05      6.545890e+05     -5.185033e+02      8.472644e+01   
     0.001185          1.341994        5.815186e+05      5.819294e+05     -4.888801e+02      7.798894e+01   
     0.001185          1.413779        5.157303e+05      5.161189e+05     -4.604072e+02      7.178291e+01   
     0.001185          1.483076        5.157263e+05      5.161189e+05     -4.604072e+02      6.774535e+01   
     0.001185          1.549467        4.562615e+05      4.566309e+05     -4.330618e+02      6.358737e+01   
     0.001185          1.612554        4.026215e+05      4.029699e+05     -4.068211e+02      5.840548e+01   
     0.001185          1.671957        3.543419e+05      3.546700e+05     -3.816625e+02      5.353884e+01   
     0.001185          1.727318        3.543399e+05      3.546700e+05     -3.816625e+02      5.154509e+01   
     0.001185          1.778306        3.109841e+05      3.112940e+05     -3.575630e+02      4.770846e+01   
     0.001185          1.824612        2.903701e+05      2.906607e+05     -3.344999e+02      4.389596e+01   
     0.001185          1.865960        2.721399e+05      2.724317e+05     -3.344999e+02      4.268080e+01   
     0.001185          1.902099        2.542199e+05      2.544929e+05     -3.124741e+02      3.949112e+01   
     0.001185          1.932813        2.374257e+05      2.376993e+05     -3.124505e+02      3.877411e+01   
     0.001185          1.957917        2.374248e+05      2.376993e+05     -3.124505e+02      3.788930e+01   
     0.001185          1.977260        2.167714e+05      2.170273e+05     -2.913919e+02      3.546712e+01   
     0.001185          1.990726        2.064819e+05      2.067381e+05     -2.913919e+02      3.515706e+01   
     0.001185          1.998238        2.064818e+05      2.067381e+05     -2.913919e+02      3.506187e+01   
     0.006239          0.001762        8.729125e+07      8.729652e+07     -5.512994e+03      2.396007e+02   
     0.006239          0.009274        8.090919e+07      8.091377e+07     -4.805522e+03      2.269614e+02   
     0.006239          0.022740        5.073686e+07      5.074053e+07     -3.885156e+03      2.114093e+02   
     0.006239          0.042083        3.048537e+07      3.048832e+07     -3.141880e+03      1.959531e+02   
     0.006239          0.067187        1.991612e+07      1.991853e+07     -2.593431e+03      1.817212e+02   
     0.006239          0.097901        1.393883e+07      1.394086e+07     -2.199202e+03      1.690137e+02   
     0.006239          0.134040        1.019827e+07      1.020001e+07     -1.895160e+03      1.577787e+02   
     0.006239          0.175388        7.749377e+06      7.750889e+06     -1.660204e+03      1.475643e+02   
     0.006239          0.221694        6.075162e+06      6.076501e+06     -1.477243e+03      1.380527e+02   
     0.006239          0.272682        4.846689e+06      4.847874e+06     -1.314117e+03      1.291337e+02   
     0.006239          0.328043        3.953227e+06      3.954313e+06     -1.206894e+03      1.208969e+02   
     0.006239          0.387446        3.296184e+06      3.297169e+06     -1.098459e+03      1.127144e+02   
     0.006239          0.450533        2.769890e+06      2.770795e+06     -1.010266e+03      1.049038e+02   
     0.006239          0.516924        2.299536e+06      2.300359e+06     -9.205160e+02      9.728997e+01   
     0.006239          0.586221        2.016758e+06      2.017515e+06     -8.467095e+02      8.973509e+01   
     0.006239          0.658006        1.719888e+06      1.720601e+06     -7.961109e+02      8.282047e+01   
     0.006239          0.731848        1.556172e+06      1.556853e+06     -7.572815e+02      7.596563e+01   
     0.006239          0.807302        1.321390e+06      1.322004e+06     -6.834517e+02      6.914088e+01   
     0.006239          0.883916        1.140794e+06      1.141379e+06     -6.484081e+02      6.309679e+01   
     0.006239          0.961228        1.024846e+06      1.025403e+06     -6.145834e+02      5.727869e+01   
     0.006239          1.038772        9.188880e+05      9.194182e+05     -5.819559e+02      5.175692e+01   
     0.006239          1.116084        8.222200e+05      8.227238e+05     -5.505041e+02      4.671967e+01   
     0.006239          1.192698        7.341782e+05      7.346564e+05     -5.202063e+02      4.199613e+01   
     0.006239          1.268152        6.541356e+05      6.545890e+05     -4.910411e+02      3.764762e+01   
     0.006239          1.341994        5.815001e+05      5.819294e+05     -4.629869e+02      3.362085e+01   
     0.006239          1.413779        5.339843e+05      5.343902e+05     -4.360220e+02      3.008722e+01   
     0.006239          1.483076        5.101683e+05      5.105725e+05     -4.313363e+02      2.718786e+01   
     0.006239          1.549467        4.562453e+05      4.566309e+05     -4.101249e+02      2.454276e+01   
     0.006239          1.612554        4.026067e+05      4.029699e+05     -3.852741e+02      2.202973e+01   
     0.006239          1.671957        3.588903e+05      3.592319e+05     -3.614479e+02      1.986562e+01   
     0.006239          1.727318        3.543268e+05      3.546700e+05     -3.614479e+02      1.819958e+01   
     0.006239          1.778306        3.109720e+05      3.112940e+05     -3.386249e+02      1.664932e+01   
     0.006239          1.824612        2.907465e+05      2.910480e+05     -3.167833e+02      1.519502e+01   
     0.006239          1.865960        2.721292e+05      2.724317e+05     -3.167833e+02      1.432365e+01   
     0.006239          1.902099        2.541414e+05      2.544240e+05     -2.959017e+02      1.328927e+01   
     0.006239          1.932813        2.374162e+05      2.376993e+05     -2.959017e+02      1.274879e+01   
     0.006239          1.957917        2.374157e+05      2.376993e+05     -2.959017e+02      1.224102e+01   
     0.006239          1.977260        2.204858e+05      2.207501e+05     -2.759585e+02      1.168686e+01   
     0.006239          1.990726        2.064737e+05      2.067381e+05     -2.759585e+02      1.157753e+01   
     0.006239          1.998238        2.064737e+05      2.067381e+05     -2.759585e+02      1.149554e+01   
     0.015318          0.001762        4.106478e+07      4.106842e+07     -3.783769e+03      1.471736e+02   
     0.015318          0.009274        4.042390e+07      4.042731e+07     -3.560596e+03      1.442186e+02   
     0.015318          0.022740        3.763639e+07      3.763944e+07     -3.193322e+03      1.396167e+02   
     0.015318          0.042083        2.841919e+07      2.842183e+07     -2.768971e+03      1.343232e+02   
     0.015318          0.067187        1.935680e+07      1.935905e+07     -2.377918e+03      1.287595e+02   
     0.015318          0.097901        1.373011e+07      1.373204e+07     -2.056923e+03      1.231689e+02   
     0.015318          0.134040        1.009774e+07      1.009942e+07     -1.793236e+03      1.175958e+02   
     0.015318          0.175388        7.700035e+06      7.701509e+06     -1.585990e+03      1.119608e+02   
     0.015318          0.221694        6.044026e+06      6.045338e+06     -1.418411e+03      1.062302e+02   
     0.015318          0.272682        4.829112e+06      4.830283e+06     -1.272219e+03      1.004289e+02   
     0.015318          0.328043        3.939113e+06      3.940175e+06     -1.156664e+03      9.457010e+01   
     0.015318          0.387446        3.268166e+06      3.269134e+06     -1.055842e+03      8.871582e+01   
     0.015318          0.450533        2.743557e+06      2.744445e+06     -9.707298e+02      8.272987e+01   
     0.015318          0.516924        2.349411e+06      2.350237e+06     -9.024311e+02      7.669437e+01   
