#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002312        3.597257e+07      3.597303e+07     -7.497974e+02      2.845261e+02   
     0.001185          0.012167        1.017981e+07      1.018006e+07     -4.376227e+02      1.847472e+02   
     0.001185          0.029835        4.122900e+06      4.123033e+06     -2.841544e+02      1.509488e+02   
     0.001185          0.055213        2.044271e+06      2.044354e+06     -2.028811e+02      1.189764e+02   
     0.001185          0.088149        1.140334e+06      1.140395e+06     -1.533811e+02      9.156981e+01   
     0.001185          0.128445        6.751217e+05      6.751686e+05     -1.162560e+02      6.930693e+01   
     0.001185          0.175859        4.409942e+05      4.410302e+05     -9.378143e+01      5.778673e+01   
     0.001185          0.230107        2.798672e+05      2.798970e+05     -7.499978e+01      4.526467e+01   
     0.001185          0.290860        2.025682e+05      2.025961e+05     -6.402536e+01      3.613302e+01   
     0.001185          0.357755        1.332184e+05      1.332449e+05     -5.245133e+01      2.592452e+01   
     0.001185          0.430389        9.753197e+04      9.755295e+04     -4.487985e+01      2.390047e+01   
     0.001185          0.508324        7.019317e+04      7.021098e+04     -3.807446e+01      2.026963e+01   
     0.001185          0.591094        4.957141e+04      4.957726e+04     -3.199429e+01      2.614263e+01   
     0.001185          0.678198        4.131483e+04      4.133346e+04     -2.921340e+01      1.058044e+01   
     0.001185          0.769114        2.823149e+04      2.823402e+04     -2.414447e+01      2.160480e+01   
     0.001185          0.863296        2.310534e+04      2.311478e+04     -2.184621e+01      1.240191e+01   
     0.001185          0.960175        1.878023e+04      1.879356e+04     -1.969861e+01      6.372278e+00   
     0.001185          1.059171        1.213299e+04      1.214432e+04     -1.583499e+01      4.507338e+00   
     0.001185          1.159687        9.636048e+03      9.640827e+03     -1.410874e+01      9.329282e+00   
     0.001185          1.261119        7.582292e+03      7.583014e+03     -1.251273e+01      1.179034e+01   
     0.001185          1.362857        5.903623e+03      5.905016e+03     -1.104185e+01      9.648567e+00   
     0.001185          1.464288        4.545980e+03      4.548553e+03     -9.690983e+00      7.117560e+00   
