#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.259188e+08      1.259216e+08     -3.109805e+03      3.379281e+02   
     0.001185          0.009274        4.504135e+07      4.504302e+07     -1.980745e+03      3.037615e+02   
     0.001185          0.022740        2.000294e+07      2.000404e+07     -1.355545e+03      2.547846e+02   
     0.001185          0.042083        1.075633e+07      1.075713e+07     -1.006438e+03      2.086044e+02   
     0.001185          0.067187        6.531532e+06      6.532154e+06     -7.939331e+02      1.716931e+02   
     0.001185          0.097901        4.307720e+06      4.308224e+06     -6.464093e+02      1.431002e+02   
     0.001185          0.134040        2.920586e+06      2.920987e+06     -5.222087e+02      1.212272e+02   
     0.001185          0.175388        2.091028e+06      2.091374e+06     -4.503751e+02      1.041047e+02   
     0.001185          0.221694        1.556555e+06      1.556853e+06     -3.885817e+02      9.050448e+01   
     0.001185          0.272682        1.141126e+06      1.141379e+06     -3.327158e+02      7.925714e+01   
     0.001185          0.328043        9.191898e+05      9.194182e+05     -2.986174e+02      7.016742e+01   
     0.001185          0.387446        7.248599e+05      7.250613e+05     -2.634457e+02      6.203328e+01   
     0.001185          0.450533        5.817477e+05      5.819294e+05     -2.375711e+02      5.578980e+01   
     0.001185          0.516924        4.564715e+05      4.566309e+05     -2.104462e+02      5.105819e+01   
     0.001185          0.586221        3.545304e+05      3.546700e+05     -1.854688e+02      4.582701e+01   
     0.001185          0.658006        3.111626e+05      3.112940e+05     -1.737576e+02      4.242971e+01   
     0.001185          0.731848        2.375854e+05      2.376993e+05     -1.518352e+02      3.784825e+01   
     0.001185          0.807302        2.066318e+05      2.067381e+05     -1.416018e+02      3.523848e+01   
     0.001185          0.883916        1.791141e+05      1.792131e+05     -1.318388e+02      3.289283e+01   
     0.001185          0.961228        1.547198e+05      1.548121e+05     -1.225352e+02      3.022618e+01   
     0.001185          1.038772        1.331592e+05      1.332449e+05     -1.136799e+02      2.800996e+01   
     0.001185          1.116084        1.141627e+05      1.142418e+05     -1.052619e+02      2.619061e+01   
     0.001185          1.192698        9.747995e+04      9.755295e+04     -9.726995e+01      2.427222e+01   
     0.001185          1.268152        8.287988e+04      8.294714e+04     -8.969314e+01      2.243556e+01   
     0.001185          1.341994        7.014895e+04      7.021098e+04     -8.252034e+01      2.049789e+01   
     0.001185          1.413779        5.909099e+04      5.914790e+04     -7.574050e+01      1.882686e+01   
     0.001185          1.483076        4.952510e+04      4.957726e+04     -6.934255e+01      1.718289e+01   
     0.001185          1.549467        4.952475e+04      4.957726e+04     -6.934255e+01      1.682680e+01   
     0.001185          1.612554        4.128558e+04      4.133346e+04     -6.331541e+01      1.543621e+01   
     0.001185          1.671957        3.422140e+04      3.426507e+04     -5.764801e+01      1.397961e+01   
     0.001185          1.727318        3.422092e+04      3.426507e+04     -5.764801e+01      1.349301e+01   
     0.001185          1.778306        2.819427e+04      2.823402e+04     -5.232930e+01      1.257898e+01   
     0.001185          1.824612        2.352233e+04      2.355826e+04     -4.734819e+01      1.141241e+01   
     0.001185          1.865960        2.307862e+04      2.311478e+04     -4.734819e+01      1.119309e+01   
     0.001185          1.902099        2.233431e+04      2.236986e+04     -4.582230e+01      1.026898e+01   
