#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.440513e+08      1.441134e+08     -6.249104e+04      4.131585e+02   
     0.001185          0.009274        5.022546e+07      5.026431e+07     -3.923845e+04      3.907996e+02   
     0.001185          0.022740        2.189908e+07      2.192526e+07     -2.652966e+04      3.545445e+02   
     0.001185          0.042083        1.163047e+07      1.164960e+07     -1.944768e+04      3.200784e+02   
     0.001185          0.067187        6.969258e+06      6.984120e+06     -1.515306e+04      2.911500e+02   
     0.001185          0.097901        4.505393e+06      4.517431e+06     -1.230609e+04      2.672627e+02   
     0.001185          0.134040        3.089259e+06      3.099146e+06     -1.013478e+04      2.471927e+02   
     0.001185          0.175388        2.185034e+06      2.193379e+06     -8.574063e+03      2.292529e+02   
     0.001185          0.221694        1.625724e+06      1.632908e+06     -7.397665e+03      2.130185e+02   
     0.001185          0.272682        1.196929e+06      1.203065e+06     -6.334112e+03      1.977977e+02   
     0.001185          0.328043        9.139170e+05      9.194182e+05     -5.684960e+03      1.837288e+02   
     0.001185          0.387446        7.249803e+05      7.298588e+05     -5.048561e+03      1.700317e+02   
     0.001185          0.450533        5.775636e+05      5.819294e+05     -4.522785e+03      1.568954e+02   
     0.001185          0.516924        4.527686e+05      4.566309e+05     -4.006392e+03      1.440148e+02   
     0.001185          0.586221        3.746496e+05      3.780494e+05     -3.530881e+03      1.310458e+02   
     0.001185          0.658006        3.081060e+05      3.112940e+05     -3.307929e+03      1.199292e+02   
     0.001185          0.731848        2.516912e+05      2.544736e+05     -2.890579e+03      1.081670e+02   
     0.001185          0.807302        2.041397e+05      2.067381e+05     -2.695759e+03      9.729492e+01   
     0.001185          0.883916        1.767905e+05      1.792131e+05     -2.509896e+03      8.733469e+01   
     0.001185          0.961228        1.525572e+05      1.548121e+05     -2.332777e+03      7.787557e+01   
     0.001185          1.038772        1.311499e+05      1.332449e+05     -2.164194e+03      6.918570e+01   
     0.001185          1.116084        1.122990e+05      1.142418e+05     -2.003934e+03      6.113060e+01   
     0.001185          1.192698        9.575492e+04      9.755295e+04     -1.851787e+03      5.376389e+01   
     0.001185          1.268152        8.128655e+04      8.294714e+04     -1.707542e+03      4.696136e+01   
     0.001185          1.341994        6.868085e+04      7.021098e+04     -1.570990e+03      4.086545e+01   
     0.001185          1.413779        5.774143e+04      5.914790e+04     -1.441918e+03      3.544956e+01   
     0.001185          1.483076        5.286223e+04      5.415156e+04     -1.320116e+03      3.078785e+01   
     0.001185          1.549467        4.828447e+04      4.957726e+04     -1.320116e+03      2.732488e+01   
     0.001185          1.612554        4.015178e+04      4.133346e+04     -1.205374e+03      2.369392e+01   
     0.001185          1.671957        3.318809e+04      3.426507e+04     -1.097480e+03      2.049491e+01   
     0.001185          1.727318        3.318593e+04      3.426507e+04     -1.097480e+03      1.833665e+01   
     0.001185          1.778306        2.725394e+04      2.823402e+04     -9.962245e+02      1.614221e+01   
     0.001185          1.824612        2.489567e+04      2.579156e+04     -9.100433e+02      1.415509e+01   
     0.001185          1.865960        2.222640e+04      2.311478e+04     -9.013961e+02      1.301558e+01   
     0.001185          1.902099        2.186713e+04      2.274232e+04     -8.868715e+02      1.168053e+01   
     0.001185          1.932813        1.799163e+04      1.879356e+04     -8.127843e+02      1.085483e+01   
     0.001185          1.957917        1.799108e+04      1.879356e+04     -8.127843e+02      1.030954e+01   
     0.001185          1.977260        1.799038e+04      1.879356e+04     -8.127843e+02      9.608818e+00   
     0.001185          1.990726        1.444656e+04      1.516758e+04     -7.301783e+02      9.164739e+00   
     0.001185          1.998238        1.444642e+04      1.516758e+04     -7.301783e+02      9.024225e+00   
     0.006239          0.001762        3.871933e+07      3.875400e+07     -3.491419e+04      2.390606e+02   
     0.006239          0.009274        3.542154e+07      3.545162e+07     -3.031840e+04      2.342708e+02   
     0.006239          0.022740        2.079985e+07      2.082338e+07     -2.375499e+04      2.264289e+02   
     0.006239          0.042083        1.146703e+07      1.148528e+07     -1.846526e+04      2.175243e+02   
     0.006239          0.067187        6.925752e+06      6.940243e+06     -1.469975e+04      2.083602e+02   
     0.006239          0.097901        4.481661e+06      4.493445e+06     -1.198335e+04      1.991577e+02   
     0.006239          0.134040        3.057678e+06      3.067501e+06     -1.001281e+04      1.899795e+02   
     0.006239          0.175388        2.161750e+06      2.169998e+06     -8.429120e+03      1.806939e+02   
     0.006239          0.221694        1.575036e+06      1.582129e+06     -7.264038e+03      1.712004e+02   
     0.006239          0.272682        1.190554e+06      1.196705e+06     -6.312942e+03      1.614331e+02   
     0.006239          0.328043        9.136042e+05      9.190262e+05     -5.573563e+03      1.515257e+02   
     0.006239          0.387446        7.126210e+05      7.174209e+05     -4.941261e+03      1.413677e+02   
     0.006239          0.450533        5.668673e+05      5.711604e+05     -4.424251e+03      1.311484e+02   
     0.006239          0.516924        4.571152e+05      4.609873e+05     -3.993002e+03      1.208838e+02   
     0.006239          0.586221        3.708463e+05      3.742548e+05     -3.519080e+03      1.106212e+02   
     0.006239          0.658006        3.080977e+05      3.112940e+05     -3.296873e+03      1.006583e+02   
     0.006239          0.731848        2.584980e+05      2.613661e+05     -2.958948e+03      9.083518e+01   
     0.006239          0.807302        2.090571e+05      2.116623e+05     -2.686749e+03      8.146861e+01   
     0.006239          0.883916        1.767842e+05      1.792131e+05     -2.501507e+03      7.258003e+01   
     0.006239          0.961228        1.525513e+05      1.548121e+05     -2.324981e+03      6.419142e+01   
     0.006239          1.038772        1.311443e+05      1.332449e+05     -2.156960e+03      5.634578e+01   
     0.006239          1.116084        1.122937e+05      1.142418e+05     -1.997236e+03      4.916294e+01   
     0.006239          1.192698        9.574999e+04      9.755295e+04     -1.845598e+03      4.264094e+01   
     0.006239          1.268152        8.128207e+04      8.294714e+04     -1.701835e+03      3.677256e+01   
     0.006239          1.341994        6.867675e+04      7.021098e+04     -1.565739e+03      3.151276e+01   
     0.006239          1.413779        5.819300e+04      5.960320e+04     -1.437098e+03      2.689278e+01   
     0.006239          1.483076        5.342782e+04      5.473481e+04     -1.329875e+03      2.288079e+01   
     0.006239          1.549467        4.828108e+04      4.957726e+04     -1.315704e+03      1.952124e+01   
     0.006239          1.612554        4.014870e+04      4.133346e+04     -1.201345e+03      1.658862e+01   
     0.006239          1.671957        3.335211e+04      3.443181e+04     -1.093812e+03      1.410978e+01   
     0.006239          1.727318        3.310146e+04      3.418050e+04     -1.091112e+03      1.207038e+01   
     0.006239          1.778306        2.725151e+04      2.823402e+04     -9.928948e+02      1.037656e+01   
     0.006239          1.824612        2.469702e+04      2.558792e+04     -8.998403e+02      8.939761e+00   
     0.006239          1.865960        2.222427e+04      2.311478e+04     -8.983834e+02      7.876023e+00   
     0.006239          1.902099        2.056273e+04      2.138701e+04     -8.312317e+02      6.953032e+00   
     0.006239          1.932813        1.798978e+04      1.879356e+04     -8.100678e+02      6.292445e+00   
     0.006239          1.957917        1.798926e+04      1.879356e+04     -8.100678e+02      5.769746e+00   
     0.006239          1.977260        1.689687e+04      1.765239e+04     -7.608795e+02      5.360906e+00   
     0.006239          1.990726        1.500143e+04      1.572407e+04     -7.277378e+02      5.097243e+00   
     0.006239          1.998238        1.444482e+04      1.516758e+04     -7.277378e+02      4.978776e+00   
     0.015318          0.001762        1.627684e+07      1.629951e+07     -2.287408e+04      2.053961e+02   
     0.015318          0.009274        1.599483e+07      1.601644e+07     -2.180875e+04      2.042249e+02   
     0.015318          0.022740        1.468765e+07      1.470666e+07     -1.921465e+04      2.010082e+02   
     0.015318          0.042083        1.053935e+07      1.055536e+07     -1.620962e+04      1.963232e+02   
     0.015318          0.067187        6.675679e+06      6.688982e+06     -1.349353e+04      1.907052e+02   
     0.015318          0.097901        4.395947e+06      4.407063e+06     -1.130011e+04      1.844037e+02   
     0.015318          0.134040        3.018454e+06      3.027833e+06     -9.556355e+03      1.774704e+02   
     0.015318          0.175388        2.148291e+06      2.156304e+06     -8.183316e+03      1.699448e+02   
     0.015318          0.221694        1.575671e+06      1.582587e+06     -7.077388e+03      1.618705e+02   
     0.015318          0.272682        1.186199e+06      1.192230e+06     -6.183751e+03      1.532563e+02   
     0.015318          0.328043        9.127547e+05      9.180801e+05     -5.469594e+03      1.442467e+02   
     0.015318          0.387446        7.138308e+05      7.185506e+05     -4.854757e+03      1.349204e+02   
     0.015318          0.450533        5.659731e+05      5.701892e+05     -4.341403e+03      1.253576e+02   
     0.015318          0.516924        4.580691e+05      4.618809e+05     -3.927418e+03      1.156280e+02   
     0.015318          0.586221        3.725849e+05      3.759943e+05     -3.515202e+03      1.058735e+02   
     0.015318          0.658006        3.069565e+05      3.101019e+05     -3.241740e+03      9.630057e+01   
     0.015318          0.731848        2.542290e+05      2.570490e+05     -2.906867e+03      8.687817e+01   
     0.015318          0.807302        2.130851e+05      2.156911e+05     -2.683789e+03      7.780157e+01   
     0.015318          0.883916        1.794019e+05      1.818315e+05     -2.498750e+03      6.917767e+01   
     0.015318          0.961228        1.522765e+05      1.545292e+05     -2.313686e+03      6.102556e+01   
     0.015318          1.038772        1.302038e+05      1.322895e+05     -2.139135e+03      5.344004e+01   
     0.015318          1.116084        1.116195e+05      1.135561e+05     -1.983060e+03      4.647570e+01   
     0.015318          1.192698        9.574951e+04      9.755295e+04     -1.843564e+03      4.013148e+01   
     0.015318          1.268152        8.128161e+04      8.294714e+04     -1.699960e+03      3.443897e+01   
     0.015318          1.341994        6.938902e+04      7.092366e+04     -1.564014e+03      2.937661e+01   
     0.015318          1.413779        6.031006e+04      6.172064e+04     -1.435515e+03      2.493627e+01   
     0.015318          1.483076        5.304818e+04      5.434608e+04     -1.318975e+03      2.108069e+01   
     0.015318          1.549467        4.703464e+04      4.829717e+04     -1.280320e+03      1.779447e+01   
     0.015318          1.612554        4.014844e+04      4.133346e+04     -1.200021e+03      1.499619e+01   
     0.015318          1.671957        3.490837e+04      3.598834e+04     -1.092607e+03      1.263312e+01   
     0.015318          1.727318        3.156859e+04      3.259734e+04     -1.039428e+03      1.067920e+01   
     0.015318          1.778306        2.725130e+04      2.823402e+04     -9.918007e+02      9.078425e+00   
     0.015318          1.824612        2.465509e+04      2.554473e+04     -8.973935e+02      7.754804e+00   
     0.015318          1.865960        2.222411e+04      2.311478e+04     -8.973935e+02      6.719892e+00   
     0.015318          1.902099        2.023769e+04      2.104901e+04     -8.171933e+02      5.877818e+00   
     0.015318          1.932813        1.818402e+04      1.898795e+04     -8.091751e+02      5.241774e+00   
     0.015318          1.957917        1.761179e+04      1.839923e+04     -7.921971e+02      4.753915e+00   
     0.015318          1.977260        1.644884e+04      1.718434e+04     -7.398885e+02      4.390624e+00   
     0.015318          1.990726        1.567746e+04      1.640024e+04     -7.269359e+02      4.157989e+00   
     0.015318          1.998238        1.525923e+04      1.598213e+04     -7.269359e+02      4.031913e+00   
     0.028399          0.001762        8.411205e+06      8.427529e+06     -1.651915e+04      1.949726e+02   
     0.028399          0.009274        8.376878e+06      8.392907e+06     -1.622332e+04      1.943974e+02   
     0.028399          0.022740        8.151155e+06      8.166089e+06     -1.512605e+04      1.922778e+02   
     0.028399          0.042083        7.542178e+06      7.555574e+06     -1.358498e+04      1.887452e+02   
     0.028399          0.067187        6.021608e+06      6.033325e+06     -1.190181e+04      1.841810e+02   
     0.028399          0.097901        4.178078e+06      4.188200e+06     -1.030078e+04      1.787637e+02   
     0.028399          0.134040        2.931597e+06      2.940341e+06     -8.916730e+03      1.725744e+02   
     0.028399          0.175388        2.109514e+06      2.117090e+06     -7.741067e+03      1.656725e+02   
     0.028399          0.221694        1.559843e+06      1.566464e+06     -6.778986e+03      1.581033e+02   
     0.028399          0.272682        1.177782e+06      1.183600e+06     -5.968271e+03      1.499207e+02   
     0.028399          0.328043        9.070358e+05      9.121852e+05     -5.290729e+03      1.412646e+02   
     0.028399          0.387446        7.100807e+05      7.146636e+05     -4.715128e+03      1.322313e+02   
     0.028399          0.450533        5.659325e+05      5.700517e+05     -4.242115e+03      1.229149e+02   
     0.028399          0.516924        4.559332e+05      4.596530e+05     -3.833290e+03      1.134164e+02   
     0.028399          0.586221        3.716313e+05      3.749897e+05     -3.462334e+03      1.038809e+02   
     0.028399          0.658006        3.057745e+05      3.088406e+05     -3.160553e+03      9.445943e+01   
     0.028399          0.731848        2.545863e+05      2.573845e+05     -2.883372e+03      8.520650e+01   
     0.028399          0.807302        2.135834e+05      2.161651e+05     -2.657889e+03      7.627043e+01   
     0.028399          0.883916        1.798197e+05      1.821968e+05     -2.444917e+03      6.775672e+01   
     0.028399          0.961228        1.518143e+05      1.540060e+05     -2.251445e+03      5.972302e+01   
