#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        7.875699e+07      7.879657e+07     -4.137522e+04      1.800076e+03   
     0.001185          0.009274        3.781940e+07      3.784597e+07     -2.780376e+04      1.236040e+03   
     0.001185          0.022740        1.370636e+07      1.372323e+07     -1.794032e+04      1.068909e+03   
     0.001185          0.042083        1.005095e+07      1.006536e+07     -1.534122e+04      9.378992e+02   
     0.001185          0.067187        6.682625e+06      6.694256e+06     -1.242195e+04      7.914002e+02   
     0.001185          0.097901        4.101349e+06      4.110438e+06     -9.740604e+03      6.518317e+02   
     0.001185          0.134040        2.658213e+06      2.665509e+06     -7.857283e+03      5.606726e+02   
     0.001185          0.175388        1.986276e+06      1.992582e+06     -6.800360e+03      4.950950e+02   
     0.001185          0.221694        1.474254e+06      1.479665e+06     -5.852900e+03      4.418562e+02   
     0.001185          0.272682        1.136507e+06      1.141379e+06     -5.272864e+03      4.006686e+02   
     0.001185          0.328043        8.656107e+05      8.697283e+05     -4.476707e+03      3.591896e+02   
     0.001185          0.387446        6.898012e+05      6.934681e+05     -3.993154e+03      3.262419e+02   
     0.001185          0.450533        5.447868e+05      5.480372e+05     -3.545737e+03      2.953148e+02   
     0.001185          0.516924        4.535695e+05      4.566309e+05     -3.335142e+03      2.737469e+02   
     0.001185          0.586221        3.519788e+05      3.546700e+05     -2.939300e+03      2.480429e+02   
     0.001185          0.658006        3.056910e+05      3.081893e+05     -2.726239e+03      2.278858e+02   
     0.001185          0.731848        2.354983e+05      2.376993e+05     -2.406277e+03      2.052091e+02   
     0.001185          0.807302        2.046839e+05      2.067381e+05     -2.244099e+03      1.898774e+02   
     0.001185          0.883916        1.772984e+05      1.792131e+05     -2.089376e+03      1.747198e+02   
     0.001185          0.961228        1.530299e+05      1.548121e+05     -1.941932e+03      1.596921e+02   
     0.001185          1.038772        1.315903e+05      1.332449e+05     -1.801594e+03      1.469918e+02   
     0.001185          1.116084        1.127083e+05      1.142418e+05     -1.668185e+03      1.347143e+02   
     0.001185          1.192698        9.613454e+04      9.755295e+04     -1.541530e+03      1.231192e+02   
     0.001185          1.268152        8.163710e+04      8.294714e+04     -1.421452e+03      1.114190e+02   
     0.001185          1.341994        6.900263e+04      7.021098e+04     -1.307778e+03      9.943233e+01   
     0.001185          1.413779        5.803853e+04      5.914790e+04     -1.200332e+03      9.096099e+01   
     0.001185          1.483076        4.901610e+04      5.003250e+04     -1.098937e+03      8.253948e+01   
     0.001185          1.549467        4.855635e+04      4.957726e+04     -1.098937e+03      7.802170e+01   
     0.001185          1.612554        4.039962e+04      4.133346e+04     -1.003420e+03      6.957451e+01   
     0.001185          1.671957        3.341482e+04      3.426507e+04     -9.136029e+02      6.335155e+01   
     0.001185          1.727318        3.341126e+04      3.426507e+04     -9.136029e+02      5.978614e+01   
     0.001185          1.778306        2.745861e+04      2.823402e+04     -8.293122e+02      5.389669e+01   
     0.001185          1.824612        2.595075e+04      2.668555e+04     -7.838291e+02      4.903230e+01   
     0.001185          1.865960        2.241071e+04      2.311478e+04     -7.503718e+02      4.630605e+01   
     0.001185          1.902099        2.240853e+04      2.311478e+04     -7.503718e+02      4.412692e+01   
     0.001185          1.932813        1.815770e+04      1.879356e+04     -6.766065e+02      4.074532e+01   
     0.001185          1.957917        1.815606e+04      1.879356e+04     -6.766065e+02      3.911166e+01   
     0.001185          1.977260        1.815526e+04      1.879356e+04     -6.766065e+02      3.830951e+01   
     0.001185          1.990726        1.609913e+04      1.667219e+04     -6.078407e+02      3.478567e+01   
     0.001185          1.998238        1.459471e+04      1.516758e+04     -6.078407e+02      3.497909e+01   
     0.006239          0.001762        2.014848e+07      2.016786e+07     -1.954323e+04      1.638168e+02   
     0.006239          0.009274        2.099516e+07      2.101373e+07     -1.873063e+04      1.633723e+02   
     0.006239          0.022740        1.360374e+07      1.362053e+07     -1.695071e+04      1.618021e+02   
     0.006239          0.042083        9.866534e+06      9.880992e+06     -1.461776e+04      1.590949e+02   
     0.006239          0.067187        6.600171e+06      6.611933e+06     -1.191761e+04      1.555174e+02   
     0.006239          0.097901        4.083598e+06      4.092870e+06     -9.423392e+03      1.511911e+02   
     0.006239          0.134040        2.702836e+06      2.710477e+06     -7.787240e+03      1.461555e+02   
     0.006239          0.175388        1.952159e+06      1.958680e+06     -6.661969e+03      1.404617e+02   
     0.006239          0.221694        1.473132e+06      1.478800e+06     -5.801363e+03      1.341480e+02   
     0.006239          0.272682        1.130274e+06      1.135273e+06     -5.125966e+03      1.272406e+02   
     0.006239          0.328043        8.781826e+05      8.825655e+05     -4.502782e+03      1.198846e+02   
     0.006239          0.387446        6.889271e+05      6.927729e+05     -3.957992e+03      1.121850e+02   
     0.006239          0.450533        5.485461e+05      5.519817e+05     -3.539811e+03      1.042160e+02   
     0.006239          0.516924        4.434552e+05      4.465923e+05     -3.233100e+03      9.605414e+01   
     0.006239          0.586221        3.554071e+05      3.582327e+05     -2.913418e+03      8.785328e+01   
     0.006239          0.658006        2.999073e+05      3.024797e+05     -2.652171e+03      7.974327e+01   
     0.006239          0.731848        2.412176e+05      2.435309e+05     -2.385089e+03      7.179099e+01   
     0.006239          0.807302        2.045779e+05      2.067381e+05     -2.224338e+03      6.408539e+01   
     0.006239          0.883916        1.771989e+05      1.792131e+05     -2.070978e+03      5.676207e+01   
     0.006239          0.961228        1.529371e+05      1.548121e+05     -1.924833e+03      4.986043e+01   
     0.006239          1.038772        1.310401e+05      1.327762e+05     -1.779448e+03      4.343115e+01   
     0.006239          1.116084        1.126259e+05      1.142418e+05     -1.653496e+03      3.754694e+01   
     0.006239          1.192698        9.605719e+04      9.755295e+04     -1.527956e+03      3.220320e+01   
     0.006239          1.268152        8.156562e+04      8.294714e+04     -1.408936e+03      2.742130e+01   
     0.006239          1.341994        6.893791e+04      7.021098e+04     -1.296263e+03      2.319468e+01   
     0.006239          1.413779        5.797763e+04      5.914790e+04     -1.189762e+03      1.949529e+01   
     0.006239          1.483076        5.069576e+04      5.176871e+04     -1.089261e+03      1.630783e+01   
     0.006239          1.549467        4.834762e+04      4.941984e+04     -1.085802e+03      1.358291e+01   
     0.006239          1.612554        4.035017e+04      4.133346e+04     -9.945840e+02      1.128824e+01   
     0.006239          1.671957        3.336889e+04      3.426507e+04     -9.055583e+02      9.371280e+00   
     0.006239          1.727318        3.313153e+04      3.402289e+04     -8.991580e+02      7.791579e+00   
     0.006239          1.778306        2.741852e+04      2.823402e+04     -8.220098e+02      6.502810e+00   
     0.006239          1.824612        2.524291e+04      2.599425e+04     -7.568007e+02      5.462074e+00   
     0.006239          1.865960        2.237565e+04      2.311478e+04     -7.437645e+02      4.635093e+00   
     0.006239          1.902099        2.158205e+04      2.229547e+04     -7.174015e+02      3.983578e+00   
     0.006239          1.932813        1.812639e+04      1.879356e+04     -6.706487e+02      3.482315e+00   
     0.006239          1.957917        1.812601e+04      1.879356e+04     -6.706487e+02      3.105668e+00   
     0.006239          1.977260        1.809452e+04      1.876118e+04     -6.694932e+02      2.834978e+00   
     0.006239          1.990726        1.623836e+04      1.683819e+04     -6.024884e+02      2.656210e+00   
     0.006239          1.998238        1.520746e+04      1.580739e+04     -6.024884e+02      2.560396e+00   
     0.015318          0.001762        1.210352e+07      1.212006e+07     -1.669586e+04      1.634574e+02   
     0.015318          0.009274        1.189972e+07      1.191581e+07     -1.624965e+04      1.630468e+02   
     0.015318          0.022740        1.138125e+07      1.139609e+07     -1.500092e+04      1.615002e+02   
     0.015318          0.042083        8.947387e+06      8.960339e+06     -1.311074e+04      1.588234e+02   
     0.015318          0.067187        6.199979e+06      6.210647e+06     -1.082315e+04      1.552821e+02   
     0.015318          0.097901        4.013927e+06      4.022620e+06     -8.843898e+03      1.509878e+02   
     0.015318          0.134040        2.694894e+06      2.702226e+06     -7.477781e+03      1.459741e+02   
     0.015318          0.175388        1.944232e+06      1.950570e+06     -6.478155e+03      1.402973e+02   
     0.015318          0.221694        1.466721e+06      1.472262e+06     -5.674471e+03      1.339974e+02   
     0.015318          0.272682        1.126631e+06      1.131515e+06     -5.011494e+03      1.271019e+02   
     0.015318          0.328043        8.753513e+05      8.796536e+05     -4.422096e+03      1.197585e+02   
     0.015318          0.387446        6.884155e+05      6.922342e+05     -3.930747e+03      1.120688e+02   
     0.015318          0.450533        5.481726e+05      5.515863e+05     -3.517846e+03      1.041092e+02   
     0.015318          0.516924        4.388895e+05      4.419641e+05     -3.170502e+03      9.595575e+01   
     0.015318          0.586221        3.597161e+05      3.625177e+05     -2.889435e+03      8.776295e+01   
     0.015318          0.658006        2.940567e+05      2.965769e+05     -2.599816e+03      7.966069e+01   
     0.015318          0.731848        2.459703e+05      2.482831e+05     -2.384541e+03      7.171537e+01   
     0.015318          0.807302        2.063263e+05      2.084802e+05     -2.217872e+03      6.401550e+01   
     0.015318          0.883916        1.747735e+05      1.767590e+05     -2.042148e+03      5.669860e+01   
     0.015318          0.961228        1.489230e+05      1.507471e+05     -1.873860e+03      4.980261e+01   
     0.015318          1.038772        1.272475e+05      1.289316e+05     -1.727527e+03      4.337871e+01   
     0.015318          1.116084        1.093474e+05      1.109149e+05     -1.604974e+03      3.749955e+01   
     0.015318          1.192698        9.454725e+04      9.601867e+04     -1.503579e+03      3.216068e+01   
     0.015318          1.268152        8.132885e+04      8.270599e+04     -1.404517e+03      2.738255e+01   
     0.015318          1.341994        6.893817e+04      7.021098e+04     -1.295965e+03      2.315998e+01   
     0.015318          1.413779        5.890848e+04      6.007851e+04     -1.189489e+03      1.946495e+01   
     0.015318          1.483076        5.206887e+04      5.314160e+04     -1.089010e+03      1.628058e+01   
     0.015318          1.549467        4.641648e+04      4.744509e+04     -1.042175e+03      1.355806e+01   
     0.015318          1.612554        4.035037e+04      4.133346e+04     -9.943553e+02      1.126604e+01   
     0.015318          1.671957        3.469323e+04      3.558923e+04     -9.053501e+02      9.351381e+00   
     0.015318          1.727318        3.164009e+04      3.249078e+04     -8.584699e+02      7.773596e+00   
     0.015318          1.778306        2.741869e+04      2.823402e+04     -8.218208e+02      6.486432e+00   
     0.015318          1.824612        2.496714e+04      2.571005e+04     -7.483542e+02      5.447470e+00   
     0.015318          1.865960        2.237581e+04      2.311478e+04     -7.435935e+02      4.621367e+00   
     0.015318          1.902099        2.073396e+04      2.141903e+04     -6.890419e+02      3.971072e+00   
     0.015318          1.932813        1.864927e+04      1.931629e+04     -6.704945e+02      3.470403e+00   
     0.015318          1.957917        1.812616e+04      1.879356e+04     -6.704945e+02      3.094356e+00   
     0.015318          1.977260        1.706450e+04      1.769291e+04     -6.312267e+02      2.824149e+00   
     0.015318          1.990726        1.625433e+04      1.685403e+04     -6.023499e+02      2.645907e+00   
     0.015318          1.998238        1.583442e+04      1.643422e+04     -6.023499e+02      2.550153e+00   
     0.028399          0.001762        7.923509e+06      7.936823e+06     -1.347706e+04      1.630237e+02   
     0.028399          0.009274        7.873466e+06      7.886451e+06     -1.314803e+04      1.626200e+02   
     0.028399          0.022740        7.539997e+06      7.552108e+06     -1.227229e+04      1.610885e+02   
     0.028399          0.042083        6.699492e+06      6.710235e+06     -1.090093e+04      1.584342e+02   
     0.028399          0.067187        5.313298e+06      5.322521e+06     -9.377775e+03      1.549190e+02   
     0.028399          0.097901        3.791286e+06      3.799196e+06     -8.060341e+03      1.506485e+02   
     0.028399          0.134040        2.643132e+06      2.649995e+06     -7.009116e+03      1.456559e+02   
     0.028399          0.175388        1.919079e+06      1.925106e+06     -6.167507e+03      1.399975e+02   
     0.028399          0.221694        1.448441e+06      1.453761e+06     -5.454246e+03      1.337153e+02   
     0.028399          0.272682        1.115911e+06      1.120617e+06     -4.832629e+03      1.268370e+02   
     0.028399          0.328043        8.701177e+05      8.742923e+05     -4.294158e+03      1.195096e+02   
     0.028399          0.387446        6.857883e+05      6.895172e+05     -3.840765e+03      1.118363e+02   
     0.028399          0.450533        5.441781e+05      5.475090e+05     -3.434804e+03      1.038927e+02   
     0.028399          0.516924        4.392752e+05      4.422901e+05     -3.110687e+03      9.575434e+01   
     0.028399          0.586221        3.568906e+05      3.596223e+05     -2.819274e+03      8.757647e+01   
     0.028399          0.658006        2.957943e+05      2.982846e+05     -2.569787e+03      7.948921e+01   
     0.028399          0.731848        2.454718e+05      2.477559e+05     -2.355653e+03      7.155838e+01   
     0.028399          0.807302        2.057554e+05      2.078523e+05     -2.160743e+03      6.387277e+01   
     0.028399          0.883916        1.732001e+05      1.751291e+05     -1.985582e+03      5.656895e+01   
     0.028399          0.961228        1.465307e+05      1.483100e+05     -1.828959e+03      4.968579e+01   
     0.028399          1.038772        1.249749e+05      1.266212e+05     -1.689576e+03      4.327419e+01   
     0.028399          1.116084        1.069957e+05      1.085244e+05     -1.566040e+03      3.740645e+01   
     0.028399          1.192698        9.199970e+04      9.342449e+04     -1.456867e+03      3.207777e+01   
     0.028399          1.268152        7.947864e+04      8.081183e+04     -1.360501e+03      2.730941e+01   
     0.028399          1.341994        6.953123e+04      7.078348e+04     -1.275351e+03      2.309560e+01   
     0.028399          1.413779        6.084389e+04      6.201319e+04     -1.188706e+03      1.940842e+01   
     0.028399          1.483076        5.247263e+04      5.354469e+04     -1.088293e+03      1.623136e+01   
