#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.795458e+08      2.796137e+08     -7.103592e+04      3.125071e+03   
     0.001185          0.009274        1.059958e+08      1.060391e+08     -4.589476e+04      2.621290e+03   
     0.001185          0.022740        4.973815e+07      4.976806e+07     -3.198180e+04      2.071291e+03   
     0.001185          0.042083        2.816978e+07      2.819242e+07     -2.434203e+04      1.697792e+03   
     0.001185          0.067187        1.777454e+07      1.779267e+07     -1.956991e+04      1.443495e+03   
     0.001185          0.097901        1.210475e+07      1.211978e+07     -1.628039e+04      1.256888e+03   
     0.001185          0.134040        8.560638e+06      8.573217e+06     -1.369649e+04      1.117357e+03   
     0.001185          0.175388        6.472574e+06      6.483636e+06     -1.206950e+04      1.006730e+03   
     0.001185          0.221694        4.781122e+06      4.790683e+06     -1.047708e+04      9.160244e+02   
     0.001185          0.272682        3.777504e+06      3.786062e+06     -9.399226e+03      8.407291e+02   
     0.001185          0.328043        3.024998e+06      3.032448e+06     -8.217545e+03      7.682692e+02   
     0.001185          0.387446        2.403984e+06      2.410763e+06     -7.487516e+03      7.082517e+02   
     0.001185          0.450533        1.986433e+06      1.992582e+06     -6.802055e+03      6.532294e+02   
     0.001185          0.516924        1.631126e+06      1.636680e+06     -6.159759e+03      6.047870e+02   
     0.001185          0.586221        1.440641e+06      1.445930e+06     -5.854360e+03      5.653009e+02   
     0.001185          0.658006        1.198306e+06      1.203065e+06     -5.274179e+03      5.147893e+02   
     0.001185          0.731848        1.020887e+06      1.025403e+06     -4.999047e+03      4.826317e+02   
     0.001185          0.807302        9.119564e+05      9.162274e+05     -4.717226e+03      4.461420e+02   
     0.001185          0.883916        7.736204e+05      7.774440e+05     -4.231380e+03      4.077610e+02   
     0.001185          0.961228        6.898540e+05      6.934681e+05     -3.994149e+03      3.800649e+02   
     0.001185          1.038772        6.022317e+05      6.056461e+05     -3.765955e+03      3.515116e+02   
     0.001185          1.116084        5.128960e+05      5.161189e+05     -3.546621e+03      3.236537e+02   
     0.001185          1.192698        4.535924e+05      4.566309e+05     -3.335973e+03      2.974208e+02   
     0.001185          1.268152        4.042066e+05      4.070652e+05     -3.133836e+03      2.752451e+02   
     0.001185          1.341994        3.753640e+05      3.780494e+05     -2.940033e+03      2.546603e+02   
     0.001185          1.413779        3.297557e+05      3.322749e+05     -2.754389e+03      2.351411e+02   
     0.001185          1.483076        3.087623e+05      3.112940e+05     -2.754389e+03      2.226956e+02   
     0.001185          1.549467        2.700582e+05      2.724317e+05     -2.576729e+03      2.032200e+02   
     0.001185          1.612554        2.354792e+05      2.376993e+05     -2.406877e+03      1.866930e+02   
     0.001185          1.671957        2.196062e+05      2.216789e+05     -2.244658e+03      1.720058e+02   
     0.001185          1.727318        2.046544e+05      2.067381e+05     -2.244658e+03      1.609249e+02   
     0.001185          1.778306        1.772723e+05      1.792131e+05     -2.089896e+03      1.491098e+02   
     0.001185          1.824612        1.647615e+05      1.665664e+05     -1.942417e+03      1.375679e+02   
     0.001185          1.865960        1.529994e+05      1.548121e+05     -1.942417e+03      1.297212e+02   
     0.001185          1.902099        1.419435e+05      1.436243e+05     -1.802043e+03      1.212934e+02   
     0.001185          1.932813        1.315593e+05      1.332449e+05     -1.802043e+03      1.164297e+02   
     0.001185          1.957917        1.315556e+05      1.332449e+05     -1.802043e+03      1.127075e+02   
     0.001185          1.977260        1.218160e+05      1.233780e+05     -1.668601e+03      1.065340e+02   
     0.001185          1.990726        1.126782e+05      1.142418e+05     -1.668601e+03      1.049998e+02   
     0.001185          1.998238        1.126767e+05      1.142418e+05     -1.668601e+03      1.035382e+02   
     0.006239          0.001762        8.358759e+07      8.362775e+07     -4.057843e+04      4.216096e+02   
     0.006239          0.009274        7.709251e+07      7.712907e+07     -3.697512e+04      4.211351e+02   
     0.006239          0.022740        4.750040e+07      4.752967e+07     -2.968968e+04      4.185503e+02   
     0.006239          0.042083        2.776395e+07      2.778715e+07     -2.361553e+04      4.130460e+02   
     0.006239          0.067187        1.767970e+07      1.769854e+07     -1.924760e+04      4.049281e+02   
     0.006239          0.097901        1.198681e+07      1.200246e+07     -1.604402e+04      3.948345e+02   
     0.006239          0.134040        8.558006e+06      8.571270e+06     -1.364661e+04      3.829929e+02   
     0.006239          0.175388        6.334787e+06      6.346232e+06     -1.181420e+04      3.695280e+02   
     0.006239          0.221694        4.844549e+06      4.854563e+06     -1.036896e+04      3.545310e+02   
     0.006239          0.272682        3.778145e+06      3.786998e+06     -9.191547e+03      3.379488e+02   
     0.006239          0.328043        3.011449e+06      3.019385e+06     -8.255821e+03      3.201376e+02   
     0.006239          0.387446        2.436423e+06      2.443562e+06     -7.439449e+03      3.012907e+02   
     0.006239          0.450533        1.993396e+06      1.999863e+06     -6.749204e+03      2.816744e+02   
     0.006239          0.516924        1.663867e+06      1.669799e+06     -6.192993e+03      2.614209e+02   
     0.006239          0.586221        1.431809e+06      1.437347e+06     -5.778544e+03      2.408800e+02   
     0.006239          0.658006        1.198059e+06      1.203065e+06     -5.226434e+03      2.203212e+02   
     0.006239          0.731848        1.042551e+06      1.047304e+06     -4.953793e+03      1.999776e+02   
     0.006239          0.807302        8.940963e+05      8.985003e+05     -4.584080e+03      1.801053e+02   
     0.006239          0.883916        7.744982e+05      7.785361e+05     -4.198966e+03      1.609841e+02   
     0.006239          0.961228        6.840681e+05      6.878833e+05     -3.957992e+03      1.427694e+02   
     0.006239          1.038772        5.970076e+05      6.006138e+05     -3.731863e+03      1.256520e+02   
     0.006239          1.116084        5.238540e+05      5.272587e+05     -3.514515e+03      1.097788e+02   
     0.006239          1.192698        4.625484e+05      4.657590e+05     -3.305775e+03      9.520475e+01   
     0.006239          1.268152        4.111907e+05      4.142142e+05     -3.105467e+03      8.201834e+01   
     0.006239          1.341994        3.680535e+05      3.708968e+05     -2.913418e+03      7.020982e+01   
     0.006239          1.413779        3.321880e+05      3.348791e+05     -2.750846e+03      5.976978e+01   
     0.006239          1.483076        3.028333e+05      3.054610e+05     -2.678311e+03      5.064415e+01   
     0.006239          1.549467        2.699210e+05      2.724317e+05     -2.553403e+03      4.275934e+01   
     0.006239          1.612554        2.353503e+05      2.376993e+05     -2.385089e+03      3.602251e+01   
     0.006239          1.671957        2.137169e+05      2.159109e+05     -2.224338e+03      3.033170e+01   
     0.006239          1.727318        2.037373e+05      2.059274e+05     -2.215615e+03      2.557794e+01   
     0.006239          1.778306        1.771638e+05      1.792131e+05     -2.070978e+03      2.165232e+01   
     0.006239          1.824612        1.658079e+05      1.677277e+05     -1.938253e+03      1.844526e+01   
     0.006239          1.865960        1.529031e+05      1.548121e+05     -1.924833e+03      1.586201e+01   
     0.006239          1.902099        1.420260e+05      1.438001e+05     -1.787917e+03      1.380850e+01   
     0.006239          1.932813        1.314714e+05      1.332449e+05     -1.785730e+03      1.221076e+01   
     0.006239          1.957917        1.314702e+05      1.332449e+05     -1.785730e+03      1.099964e+01   
     0.006239          1.977260        1.206338e+05      1.222772e+05     -1.653496e+03      1.012258e+01   
     0.006239          1.990726        1.133872e+05      1.150312e+05     -1.653496e+03      9.542192e+00   
     0.006239          1.998238        1.125975e+05      1.142418e+05     -1.653496e+03      9.228058e+00   
     0.015318          0.001762        3.806304e+07      3.809052e+07     -2.790101e+04      4.209614e+02   
     0.015318          0.009274        3.745340e+07      3.748033e+07     -2.735136e+04      4.205161e+02   
     0.015318          0.022740        3.470377e+07      3.472800e+07     -2.465506e+04      4.179877e+02   
     0.015318          0.042083        2.574492e+07      2.576572e+07     -2.121050e+04      4.125423e+02   
     0.015318          0.067187        1.711686e+07      1.713447e+07     -1.801250e+04      4.044760e+02   
