# vlowk itz =  0 l =  1 s =  1 jt =  2 kvnn =   4  Lambda =  12.00
#  fac=0.25 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V11             V12              V21             V22 
   0.001185   0.001185   -2.905581799752E-07   3.136867013628E-12   3.136867013628E-12  -2.640038128556E-18
   0.001185   0.006239   -1.530134769042E-06   4.580090254337E-10   1.651460011114E-11  -3.854657049543E-16
   0.001185   0.015318   -3.757484062292E-06   6.773197064402E-09   4.049354130202E-11  -5.697694799053E-15
   0.001185   0.028399   -6.970445891540E-06   4.307104562130E-08   7.479161938311E-11  -3.618147701938E-14
   0.001185   0.045447   -1.116959794061E-05   1.757108113685E-07   1.187045975284E-10  -1.471534258972E-13
   0.001185   0.066417   -1.636270047571E-05   5.437521129978E-07   1.708336782309E-10  -4.527980124402E-13
   0.001185   0.091251   -2.256849261414E-05   1.390365723443E-06   2.288096640880E-10  -1.146926233791E-12
   0.001185   0.119882   -2.981826818801E-05   3.085127401255E-06   2.891177786087E-10  -2.508478013996E-12
   0.001185   0.152235   -3.815269191175E-05   6.123583123302E-06   3.471529527726E-10  -4.876783737291E-12
   0.001185   0.188220   -4.761130309395E-05   1.109023314409E-05   3.976209403569E-10  -8.585486508286E-12
   0.001185   0.227742   -5.821347800873E-05   1.857732982999E-05   4.353123746049E-10  -1.385846827564E-11
   0.001185   0.270694   -6.993252466191E-05   2.906592932167E-05   4.561167762669E-10  -2.069432003850E-11
   0.001185   0.316959   -8.266836949156E-05   4.279414116384E-05   4.579753972985E-10  -2.878643027224E-11
   0.001185   0.366414   -9.622717569975E-05   5.965178161060E-05   4.414077771397E-10  -3.752619729898E-11
   0.001185   0.418925   -1.103161217428E-04   7.914048566043E-05   4.093701127846E-10  -4.610753417964E-11
   0.001185   0.474351   -1.245576179179E-04   1.004196342315E-04   3.664835040731E-10  -5.370234138780E-11
   0.001185   0.532541   -1.385209014317E-04   1.224282969220E-04   3.179244817184E-10  -5.964352597567E-11
   0.001185   0.593339   -1.517633421556E-04   1.440469660941E-04   2.684019746224E-10  -6.354525212499E-11
   0.001185   0.656582   -1.638716091526E-04   1.642532451805E-04   2.214927383073E-10  -6.533279712115E-11
   0.001185   0.722098   -1.744946081195E-04   1.822352143537E-04   1.794287086693E-10  -6.519019013197E-11
   0.001185   0.789711   -1.833641606657E-04   1.974467137161E-04   1.432322522466E-10  -6.346432514578E-11
   0.001185   0.859239   -1.903034452805E-04   2.096087843799E-04   1.130289534517E-10  -6.056540778567E-11
   0.001185   0.930495   -1.952257465081E-04   2.186735150124E-04   8.838869565664E-11  -5.688980239435E-11
   0.001185   1.003286   -1.981268131116E-04   2.247693468921E-04   6.860799859940E-11  -5.277412666346E-11
   0.001185   1.077416   -1.990736858029E-04   2.281434400073E-04   5.290478299476E-11  -4.847724287802E-11
   0.001185   1.152685   -1.981919717802E-04   2.291108697938E-04   4.053246986718E-11  -4.418153777249E-11
   0.001185   1.228890   -1.956527368752E-04   2.280149876172E-04   3.083452197818E-11  -4.000461275332E-11
   0.001185   1.305826   -1.916596621319E-04   2.251994662241E-04   2.326133345275E-11  -3.601467925785E-11
   0.001185   1.383286   -1.864368574292E-04   2.209904682006E-04   1.736658087198E-11  -3.224549181725E-11
   0.001185   1.461060   -1.802176376133E-04   2.156866006941E-04   1.279432341811E-11  -2.870881104040E-11
   0.001185   1.538940   -1.732345421200E-04   2.095543342649E-04   9.263447237180E-12  -2.540375527146E-11
   0.001185   1.616714   -1.657108492717E-04   2.028269507666E-04   6.552779828811E-12  -2.232321008876E-11
   0.001185   1.694174   -1.578537738585E-04   1.957055773396E-04   4.488273634940E-12  -1.945781490683E-11
   0.001185   1.771110   -1.498494428684E-04   1.883613200463E-04   2.932597091396E-12  -1.679813607078E-11
