# vlowk itz =  0 l =  0 s =  1 jt =  1 kvnn =   6  Lambda =  12.00
#  fac=0.25 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V11             V12              V21             V22 
   0.001185   0.001185   -2.868843926585E-01  -5.372147292047E-06  -5.372147292047E-06   5.626021372918E-12
   0.001185   0.006239   -2.868188365911E-01  -1.489725451098E-04  -5.371175464643E-06   1.560126104521E-10
   0.001185   0.015318   -2.864464255915E-01  -8.979616262664E-04  -5.366208846224E-06   9.407739920256E-10
   0.001185   0.028399   -2.854023687556E-01  -3.084269398774E-03  -5.351742448515E-06   3.231042638536E-09
   0.001185   0.045447   -2.831076070171E-01  -7.877854101329E-03  -5.320074127671E-06   8.247243535510E-09
   0.001185   0.066417   -2.788517237368E-01  -1.674074158363E-02  -5.261717459060E-06   1.752156148381E-08
   0.001185   0.091251   -2.718181103314E-01  -3.134648767749E-02  -5.166157162586E-06   3.279744649014E-08
   0.001185   0.119882   -2.611310098019E-01  -5.344870804649E-02  -5.023042782747E-06   5.586676453870E-08
   0.001185   0.152235   -2.459291594972E-01  -8.469754669473E-02  -4.823823890904E-06   8.831581409224E-08
   0.001185   0.188220   -2.254553908720E-01  -1.264186073925E-01  -4.563673200542E-06   1.311522151232E-07
   0.001185   0.227742   -1.991515481501E-01  -1.793680962495E-01  -4.243333119709E-06   1.843112216187E-07
   0.001185   0.270694   -1.667424234703E-01  -2.435250531316E-01  -3.870331595025E-06   2.461130854822E-07
   0.001185   0.316959   -1.282875499291E-01  -3.179655619630E-01  -3.458965045582E-06   3.128549233940E-07
   0.001185   0.366414   -8.418474862869E-02  -4.008740659228E-01  -3.028662454111E-06   3.788419047220E-07
   0.001185   0.418925   -3.512052684134E-02  -4.897147168822E-01  -2.600858587005E-06   4.371712095508E-07
   0.001185   0.474351    1.802025614426E-02  -5.815296757979E-01  -2.195165320204E-06   4.813412430612E-07
   0.001185   0.532541    7.426021926736E-02  -6.732950056318E-01  -1.826097690235E-06   5.072445832898E-07
   0.001185   0.593339    1.326232057784E-01  -7.622418823647E-01  -1.501517553981E-06   5.145779938662E-07
   0.001185   0.656582    1.921996016330E-01  -8.460698853307E-01  -1.223199521988E-06   5.066741614015E-07
   0.001185   0.722098    2.521825067063E-01  -9.230356875652E-01  -9.888703385389E-07   4.885787030580E-07
   0.001185   0.789711    3.118833337468E-01  -9.919497229719E-01  -7.944195919236E-07   4.644987263460E-07
   0.001185   0.859239    3.707334380252E-01  -1.052129993624E+00  -6.352227034327E-07   4.364228707280E-07
   0.001185   0.930495    4.282725268389E-01  -1.103341460853E+00  -5.064515862647E-07   4.048395396294E-07
   0.001185   1.003286    4.841254243559E-01  -1.145720689943E+00  -4.030519203071E-07   3.705753151592E-07
   0.001185   1.077416    5.379762510466E-01  -1.179677780524E+00  -3.200482680908E-07   3.357166444341E-07
   0.001185   1.152685    5.895521547140E-01  -1.205790230159E+00  -2.531529709224E-07   3.026699105255E-07
   0.001185   1.228890    6.386203075384E-01  -1.224717458215E+00  -1.991371313973E-07   2.725763867647E-07
   0.001185   1.305826    6.849902352282E-01  -1.237152786725E+00  -1.556389064312E-07   2.449999356251E-07
   0.001185   1.383286    7.285123490035E-01  -1.243801451670E+00  -1.206940421722E-07   2.191719487638E-07
   0.001185   1.461060    7.690730057572E-01  -1.245361646727E+00  -9.249929835027E-08   1.951852744633E-07
   0.001185   1.538940    8.065929107017E-01  -1.242500128240E+00  -6.953610311833E-08   1.737743737198E-07
   0.001185   1.616714    8.410309217019E-01  -1.235833463981E+00  -5.073618048294E-08   1.552308664383E-07
   0.001185   1.694174    8.723874692592E-01  -1.225924756282E+00  -3.540249215622E-08   1.389762927609E-07
   0.001185   1.771110    9.007021961710E-01  -1.213291016048E+00  -2.296878802400E-08   1.242312313356E-07
   0.001185   1.847315    9.260475679880E-01  -1.198408438600E+00  -1.286575726352E-08   1.107754931428E-07
   0.001185   1.922584    9.485237460945E-01  -1.181711192510E+00  -4.580518631031E-09   9.887598814943E-08
   0.001185   1.996714    9.682562818988E-01  -1.163589196971E+00   2.243104883253E-09   8.865970566529E-08
   0.001185   2.069505    9.853936735193E-01  -1.144391008690E+00   7.814641616775E-09   7.980183388431E-08
   0.001185   2.140761    1.000102373125E+00  -1.124430460299E+00   1.229561689262E-08   7.181436390774E-08
   0.001185   2.210289    1.012560398073E+00  -1.103992100636E+00   1.586934481442E-08   6.446146021421E-08
   0.001185   2.277902    1.022952143638E+00  -1.083332926734E+00   1.872811579798E-08   5.781915730384E-08
   0.001185   2.343418    1.031465260593E+00  -1.062682488537E+00   2.102450040637E-08   5.201776244670E-08
   0.001185   2.406661    1.038288461980E+00  -1.042244026443E+00   2.285179060768E-08   4.701763905870E-08
   0.001185   2.467459    1.043609035964E+00  -1.022197193932E+00   2.426642205720E-08   4.261946830314E-08
   0.001185   2.525649    1.047610005584E+00  -1.002701116584E+00   2.532105213476E-08   3.862000896814E-08
   0.001185   2.581075    1.050467632015E+00  -9.838965755966E-01   2.607904819075E-08   3.492795012952E-08
   0.001185   2.633586    1.052349750752E+00  -9.659071916443E-01   2.660780284938E-08   3.156040222956E-08
   0.001185   2.683041    1.053414854208E+00  -9.488403271666E-01   2.696559324423E-08   2.856820990802E-08
   0.001185   2.729306    1.053811542031E+00  -9.327881948506E-01   2.719476225703E-08   2.597115812669E-08
   0.001185   2.772258    1.053678052946E+00  -9.178292955022E-01   2.732359626426E-08   2.374101473484E-08
   0.001185   2.811780    1.053141811408E+00  -9.040299958330E-01   2.737233920936E-08   2.182108285216E-08
   0.001185   2.847765    1.052319048866E+00  -8.914460075713E-01   2.735839172080E-08   2.015381378524E-08
   0.001185   2.880118    1.051314559417E+00  -8.801237039135E-01   2.729865791486E-08   1.869766125221E-08
   0.001185   2.908749    1.050221595527E+00  -8.701012601245E-01   2.720955913011E-08   1.743002185306E-08
   0.001185   2.933583    1.049121867589E+00  -8.614096724985E-01   2.710610026689E-08   1.634194671465E-08
   0.001185   2.954553    1.048085601116E+00  -8.540736845290E-01   2.700103305337E-08   1.543117793582E-08
   0.001185   2.971601    1.047171615785E+00  -8.481126231423E-01   2.690450587291E-08   1.469717104151E-08
   0.001185   2.984682    1.046427404735E+00  -8.435411263255E-01   2.682414198723E-08   1.413884846973E-08
   0.001185   2.993761    1.045889197936E+00  -8.403697090053E-01   2.676533447642E-08   1.375431481899E-08
   0.001185   2.998815    1.045581923740E+00  -8.386046930926E-01   2.673156497189E-08   1.354142636560E-08
   0.001185   3.002765    1.045338038888E+00  -8.372258495137E-01   2.670468037773E-08   1.337571781504E-08
   0.001185   3.014558    1.044590079554E+00  -8.331100166790E-01   2.662188681710E-08   1.288449437426E-08
   0.001185   3.035742    1.043173232869E+00  -8.257238222101E-01   2.646429030968E-08   1.201765743672E-08
   0.001185   3.066265    1.040968864223E+00  -8.150996743261E-01   2.621917530095E-08   1.081088989932E-08
   0.001185   3.106044    1.037813990368E+00  -8.012914884103E-01   2.587178050112E-08   9.327045562258E-09
   0.001185   3.154972    1.033509288943E+00  -7.843780130467E-01   2.540574426355E-08   7.650503546476E-09
   0.001185   3.212918    1.027829193091E+00  -7.644677666534E-01   2.479984801527E-08   5.851019418109E-09
   0.001185   3.279725    1.020533324487E+00  -7.417040932097E-01   2.402547521491E-08   3.932208866149E-09
   0.001185   3.355214    1.011378310023E+00  -7.162701758627E-01   2.305712568994E-08   1.850289525530E-09
   0.001185   3.439180    1.000128992232E+00  -6.883934195051E-01   2.189684635321E-08  -3.375338637731E-10
   0.001185   3.531398    9.865691972501E-01  -6.583471407655E-01   2.057680166449E-08  -2.391240589002E-09
   0.001185   3.631619    9.705132217601E-01  -6.264480283758E-01   1.911393965427E-08  -4.157755142498E-09
   0.001185   3.739572    9.518166386866E-01  -5.930522591133E-01   1.749407720394E-08  -5.806914758760E-09
   0.001185   3.854967    9.303827157148E-01  -5.585527097634E-01   1.574919540713E-08  -7.372094440895E-09
   0.001185   3.977492    9.061673303962E-01  -5.233703010904E-01   1.396202132238E-08  -8.503039532108E-09
   0.001185   4.106818    8.791873613478E-01  -4.879378701365E-01   1.214954107924E-08  -9.252086822796E-09
   0.001185   4.242595    8.495240672115E-01  -4.526898158914E-01   1.032867342747E-08  -9.856548708415E-09
   0.001185   4.384458    8.173207090053E-01  -4.180510435935E-01   8.592310905663E-09  -9.976482821178E-09
   0.001185   4.532024    7.827862633016E-01  -3.844160023973E-01   6.950001763363E-09  -9.746077883524E-09
   0.001185   4.684895    7.461915363745E-01  -3.521393187136E-01   5.426393361941E-09  -9.344457763462E-09
   0.001185   4.842660    7.078603098417E-01  -3.215250518050E-01   4.087841506833E-09  -8.484487126921E-09
   0.001185   5.004892    6.681663363226E-01  -2.928120044211E-01   2.902251822271E-09  -7.541553219517E-09
   0.001185   5.171155    6.275175914402E-01  -2.661759109671E-01   1.913102491797E-09  -6.351894808246E-09
   0.001185   5.341000    5.863464554191E-01  -2.417224776756E-01   1.100633838572E-09  -5.041413289446E-09
   0.001185   5.513970    5.450950247857E-01  -2.194928057498E-01   4.583627657332E-10  -3.736975814717E-09
   0.001185   5.689598    5.041981677048E-01  -1.994681526855E-01  -1.051395328230E-11  -2.321367652094E-09
   0.001185   5.867410    4.640723866700E-01  -1.815754163494E-01  -3.538150172660E-10  -1.075183682943E-09
   0.001185   6.046928    4.250984062024E-01  -1.657020367746E-01  -5.626969058772E-10   2.155200470255E-10
   0.001185   6.227667    3.876148125408E-01  -1.517022180265E-01  -6.900049158215E-10   1.267308484167E-09
   0.001185   6.409141    3.519050791255E-01  -1.394123477067E-01  -7.208646587965E-10   2.295101270907E-09
   0.001185   6.590859    3.181960443834E-01  -1.286547039542E-01  -7.064218087271E-10   3.080993371595E-09
   0.001185   6.772333    2.866525543496E-01  -1.192518000626E-01  -6.438826451036E-10   3.786220586984E-09
   0.001185   6.953072    2.573812954479E-01  -1.110307445269E-01  -5.671885615361E-10   4.289697941412E-09
   0.001185   7.132590    2.304323110071E-01  -1.038315601101E-01  -4.691509692478E-10   4.681248723420E-09
   0.001185   7.310402    2.058051690278E-01  -9.750698300694E-02  -3.660558903465E-10   4.944170922618E-09
   0.001185   7.486030    1.834556886871E-01  -9.192586557639E-02  -2.695050730499E-10   5.070366248662E-09
