#       k             kp                  V           
   0.001185       0.001185         -1.944085e+00     
   0.001185       0.006239         -1.944020e+00     
   0.001185       0.015318         -1.943613e+00     
   0.001185       0.028399         -1.942476e+00     
   0.001185       0.045447         -1.939975e+00     
   0.001185       0.066417         -1.935333e+00     
   0.001185       0.091251         -1.927645e+00     
   0.001185       0.119882         -1.915920e+00     
   0.001185       0.152235         -1.899149e+00     
   0.001185       0.188220         -1.876388e+00     
   0.001185       0.227742         -1.846841e+00     
   0.001185       0.270694         -1.809948e+00     
   0.001185       0.316959         -1.765442e+00     
   0.001185       0.366414         -1.713374e+00     
   0.001185       0.418925         -1.654089e+00     
   0.001185       0.474351         -1.588167e+00     
   0.001185       0.532541         -1.516343e+00     
   0.001185       0.593339         -1.439425e+00     
   0.001185       0.656582         -1.358239e+00     
   0.001185       0.722098         -1.273586e+00     
   0.001185       0.789711         -1.186235e+00     
   0.001185       0.859239         -1.096915e+00     
   0.001185       0.930495         -1.006339e+00     
   0.001185       1.003286         -9.152214e-01     
   0.001185       1.077416         -8.242990e-01     
   0.001185       1.152685         -7.343450e-01     
   0.001185       1.228890         -6.461647e-01     
   0.001185       1.305826         -5.605830e-01     
   0.001185       1.383286         -4.784248e-01     
   0.001185       1.461060         -4.004928e-01     
   0.001185       1.538940         -3.275371e-01     
   0.001185       1.616714         -2.602206e-01     
   0.001185       1.694174         -1.990848e-01     
   0.001185       1.771110         -1.445225e-01     
   0.001185       1.847315         -9.675864e-02     
   0.001185       1.922584         -5.583971e-02     
   0.001185       1.996714         -2.163219e-02     
   0.001185       2.069505         6.167240e-03      
   0.001185       2.140761         2.800992e-02      
   0.001185       2.210289         4.446446e-02      
   0.001185       2.277902         5.618094e-02      
   0.001185       2.343418         6.385336e-02      
   0.001185       2.406661         6.818350e-02      
   0.001185       2.467459         6.984853e-02      
   0.001185       2.525649         6.947489e-02      
   0.001185       2.581075         6.761972e-02      
   0.001185       2.633586         6.476033e-02      
   0.001185       2.683041         6.129078e-02      
   0.001185       2.729306         5.752444e-02      
   0.001185       2.772258         5.370081e-02      
   0.001185       2.811780         4.999502e-02      
   0.001185       2.847765         4.652870e-02      
   0.001185       2.880118         4.338090e-02      
   0.001185       2.908749         4.059837e-02      
   0.001185       2.933583         3.820459e-02      
   0.001185       2.954553         3.620740e-02      
   0.001185       2.971601         3.460501e-02      
   0.001185       2.984682         3.339082e-02      
   0.001185       2.993761         3.255677e-02      
   0.001185       2.998815         3.209572e-02      
   0.001185       3.004739         3.155845e-02      
   0.001185       3.024957         2.975169e-02      
   0.001185       3.061273         2.662132e-02      
   0.001185       3.113597         2.240651e-02      
   0.001185       3.181789         1.750120e-02      
   0.001185       3.265666         1.244305e-02      
   0.001185       3.365002         7.832088e-03      
   0.001185       3.479529         4.180356e-03      
   0.001185       3.608938         1.748241e-03      
   0.001185       3.752880         4.627554e-04      
   0.001185       3.910968         -1.178340e-05     
   0.001185       4.082775         -8.121947e-05     
   0.001185       4.267838         -3.834341e-05     
   0.001185       4.465657         -5.967948e-06     
   0.001185       4.675701         2.235408e-06      
   0.001185       4.897402         1.491274e-06      
   0.001185       5.130163         3.507462e-07      
   0.001185       5.373356         2.102879e-08      
   0.001185       5.626327         -8.721046e-09     
   0.001185       5.888392         -2.179212e-09     
   0.001185       6.158845         -1.154293e-10     
   0.001185       6.436958         2.474771e-11      
   0.001185       6.721980         3.789793e-12      
   0.001185       7.013143         3.053432e-14      
   0.001185       7.309662         -2.496909e-14     
   0.001185       7.610739         -1.147202e-15     
   0.001185       7.915560         5.784943e-17      
   0.001185       8.223305         4.140529e-18      
   0.001185       8.533144         -5.345233e-20     
   0.001185       8.844241         -6.118546e-21     
   0.001185       9.155759         2.260661e-23      
   0.001185       9.466856         4.692384e-24      
   0.001185       9.776695         -6.540438e-27     
   0.001185       10.084440        -2.125935e-27     
   0.001185       10.389261        1.201313e-30      
   0.001185       10.690338        6.047838e-31      
   0.001185       10.986857        1.520187e-34      
   0.001185       11.278020        -1.631989e-33     
   0.001185       11.563042        -1.111073e-31     
   0.001185       11.841155        -7.809625e-30     
   0.001185       12.111608        -5.164086e-28     
   0.001185       12.373673        -3.149282e-26     
   0.001185       12.626644        -1.734558e-24     
   0.001185       12.869837        -8.444687e-23     
   0.001185       13.102598        -3.556909e-21     
   0.001185       13.324299        -1.268554e-19     
   0.001185       13.534343        -3.755577e-18     
   0.001185       13.732162        -9.047861e-17     
   0.001185       13.917225        -1.741430e-15     
   0.001185       14.089032        -2.648311e-14     
   0.001185       14.247120        -3.112702e-13     
   0.001185       14.391062        -2.795145e-12     
   0.001185       14.520471        -1.962667e-11     
   0.001185       14.634998        -1.041100e-10     
   0.001185       14.734334        -3.907300e-10     
   0.001185       14.818211        -1.057197e-09     
   0.001185       14.886403        -2.272404e-09     
   0.001185       14.938727        -4.473585e-09     
   0.001185       14.975043        -8.745800e-09     
   0.001185       14.995261        -1.734219e-08     
   0.006239       0.001185         -1.944020e+00     
   0.006239       0.006239         -1.943955e+00     
   0.006239       0.015318         -1.943548e+00     
   0.006239       0.028399         -1.942411e+00     
   0.006239       0.045447         -1.939910e+00     
   0.006239       0.066417         -1.935270e+00     
   0.006239       0.091251         -1.927583e+00     
   0.006239       0.119882         -1.915859e+00     
   0.006239       0.152235         -1.899092e+00     
   0.006239       0.188220         -1.876333e+00     
   0.006239       0.227742         -1.846790e+00     
   0.006239       0.270694         -1.809902e+00     
   0.006239       0.316959         -1.765402e+00     
   0.006239       0.366414         -1.713339e+00     
   0.006239       0.418925         -1.654059e+00     
   0.006239       0.474351         -1.588142e+00     
   0.006239       0.532541         -1.516322e+00     
   0.006239       0.593339         -1.439409e+00     
   0.006239       0.656582         -1.358226e+00     
   0.006239       0.722098         -1.273577e+00     
   0.006239       0.789711         -1.186227e+00     
   0.006239       0.859239         -1.096910e+00     
   0.006239       0.930495         -1.006336e+00     
   0.006239       1.003286         -9.152197e-01     
   0.006239       1.077416         -8.242986e-01     
   0.006239       1.152685         -7.343456e-01     
   0.006239       1.228890         -6.461662e-01     
   0.006239       1.305826         -5.605851e-01     
   0.006239       1.383286         -4.784274e-01     
   0.006239       1.461060         -4.004957e-01     
   0.006239       1.538940         -3.275402e-01     
   0.006239       1.616714         -2.602237e-01     
   0.006239       1.694174         -1.990878e-01     
   0.006239       1.771110         -1.445252e-01     
   0.006239       1.847315         -9.676114e-02     
   0.006239       1.922584         -5.584189e-02     
   0.006239       1.996714         -2.163401e-02     
   0.006239       2.069505         6.165787e-03      
   0.006239       2.140761         2.800882e-02      
   0.006239       2.210289         4.446371e-02      
   0.006239       2.277902         5.618049e-02      
   0.006239       2.343418         6.385318e-02      
   0.006239       2.406661         6.818355e-02      
   0.006239       2.467459         6.984878e-02      
   0.006239       2.525649         6.947528e-02      
   0.006239       2.581075         6.762022e-02      
   0.006239       2.633586         6.476091e-02      
   0.006239       2.683041         6.129141e-02      
   0.006239       2.729306         5.752511e-02      
   0.006239       2.772258         5.370149e-02      
   0.006239       2.811780         4.999571e-02      
   0.006239       2.847765         4.652938e-02      
   0.006239       2.880118         4.338157e-02      
   0.006239       2.908749         4.059902e-02      
   0.006239       2.933583         3.820523e-02      
   0.006239       2.954553         3.620802e-02      
   0.006239       2.971601         3.460563e-02      
   0.006239       2.984682         3.339142e-02      
   0.006239       2.993761         3.255736e-02      
   0.006239       2.998815         3.209631e-02      
   0.006239       3.004739         3.155903e-02      
   0.006239       3.024957         2.975225e-02      
   0.006239       3.061273         2.662185e-02      
   0.006239       3.113597         2.240699e-02      
   0.006239       3.181789         1.750160e-02      
   0.006239       3.265666         1.244337e-02      
   0.006239       3.365002         7.832315e-03      
   0.006239       3.479529         4.180497e-03      
   0.006239       3.608938         1.748315e-03      
   0.006239       3.752880         4.627853e-04      
   0.006239       3.910968         -1.177568e-05     
   0.006239       4.082775         -8.121933e-05     
   0.006239       4.267838         -3.834427e-05     
   0.006239       4.465657         -5.968288e-06     
   0.006239       4.675701         2.235382e-06      
   0.006239       4.897402         1.491298e-06      
   0.006239       5.130163         3.507561e-07      
   0.006239       5.373356         2.103025e-08      
   0.006239       5.626327         -8.721100e-09     
   0.006239       5.888392         -2.179263e-09     
   0.006239       6.158845         -1.154353e-10     
   0.006239       6.436958         2.474794e-11      
   0.006239       6.721980         3.789893e-12      
   0.006239       7.013143         3.053895e-14      
   0.006239       7.309662         -2.496956e-14     
   0.006239       7.610739         -1.147244e-15     
   0.006239       7.915560         5.784999e-17      
   0.006239       8.223305         4.140652e-18      
   0.006239       8.533144         -5.345180e-20     
   0.006239       8.844241         -6.118713e-21     
   0.006239       9.155759         2.260529e-23      
   0.006239       9.466856         4.692509e-24      
   0.006239       9.776695         -6.539554e-27     
   0.006239       10.084440        -2.125993e-27     
   0.006239       10.389261        1.200985e-30      
   0.006239       10.690338        6.048007e-31      
   0.006239       10.986857        1.521165e-34      
   0.006239       11.278020        -1.631156e-33     
   0.006239       11.563042        -1.110459e-31     
   0.006239       11.841155        -7.805309e-30     
   0.006239       12.111608        -5.161232e-28     
   0.006239       12.373673        -3.147542e-26     
   0.006239       12.626644        -1.733599e-24     
   0.006239       12.869837        -8.440020e-23     
   0.006239       13.102598        -3.554943e-21     
   0.006239       13.324299        -1.267852e-19     
   0.006239       13.534343        -3.753501e-18     
   0.006239       13.732162        -9.042861e-17     
   0.006239       13.917225        -1.740467e-15     
   0.006239       14.089032        -2.646847e-14     
   0.006239       14.247120        -3.110982e-13     
   0.006239       14.391062        -2.793600e-12     
   0.006239       14.520471        -1.961583e-11     
   0.006239       14.634998        -1.040525e-10     
   0.006239       14.734334        -3.905141e-10     
   0.006239       14.818211        -1.056613e-09     
   0.006239       14.886403        -2.271149e-09     
   0.006239       14.938727        -4.471112e-09     
   0.006239       14.975043        -8.740966e-09     
   0.006239       14.995261        -1.733260e-08     
   0.015318       0.001185         -1.943613e+00     
   0.015318       0.006239         -1.943548e+00     
   0.015318       0.015318         -1.943141e+00     
   0.015318       0.028399         -1.942006e+00     
   0.015318       0.045447         -1.939507e+00     
   0.015318       0.066417         -1.934870e+00     
   0.015318       0.091251         -1.927189e+00     
   0.015318       0.119882         -1.915476e+00     
   0.015318       0.152235         -1.898721e+00     
   0.015318       0.188220         -1.875980e+00     
   0.015318       0.227742         -1.846458e+00     
   0.015318       0.270694         -1.809594e+00     
   0.015318       0.316959         -1.765120e+00     
   0.015318       0.366414         -1.713085e+00     
   0.015318       0.418925         -1.653833e+00     
   0.015318       0.474351         -1.587942e+00     
   0.015318       0.532541         -1.516146e+00     
   0.015318       0.593339         -1.439254e+00     
   0.015318       0.656582         -1.358091e+00     
   0.015318       0.722098         -1.273459e+00     
   0.015318       0.789711         -1.186125e+00     
   0.015318       0.859239         -1.096820e+00     
   0.015318       0.930495         -1.006258e+00     
   0.015318       1.003286         -9.151523e-01     
   0.015318       1.077416         -8.242406e-01     
   0.015318       1.152685         -7.342961e-01     
   0.015318       1.228890         -6.461243e-01     
   0.015318       1.305826         -5.605499e-01     
   0.015318       1.383286         -4.783982e-01     
   0.015318       1.461060         -4.004717e-01     
   0.015318       1.538940         -3.275206e-01     
   0.015318       1.616714         -2.602078e-01     
   0.015318       1.694174         -1.990748e-01     
   0.015318       1.771110         -1.445147e-01     
   0.015318       1.847315         -9.675241e-02     
   0.015318       1.922584         -5.583452e-02     
   0.015318       1.996714         -2.162759e-02     
   0.015318       2.069505         6.171574e-03      
   0.015318       2.140761         2.801422e-02      
   0.015318       2.210289         4.446888e-02      
   0.015318       2.277902         5.618555e-02      
   0.015318       2.343418         6.385820e-02      
   0.015318       2.406661         6.818854e-02      
   0.015318       2.467459         6.985374e-02      
   0.015318       2.525649         6.948020e-02      
   0.015318       2.581075         6.762508e-02      
   0.015318       2.633586         6.476567e-02      
   0.015318       2.683041         6.129605e-02      
   0.015318       2.729306         5.752960e-02      
   0.015318       2.772258         5.370582e-02      
   0.015318       2.811780         4.999987e-02      
   0.015318       2.847765         4.653338e-02      
   0.015318       2.880118         4.338541e-02      
   0.015318       2.908749         4.060272e-02      
   0.015318       2.933583         3.820879e-02      
   0.015318       2.954553         3.621147e-02      
   0.015318       2.971601         3.460898e-02      
   0.015318       2.984682         3.339469e-02      
   0.015318       2.993761         3.256059e-02      
   0.015318       2.998815         3.209950e-02      
   0.015318       3.004739         3.156219e-02      
   0.015318       3.024957         2.975529e-02      
