#       k             kp                  V           
   0.001185       0.001185         -1.816005e+00     
   0.001185       0.006239         -1.815940e+00     
   0.001185       0.015318         -1.815536e+00     
   0.001185       0.028399         -1.814409e+00     
   0.001185       0.045447         -1.811929e+00     
   0.001185       0.066417         -1.807328e+00     
   0.001185       0.091251         -1.799709e+00     
   0.001185       0.119882         -1.788092e+00     
   0.001185       0.152235         -1.771484e+00     
   0.001185       0.188220         -1.748959e+00     
   0.001185       0.227742         -1.719746e+00     
   0.001185       0.270694         -1.683314e+00     
   0.001185       0.316959         -1.639436e+00     
   0.001185       0.366414         -1.588207e+00     
   0.001185       0.418925         -1.530024e+00     
   0.001185       0.474351         -1.465528e+00     
   0.001185       0.532541         -1.395512e+00     
   0.001185       0.593339         -1.320848e+00     
   0.001185       0.656582         -1.242412e+00     
   0.001185       0.722098         -1.161047e+00     
   0.001185       0.789711         -1.077534e+00     
   0.001185       0.859239         -9.925880e-01     
   0.001185       0.930495         -9.068638e-01     
   0.001185       1.003286         -8.209678e-01     
   0.001185       1.077416         -7.354750e-01     
   0.001185       1.152685         -6.509379e-01     
   0.001185       1.228890         -5.678860e-01     
   0.001185       1.305826         -4.868200e-01     
   0.001185       1.383286         -4.082068e-01     
   0.001185       1.461060         -3.324752e-01     
   0.001185       1.538940         -2.600102e-01     
   0.001185       1.616714         -1.911445e-01     
   0.001185       1.694174         -1.261509e-01     
   0.001185       1.771110         -6.523935e-02     
   0.001185       1.847315         -8.557294e-03     
   0.001185       1.922584         4.380873e-02      
   0.001185       1.996714         9.183221e-02      
   0.001185       2.069505         1.355442e-01      
   0.001185       2.140761         1.750283e-01      
   0.001185       2.210289         2.104141e-01      
   0.001185       2.277902         2.418705e-01      
   0.001185       2.343418         2.695992e-01      
   0.001185       2.406661         2.938288e-01      
   0.001185       2.467459         3.148085e-01      
   0.001185       2.525649         3.328010e-01      
   0.001185       2.581075         3.480768e-01      
   0.001185       2.633586         3.609079e-01      
   0.001185       2.683041         3.715636e-01      
   0.001185       2.729306         3.803058e-01      
   0.001185       2.772258         3.873853e-01      
   0.001185       2.811780         3.930392e-01      
   0.001185       2.847765         3.974876e-01      
   0.001185       2.880118         4.009320e-01      
   0.001185       2.908749         4.035539e-01      
   0.001185       2.933583         4.055135e-01      
   0.001185       2.954553         4.069489e-01      
   0.001185       2.971601         4.079763e-01      
   0.001185       2.984682         4.086893e-01      
   0.001185       2.993761         4.091590e-01      
   0.001185       2.998815         4.094342e-01      
