#       k             kp                  V           
   0.001580       0.001580         -6.362695e-06     
   0.001580       0.008319         -3.350442e-05     
   0.001580       0.020424         -8.216319e-05     
   0.001580       0.037866         -1.517539e-04     
   0.001580       0.060596         -2.408967e-04     
   0.001580       0.088555         -3.468977e-04     
   0.001580       0.121667         -4.652278e-04     
   0.001580       0.159843         -5.893288e-04     
   0.001580       0.202979         -7.109541e-04     
   0.001580       0.250960         -8.211452e-04     
   0.001580       0.303656         -9.116515e-04     
   0.001580       0.360925         -9.761832e-04     
   0.001580       0.422613         -1.010779e-03     
   0.001580       0.488552         -1.013141e-03     
   0.001580       0.558567         -9.818501e-04     
   0.001580       0.632467         -9.168012e-04     
   0.001580       0.710054         -8.209505e-04     
   0.001580       0.791119         -7.014909e-04     
   0.001580       0.875442         -5.686549e-04     
   0.001580       0.962797         -4.332682e-04     
   0.001580       1.052948         -3.056820e-04     
   0.001580       1.145653         -1.957261e-04     
   0.001580       1.240660         -1.109620e-04     
   0.001580       1.337714         -5.381421e-05     
   0.001580       1.436554         -2.099548e-05     
   0.001580       1.536913         -5.704705e-06     
   0.001580       1.638520         -4.923650e-07     
   0.001580       1.741102         4.406057e-07      
   0.001580       1.844381         2.617086e-07      
   0.001580       1.948080         6.746028e-08      
   0.001580       2.051920         2.565803e-09      
   0.001580       2.155619         -4.786183e-09     
   0.001580       2.258898         -2.011757e-09     
   0.001580       2.361480         -4.211684e-10     
   0.001580       2.463087         -3.081592e-11     
   0.001580       2.563446         1.193331e-11      
   0.001580       2.662286         5.466510e-12      
   0.001580       2.759340         1.193288e-12      
   0.001580       2.854347         1.255923e-13      
   0.001580       2.947052         -1.523660e-14     
   0.001580       3.037203         -1.079623e-14     
   0.001580       3.124558         -2.844209e-15     
   0.001580       3.208881         -4.406142e-16     
   0.001580       3.289946         -1.127665e-17     
   0.001580       3.367533         1.928446e-17      
   0.001580       3.441433         8.096515e-18      
   0.001580       3.511448         2.139002e-18      
   0.001580       3.577387         3.930325e-19      
   0.001580       3.639075         2.488496e-20      
   0.001580       3.696344         -2.099385e-20     
   0.001580       3.749040         -1.449065e-20     
   0.001580       3.797021         -6.737495e-21     
   0.001580       3.840157         -2.759500e-21     
   0.001580       3.878333         -1.070609e-21     
   0.001580       3.911445         -4.024316e-22     
   0.001580       3.939404         -1.447497e-22     
   0.001580       3.962134         -4.591267e-23     
   0.001580       3.979576         -7.956594e-24     
   0.001580       3.991681         6.519834e-24      
   0.001580       3.998420         1.166516e-23      
   0.001580       4.008294         1.643673e-23      
   0.001580       4.043674         1.829209e-23      
   0.001580       4.107227         7.563625e-24      
   0.001580       4.198794         8.419840e-25      
   0.001580       4.318131         -1.368153e-26     
   0.001580       4.464916         -1.714789e-27     
   0.001580       4.638754         1.097408e-29      
   0.001580       4.839176         4.890944e-32      
   0.001580       5.065642         -2.742492e-34     
   0.001580       5.317541         5.223408e-37      
   0.001580       5.594194         -3.129818e-40     
   0.001580       5.894856         2.584667e-44      
   0.001580       6.218716         9.155333e-50      
   0.001580       6.564900         -1.884364e-54     
   0.001580       6.932477         5.656343e-61      
   0.001580       7.320454         -5.902124e-69     
   0.001580       7.727785         1.550929e-78      
   0.001580       8.153374         -6.509592e-90     
   0.001580       8.596072         2.612407e-103     
   0.001580       9.054685        -5.791003e-119     
   0.001580       9.527979         4.005208e-137     
   0.001580       10.014676       -4.830724e-158     
   0.001580       10.513464        5.699316e-182     
   0.001580       11.023000       -3.765882e-209     
   0.001580       11.541909        8.303353e-240     
   0.001580       12.068793       -3.869312e-274     
   0.001580       12.602230        2.623723e-312     
   0.001580       13.140784        0.000000e+00      
   0.001580       13.683002        0.000000e+00      
   0.001580       14.227422        0.000000e+00      
   0.001580       14.772578        0.000000e+00      
   0.001580       15.316998        0.000000e+00      
   0.001580       15.859216        0.000000e+00      
   0.001580       16.397770        0.000000e+00      
   0.001580       16.931207        0.000000e+00      
   0.001580       17.458091        0.000000e+00      
   0.001580       17.977000        0.000000e+00      
   0.001580       18.486536        0.000000e+00      
   0.001580       18.985324        0.000000e+00      
   0.001580       19.472021        0.000000e+00      
   0.001580       19.945315        0.000000e+00      
   0.001580       20.403928        0.000000e+00      
   0.001580       20.846626        0.000000e+00      
   0.001580       21.272215        0.000000e+00      
   0.001580       21.679546        0.000000e+00      
   0.001580       22.067523        0.000000e+00      
   0.001580       22.435100       -1.471821e-313     
   0.001580       22.781284       -2.742140e-261     
   0.001580       23.105144       -4.559004e-214     
   0.001580       23.405806       -3.862216e-172     
   0.001580       23.682459       -1.169714e-135     
   0.001580       23.934358       -9.411679e-105     
   0.001580       24.160824        2.142313e-79      
   0.001580       24.361246        4.566584e-58      
   0.001580       24.535084        -3.094494e-41     
   0.001580       24.681869        -1.830278e-28     
   0.001580       24.801206        -1.194510e-19     
   0.001580       24.892773        -5.342461e-14     
   0.001580       24.956326        -8.810018e-11     
   0.001580       24.991706        -2.330034e-09     
   0.008319       0.001580         -3.350442e-05     
   0.008319       0.008319         -1.764228e-04     
   0.008319       0.020424         -4.326433e-04     
   0.008319       0.037866         -7.990850e-04     
   0.008319       0.060596         -1.268484e-03     
   0.008319       0.088555         -1.826659e-03     
   0.008319       0.121667         -2.449766e-03     
   0.008319       0.159843         -3.103279e-03     
   0.008319       0.202979         -3.743777e-03     
   0.008319       0.250960         -4.324087e-03     
   0.008319       0.303656         -4.800749e-03     
   0.008319       0.360925         -5.140627e-03     
   0.008319       0.422613         -5.322839e-03     
   0.008319       0.488552         -5.335281e-03     
   0.008319       0.558567         -5.170500e-03     
   0.008319       0.632467         -4.827957e-03     
   0.008319       0.710054         -4.323230e-03     
   0.008319       0.791119         -3.694182e-03     
   0.008319       0.875442         -2.994677e-03     
   0.008319       0.962797         -2.281717e-03     
   0.008319       1.052948         -1.609824e-03     
   0.008319       1.145653         -1.030772e-03     
   0.008319       1.240660         -5.843800e-04     
   0.008319       1.337714         -2.834169e-04     
   0.008319       1.436554         -1.105763e-04     
   0.008319       1.536913         -3.004548e-05     
   0.008319       1.638520         -2.593306e-06     
   0.008319       1.741102         2.320655e-06      
   0.008319       1.844381         1.378460e-06      
   0.008319       1.948080         3.553443e-07      
   0.008319       2.051920         1.352586e-08      
   0.008319       2.155619         -2.520640e-08     
   0.008319       2.258898         -1.059582e-08     
   0.008319       2.361480         -2.218394e-09     
   0.008319       2.463087         -1.623468e-10     
   0.008319       2.563446         6.284442e-11      
   0.008319       2.662286         2.879123e-11      
   0.008319       2.759340         6.285150e-12      
   0.008319       2.854347         6.615714e-13      
   0.008319       2.947052         -8.023062e-14     
   0.008319       3.037203         -5.686047e-14     
   0.008319       3.124558         -1.498033e-14     
   0.008319       3.208881         -2.320835e-15     
   0.008319       3.289946         -5.944281e-17     
   0.008319       3.367533         1.015595e-16      
   0.008319       3.441433         4.264255e-17      
   0.008319       3.511448         1.126611e-17      
