#       k             kp                 U11                    U12                    U21                    U22          
   0.001947       0.001947         1.000000e+00           1.225877e-16           1.544398e-16           1.000000e+00      
   0.001947       0.010250         -7.393388e-09          2.752649e-14           1.248408e-15           -1.424305e-20     
   0.001947       0.025159         -2.269532e-08          5.331517e-13           3.972189e-15           -3.305966e-19     
   0.001947       0.046627         -4.887788e-08          4.463285e-12           9.420517e-15           -3.893985e-18     
   0.001947       0.074585         -8.719877e-08          2.559548e-11           2.012245e-14           -3.230804e-17     
   0.001947       0.108938         -1.379989e-07          1.190057e-10           4.126422e-14           -2.001269e-16     
   0.001947       0.149573         -2.004182e-07          4.743774e-10           8.153907e-14           -9.609581e-16     
   0.001947       0.196355         -2.720558e-07          1.645978e-09           1.525895e-13           -3.717659e-15     
   0.001947       0.249129         -3.486694e-07          5.010142e-09           2.660918e-13           -1.195655e-14     
   0.001947       0.307719         -4.240071e-07          1.350515e-08           4.287125e-13           -3.268125e-14     
   0.001947       0.371930         -4.898589e-07          3.259332e-08           6.372626e-13           -7.703393e-14     
   0.001947       0.441550         -5.363878e-07          7.122353e-08           8.775591e-13           -1.582519e-13     
   0.001947       0.516347         -5.527839e-07          1.424734e-07           1.128364e-12           -2.864681e-13     
   0.001947       0.596072         -5.282854e-07          2.635906e-07           1.367162e-12           -4.642102e-13     
   0.001947       0.680461         -4.536054e-07          4.552769e-07           1.573305e-12           -6.883708e-13     
   0.001947       0.769234         -3.227547e-07          7.401463e-07           1.729283e-12           -9.556020e-13     
   0.001947       0.862094         -1.351627e-07          1.140361e-06           1.823970e-12           -1.258049e-12     
   0.001947       0.958735         1.021614e-07           1.674626e-06           1.854618e-12           -1.572321e-12     
   0.001947       1.058835         3.729396e-07           2.354812e-06           1.821208e-12           -1.869461e-12     
   0.001947       1.162061         6.511030e-07           3.182355e-06           1.721345e-12           -2.140540e-12     
   0.001947       1.268071         9.020482e-07           4.144676e-06           1.557361e-12           -2.384396e-12     
   0.001947       1.376513         1.086062e-06           5.212544e-06           1.341648e-12           -2.575471e-12     
   0.001947       1.487025         1.164005e-06           6.339470e-06           1.086672e-12           -2.694046e-12     
   0.001947       1.599241         1.104529e-06           7.463732e-06           8.028032e-13           -2.760102e-12     
   0.001947       1.712789         8.910960e-07           8.513558e-06           5.105800e-13           -2.778926e-12     
   0.001947       1.827291         5.268792e-07           9.415892e-06           2.347777e-13           -2.725898e-12     
   0.001947       1.942367         3.592592e-08           1.010738e-05           -1.041151e-14          -2.615600e-12     
   0.001947       2.057633         -5.405077e-07          1.054474e-05           -2.135370e-13          -2.476812e-12     
   0.001947       2.172709         -1.151833e-06          1.071203e-05           -3.621450e-13          -2.294534e-12     
   0.001947       2.287211         -1.747724e-06          1.062260e-05           -4.566032e-13          -2.068400e-12     
   0.001947       2.400759         -2.286686e-06          1.031460e-05           -5.070357e-13          -1.832705e-12     
   0.001947       2.512975         -2.741375e-06          9.841399e-06           -5.210774e-13          -1.593614e-12     
   0.001947       2.623487         -3.099526e-06          9.260619e-06           -5.077424e-13          -1.344600e-12     
   0.001947       2.731929         -3.361248e-06          8.624566e-06           -4.796847e-13          -1.106967e-12     
   0.001947       2.837939         -3.534704e-06          7.974313e-06           -4.452042e-13          -8.979018e-13     
   0.001947       2.941165         -3.631910e-06          7.338001e-06           -4.072699e-13          -7.112545e-13     
   0.001947       3.041265         -3.665633e-06          6.732351e-06           -3.687825e-13          -5.451206e-13     
   0.001947       3.137906         -3.647709e-06          6.165581e-06           -3.326392e-13          -4.078311e-13     
   0.001947       3.230766         -3.588452e-06          5.640371e-06           -2.994007e-13          -2.996472e-13     
   0.001947       3.319539         -3.496601e-06          5.156249e-06           -2.683522e-13          -2.119908e-13     
   0.001947       3.403928         -3.379451e-06          4.711150e-06           -2.394785e-13          -1.396914e-13     
   0.001947       3.483653         -3.242995e-06          4.302273e-06           -2.133144e-13          -8.297377e-14     
   0.001947       3.558450         -3.092064e-06          3.926484e-06           -1.899694e-13          -4.131506e-14     
   0.001947       3.628070         -2.930423e-06          3.580489e-06           -1.690385e-13          -1.123422e-14     
   0.001947       3.692281         -2.760836e-06          3.260885e-06           -1.500924e-13          1.111303e-14      
   0.001947       3.750871         -2.585113e-06          2.964153e-06           -1.329223e-13          2.784357e-14      
   0.001947       3.803645         -2.404118e-06          2.686578e-06           -1.174289e-13          3.963770e-14      
   0.001947       3.850427         -2.217735e-06          2.424118e-06           -1.034596e-13          4.685002e-14      
   0.001947       3.891062         -2.024725e-06          2.172170e-06           -9.075619e-14          5.005755e-14      
   0.001947       3.925415         -1.822400e-06          1.925139e-06           -7.897638e-14          4.998082e-14      
   0.001947       3.953373         -1.605859e-06          1.675576e-06           -6.770402e-14          4.722576e-14      
   0.001947       3.974841         -1.366148e-06          1.412197e-06           -5.638842e-14          4.209903e-14      
   0.001947       3.989750         -1.084769e-06          1.114152e-06           -4.411578e-14          3.443470e-14      
   0.001947       3.998053         -7.091078e-07          7.257311e-07           -2.860012e-14          2.286561e-14      
   0.001947       4.008499         -1.475454e-06          1.503339e-06           -5.888827e-14          4.848852e-14      
   0.001947       4.044761         -2.216462e-06          2.224175e-06           -8.525844e-14          7.740297e-14      
   0.001947       4.109915         -2.698642e-06          2.636760e-06           -9.688971e-14          1.037688e-13      
   0.001947       4.203828         -3.013802e-06          2.837941e-06           -9.733276e-14          1.304559e-13      
   0.001947       4.326294         -3.185710e-06          2.865704e-06           -8.896556e-14          1.527246e-13      
   0.001947       4.477040         -3.222772e-06          2.749280e-06           -7.417422e-14          1.636312e-13      
   0.001947       4.655730         -3.131740e-06          2.518655e-06           -5.460733e-14          1.668571e-13      
   0.001947       4.861964         -2.923531e-06          2.206033e-06           -3.437674e-14          1.517460e-13      
   0.001947       5.095283         -2.615891e-06          1.844537e-06           -1.487729e-14          1.269233e-13      
   0.001947       5.355166         -2.233678e-06          1.466063e-06           9.337772e-16           8.822147e-14      
   0.001947       5.641033         -1.807340e-06          1.098842e-06           1.214053e-14           4.431520e-14      
   0.001947       5.952247         -1.369887e-06          7.654092e-07           1.875620e-14           1.889953e-15      
   0.001947       6.288112         -9.531102e-07          4.813358e-07           2.124893e-14           -3.520687e-14     
   0.001947       6.647880         -5.838056e-07          2.548634e-07           2.041598e-14           -6.315996e-14     
   0.001947       7.030747         -2.807654e-07          8.737542e-08           1.791929e-14           -7.956612e-14     
   0.001947       7.435859         -5.320334e-08          -2.526812e-08          1.449548e-14           -8.479314e-14     
   0.001947       7.862313         9.918754e-08           -9.113392e-08          1.128710e-14           -8.076120e-14     
   0.001947       8.309157         1.846047e-07           -1.203378e-07          8.180635e-15           -7.074112e-14     
   0.001947       8.775393         2.165100e-07           -1.235335e-07          5.835900e-15           -5.740013e-14     
   0.001947       9.259982         2.105787e-07           -1.104805e-07          4.076313e-15           -4.303341e-14     
   0.001947       9.761842         1.819775e-07           -8.921521e-08          2.583412e-15           -2.991220e-14     
   0.001947       10.279853        1.434171e-07           -6.577208e-08          1.658590e-15           -1.959149e-14     
   0.001947       10.812859        1.041142e-07           -4.403577e-08          9.605969e-16           -1.167107e-14     
   0.001947       11.359671        6.968651e-08           -2.604291e-08          3.536614e-16           -5.954383e-15     
   0.001947       11.919069        4.269451e-08           -1.253996e-08          1.658902e-16           -2.685242e-15     
   0.001947       12.489804        2.346048e-08           -3.302144e-09          2.179153e-16           -2.852133e-16     
   0.001947       13.070603        1.097553e-08           2.457773e-09           -1.442239e-16          3.649568e-16      
   0.001947       13.660171        3.686262e-09           5.529967e-09           -1.935709e-16          9.267931e-16      
   0.001947       14.257191        -1.633772e-11          6.758896e-09           7.816664e-17           8.968548e-16      
   0.001947       14.860331        -1.510130e-09          6.897868e-09           1.383064e-16           9.672976e-16      
   0.001947       15.468245        -1.793877e-09          6.404708e-09           -1.147507e-17          5.510834e-16      
   0.001947       16.079578        -1.538475e-09          5.687469e-09           -2.236043e-16          4.122970e-16      
   0.001947       16.692964        -1.112829e-09          4.883655e-09           -7.542856e-17          2.210479e-16      
   0.001947       17.307036        -7.024381e-10          4.084842e-09           3.694127e-16           3.881464e-16      
   0.001947       17.920422        -3.980733e-10          3.455190e-09           1.484770e-16           2.009162e-16      
   0.001947       18.531755        -1.923980e-10          2.902573e-09           -2.313843e-16          -4.934206e-17     
   0.001947       19.139669        -7.169691e-11          2.464767e-09           -2.910233e-16          -5.518559e-17     
   0.001947       19.742809        -4.481988e-12          2.090644e-09           1.976634e-16           6.242942e-17      
   0.001947       20.339829        3.251508e-11           1.742461e-09           5.999729e-16           3.482985e-16      
   0.001947       20.929397        2.775306e-11           1.573047e-09           -3.197802e-16          -1.761904e-16     
   0.001947       21.510196        2.408335e-11           1.386608e-09           -6.895082e-16          -2.835031e-16     
   0.001947       22.080931        4.020747e-11           1.124320e-09           6.444096e-16           2.671385e-16      
   0.001947       22.640329        3.223898e-11           1.001947e-09           7.225809e-16           3.413607e-16      
   0.001947       23.187141        2.127149e-12           9.868371e-10           -1.295717e-15          -5.336310e-16     
   0.001947       23.720147        1.167308e-11           8.359788e-10           -1.609424e-16          -1.951611e-16     
   0.001947       24.238158        4.744200e-11           5.869935e-10           2.760275e-15           1.288579e-15      
   0.001947       24.740018        -5.348172e-12          7.128613e-10           -2.309802e-15          -6.095914e-16     
   0.001947       25.224607        -3.018735e-11          7.502910e-10           -4.253156e-15          -1.468738e-15     
   0.001947       25.690843        4.856823e-11           3.600667e-10           3.314362e-15           1.667997e-15      
   0.001947       26.137687        -6.322204e-12          5.413409e-10           -6.818161e-16          -2.756480e-16     
   0.001947       26.564141        6.266292e-12           4.206361e-10           -2.446354e-16          -4.770102e-17     
   0.001947       26.969253        1.159672e-11           3.609719e-10           5.784468e-16           2.926408e-16      
