# vlowk itz =  0 l =  1 s =  1 jt =  1 kvnn =   6  Lambda =  12.00
#  fac=0.33 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V 
   0.001580   0.001580    4.385279601975E-06
   0.001580   0.008319    2.309230119482E-05
   0.001580   0.020424    5.664282808735E-05
   0.001580   0.037866    1.046994941444E-04
   0.001580   0.060596    1.664993301093E-04
   0.001580   0.088555    2.405172989703E-04
   0.001580   0.121667    3.241855849480E-04
   0.001580   0.159843    4.137359464958E-04
   0.001580   0.202979    5.042657551726E-04
   0.001580   0.250960    5.901598168065E-04
   0.001580   0.303656    6.658800562448E-04
   0.001580   0.360925    7.269280672514E-04
   0.001580   0.422613    7.706447621176E-04
   0.001580   0.488552    7.965287631362E-04
   0.001580   0.558567    8.059918453287E-04
   0.001580   0.632467    8.017847464529E-04
   0.001580   0.710054    7.874122813476E-04
   0.001580   0.791119    7.666386313388E-04
   0.001580   0.875442    7.429706461067E-04
   0.001580   0.962797    7.191512145519E-04
   0.001580   1.052948    6.969598811586E-04
   0.001580   1.145653    6.774479605730E-04
   0.001580   1.240660    6.612463994772E-04
   0.001580   1.337714    6.485864438982E-04
   0.001580   1.436554    6.392370180074E-04
   0.001580   1.536913    6.327006187034E-04
   0.001580   1.638520    6.284740992206E-04
   0.001580   1.741102    6.260389730607E-04
   0.001580   1.844381    6.247713091919E-04
   0.001580   1.948080    6.240630311415E-04
   0.001580   2.051920    6.234570796650E-04
   0.001580   2.155619    6.225769934148E-04
   0.001580   2.258898    6.210600967140E-04
   0.001580   2.361480    6.186436533321E-04
   0.001580   2.463087    6.152072554809E-04
   0.001580   2.563446    6.106897798832E-04
   0.001580   2.662286    6.050538351844E-04
   0.001580   2.759340    5.983366445754E-04
   0.001580   2.854347    5.906524530041E-04
   0.001580   2.947052    5.821327766317E-04
   0.001580   3.037203    5.729050830304E-04
   0.001580   3.124558    5.631182865202E-04
   0.001580   3.208881    5.529462971397E-04
   0.001580   3.289946    5.425591607002E-04
   0.001580   3.367533    5.321052132503E-04
   0.001580   3.441433    5.217187430428E-04
   0.001580   3.511448    5.115302041011E-04
   0.001580   3.577387    5.016634823644E-04
   0.001580   3.639075    4.922272883767E-04
   0.001580   3.696344    4.833116462647E-04
   0.001580   3.749040    4.749907604266E-04
   0.001580   3.797021    4.673274139928E-04
   0.001580   3.840157    4.603754685293E-04
   0.001580   3.878333    4.541804582167E-04
   0.001580   3.911445    4.487796660598E-04
   0.001580   3.939404    4.442025843256E-04
   0.001580   3.962134    4.404718327048E-04
   0.001580   3.979576    4.376042284308E-04
   0.001580   3.991681    4.356117123691E-04
   0.001580   3.998420    4.345017206282E-04
   0.001580   4.010268    4.325490912815E-04
   0.001580   4.054073    4.253191451182E-04
   0.001580   4.132757    4.123056564329E-04
   0.001580   4.246126    3.935513928103E-04
   0.001580   4.393877    3.692612854542E-04
   0.001580   4.575611    3.399251707182E-04
   0.001580   4.790838    3.063191588345E-04
   0.001580   5.038980    2.696150976585E-04
   0.001580   5.319366    2.312310641565E-04
   0.001580   5.631241    1.927586694921E-04
   0.001580   5.973764    1.557748662585E-04
   0.001580   6.346012    1.216713652423E-04
   0.001580   6.746981    9.151803757685E-05
   0.001580   7.175591    6.599393490945E-05
   0.001580   7.630685    4.535549725430E-05
   0.001580   8.111038    2.947521549965E-05
   0.001580   8.615353    1.789923112465E-05
   0.001580   9.142272    9.970388500073E-06
   0.001580   9.690374    4.925726696541E-06
   0.001580  10.258182    1.985367173283E-06
   0.001580  10.844164    4.736924372955E-07
   0.001580  11.446741   -1.629654121831E-07
   0.001580  12.064289   -3.241270432956E-07
   0.001580  12.695143   -2.729411178769E-07
   0.001580  13.337602   -1.646260185247E-07
   0.001580  13.989934   -6.626535549960E-08
   0.001580  14.650380    9.285133336454E-11
   0.001580  15.317161    3.126147656535E-08
   0.001580  15.988479    4.723690111808E-08
   0.001580  16.662523    4.090562270750E-08
   0.001580  17.337477    3.091577687376E-08
   0.001580  18.011521    1.545688290683E-08
   0.001580  18.682839    8.271269310209E-10
   0.001580  19.349620   -2.340237557284E-09
   0.001580  20.010066   -4.751869974241E-09
   0.001580  20.662398    1.107175537199E-08
   0.001580  21.304857    7.789358082173E-09
   0.001580  21.935711   -6.926330784663E-09
   0.001580  22.553259   -2.536206638975E-08
   0.001580  23.155836   -1.766052100721E-08
   0.001580  23.741818    4.687291545054E-08
   0.001580  24.309626    3.130030189500E-08
   0.001580  24.857728   -1.037198624030E-07
   0.001580  25.384647   -9.493650056529E-08
   0.001580  25.888962    6.858434324625E-08
   0.001580  26.369315   -1.540646743015E-09
   0.001580  26.824409   -3.093218668960E-08
   0.001580  27.253019    4.454837432359E-08
   0.001580  27.653988   -4.332048609174E-08
   0.001580  28.026236    2.464068321210E-08
   0.001580  28.368759   -1.690052018341E-08
   0.001580  28.680634    8.386155312175E-09
   0.001580  28.961020    2.582335550546E-08
   0.001580  29.209162   -3.171968782230E-08
   0.001580  29.424389   -1.778631610460E-08
   0.001580  29.606123    1.817823444411E-08
   0.001580  29.753874    1.583289415255E-08
   0.001580  29.867243   -2.419700373427E-09
   0.001580  29.945927   -1.421038198727E-08
   0.001580  29.989732   -1.818158810798E-08
   0.008319   0.001580    2.309230119482E-05
   0.008319   0.008319    1.216010009840E-04
   0.008319   0.020424    2.982736701374E-04
   0.008319   0.037866    5.513339326593E-04
   0.008319   0.060596    8.767645000983E-04
   0.008319   0.088555    1.266535524140E-03
   0.008319   0.121667    1.707126438673E-03
   0.008319   0.159843    2.178695575490E-03
   0.008319   0.202979    2.655427284466E-03
   0.008319   0.250960    3.107752245947E-03
   0.008319   0.303656    3.506505075181E-03
   0.008319   0.360925    3.827993206768E-03
   0.008319   0.422613    4.058209571701E-03
   0.008319   0.488552    4.194512093365E-03
   0.008319   0.558567    4.244337748495E-03
   0.008319   0.632467    4.222177521112E-03
   0.008319   0.710054    4.146491951260E-03
   0.008319   0.791119    4.037102296365E-03
   0.008319   0.875442    3.912470815761E-03
   0.008319   0.962797    3.787038104450E-03
   0.008319   1.052948    3.670176426657E-03
   0.008319   1.145653    3.567425426361E-03
   0.008319   1.240660    3.482108952513E-03
   0.008319   1.337714    3.415443260552E-03
   0.008319   1.436554    3.366209921848E-03
   0.008319   1.536913    3.331788922607E-03
   0.008319   1.638520    3.309531354058E-03
   0.008319   1.741102    3.296707690424E-03
   0.008319   1.844381    3.290032745252E-03
   0.008319   1.948080    3.286303722924E-03
   0.008319   2.051920    3.283112667787E-03
   0.008319   2.155619    3.278477341467E-03
   0.008319   2.258898    3.270489150006E-03
   0.008319   2.361480    3.257764816382E-03
   0.008319   2.463087    3.239669274248E-03
   0.008319   2.563446    3.215880065836E-03
   0.008319   2.662286    3.186200831036E-03
   0.008319   2.759340    3.150828194679E-03
