#       k             kp                 V11                    V12                    V21                    V22          
   0.001947       0.001947         -2.480357e+00          -1.431681e-05          -1.431681e-05          4.101528e-11      
   0.001947       0.010250         -2.480124e+00          -3.969092e-04          -1.430983e-05          1.130595e-09      
   0.001947       0.025159         -2.478903e+00          -2.390330e-03          -1.427378e-05          6.812227e-09      
   0.001947       0.046627         -2.475373e+00          -8.183928e-03          -1.416921e-05          2.330422e-08      
   0.001947       0.074585         -2.467661e+00          -2.078866e-02          -1.394271e-05          5.918436e-08      
   0.001947       0.108938         -2.453495e+00          -4.377684e-02          -1.353359e-05          1.245489e-07      
   0.001947       0.149573         -2.430386e+00          -8.079791e-02          -1.288582e-05          2.293159e-07      
   0.001947       0.196355         -2.395921e+00          -1.348658e-01          -1.196491e-05          3.802446e-07      
   0.001947       0.249129         -2.348091e+00          -2.075108e-01          -1.077602e-05          5.763940e-07      
   0.001947       0.307719         -2.285598e+00          -2.980137e-01          -9.375287e-06          8.038742e-07      
   0.001947       0.371930         -2.208015e+00          -4.030433e-01          -7.865289e-06          1.033040e-06      
   0.001947       0.441550         -2.115715e+00          -5.169577e-01          -6.370633e-06          1.223292e-06      
   0.001947       0.516347         -2.009623e+00          -6.327399e-01          -5.001732e-06          1.338305e-06      
   0.001947       0.596072         -1.890908e+00          -7.431977e-01          -3.825750e-06          1.364966e-06      
   0.001947       0.680461         -1.760778e+00          -8.419194e-01          -2.861298e-06          1.319589e-06      
   0.001947       0.769234         -1.620434e+00          -9.237160e-01          -2.095312e-06          1.231554e-06      
   0.001947       0.862094         -1.471160e+00          -9.846785e-01          -1.503145e-06          1.119747e-06      
   0.001947       0.958735         -1.314501e+00          -1.022121e+00          -1.056834e-06          9.894769e-07      
   0.001947       1.058835         -1.152521e+00          -1.034502e+00          -7.259870e-07          8.491018e-07      
   0.001947       1.162061         -9.880305e-01          -1.021292e+00          -4.822635e-07          7.146154e-07      
   0.001947       1.268071         -8.246676e-01          -9.829200e-01          -3.049654e-07          5.946443e-07      
   0.001947       1.376513         -6.667889e-01          -9.209172e-01          -1.796650e-07          4.867016e-07      
   0.001947       1.487025         -5.191720e-01          -8.381478e-01          -9.393991e-08          3.907453e-07      
   0.001947       1.599241         -3.865111e-01          -7.389157e-01          -3.757053e-08          3.106751e-07      
   0.001947       1.712789         -2.727471e-01          -6.288708e-01          -3.556110e-09          2.449150e-07      
   0.001947       1.827291         -1.804074e-01          -5.146760e-01          1.388186e-08           1.895034e-07      
   0.001947       1.942367         -1.101456e-01          -4.033443e-01          2.029088e-08           1.440877e-07      
   0.001947       2.057633         -6.061951e-02          -3.013234e-01          2.000150e-08           1.080163e-07      
   0.001947       2.172709         -2.879132e-02          -2.135785e-01          1.618312e-08           7.890059e-08      
   0.001947       2.287211         -1.059379e-02          -1.429309e-01          1.132395e-08           5.569433e-08      
   0.001947       2.400759         -1.750720e-03          -8.984635e-02          6.967539e-09           3.804111e-08      
   0.001947       2.512975         1.499793e-03           -5.274821e-02          3.718940e-09           2.496293e-08      
   0.001947       2.623487         1.966853e-03           -2.872626e-02          1.648326e-09           1.557429e-08      
   0.001947       2.731929         1.414720e-03           -1.437703e-02          5.392012e-10           9.228776e-09      
   0.001947       2.837939         7.396239e-04           -6.514553e-03          5.669186e-11           5.190750e-09      
   0.001947       2.941165         2.649114e-04           -2.596220e-03          -9.232344e-11          2.752689e-09      
   0.001947       3.041265         1.990690e-05           -8.469384e-04          -9.842674e-11          1.369203e-09      
   0.001947       3.137906         -6.837464e-05          -1.695726e-04          -6.352709e-11          6.370675e-10      
   0.001947       3.230766         -7.773640e-05          3.877261e-05           -3.038931e-11          2.745739e-10      
   0.001947       3.319539         -5.915250e-05          7.184668e-05           -9.764391e-12          1.066565e-10      
   0.001947       3.403928         -3.736974e-05          5.480465e-05           1.304788e-13           3.474888e-11      
   0.001947       3.483653         -2.082464e-05          3.239925e-05           3.599250e-12           6.994270e-12      
   0.001947       3.558450         -1.040904e-05          1.627818e-05           4.017915e-12           -2.084762e-12     
   0.001947       3.628070         -4.585713e-06          6.878300e-06           3.333032e-12           -4.039424e-12     
   0.001947       3.692281         -1.618254e-06          2.065208e-06           2.450488e-12           -3.672780e-12     
   0.001947       3.750871         -2.358554e-07          -1.307689e-07          1.699734e-12           -2.793453e-12     
   0.001947       3.803645         3.384797e-07           -9.914831e-07          1.149375e-12           -1.986936e-12     
   0.001947       3.850427         5.315049e-07           -1.232710e-06          7.741653e-13           -1.383838e-12     
   0.001947       3.891062         5.602925e-07           -1.217623e-06          5.280916e-13           -9.690329e-13     
   0.001947       3.925415         5.283907e-07           -1.116976e-06          3.702133e-13           -6.952977e-13     
   0.001947       3.953373         4.821131e-07           -1.005049e-06          2.705647e-13           -5.193121e-13     
   0.001947       3.974841         4.406007e-07           -9.109856e-07          2.091814e-13           -4.095326e-13     
   0.001947       3.989750         4.108947e-07           -8.443354e-07          1.735923e-13           -3.453817e-13     
   0.001947       3.998053         3.951121e-07           -8.070767e-07          1.565917e-13           -3.146973e-13     
   0.001947       4.008499         3.668139e-07           -7.635355e-07          1.305936e-13           -2.663489e-13     
   0.001947       4.044761         2.814628e-07           -6.127697e-07          6.698483e-14           -1.477119e-13     
   0.001947       4.109915         1.614004e-07           -3.833889e-07          8.030836e-15           -3.353354e-14     
   0.001947       4.203828         5.870437e-08           -1.704939e-07          -1.585036e-14          2.011787e-14      
   0.001947       4.326294         8.106127e-09           -4.706248e-08          -1.229132e-14          2.154813e-14      
   0.001947       4.477040         -2.506230e-09          -5.695556e-09          -3.884311e-15          8.665321e-15      
   0.001947       4.655730         -1.146132e-09          4.454257e-10           -4.032786e-16          1.668294e-15      
   0.001947       4.861964         -1.248977e-10          1.783491e-10           5.788814e-17           1.038853e-16      
   0.001947       5.095283         3.446540e-12           7.651958e-12           1.326130e-17           -8.479786e-18     
   0.001947       5.355166         9.026474e-13           -9.325983e-13          1.825292e-19           -7.568357e-19     
   0.001947       5.641033         2.817807e-15           -4.816002e-14          -4.242081e-20          3.233225e-20      
   0.001947       5.952247         -1.082096e-15          3.964657e-16           -3.775211e-23          1.458715e-21      
   0.001947       6.288112         4.060913e-18           6.013076e-18           2.394179e-23           -1.702805e-23     
   0.001947       6.647880         1.391134e-19           -2.172685e-19          -2.218389e-25          3.921494e-26      
   0.001947       7.030747         -1.064132e-21          5.266704e-22           2.775074e-28           9.814937e-28      
   0.001947       7.435859         2.983279e-24           2.158288e-24           1.679675e-30           -6.413913e-30     
   0.001947       7.862313         -4.031920e-27          1.076914e-26           -4.163519e-33          -2.854394e-33     
   0.001947       8.309157         -1.460150e-30          1.123977e-30           5.854756e-36           -5.333864e-36     
   0.001947       8.775393         7.436884e-33           -1.046351e-32          -6.886293e-39          9.733138e-39      
   0.001947       9.259982         -3.498297e-36          5.082399e-36           2.814923e-42           -4.162961e-42     
   0.001947       9.761842         4.062562e-40           -6.106820e-40          -3.160975e-46          4.790859e-46      
   0.001947       10.279853        -1.209756e-44          1.934060e-44           9.081520e-51           -1.460318e-50     
   0.001947       10.812859        8.622123e-50           -1.453490e-49          -5.995839e-56          1.020583e-55      
   0.001947       11.359671        -1.317269e-55          2.323056e-55           7.560837e-62           -1.370468e-61     
   0.001947       11.919069        3.694438e-62           -6.781174e-62          -1.000210e-68          2.141155e-68      
   0.001947       12.489804        -1.428555e-69          2.798508e-69           -1.192614e-75          1.737033e-75      
   0.001947       13.070603        -1.249474e-78          -1.629755e-78          4.753275e-83           -7.824041e-83     
   0.001947       13.660171        4.718258e-86           -7.424088e-86          -1.804115e-91          3.021301e-91      
   0.001947       14.257191        -2.971951e-95          4.794355e-95           8.641644e-101         -1.433150e-100     
   0.001947       14.860331        2.195655e-105         -3.435428e-105         -5.476744e-111          8.808304e-111     
   0.001947       15.468245       -2.361719e-116          3.483120e-116          4.767099e-122         -7.262152e-122     
   0.001947       16.079578        3.882000e-128         -5.313390e-128         -5.971702e-134          8.405714e-134     
   0.001947       16.692964       -9.031522e-141          1.115965e-140          1.096437e-146         -1.378714e-146     
   0.001947       17.307036        2.780980e-154         -2.922104e-154         -2.895302e-160          3.069719e-160     
   0.001947       17.920422       -1.137046e-168          8.898078e-169          1.086788e-174         -8.540647e-175     
   0.001947       18.531755        6.572868e-184         -2.553660e-184         -6.005591e-190          2.337368e-190     
   0.001947       19.139669       -5.973553e-200         -1.171076e-200          5.329931e-206          1.046488e-206     
   0.001947       19.742809        9.672034e-217          1.127538e-216         -8.519583e-223         -9.937361e-223     
   0.001947       20.339829       -3.222052e-234         -9.624016e-234          2.817541e-240          8.417810e-240     
   0.001947       20.929397        2.470768e-252          1.842261e-251         -2.151234e-258         -1.604115e-257     
   0.001947       21.510196       -3.664356e-271         -1.117979e-269          3.182231e-277          9.706890e-276     
   0.001947       22.080931        3.711313e-277          1.150817e-277          4.784083e-283          1.483465e-283     
   0.001947       22.640329        3.045042e-258          9.796121e-259          3.925225e-264          1.262773e-264     
   0.001947       23.187141        2.723538e-239          9.095789e-240          3.510789e-245          1.172497e-245     
   0.001947       23.720147        1.936244e-220          6.717248e-221          2.495926e-226          8.658903e-227     
   0.001947       24.238158        7.879824e-202          2.835573e-202          1.015754e-207          3.655213e-208     
   0.001947       24.740018        1.323454e-183          4.940954e-184          1.706009e-189          6.369173e-190     
   0.001947       25.224607        6.613854e-166          2.571095e-166          8.525651e-172          3.314293e-172     
   0.001947       25.690843        6.885922e-149          2.784417e-149          8.876391e-155          3.589289e-155     
   0.001947       26.137687        9.561017e-133          4.065313e-133          1.232488e-138          5.240494e-139     
   0.001947       26.564141       -2.775428e-119          5.373461e-119         -3.568360e-125          6.930577e-125     
   0.001947       26.969253       -1.618004e-102         -6.690498e-103         -2.085650e-108         -8.624221e-109     
   0.001947       27.352120        -1.284075e-88          -5.559702e-89          -1.655222e-94          -7.166668e-95     
   0.001947       27.711888        -6.131738e-76          -2.728222e-76          -7.904071e-82          -3.516794e-82     
   0.001947       28.047753        -1.898783e-64          -8.655522e-65          -2.447615e-70          -1.115735e-70     
   0.001947       28.358967        -3.838328e-54          -1.787936e-54          -4.947778e-60          -2.304730e-60     
   0.001947       28.644834        -5.209288e-45          -2.482222e-45          -6.715009e-51          -3.199697e-51     
   0.001947       28.904717        -5.025128e-37          -2.457131e-37          -6.477620e-43          -3.167355e-43     
   0.001947       29.138036        -3.733194e-30          -1.879144e-30          -4.812260e-36          -2.422303e-36     
   0.001947       29.344270        -2.367091e-24          -1.231468e-24          -3.051292e-30          -1.587420e-30     
   0.001947       29.522960        -1.454977e-19          -7.835322e-20          -1.875536e-25          -1.010011e-25     
   0.001947       29.673706        -1.005627e-15          -5.580101e-16          -1.296303e-21          -7.193023e-22     
   0.001947       29.796172        -9.063756e-13          -5.127742e-13          -1.168363e-18          -6.609914e-19     
   0.001947       29.890085        -1.208294e-10          -6.893524e-11          -1.557552e-16          -8.886101e-17     
   0.001947       29.955239        -1.686543e-09          -9.805674e-10          -2.174040e-15          -1.264001e-15     
   0.001947       29.991501        -2.641321e-08          -1.297357e-08          -3.404801e-14          -1.672360e-14     
   0.010250       0.001947         -2.480124e+00          -1.430983e-05          -3.969092e-04          1.130595e-09      
   0.010250       0.010250         -2.479891e+00          -3.967154e-04          -3.967154e-04          3.150972e-08      
   0.010250       0.025159         -2.478670e+00          -2.389164e-03          -3.957160e-04          1.888575e-07      
   0.010250       0.046627         -2.475142e+00          -8.179955e-03          -3.928170e-04          6.460702e-07      
   0.010250       0.074585         -2.467434e+00          -2.077865e-02          -3.865377e-04          1.640787e-06      
   0.010250       0.108938         -2.453273e+00          -4.375606e-02          -3.751957e-04          3.452908e-06      
   0.010250       0.149573         -2.430175e+00          -8.076047e-02          -3.572374e-04          6.357397e-06      
   0.010250       0.196355         -2.395724e+00          -1.348056e-01          -3.317069e-04          1.054164e-05      
   0.010250       0.249129         -2.347911e+00          -2.074231e-01          -2.987469e-04          1.597956e-05      
   0.010250       0.307719         -2.285440e+00          -2.978966e-01          -2.599140e-04          2.228608e-05      
   0.010250       0.371930         -2.207878e+00          -4.028992e-01          -2.180520e-04          2.863934e-05      
   0.010250       0.441550         -2.115600e+00          -5.167935e-01          -1.766152e-04          3.391380e-05      
   0.010250       0.516347         -2.009527e+00          -6.325650e-01          -1.386648e-04          3.710240e-05      
   0.010250       0.596072         -1.890830e+00          -7.430219e-01          -1.060627e-04          3.784157e-05      
   0.010250       0.680461         -1.760714e+00          -8.417510e-01          -7.932494e-05          3.658362e-05      
   0.010250       0.769234         -1.620384e+00          -9.235611e-01          -5.808924e-05          3.414307e-05      
   0.010250       0.862094         -1.471121e+00          -9.845409e-01          -4.167240e-05          3.104345e-05      
   0.010250       0.958735         -1.314472e+00          -1.022004e+00          -2.929914e-05          2.743197e-05      
   0.010250       1.058835         -1.152501e+00          -1.034404e+00          -2.012693e-05          2.354033e-05      
   0.010250       1.162061         -9.880175e-01          -1.021214e+00          -1.337007e-05          1.981193e-05      
   0.010250       1.268071         -8.246606e-01          -9.828614e-01          -8.454744e-06          1.648594e-05      
   0.010250       1.376513         -6.667866e-01          -9.208757e-01          -4.980968e-06          1.349339e-05      
   0.010250       1.487025         -5.191730e-01          -8.381210e-01          -2.604355e-06          1.083314e-05      
   0.010250       1.599241         -3.865141e-01          -7.389009e-01          -1.041585e-06          8.613295e-06      
   0.010250       1.712789         -2.727509e-01          -6.288653e-01          -9.857470e-08          6.790168e-06      
   0.010250       1.827291         -1.804111e-01          -5.146770e-01          3.848747e-07           5.253931e-06      
   0.010250       1.942367         -1.101486e-01          -4.033493e-01          5.625587e-07           3.994812e-06      
