#       k             kp                  U           
   0.001185       0.001185         1.000000e+00      
   0.001185       0.006239         -5.217461e-10     
   0.001185       0.015318         -1.595963e-09     
   0.001185       0.028399         -3.399330e-09     
   0.001185       0.045447         -5.911404e-09     
   0.001185       0.066417         -8.892273e-09     
   0.001185       0.091251         -1.175472e-08     
   0.001185       0.119882         -1.340932e-08     
   0.001185       0.152235         -1.210087e-08     
   0.001185       0.188220         -5.261194e-09     
   0.001185       0.227742         1.059081e-08      
   0.001185       0.270694         3.986863e-08      
   0.001185       0.316959         8.782591e-08      
   0.001185       0.366414         1.603276e-07      
   0.001185       0.418925         2.634674e-07      
   0.001185       0.474351         4.030205e-07      
   0.001185       0.532541         5.837276e-07      
   0.001185       0.593339         8.084145e-07      
   0.001185       0.656582         1.076980e-06      
   0.001185       0.722098         1.385329e-06      
   0.001185       0.789711         1.724414e-06      
   0.001185       0.859239         2.079620e-06      
   0.001185       0.930495         2.430817e-06      
   0.001185       1.003286         2.753402e-06      
   0.001185       1.077416         3.020550e-06      
   0.001185       1.152685         3.206601e-06      
   0.001185       1.228890         3.291155e-06      
   0.001185       1.305826         3.262976e-06      
   0.001185       1.383286         3.122621e-06      
   0.001185       1.461060         2.882820e-06      
   0.001185       1.538940         2.566250e-06      
   0.001185       1.616714         2.201194e-06      
   0.001185       1.694174         1.816372e-06      
   0.001185       1.771110         1.436454e-06      
   0.001185       1.847315         1.079403e-06      
   0.001185       1.922584         7.559615e-07      
   0.001185       1.996714         4.707755e-07      
   0.001185       2.069505         2.242732e-07      
   0.001185       2.140761         1.448026e-08      
   0.001185       2.210289         -1.616544e-07     
   0.001185       2.277902         -3.074868e-07     
   0.001185       2.343418         -4.263139e-07     
   0.001185       2.406661         -5.212345e-07     
   0.001185       2.467459         -5.951069e-07     
   0.001185       2.525649         -6.505368e-07     
   0.001185       2.581075         -6.898726e-07     
   0.001185       2.633586         -7.152043e-07     
   0.001185       2.683041         -7.283646e-07     
   0.001185       2.729306         -7.309330e-07     
   0.001185       2.772258         -7.242414e-07     
   0.001185       2.811780         -7.093784e-07     
   0.001185       2.847765         -6.871902e-07     
   0.001185       2.880118         -6.582736e-07     
   0.001185       2.908749         -6.229543e-07     
   0.001185       2.933583         -5.812383e-07     
   0.001185       2.954553         -5.327067e-07     
   0.001185       2.971601         -4.762880e-07     
   0.001185       2.984682         -4.097029e-07     
   0.001185       2.993761         -3.278146e-07     
   0.001185       2.998815         -2.152015e-07     
   0.001185       3.004739         -4.309017e-07     
   0.001185       3.024957         -6.594186e-07     
   0.001185       3.061273         -8.299092e-07     
   0.001185       3.113597         -9.719005e-07     
   0.001185       3.181789         -1.092808e-06     
   0.001185       3.265666         -1.193283e-06     
   0.001185       3.365002         -1.271196e-06     
   0.001185       3.479529         -1.323536e-06     
   0.001185       3.608938         -1.347623e-06     
   0.001185       3.752880         -1.341946e-06     
   0.001185       3.910968         -1.306657e-06     
   0.001185       4.082775         -1.243749e-06     
   0.001185       4.267838         -1.156934e-06     
   0.001185       4.465657         -1.051292e-06     
   0.001185       4.675701         -9.327580e-07     
   0.001185       4.897402         -8.075559e-07     
   0.001185       5.130163         -6.816445e-07     
   0.001185       5.373356         -5.602636e-07     
   0.001185       5.626327         -4.476140e-07     
   0.001185       5.888392         -3.466930e-07     
   0.001185       6.158845         -2.592753e-07     
   0.001185       6.436958         -1.860152e-07     
   0.001185       6.721980         -1.266315e-07     
   0.001185       7.013143         -8.013739e-08     
   0.001185       7.309662         -4.507890e-08     
   0.001185       7.610739         -1.975486e-08     
   0.001185       7.915560         -2.400124e-09     
   0.001185       8.223305         8.676330e-09      
   0.001185       8.533144         1.499906e-08      
   0.001185       8.844241         1.787503e-08      
   0.001185       9.155759         1.837564e-08      
   0.001185       9.466856         1.734308e-08      
   0.001185       9.776695         1.541226e-08      
   0.001185       10.084440        1.304121e-08      
   0.001185       10.389261        1.054417e-08      
   0.001185       10.690338        8.123576e-09      
   0.001185       10.986857        5.898686e-09      
   0.001185       11.278020        3.929590e-09      
   0.001185       11.563042        2.236414e-09      
   0.001185       11.841155        8.139772e-10      
   0.001185       12.111608        -3.574954e-10     
   0.001185       12.373673        -1.304915e-09     
   0.001185       12.626644        -2.057396e-09     
   0.001185       12.869837        -2.643228e-09     
   0.001185       13.102598        -3.088179e-09     
   0.001185       13.324299        -3.414738e-09     
   0.001185       13.534343        -3.641920e-09     
   0.001185       13.732162        -3.785422e-09     
   0.001185       13.917225        -3.857940e-09     
   0.001185       14.089032        -3.869550e-09     
   0.001185       14.247120        -3.828049e-09     
   0.001185       14.391062        -3.739252e-09     
   0.001185       14.520471        -3.607169e-09     
   0.001185       14.634998        -3.434055e-09     
   0.001185       14.734334        -3.220260e-09     
   0.001185       14.818211        -2.963719e-09     
   0.001185       14.886403        -2.658733e-09     
   0.001185       14.938727        -2.292891e-09     
   0.001185       14.975043        -1.837846e-09     
   0.001185       14.995261        -1.207680e-09     
   0.006239       0.001185         -5.227346e-10     
   0.006239       0.006239         1.000000e+00      
   0.006239       0.015318         -1.282724e-08     
   0.006239       0.028399         -2.732184e-08     
   0.006239       0.045447         -4.751393e-08     
   0.006239       0.066417         -7.147778e-08     
   0.006239       0.091251         -9.449866e-08     
   0.006239       0.119882         -1.078291e-07     
   0.006239       0.152235         -9.737522e-08     
   0.006239       0.188220         -4.251488e-08     
   0.006239       0.227742         8.470504e-08      
   0.006239       0.270694         3.197251e-07      
   0.006239       0.316959         7.047327e-07      
   0.006239       0.366414         1.286825e-06      
   0.006239       0.418925         2.114935e-06      
   0.006239       0.474351         3.235441e-06      
   0.006239       0.532541         4.686412e-06      
   0.006239       0.593339         6.490544e-06      
   0.006239       0.656582         8.647026e-06      
   0.006239       0.722098         1.112299e-05      
   0.006239       0.789711         1.384577e-05      
   0.006239       0.859239         1.669803e-05      
   0.006239       0.930495         1.951812e-05      
   0.006239       1.003286         2.210849e-05      
   0.006239       1.077416         2.425373e-05      
   0.006239       1.152685         2.574781e-05      
   0.006239       1.228890         2.642688e-05      
   0.006239       1.305826         2.620073e-05      
   0.006239       1.383286         2.507382e-05      
   0.006239       1.461060         2.314835e-05      
   0.006239       1.538940         2.060641e-05      
   0.006239       1.616714         1.767513e-05      
   0.006239       1.694174         1.458510e-05      
   0.006239       1.771110         1.153444e-05      
   0.006239       1.847315         8.667385e-06      
   0.006239       1.922584         6.070201e-06      
   0.006239       1.996714         3.780204e-06      
   0.006239       2.069505         1.800830e-06      
   0.006239       2.140761         1.162273e-07      
   0.006239       2.210289         -1.298104e-06     
   0.006239       2.277902         -2.469113e-06     
   0.006239       2.343418         -3.423273e-06     
