# vlowk itz =  0 l =  0 s =  0 jt =  0 kvnn =  10  Lambda =  12.00
#  fac=0.17 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V 
   0.000790   0.000790   -1.805656046245E+00
   0.000790   0.004159   -1.805622229965E+00
   0.000790   0.010212   -1.805445874246E+00
   0.000790   0.018933   -1.804930809128E+00
   0.000790   0.030298   -1.803798111752E+00
   0.000790   0.044278   -1.801692006561E+00
   0.000790   0.060834   -1.798189067468E+00
   0.000790   0.079922   -1.792811611693E+00
   0.000790   0.101490   -1.785045979917E+00
   0.000790   0.125480   -1.774365915505E+00
   0.000790   0.151828   -1.760260468005E+00
   0.000790   0.180462   -1.742264819720E+00
   0.000790   0.211306   -1.719991353076E+00
   0.000790   0.244276   -1.693157435524E+00
   0.000790   0.279283   -1.661606136328E+00
   0.000790   0.316234   -1.625316660932E+00
   0.000790   0.355027   -1.584402723897E+00
   0.000790   0.395559   -1.539099105854E+00
   0.000790   0.437721   -1.489738725792E+00
   0.000790   0.481399   -1.436724112722E+00
   0.000790   0.526474   -1.380497757516E+00
   0.000790   0.572826   -1.321515380067E+00
   0.000790   0.620330   -1.260224913883E+00
   0.000790   0.668857   -1.197052443825E+00
   0.000790   0.718277   -1.132394887233E+00
   0.000790   0.768456   -1.066618188063E+00
   0.000790   0.819260   -1.000059299537E+00
   0.000790   0.870551   -9.330302001093E-01
   0.000790   0.922191   -8.658224698990E-01
   0.000790   0.974040   -7.987113868027E-01
   0.000790   1.025960   -7.319589523534E-01
   0.000790   1.077809   -6.658156449247E-01
   0.000790   1.129449   -6.005209841161E-01
   0.000790   1.180740   -5.363031685536E-01
   0.000790   1.231544   -4.733781312388E-01
   0.000790   1.281723   -4.119483612657E-01
   0.000790   1.331143   -3.522017894940E-01
   0.000790   1.379670   -2.943109492814E-01
   0.000790   1.427174   -2.384325207608E-01
   0.000790   1.473526   -1.847072657250E-01
   0.000790   1.518601   -1.332602750446E-01
   0.000790   1.562279   -8.420139364474E-02
   0.000790   1.604441   -3.762566692785E-02
   0.000790   1.644973    6.386330991230E-03
   0.000790   1.683766    4.776837726474E-02
   0.000790   1.720717    8.646870628364E-02
   0.000790   1.755724    1.224502793789E-01
   0.000790   1.788694    1.556910846353E-01
   0.000790   1.819538    1.861842853052E-01
   0.000790   1.848172    2.139380208440E-01
   0.000790   1.874520    2.389746866414E-01
   0.000790   1.898510    2.613295728847E-01
   0.000790   1.920078    2.810488194110E-01
   0.000790   1.939166    2.981867282636E-01
   0.000790   1.955722    3.128025551202E-01
   0.000790   1.969702    3.249569637483E-01
   0.000790   1.981067    3.347083681342E-01
   0.000790   1.989788    3.421094073887E-01
   0.000790   1.995841    3.472038367714E-01
   0.000790   1.999210    3.500247664170E-01
   0.000790   2.003160    3.533170762902E-01
   0.000790   2.016638    3.644374524944E-01
   0.000790   2.040848    3.839492016230E-01
   0.000790   2.075731    4.109575678921E-01
   0.000790   2.121193    4.440461549976E-01
   0.000790   2.177111    4.811495482867E-01
   0.000790   2.243335    5.194023971734E-01
   0.000790   2.319686    5.550367705492E-01
   0.000790   2.405959    5.834785356819E-01
   0.000790   2.501920    5.998616515131E-01
   0.000790   2.607312    6.000619803218E-01
   0.000790   2.721850    5.817844043177E-01
   0.000790   2.845225    5.444306707071E-01
   0.000790   2.977105    4.872086970040E-01
   0.000790   3.117134    4.088788023336E-01
   0.000790   3.264935    3.134114754417E-01
   0.000790   3.420109    2.147682735032E-01
   0.000790   3.582238    1.300261520572E-01
   0.000790   3.750884    6.886478000583E-02
   0.000790   3.925594    3.141773132371E-02
   0.000790   4.105897    1.208307330614E-02
   0.000790   4.291305    3.819488761874E-03
   0.000790   4.481320    9.656340436389E-04
   0.000790   4.675429    1.897610655230E-04
   0.000790   4.873108    2.814667790887E-05
   0.000790   5.073826    3.058643879966E-06
   0.000790   5.277040    2.363752981164E-07
   0.000790   5.482203    1.261870480411E-08
   0.000790   5.688763    4.525715911338E-10
   0.000790   5.896161    1.062653837878E-11
   0.000790   6.103839    1.596149587512E-13
   0.000790   6.311237    1.503790045813E-15
   0.000790   6.517797    8.750653845287E-18
   0.000790   6.722960    3.112699613579E-20
   0.000790   6.926174    6.737652642693E-23
   0.000790   7.126892    8.892503442032E-26
   0.000790   7.324571    7.222199844787E-29
   0.000790   7.518680    3.669655484903E-32
   0.000790   7.708695    3.433084899271E-33
   0.000790   7.894103    3.815928000469E-33
   0.000790   8.074406    4.217931126601E-33
   0.000790   8.249116    4.636766321297E-33
   0.000790   8.417762    5.069675056582E-33
   0.000790   8.579891    5.513489292615E-33
   0.000790   8.735065    5.964662644934E-33
   0.000790   8.882866    6.419311393017E-33
   0.000790   9.022895    6.873264788277E-33
   0.000790   9.154775    7.322123850179E-33
   0.000790   9.278150    7.761327584308E-33
   0.000790   9.392688    8.186225324263E-33
   0.000790   9.498080    8.592153697763E-33
   0.000790   9.594041    8.974516553191E-33
   0.000790   9.680314    9.328866061908E-33
   0.000790   9.756665    9.650983138760E-33
   0.000790   9.822889    9.936955302478E-33
   0.000790   9.878807    1.018325013449E-32
   0.000790   9.924269    1.038678260594E-32
   0.000790   9.959152    1.054497482209E-32
   0.000790   9.983362    1.065580796433E-32
   0.000790   9.996840    1.071788139155E-32
   0.004159   0.000790   -1.805622229965E+00
   0.004159   0.004159   -1.805588416159E+00
   0.004159   0.010212   -1.805412073340E+00
   0.004159   0.018933   -1.804897045868E+00
   0.004159   0.030298   -1.803764431122E+00
   0.004159   0.044278   -1.801658479004E+00
   0.004159   0.060834   -1.798155792871E+00
   0.004159   0.079922   -1.792778721477E+00
   0.004159   0.101490   -1.785013636439E+00
   0.004159   0.125480   -1.774334308067E+00
   0.004159   0.151828   -1.760229805035E+00
   0.004159   0.180462   -1.742235317227E+00
   0.004159   0.211306   -1.719963220226E+00
   0.004159   0.244276   -1.693130858976E+00
   0.004159   0.279283   -1.661581265562E+00
   0.004159   0.316234   -1.625293596937E+00
   0.004159   0.355027   -1.584381513113E+00
   0.004159   0.395559   -1.539079740288E+00
   0.004159   0.437721   -1.489721148950E+00
   0.004159   0.481399   -1.436708229903E+00
   0.004159   0.526474   -1.380483448356E+00
   0.004159   0.572826   -1.321502511157E+00
   0.004159   0.620330   -1.260213349747E+00
   0.004159   0.668857   -1.197042055228E+00
   0.004159   0.718277   -1.132385556533E+00
   0.004159   0.768456   -1.066609811846E+00
   0.004159   0.819260   -1.000051789109E+00
   0.004159   0.870551   -9.330234805055E-01
   0.004159   0.922191   -8.658164780444E-01
   0.004159   0.974040   -7.987060693029E-01
   0.004159   1.025960   -7.319542632752E-01
   0.004159   1.077809   -6.658115437790E-01
   0.004159   1.129449   -6.005174341582E-01
   0.004159   1.180740   -5.363001354397E-01
   0.004159   1.231544   -4.733755820335E-01
   0.004159   1.281723   -4.119462637678E-01
   0.004159   1.331143   -3.522001118343E-01
   0.004159   1.379670   -2.943096597435E-01
   0.004159   1.427174   -2.384315877757E-01
   0.004159   1.473526   -1.847066579928E-01
   0.004159   1.518601   -1.332599617437E-01
   0.004159   1.562279   -8.420134469062E-02
   0.004159   1.604441   -3.762585325296E-02
   0.004159   1.644973    6.385937163201E-03
   0.004159   1.683766    4.776780216881E-02
   0.004159   1.720717    8.646797440257E-02
   0.004159   1.755724    1.224494132807E-01
   0.004159   1.788694    1.556901048640E-01
   0.004159   1.819538    1.861832103269E-01
   0.004159   1.848172    2.139368670451E-01
   0.004159   1.874520    2.389734683756E-01
   0.004159   1.898510    2.613283025622E-01
   0.004159   1.920078    2.810475076233E-01
   0.004159   1.939166    2.981853839365E-01
   0.004159   1.955722    3.128011856882E-01
   0.004159   1.969702    3.249555753448E-01
   0.004159   1.981067    3.347069657912E-01
   0.004159   1.989788    3.421079952433E-01
   0.004159   1.995841    3.472024182747E-01
   0.004159   1.999210    3.500233445441E-01
   0.004159   2.003160    3.533156506048E-01
   0.004159   2.016638    3.644360149640E-01
   0.004159   2.040848    3.839477472776E-01
   0.004159   2.075731    4.109560991034E-01
   0.004159   2.121193    4.440446838991E-01
   0.004159   2.177111    4.811480981283E-01
   0.004159   2.243335    5.194010021320E-01
   0.004159   2.319686    5.550354734965E-01
   0.004159   2.405959    5.834773835404E-01
   0.004159   2.501920    5.998606882128E-01
   0.004159   2.607312    6.000612381032E-01
   0.004159   2.721850    5.817838952125E-01
   0.004159   2.845225    5.444303811304E-01
   0.004159   2.977105    4.872085885499E-01
   0.004159   3.117134    4.088788197870E-01
   0.004159   3.264935    3.134115593908E-01
   0.004159   3.420109    2.147683732187E-01
   0.004159   3.582238    1.300262349155E-01
   0.004159   3.750884    6.886483396649E-02
   0.004159   3.925594    3.141775956500E-02
   0.004159   4.105897    1.208308517606E-02
   0.004159   4.291305    3.819492720135E-03
   0.004159   4.481320    9.656350717805E-04
   0.004159   4.675429    1.897612689470E-04
   0.004159   4.873108    2.814670781621E-05
   0.004159   5.073826    3.058647062308E-06
   0.004159   5.277040    2.363755366628E-07
   0.004159   5.482203    1.261871706575E-08
   0.004159   5.688763    4.525720121803E-10
   0.004159   5.896161    1.062654780375E-11
   0.004159   6.103839    1.596150932809E-13
   0.004159   6.311237    1.503791247487E-15
   0.004159   6.517797    8.750660464536E-18
   0.004159   6.722960    3.112701840201E-20
   0.004159   6.926174    6.737657198297E-23
   0.004159   7.126892    8.892509124744E-26
   0.004159   7.324571    7.222204208061E-29
   0.004159   7.518680    3.669657583050E-32
   0.004159   7.708695    3.433086766340E-33
   0.004159   7.894103    3.815929966224E-33
   0.004159   8.074406    4.217933187491E-33
   0.004159   8.249116    4.636768473297E-33
   0.004159   8.417762    5.069677295262E-33
   0.004159   8.579891    5.513491613209E-33
   0.004159   8.735065    5.964665042414E-33
   0.004159   8.882866    6.419313862164E-33
   0.004159   9.022895    6.873267323751E-33
   0.004159   9.154775    7.322126446582E-33
   0.004159   9.278150    7.761330236244E-33
   0.004159   9.392688    8.186228026392E-33
   0.004159   9.498080    8.592156444842E-33
   0.004159   9.594041    8.974519340110E-33
   0.004159   9.680314    9.328868883716E-33
   0.004159   9.756665    9.650985990682E-33
   0.004159   9.822889    9.936958179918E-33
   0.004159   9.878807    1.018325303303E-32
   0.004159   9.924269    1.038678552132E-32
   0.004159   9.959152    1.054497775021E-32
   0.004159   9.983362    1.065581090117E-32
   0.004159   9.996840    1.071788433322E-32
   0.010212   0.000790   -1.805445874246E+00
   0.010212   0.004159   -1.805412073340E+00
   0.010212   0.010212   -1.805235797779E+00
   0.010212   0.018933   -1.804720966584E+00
   0.010212   0.030298   -1.803588782666E+00
   0.010212   0.044278   -1.801483628647E+00
   0.010212   0.060834   -1.797982261422E+00
   0.010212   0.079922   -1.792607194155E+00
   0.010212   0.101490   -1.784844959776E+00
   0.010212   0.125480   -1.774169469113E+00
   0.010212   0.151828   -1.760069890595E+00
   0.010212   0.180462   -1.742081453677E+00
   0.010212   0.211306   -1.719816498318E+00
   0.010212   0.244276   -1.692992252179E+00
   0.010212   0.279283   -1.661451553549E+00
   0.010212   0.316234   -1.625173306570E+00
   0.010212   0.355027   -1.584270886850E+00
   0.010212   0.395559   -1.538978736738E+00
   0.010212   0.437721   -1.489629473781E+00
   0.010212   0.481399   -1.436625389500E+00
   0.010212   0.526474   -1.380408815202E+00
   0.010212   0.572826   -1.321435389651E+00
   0.010212   0.620330   -1.260153033442E+00
   0.010212   0.668857   -1.196987870188E+00
   0.010212   0.718277   -1.132336889237E+00
   0.010212   0.768456   -1.066566122949E+00
   0.010212   0.819260   -1.000012616014E+00
   0.010212   0.870551   -9.329884322271E-01
   0.010212   0.922191   -8.657852255914E-01
   0.010212   0.974040   -7.986783341760E-01
   0.010212   1.025960   -7.319298058888E-01
   0.010212   1.077809   -6.657901529442E-01
   0.010212   1.129449   -6.004989182159E-01
   0.010212   1.180740   -5.362843152552E-01
   0.010212   1.231544   -4.733622858196E-01
   0.010212   1.281723   -4.119353235668E-01
   0.010212   1.331143   -3.521913614216E-01
   0.010212   1.379670   -2.943029336922E-01
   0.010212   1.427174   -2.384267214274E-01
   0.010212   1.473526   -1.847034880943E-01
   0.010212   1.518601   -1.332583275351E-01
   0.010212   1.562279   -8.420108925854E-02
   0.010212   1.604441   -3.762682498717E-02
   0.010212   1.644973    6.383883137635E-03
   0.010212   1.683766    4.776480268791E-02
   0.010212   1.720717    8.646415716291E-02
   0.010212   1.755724    1.224448959917E-01
   0.010212   1.788694    1.556849946793E-01
   0.010212   1.819538    1.861776035613E-01
   0.010212   1.848172    2.139308491666E-01
   0.010212   1.874520    2.389671142500E-01
   0.010212   1.898510    2.613216769184E-01
   0.010212   1.920078    2.810406657042E-01
   0.010212   1.939166    2.981783722971E-01
   0.010212   1.955722    3.127940431061E-01
   0.010212   1.969702    3.249483338101E-01
   0.010212   1.981067    3.346996515505E-01
   0.010212   1.989788    3.421006298745E-01
   0.010212   1.995841    3.471950197787E-01
   0.010212   1.999210    3.500159284379E-01
   0.010212   2.003160    3.533082146126E-01
   0.010212   2.016638    3.644285171900E-01
   0.010212   2.040848    3.839401617978E-01
   0.010212   2.075731    4.109484382871E-01
   0.010212   2.121193    4.440370110307E-01
   0.010212   2.177111    4.811405344728E-01
   0.010212   2.243335    5.193937259471E-01
   0.010212   2.319686    5.550287083909E-01
   0.010212   2.405959    5.834713742505E-01
   0.010212   2.501920    5.998556638663E-01
   0.010212   2.607312    6.000573668608E-01
   0.010212   2.721850    5.817812398289E-01
   0.010212   2.845225    5.444288707517E-01
   0.010212   2.977105    4.872080228613E-01
   0.010212   3.117134    4.088789108022E-01
   0.010212   3.264935    3.134119972339E-01
   0.010212   3.420109    2.147688932989E-01
   0.010212   3.582238    1.300266670763E-01
   0.010212   3.750884    6.886511540722E-02
   0.010212   3.925594    3.141790686214E-02
   0.010212   4.105897    1.208314708560E-02
   0.010212   4.291305    3.819513365090E-03
   0.010212   4.481320    9.656404342146E-04
   0.010212   4.675429    1.897623299352E-04
   0.010212   4.873108    2.814686380214E-05
   0.010212   5.073826    3.058663660232E-06
   0.010212   5.277040    2.363767808304E-07
   0.010212   5.482203    1.261878101768E-08
   0.010212   5.688763    4.525742081894E-10
   0.010212   5.896161    1.062659696042E-11
   0.010212   6.103839    1.596157949301E-13
   0.010212   6.311237    1.503797514886E-15
   0.010212   6.517797    8.750694987476E-18
   0.010212   6.722960    3.112713453191E-20
   0.010212   6.926174    6.737680958055E-23
   0.010212   7.126892    8.892538762822E-26
   0.010212   7.324571    7.222226964547E-29
   0.010212   7.518680    3.669668525810E-32
   0.010212   7.708695    3.433096504639E-33
   0.010212   7.894103    3.815940219251E-33
   0.010212   8.074406    4.217943936726E-33
   0.010212   8.249116    4.636779697746E-33
   0.010212   8.417762    5.069688971816E-33
   0.010212   8.579891    5.513503717012E-33
   0.010212   8.735065    5.964677547242E-33
   0.010212   8.882866    6.419326740796E-33
   0.010212   9.022895    6.873280548331E-33
   0.010212   9.154775    7.322139988956E-33
   0.010212   9.278150    7.761344068272E-33
   0.010212   9.392688    8.186242120215E-33
   0.010212   9.498080    8.592170773114E-33
   0.010212   9.594041    8.974533876182E-33
   0.010212   9.680314    9.328883601767E-33
   0.010212   9.756665    9.651000865799E-33
   0.010212   9.822889    9.936973188130E-33
   0.010212   9.878807    1.018326815129E-32
   0.010212   9.924269    1.038680072742E-32
   0.010212   9.959152    1.054499302271E-32
   0.010212   9.983362    1.065582621924E-32
   0.010212   9.996840    1.071789967647E-32
   0.018933   0.000790   -1.804930809128E+00
   0.018933   0.004159   -1.804897045868E+00
   0.018933   0.010212   -1.804720966584E+00
   0.018933   0.018933   -1.804206708186E+00
   0.018933   0.030298   -1.803075781552E+00
   0.018933   0.044278   -1.800972956643E+00
   0.018933   0.060834   -1.797475438448E+00
   0.018933   0.079922   -1.792106220006E+00
   0.018933   0.101490   -1.784352305149E+00
   0.018933   0.125480   -1.773688015007E+00
   0.018933   0.151828   -1.759602809475E+00
   0.018933   0.180462   -1.741632033955E+00
   0.018933   0.211306   -1.719387924999E+00
   0.018933   0.244276   -1.692587368549E+00
   0.018933   0.279283   -1.661072637807E+00
   0.018933   0.316234   -1.624821899391E+00
   0.018933   0.355027   -1.583947698896E+00
   0.018933   0.395559   -1.538683649960E+00
   0.018933   0.437721   -1.489361631356E+00
   0.018933   0.481399   -1.436383352228E+00
   0.018933   0.526474   -1.380190752295E+00
   0.018933   0.572826   -1.321239270872E+00
   0.018933   0.620330   -1.259976796310E+00
   0.018933   0.668857   -1.196829546703E+00
   0.018933   0.718277   -1.132194687508E+00
   0.018933   0.768456   -1.066438467504E+00
   0.018933   0.819260   -9.998981554076E-01
   0.018933   0.870551   -9.328860241092E-01
   0.018933   0.922191   -8.656939086815E-01
   0.018933   0.974040   -7.985972946844E-01
   0.018933   1.025960   -7.318583437141E-01
   0.018933   1.077809   -6.657276509575E-01
   0.018933   1.129449   -6.004448163610E-01
   0.018933   1.180740   -5.362380900812E-01
   0.018933   1.231544   -4.733234353555E-01
   0.018933   1.281723   -4.119033570409E-01
   0.018933   1.331143   -3.521657931337E-01
   0.018933   1.379670   -2.942832802801E-01
   0.018933   1.427174   -2.384125017787E-01
   0.018933   1.473526   -1.846942252058E-01
   0.018933   1.518601   -1.332535516918E-01
   0.018933   1.562279   -8.420034198451E-02
   0.018933   1.604441   -3.762966330339E-02
   0.018933   1.644973    6.377882530557E-03
   0.018933   1.683766    4.775603960086E-02
   0.018933   1.720717    8.645300470293E-02
   0.018933   1.755724    1.224316980852E-01
   0.018933   1.788694    1.556700644108E-01
   0.018933   1.819538    1.861612223463E-01
   0.018933   1.848172    2.139132667286E-01
   0.018933   1.874520    2.389485493347E-01
   0.018933   1.898510    2.613023186541E-01
   0.018933   1.920078    2.810206755023E-01
   0.018933   1.939166    2.981578861851E-01
   0.018933   1.955722    3.127731743871E-01
   0.018933   1.969702    3.249271759563E-01
   0.018933   1.981067    3.346782812518E-01
   0.018933   1.989788    3.420791101800E-01
   0.018933   1.995841    3.471734032866E-01
   0.018933   1.999210    3.499942604888E-01
   0.018933   2.003160    3.532864885565E-01
   0.018933   2.016638    3.644066106054E-01
   0.018933   2.040848    3.839179989286E-01
   0.018933   2.075731    4.109260552634E-01
   0.018933   2.121193    4.440145927474E-01
   0.018933   2.177111    4.811184352335E-01
   0.018933   2.243335    5.193724665789E-01
   0.018933   2.319686    5.550089422293E-01
   0.018933   2.405959    5.834538163653E-01
   0.018933   2.501920    5.998409837246E-01
   0.018933   2.607312    6.000460557998E-01
   0.018933   2.721850    5.817734812146E-01
   0.018933   2.845225    5.444244575769E-01
   0.018933   2.977105    4.872063698630E-01
   0.018933   3.117134    4.088791765613E-01
   0.018933   3.264935    3.134132763730E-01
   0.018933   3.420109    2.147704127498E-01
   0.018933   3.582238    1.300279296803E-01
   0.018933   3.750884    6.886593767051E-02
   0.018933   3.925594    3.141833720917E-02
   0.018933   4.105897    1.208332796192E-02
   0.018933   4.291305    3.819573681714E-03
   0.018933   4.481320    9.656561011316E-04
   0.018933   4.675429    1.897654297109E-04
   0.018933   4.873108    2.814731952719E-05
   0.018933   5.073826    3.058712152074E-06
   0.018933   5.277040    2.363804157177E-07
   0.018933   5.482203    1.261896785452E-08
   0.018933   5.688763    4.525806238230E-10
   0.018933   5.896161    1.062674057026E-11
   0.018933   6.103839    1.596178447591E-13
   0.018933   6.311237    1.503815824564E-15
   0.018933   6.517797    8.750795842271E-18
   0.018933   6.722960    3.112747378828E-20
   0.018933   6.926174    6.737750367870E-23
   0.018933   7.126892    8.892625344012E-26
   0.018933   7.324571    7.222293441812E-29
   0.018933   7.518680    3.669700491861E-32
   0.018933   7.708695    3.433124959081E-33
   0.018933   7.894103    3.815970177674E-33
   0.018933   8.074406    4.217975345016E-33
   0.018933   8.249116    4.636812494566E-33
   0.018933   8.417762    5.069723089642E-33
   0.018933   8.579891    5.513539083219E-33
