#       k             kp                  V           
   0.001947       0.001947         -1.948954e+00     
   0.001947       0.010250         -1.948747e+00     
   0.001947       0.025159         -1.947673e+00     
   0.001947       0.046627         -1.944545e+00     
   0.001947       0.074585         -1.937710e+00     
   0.001947       0.108938         -1.925150e+00     
   0.001947       0.149573         -1.904657e+00     
   0.001947       0.196355         -1.874091e+00     
   0.001947       0.249129         -1.831689e+00     
   0.001947       0.307719         -1.776352e+00     
   0.001947       0.371930         -1.707822e+00     
   0.001947       0.441550         -1.626672e+00     
   0.001947       0.516347         -1.534116e+00     
   0.001947       0.596072         -1.431713e+00     
   0.001947       0.680461         -1.321094e+00     
   0.001947       0.769234         -1.203777e+00     
   0.001947       0.862094         -1.081120e+00     
   0.001947       0.958735         -9.543544e-01     
   0.001947       1.058835         -7.932824e-01     
   0.001947       1.162061         -6.619278e-01     
   0.001947       1.268071         -5.310780e-01     
   0.001947       1.376513         -4.027015e-01     
   0.001947       1.487025         -2.789700e-01     
   0.001947       1.599241         -1.622205e-01     
   0.001947       1.712789         -5.492431e-02     
   0.001947       1.827291         4.033303e-02      
   0.001947       1.942367         1.208972e-01      
   0.001947       2.057633         1.842009e-01      
   0.001947       2.172709         2.281393e-01      
   0.001947       2.287211         2.517009e-01      
   0.001947       2.400759         2.556857e-01      
   0.001947       2.512975         2.430876e-01      
   0.001947       2.623487         2.186825e-01      
   0.001947       2.731929         1.877826e-01      
   0.001947       2.837939         1.548308e-01      
   0.001947       2.941165         1.227555e-01      
   0.001947       3.041265         9.331320e-02      
   0.001947       3.137906         6.770924e-02      
   0.001947       3.230766         4.677738e-02      
   0.001947       3.319539         3.078477e-02      
   0.001947       3.403928         1.934811e-02      
   0.001947       3.483653         1.163894e-02      
   0.001947       3.558450         6.697557e-03      
   0.001947       3.628070         3.662216e-03      
   0.001947       3.692281         1.865193e-03      
   0.001947       3.750871         8.365920e-04      
   0.001947       3.803645         2.672618e-04      
   0.001947       3.850427         -3.634289e-05     
   0.001947       3.891062         -1.908550e-04     
   0.001947       3.925415         -2.644483e-04     
   0.001947       3.953373         -2.959687e-04     
   0.001947       3.974841         -3.070429e-04     
   0.001947       3.989750         -3.094001e-04     
   0.001947       3.998053         -3.091160e-04     
   0.001947       4.008499         -3.073421e-04     
   0.001947       4.044761         -2.914831e-04     
   0.001947       4.109915         -2.410418e-04     
   0.001947       4.203828         -1.586216e-04     
   0.001947       4.326294         -7.693008e-05     
   0.001947       4.477040         -2.556884e-05     
   0.001947       4.655730         -5.377063e-06     
   0.001947       4.861964         -6.512350e-07     
   0.001947       5.095283         -4.045815e-08     
   0.001947       5.355166         -1.110830e-09     
   0.001947       5.641033         -1.107824e-11     
   0.001947       5.952247         -3.113571e-14     
   0.001947       6.288112         -1.795642e-17     
   0.001947       6.647880         -1.443168e-21     
   0.001947       7.030747         -1.015085e-26     
   0.001947       7.435859         -3.591811e-33     
   0.001947       7.862313         -6.810073e-35     
   0.001947       8.309157         -7.376198e-35     
   0.001947       8.775393         -8.006218e-35     
   0.001947       9.259982         -8.701546e-35     
   0.001947       9.761842         -9.463485e-35     
   0.001947       10.279853        -1.029315e-34     
   0.001947       10.812859        -1.119140e-34     
   0.001947       11.359671        -1.215880e-34     
   0.001947       11.919069        -1.319554e-34     
   0.001947       12.489804        -1.430145e-34     
   0.001947       13.070603        -1.547592e-34     
   0.001947       13.660171        -1.671793e-34     
   0.001947       14.257191        -1.802619e-34     
   0.001947       14.860331        -1.940199e-34     
   0.001947       15.468245        -2.088918e-34     
   0.001947       16.079578        -2.305485e-34     
   0.001947       16.692964        -3.206502e-34     
   0.001947       17.307036        -1.073958e-33     
   0.001947       17.920422        -7.663106e-33     
   0.001947       18.531755        -6.112443e-32     
   0.001947       19.139669        -4.612130e-31     
   0.001947       19.742809        -3.237235e-30     
   0.001947       20.339829        -2.116277e-29     
   0.001947       20.929397        -1.289810e-28     
   0.001947       21.510196        -7.318641e-28     
   0.001947       22.080931        -3.851380e-27     
   0.001947       22.640329        -1.867604e-26     
   0.001947       23.187141        -8.261448e-26     
   0.001947       23.720147        -3.277836e-25     
   0.001947       24.238158        -1.128724e-24     
   0.001947       24.740018        -3.108283e-24     
   0.001947       25.224607        -4.831917e-24     
   0.001947       25.690843        1.383602e-23      
   0.001947       26.137687        1.753637e-22      
   0.001947       26.564141        1.051831e-21      
   0.001947       26.969253        4.921091e-21      
   0.001947       27.352120        1.981002e-20      
   0.001947       27.711888        7.115280e-20      
   0.001947       28.047753        2.317688e-19      
   0.001947       28.358967        6.894905e-19      
   0.001947       28.644834        1.876854e-18      
   0.001947       28.904717        4.670686e-18      
   0.001947       29.138036        1.060802e-17      
   0.001947       29.344270        2.196411e-17      
   0.001947       29.522960        4.144212e-17      
   0.001947       29.673706        7.107572e-17      
   0.001947       29.796172        1.090912e-16      
   0.001947       29.890085        1.398824e-16      
   0.001947       29.955239        1.555996e-16      
   0.001947       29.991501        2.109166e-05      
   0.010250       0.001947         -1.948747e+00     
