#       k             kp                  V           
   0.000790       0.000790         0.000000e+00      
   0.000790       0.004159         2.910279e-16      
   0.000790       0.010212         2.910279e-16      
   0.000790       0.018933         2.910279e-16      
   0.000790       0.030298         2.910279e-16      
   0.000790       0.044278         2.910279e-16      
   0.000790       0.060834         2.910279e-16      
   0.000790       0.079922         2.910278e-16      
   0.000790       0.101490         2.910276e-16      
   0.000790       0.125480         2.910274e-16      
   0.000790       0.151828         2.910267e-16      
   0.000790       0.180462         2.910252e-16      
   0.000790       0.211306         2.910231e-16      
   0.000790       0.244276         2.910198e-16      
   0.000790       0.279283         2.910147e-16      
   0.000790       0.316234         2.910067e-16      
   0.000790       0.355027         2.909891e-16      
   0.000790       0.395559         2.909661e-16      
   0.000790       0.437721         2.909333e-16      
   0.000790       0.481399         2.908859e-16      
   0.000790       0.526474         2.908179e-16      
   0.000790       0.572826         2.907256e-16      
   0.000790       0.620330         2.906028e-16      
   0.000790       0.668857         2.904409e-16      
   0.000790       0.718277         2.902337e-16      
   0.000790       0.768456         2.899728e-16      
   0.000790       0.819260         2.896489e-16      
   0.000790       0.870551         2.934709e-16      
   0.000790       0.922191         2.926249e-16      
   0.000790       0.974040         2.916315e-16      
   0.000790       1.025960         2.905128e-16      
   0.000790       1.077809         2.892905e-16      
   0.000790       1.129449         2.879815e-16      
   0.000790       1.180740         2.865933e-16      
   0.000790       1.231544         2.851277e-16      
   0.000790       1.281723         2.835817e-16      
   0.000790       1.331143         2.819507e-16      
   0.000790       1.379670         2.802302e-16      
   0.000790       1.427174         2.784173e-16      
   0.000790       1.473526         2.765118e-16      
   0.000790       1.518601         2.745169e-16      
   0.000790       1.562279         2.724397e-16      
   0.000790       1.604441         2.702911e-16      
   0.000790       1.644973         2.680850e-16      
   0.000790       1.683766         2.658385e-16      
   0.000790       1.720717         2.635712e-16      
   0.000790       1.755724         2.613046e-16      
   0.000790       1.788694         2.590617e-16      
   0.000790       1.819538         2.568663e-16      
   0.000790       1.848172         2.547427e-16      
   0.000790       1.874520         2.527149e-16      
   0.000790       1.898510         2.508064e-16      
   0.000790       1.920078         2.490396e-16      
   0.000790       1.939166         2.474353e-16      
   0.000790       1.955722         2.460128e-16      
   0.000790       1.969702         2.447890e-16      
   0.000790       1.981067         2.437786e-16      
   0.000790       1.989788         2.429938e-16      
   0.000790       1.995841         2.424440e-16      
   0.000790       1.999210         2.421356e-16      
   0.000790       2.003160         2.417772e-16      
   0.000790       2.016638         2.405370e-16      
   0.000790       2.040848         2.382576e-16      
   0.000790       2.075731         2.348634e-16      
   0.000790       2.121193         2.302487e-16      
   0.000790       2.177111         2.242805e-16      
   0.000790       2.243335         2.168067e-16      
   0.000790       2.319686         2.076681e-16      
   0.000790       2.405959         1.967182e-16      
   0.000790       2.501920         1.838509e-16      
   0.000790       2.607312         1.690365e-16      
   0.000790       2.721850         1.523650e-16      
   0.000790       2.845225         1.340894e-16      
   0.000790       2.977105         1.146596e-16      
   0.000790       3.117134         9.473185e-17      
   0.000790       3.264935         7.513641e-17      
   0.000790       3.420109         5.679249e-17      
   0.000790       3.582238         4.057375e-17      
   0.000790       3.750884         2.714919e-17      
   0.000790       3.925594         1.684653e-17      
   0.000790       4.105897         9.591400e-18      
   0.000790       4.291305         4.954874e-18      
   0.000790       4.481320         2.296482e-18      
   0.000790       4.675429         9.446672e-19      
