#       k             kp                  U           
   0.001185       0.001185         1.000000e+00      
   0.001185       0.006239         -7.692976e-16     
   0.001185       0.015318         -5.641485e-15     
   0.001185       0.028399         -2.062973e-14     
   0.001185       0.045447         -4.695196e-14     
   0.001185       0.066417         -5.642931e-14     
   0.001185       0.091251         6.426957e-14      
   0.001185       0.119882         6.146299e-13      
   0.001185       0.152235         2.231834e-12      
   0.001185       0.188220         6.078783e-12      
   0.001185       0.227742         1.402616e-11      
   0.001185       0.270694         2.875846e-11      
   0.001185       0.316959         5.372257e-11      
   0.001185       0.366414         9.285632e-11      
   0.001185       0.418925         1.500837e-10      
   0.001185       0.474351         2.286257e-10      
   0.001185       0.532541         3.302261e-10      
   0.001185       0.593339         4.544082e-10      
   0.001185       0.656582         5.978735e-10      
   0.001185       0.722098         7.541318e-10      
   0.001185       0.789711         9.134538e-10      
   0.001185       0.859239         1.063243e-09      
   0.001185       0.930495         1.188916e-09      
   0.001185       1.003286         1.275353e-09      
   0.001185       1.077416         1.308873e-09      
   0.001185       1.152685         1.279501e-09      
   0.001185       1.228890         1.183100e-09      
   0.001185       1.305826         1.022802e-09      
   0.001185       1.383286         8.091570e-10      
   0.001185       1.461060         5.587479e-10      
   0.001185       1.538940         2.913944e-10      
   0.001185       1.616714         2.674865e-11      
   0.001185       1.694174         -2.188643e-10     
   0.001185       1.771110         -4.343389e-10     
   0.001185       1.847315         -6.142298e-10     
   0.001185       1.922584         -7.578156e-10     
   0.001185       1.996714         -8.675150e-10     
   0.001185       2.069505         -9.473057e-10     
   0.001185       2.140761         -1.001565e-09     
   0.001185       2.210289         -1.034449e-09     
   0.001185       2.277902         -1.049632e-09     
   0.001185       2.343418         -1.050278e-09     
   0.001185       2.406661         -1.039125e-09     
   0.001185       2.467459         -1.018512e-09     
   0.001185       2.525649         -9.904285e-10     
   0.001185       2.581075         -9.565612e-10     
   0.001185       2.633586         -9.183065e-10     
   0.001185       2.683041         -8.767945e-10     
   0.001185       2.729306         -8.329107e-10     
   0.001185       2.772258         -7.873137e-10     
   0.001185       2.811780         -7.404481e-10     
   0.001185       2.847765         -6.925613e-10     
   0.001185       2.880118         -6.436923e-10     
   0.001185       2.908749         -5.936515e-10     
   0.001185       2.933583         -5.419992e-10     
   0.001185       2.954553         -4.879216e-10     
   0.001185       2.971601         -4.300492e-10     
   0.001185       2.984682         -3.659457e-10     
   0.001185       2.993761         -2.906328e-10     
   0.001185       2.998815         -1.900086e-10     
   0.001185       3.004739         -3.786340e-10     
   0.001185       3.024957         -5.701067e-10     
   0.001185       3.061273         -6.973377e-10     
   0.001185       3.113597         -7.847435e-10     
   0.001185       3.181789         -8.392214e-10     
   0.001185       3.265666         -8.634366e-10     
   0.001185       3.365002         -8.591023e-10     
   0.001185       3.479529         -8.282939e-10     
   0.001185       3.608938         -7.741238e-10     
   0.001185       3.752880         -7.009243e-10     
   0.001185       3.910968         -6.141302e-10     
   0.001185       4.082775         -5.198635e-10     
   0.001185       4.267838         -4.243375e-10     
   0.001185       4.465657         -3.332058e-10     
   0.001185       4.675701         -2.509890e-10     
   0.001185       4.897402         -1.807033e-10     
   0.001185       5.130163         -1.237406e-10     
   0.001185       5.373356         -8.000857e-11     
   0.001185       5.626327         -4.826923e-11     
   0.001185       5.888392         -2.657728e-11     
   0.001185       6.158845         -1.271436e-11     
   0.001185       6.436958         -4.538938e-12     
   0.001185       6.721980         -2.114784e-13     
   0.001185       7.013143         1.705667e-12      
   0.001185       7.309662         1.762055e-12      
   0.001185       7.610739         2.090110e-12      
   0.001185       7.915560         1.658813e-12      
   0.001185       8.223305         1.178885e-12      
   0.001185       8.533144         7.599277e-13      
   0.001185       8.844241         -1.839629e-13     
   0.001185       9.155759         -2.249565e-13     
   0.001185       9.466856         -2.251732e-13     
   0.001185       9.776695         -2.031695e-13     
   0.001185       10.084440        -1.715412e-13     
   0.001185       10.389261        -1.381350e-13     
   0.001185       10.690338        -1.073051e-13     
   0.001185       10.986857        -8.103410e-14     
   0.001185       11.278020        -5.983080e-14     
   0.001185       11.563042        -4.338734e-14     
   0.001185       11.841155        -3.101987e-14     
   0.001185       12.111608        -2.193870e-14     
   0.001185       12.373673        -1.539554e-14     
   0.001185       12.626644        -1.075030e-14     
   0.001185       12.869837        -7.490448e-15     
   0.001185       13.102598        -5.223928e-15     
   0.001185       13.324299        -3.657292e-15     
   0.001185       13.534343        -2.571239e-15     
   0.001185       13.732162        -1.816008e-15     
   0.001185       13.917225        -1.289678e-15     
   0.001185       14.089032        -9.228681e-16     
   0.001185       14.247120        -6.667835e-16     
   0.001185       14.391062        -4.849051e-16     
   0.001185       14.520471        -3.595833e-16     
   0.001185       14.634998        -2.690322e-16     
   0.001185       14.734334        -2.035013e-16     
   0.001185       14.818211        -1.568430e-16     
   0.001185       14.886403        -1.188262e-16     
   0.001185       14.938727        -8.616581e-17     
   0.001185       14.975043        -5.824905e-17     
   0.001185       14.995261        -3.463619e-17     
   0.006239       0.001185         -7.782030e-16     
   0.006239       0.006239         1.000000e+00      
   0.006239       0.015318         -2.398753e-13     
   0.006239       0.028399         -8.778120e-13     
   0.006239       0.045447         -2.001015e-12     
   0.006239       0.066417         -2.422763e-12     
   0.006239       0.091251         2.642941e-12      
   0.006239       0.119882         2.585221e-11      
   0.006239       0.152235         9.413951e-11      
   0.006239       0.188220         2.566690e-10      
   0.006239       0.227742         5.925344e-10      
   0.006239       0.270694         1.215244e-09      
   0.006239       0.316959         2.270552e-09      
   0.006239       0.366414         3.924976e-09      
   0.006239       0.418925         6.344458e-09      
   0.006239       0.474351         9.665227e-09      
   0.006239       0.532541         1.396104e-08      
   0.006239       0.593339         1.921179e-08      
   0.006239       0.656582         2.527800e-08      
   0.006239       0.722098         3.188527e-08      
   0.006239       0.789711         3.862221e-08      
   0.006239       0.859239         4.495617e-08      
   0.006239       0.930495         5.027049e-08      
   0.006239       1.003286         5.392583e-08      
   0.006239       1.077416         5.534365e-08      
   0.006239       1.152685         5.410207e-08      
   0.006239       1.228890         5.002621e-08      
   0.006239       1.305826         4.324839e-08      
   0.006239       1.383286         3.421474e-08      
   0.006239       1.461060         2.362641e-08      
   0.006239       1.538940         1.232154e-08      
   0.006239       1.616714         1.131047e-09      
   0.006239       1.694174         -9.254638e-09     
   0.006239       1.771110         -1.836600e-08     
   0.006239       1.847315         -2.597270e-08     
   0.006239       1.922584         -3.204425e-08     
   0.006239       1.996714         -3.668289e-08     
   0.006239       2.069505         -4.005684e-08     
   0.006239       2.140761         -4.235120e-08     
   0.006239       2.210289         -4.374170e-08     
   0.006239       2.277902         -4.438367e-08     
   0.006239       2.343418         -4.441099e-08     
   0.006239       2.406661         -4.393939e-08     
   0.006239       2.467459         -4.306776e-08     
   0.006239       2.525649         -4.188024e-08     
   0.006239       2.581075         -4.044816e-08     
   0.006239       2.633586         -3.883056e-08     
   0.006239       2.683041         -3.707522e-08     
   0.006239       2.729306         -3.521959e-08     
   0.006239       2.772258         -3.329152e-08     
   0.006239       2.811780         -3.130982e-08     
   0.006239       2.847765         -2.928492e-08     
   0.006239       2.880118         -2.721849e-08     
   0.006239       2.908749         -2.510252e-08     
   0.006239       2.933583         -2.291840e-08     
   0.006239       2.954553         -2.063174e-08     
   0.006239       2.971601         -1.818461e-08     
   0.006239       2.984682         -1.547399e-08     
   0.006239       2.993761         -1.228939e-08     
   0.006239       2.998815         -8.034503e-09     
   0.006239       3.004739         -1.601051e-08     
   0.006239       3.024957         -2.410693e-08     
   0.006239       3.061273         -2.948688e-08     
   0.006239       3.113597         -3.318283e-08     
   0.006239       3.181789         -3.548642e-08     
   0.006239       3.265666         -3.651035e-08     
   0.006239       3.365002         -3.632708e-08     
   0.006239       3.479529         -3.502435e-08     
   0.006239       3.608938         -3.273377e-08     
   0.006239       3.752880         -2.963853e-08     
   0.006239       3.910968         -2.596845e-08     
   0.006239       4.082775         -2.198239e-08     
   0.006239       4.267838         -1.794309e-08     
   0.006239       4.465657         -1.408959e-08     
   0.006239       4.675701         -1.061307e-08     
   0.006239       4.897402         -7.641048e-09     
   0.006239       5.130163         -5.232389e-09     
   0.006239       5.373356         -3.383187e-09     
   0.006239       5.626327         -2.041093e-09     
   0.006239       5.888392         -1.123850e-09     
   0.006239       6.158845         -5.376546e-10     
   0.006239       6.436958         -1.919521e-10     
   0.006239       6.721980         -8.958749e-12     
   0.006239       7.013143         7.211516e-11      
   0.006239       7.309662         9.492367e-11      
   0.006239       7.610739         8.838383e-11      
   0.006239       7.915560         7.015255e-11      
   0.006239       8.223305         4.986656e-11      
   0.006239       8.533144         3.215901e-11      
   0.006239       8.844241         1.860036e-11      
   0.006239       9.155759         9.177515e-12      
   0.006239       9.466856         3.203453e-12      
   0.006239       9.776695         -2.078295e-13     
   0.006239       10.084440        -1.885149e-12     
   0.006239       10.389261        -5.841457e-12     
   0.006239       10.690338        -4.543186e-12     
   0.006239       10.986857        -3.435211e-12     
