#       k             kp                  V           
   0.001185       0.001185         -2.805278e-06     
   0.001185       0.006239         -1.815390e-05     
   0.001185       0.015318         -4.171273e-05     
   0.001185       0.028399         -7.826585e-05     
   0.001185       0.045447         -1.245855e-04     
   0.001185       0.066417         -1.808761e-04     
   0.001185       0.091251         -2.457880e-04     
   0.001185       0.119882         -3.175062e-04     
   0.001185       0.152235         -3.935190e-04     
   0.001185       0.188220         -4.706365e-04     
   0.001185       0.227742         -5.451515e-04     
   0.001185       0.270694         -6.131407e-04     
   0.001185       0.316959         -6.708730e-04     
   0.001185       0.366414         -7.152446e-04     
   0.001185       0.418925         -7.441361e-04     
   0.001185       0.474351         -7.566062e-04     
   0.001185       0.532541         -7.528825e-04     
   0.001185       0.593339         -7.341800e-04     
   0.001185       0.656582         -7.024125e-04     
   0.001185       0.722098         -6.598778e-04     
   0.001185       0.789711         -6.089870e-04     
   0.001185       0.859239         -5.520697e-04     
   0.001185       0.930495         -4.912553e-04     
   0.001185       1.003286         -4.284220e-04     
   0.001185       1.077416         -3.651918e-04     
   0.001185       1.152685         -3.029475e-04     
   0.001185       1.228890         -2.428592e-04     
   0.001185       1.305826         -1.859086e-04     
   0.001185       1.383286         -1.329078e-04     
   0.001185       1.461060         -8.451033e-05     
   0.001185       1.538940         -4.121024e-05     
   0.001185       1.616714         -3.345972e-06     
   0.001185       1.694174         2.890766e-05      
   0.001185       1.771110         5.553290e-05      
   0.001185       1.847315         7.667032e-05      
   0.001185       1.922584         9.260425e-05      
   0.001185       1.996714         1.037441e-04      
   0.001185       2.069505         1.105989e-04      
   0.001185       2.140761         1.137469e-04      
   0.001185       2.210289         1.138049e-04      
   0.001185       2.277902         1.113935e-04      
   0.001185       2.343418         1.071085e-04      
   0.001185       2.406661         1.015001e-04      
   0.001185       2.467459         9.505261e-05      
   0.001185       2.525649         8.817516e-05      
   0.001185       2.581075         8.119979e-05      
   0.001185       2.633586         7.438211e-05      
   0.001185       2.683041         6.790811e-05      
   0.001185       2.729306         6.190341e-05      
   0.001185       2.772258         5.644381e-05      
   0.001185       2.811780         5.156592e-05      
   0.001185       2.847765         4.727796e-05      
   0.001185       2.880118         4.356794e-05      
   0.001185       2.908749         4.041088e-05      
   0.001185       2.933583         3.777631e-05      
   0.001185       2.954553         3.563080e-05      
   0.001185       2.971601         3.394307e-05      
   0.001185       2.984682         3.268561e-05      
   0.001185       2.993761         3.183600e-05      
   0.001185       2.998815         3.137832e-05      
   0.001185       3.004739         3.077365e-05      
   0.001185       3.024957         2.884370e-05      
   0.001185       3.061273         2.564024e-05      
   0.001185       3.113597         2.149033e-05      
   0.001185       3.181789         1.684093e-05      
   0.001185       3.265666         1.220542e-05      
   0.001185       3.365002         8.073253e-06      
   0.001185       3.479529         4.800414e-06      
   0.001185       3.608938         2.526000e-06      
   0.001185       3.752880         1.161003e-06      
   0.001185       3.910968         4.643466e-07      
   0.001185       4.082775         1.641304e-07      
   0.001185       4.267838         5.316934e-08      
   0.001185       4.465657         1.618822e-08      
   0.001185       4.675701         4.483923e-09      
   0.001185       4.897402         1.048348e-09      
   0.001185       5.130163         1.950238e-10      
   0.001185       5.373356         2.839300e-11      
   0.001185       5.626327         3.286602e-12      
   0.001185       5.888392         3.080039e-13      
   0.001185       6.158845         2.324730e-14      
   0.001185       6.436958         1.385939e-15      
   0.001185       6.721980         6.481530e-17      
   0.001185       7.013143         2.398658e-18      
   0.001185       7.309662         7.063452e-20      
   0.001185       7.610739         1.651607e-21      
   0.001185       7.915560         3.074858e-23      
   0.001185       8.223305         4.592529e-25      
   0.001185       8.533144         5.531895e-27      
   0.001185       8.844241         5.408989e-29      
   0.001185       9.155759         4.338230e-31      
   0.001185       9.466856         2.886941e-33      
   0.001185       9.776695         1.615098e-35      
   0.001185       10.084440        7.718027e-38      
   0.001185       10.389261        3.206437e-40      
   0.001185       10.690338        1.180997e-42      
   0.001185       10.986857        3.940632e-45      
   0.001185       11.278020        -4.721219e-46     
   0.001185       11.563042        -1.079447e-43     
   0.001185       11.841155        5.488021e-41      
   0.001185       12.111608        3.352917e-38      
   0.001185       12.373673        1.003758e-36      
   0.001185       12.626644        -3.751271e-33     
   0.001185       12.869837        -9.317947e-31     
   0.001185       13.102598        6.964722e-29      
   0.001185       13.324299        5.531943e-26      
   0.001185       13.534343        6.035764e-24      
   0.001185       13.732162        -3.178636e-22     
   0.001185       13.917225        -9.581353e-20     
   0.001185       14.089032        -5.592181e-18     
   0.001185       14.247120        -3.856020e-17     
   0.001185       14.391062        8.718038e-15      
   0.001185       14.520471        2.978026e-13      
   0.001185       14.634998        3.512510e-12      
   0.001185       14.734334        1.987171e-11      
   0.001185       14.818211        6.764477e-11      
   0.001185       14.886403        1.706903e-10      
   0.001185       14.938727        3.968157e-10      
   0.001185       14.975043        1.172740e-09      
   0.001185       14.995261        -6.878055e-07     
   0.006239       0.001185         -1.815390e-05     
   0.006239       0.006239         -9.092384e-05     
   0.006239       0.015318         -2.204019e-04     
   0.006239       0.028399         -4.119264e-04     
   0.006239       0.045447         -6.559887e-04     
   0.006239       0.066417         -9.523927e-04     
   0.006239       0.091251         -1.294181e-03     
   0.006239       0.119882         -1.671811e-03     
   0.006239       0.152235         -2.072059e-03     
   0.006239       0.188220         -2.478128e-03     
   0.006239       0.227742         -2.870499e-03     
   0.006239       0.270694         -3.228515e-03     
   0.006239       0.316959         -3.532529e-03     
   0.006239       0.366414         -3.766197e-03     
   0.006239       0.418925         -3.918357e-03     
   0.006239       0.474351         -3.984048e-03     
   0.006239       0.532541         -3.964467e-03     
   0.006239       0.593339         -3.866009e-03     
   0.006239       0.656582         -3.698750e-03     
   0.006239       0.722098         -3.474788e-03     
   0.006239       0.789711         -3.206821e-03     
   0.006239       0.859239         -2.907115e-03     
   0.006239       0.930495         -2.586884e-03     
   0.006239       1.003286         -2.256018e-03     
   0.006239       1.077416         -1.923060e-03     
   0.006239       1.152685         -1.595291e-03     
   0.006239       1.228890         -1.278874e-03     
   0.006239       1.305826         -9.789790e-04     
   0.006239       1.383286         -6.998824e-04     
   0.006239       1.461060         -4.450250e-04     
   0.006239       1.538940         -2.170102e-04     
   0.006239       1.616714         -1.761898e-05     
   0.006239       1.694174         1.522264e-04      
   0.006239       1.771110         2.924341e-04      
   0.006239       1.847315         4.037432e-04      
   0.006239       1.922584         4.876511e-04      
   0.006239       1.996714         5.463135e-04      
   0.006239       2.069505         5.824112e-04      
   0.006239       2.140761         5.989892e-04      
   0.006239       2.210289         5.992950e-04      
   0.006239       2.277902         5.865971e-04      
   0.006239       2.343418         5.640329e-04      
   0.006239       2.406661         5.344994e-04      
   0.006239       2.467459         5.005472e-04      
   0.006239       2.525649         4.643309e-04      
   0.006239       2.581075         4.275989e-04      
   0.006239       2.633586         3.916972e-04      
   0.006239       2.683041         3.576053e-04      
   0.006239       2.729306         3.259846e-04      
   0.006239       2.772258         2.972344e-04      
   0.006239       2.811780         2.715475e-04      
   0.006239       2.847765         2.489672e-04      
   0.006239       2.880118         2.294302e-04      
   0.006239       2.908749         2.128051e-04      
