#       k             kp                 V11                    V12                    V21                    V22          
   0.001185       0.001185         -2.544573e-07          3.725029e-12           3.725029e-12           0.000000e+00      
   0.001185       0.006239         -1.339991e-06          5.439602e-10           1.961592e-11           -1.949833e-15     
   0.001185       0.015318         -3.292638e-06          8.050027e-09           4.807859e-11           -2.885544e-14     
   0.001185       0.028399         -6.118189e-06          5.120215e-08           8.871119e-11           -1.825811e-13     
   0.001185       0.045447         -9.832768e-06          2.085644e-07           1.405268e-10           -7.386923e-13     
   0.001185       0.066417         -1.447572e-05          6.437416e-07           2.015298e-10           -2.252959e-12     
   0.001185       0.091251         -2.012497e-05          1.640133e-06           2.683505e-10           -5.622912e-12     
   0.001185       0.119882         -2.689556e-05          3.620881e-06           3.360499e-10           -1.201483e-11     
   0.001185       0.152235         -3.493391e-05          7.135700e-06           3.983183e-10           -2.255445e-11     
   0.001185       0.188220         -4.437869e-05          1.279857e-05           4.482578e-10           -3.773817e-11     
   0.001185       0.227742         -5.531738e-05          2.117167e-05           4.797684e-10           -5.668656e-11     
   0.001185       0.270694         -6.772606e-05          3.261682e-05           4.892396e-10           -7.661266e-11     
   0.001185       0.316959         -8.142202e-05          4.716376e-05           4.768826e-10           -9.306415e-11     
   0.001185       0.366414         -9.605732e-05          6.445814e-05           4.468906e-10           -1.013612e-10     
   0.001185       0.418925         -1.111697e-04          8.382899e-05           4.059688e-10           -9.898964e-11     
   0.001185       0.474351         -1.262758e-04          1.044498e-04           3.606835e-10           -8.771178e-11     
   0.001185       0.532541         -1.409601e-04          1.254988e-04           3.150664e-10           -7.359651e-11     
   0.001185       0.593339         -1.549030e-04          1.462143e-04           2.700885e-10           -6.399825e-11     
   0.001185       0.656582         -1.678343e-04          1.658321e-04           2.254254e-10           -6.283066e-11     
   0.001185       0.722098         -1.794595e-04          1.835159e-04           1.819881e-10           -6.764870e-11     
   0.001185       0.789711         -1.894416e-04          1.984359e-04           1.427768e-10           -7.154528e-11     
   0.001185       0.859239         -1.974734e-04          2.100088e-04           1.110455e-10           -6.897231e-11     
   0.001185       0.930495         -2.033797e-04          2.181123e-04           8.756761e-11           -6.044090e-11     
   0.001185       1.003286         -2.071502e-04          2.230485e-04           6.999711e-11           -5.142789e-11     
   0.001185       1.077416         -2.088652e-04          2.252551e-04           5.518150e-11           -4.650588e-11     
   0.001185       1.152685         -2.085987e-04          2.250338e-04           4.193287e-11           -4.498172e-11     
   0.001185       1.228890         -2.063984e-04          2.225436e-04           3.123016e-11           -4.268484e-11     
   0.001185       1.305826         -2.023497e-04          2.179997e-04           2.396594e-11           -3.733990e-11     
   0.001185       1.383286         -1.966265e-04          2.117875e-04           1.925693e-11           -3.091166e-11     
   0.001185       1.461060         -1.894624e-04          2.043436e-04           1.529578e-11           -2.655258e-11     
   0.001185       1.538940         -1.810820e-04          1.959721e-04           1.129123e-11           -2.463716e-11     
   0.001185       1.616714         -1.716798e-04          1.868251e-04           7.886161e-12           -2.286699e-11     
   0.001185       1.694174         -1.614552e-04          1.770420e-04           5.798244e-12           -1.958638e-11     
   0.001185       1.771110         -1.506427e-04          1.668431e-04           4.716298e-12           -1.562032e-11     
   0.001185       1.847315         -1.394933e-04          1.564763e-04           3.749039e-12           -1.271446e-11     
   0.001185       1.922584         -1.282334e-04          1.461171e-04           2.505307e-12           -1.124477e-11     
   0.001185       1.996714         -1.170509e-04          1.358556e-04           1.338129e-12           -1.010487e-11     
   0.001185       2.069505         -1.061096e-04          1.257654e-04           6.795505e-13           -8.328188e-12     
   0.001185       2.140761         -9.556370e-05          1.159522e-04           4.854612e-13           -6.105512e-12     
   0.001185       2.210289         -8.555093e-05          1.065359e-04           3.763490e-13           -4.248358e-12     
   0.001185       2.277902         -7.617665e-05          9.760636e-05           9.815831e-14           -3.165849e-12     
   0.001185       2.343418         -6.750760e-05          8.920830e-05           -2.869706e-13          -2.576302e-12     
   0.001185       2.406661         -5.957845e-05          8.136035e-05           -5.767727e-13          -1.980206e-12     
   0.001185       2.467459         -5.240187e-05          7.407825e-05           -6.680089e-13          -1.163073e-12     
   0.001185       2.525649         -4.597396e-05          6.738020e-05           -6.176406e-13          -2.633296e-13     
   0.001185       2.581075         -4.027520e-05          6.127814e-05           -5.469434e-13          4.742553e-13      
   0.001185       2.633586         -3.527110e-05          5.576921e-05           -5.340297e-13          9.258599e-13      
   0.001185       2.683041         -3.091521e-05          5.083507e-05           -5.821460e-13          1.132723e-12      
   0.001185       2.729306         -2.715373e-05          4.644710e-05           -6.512665e-13          1.215828e-12      
   0.001185       2.772258         -2.393011e-05          4.257239e-05           -7.013613e-13          1.280315e-12      
   0.001185       2.811780         -2.118846e-05          3.917751e-05           -7.145874e-13          1.374010e-12      
   0.001185       2.847765         -1.887564e-05          3.622985e-05           -6.944731e-13          1.496021e-12      
   0.001185       2.880118         -1.694245e-05          3.369792e-05           -6.548537e-13          1.624051e-12      
   0.001185       2.908749         -1.534437e-05          3.155154e-05           -6.097918e-13          1.736495e-12      
   0.001185       2.933583         -1.404207e-05          2.976237e-05           -5.686947e-13          1.821911e-12      
   0.001185       2.954553         -1.300165e-05          2.830461e-05           -5.358166e-13          1.879008e-12      
   0.001185       2.971601         -1.219482e-05          2.715568e-05           -5.118163e-13          1.912708e-12      
   0.001185       2.984682         -1.159889e-05          2.629680e-05           -4.955844e-13          1.930102e-12      
   0.001185       2.993761         -1.119668e-05          2.571335e-05           -4.855556e-13          1.937804e-12      
   0.001185       2.998815         -1.097630e-05          2.539497e-05           -4.804132e-13          1.940685e-12      
   0.001185       3.004739         -1.072663e-05          2.500535e-05           -4.749858e-13          1.941150e-12      
   0.001185       3.024957         -9.898363e-06          2.372525e-05           -4.596862e-13          1.932821e-12      
   0.001185       3.061273         -8.517525e-06          2.155276e-05           -4.438100e-13          1.880582e-12      
   0.001185       3.113597         -6.765340e-06          1.867301e-05           -4.357885e-13          1.752211e-12      
   0.001185       3.181789         -4.870513e-06          1.533677e-05           -4.167011e-13          1.578105e-12      
   0.001185       3.265666         -3.072060e-06          1.183921e-05           -3.463909e-13          1.433521e-12      
   0.001185       3.365002         -1.576727e-06          8.493087e-06           -2.417483e-13          1.275742e-12      
   0.001185       3.479529         -5.155450e-07          5.581851e-06           -1.756143e-13          9.814513e-13      
   0.001185       3.608938         8.817960e-08           3.295511e-06           -1.268942e-13          6.607251e-13      
   0.001185       3.752880         3.130855e-07           1.700832e-06           -6.256430e-14          4.273236e-13      
   0.001185       3.910968         2.985493e-07           7.415952e-07           -3.005570e-14          2.182423e-13      
   0.001185       4.082775         1.903593e-07           2.593628e-07           -1.007872e-14          9.084588e-14      
   0.001185       4.267838         8.778499e-08           6.715604e-08           -1.019667e-15          2.737315e-14      
   0.001185       4.465657         2.797776e-08           1.121184e-08           7.989158e-16           3.444413e-15      
   0.001185       4.675701         4.877709e-09           1.031123e-09           6.838679e-16           -1.258699e-15     
   0.001185       4.897402         -3.212100e-10          2.693433e-10           2.448317e-16           -8.806110e-16     
   0.001185       5.130163         -4.578335e-10          1.803444e-10           4.526740e-17           -2.333202e-16     
