#       k             kp                  V           
   0.001185       0.001185         -2.727861e-12     
   0.001185       0.006239         -7.468986e-11     
   0.001185       0.015318         -4.501594e-10     
   0.001185       0.028399         -1.542843e-09     
   0.001185       0.045447         -3.925095e-09     
   0.001185       0.066417         -8.287193e-09     
   0.001185       0.091251         -1.535197e-08     
   0.001185       0.119882         -2.574567e-08     
   0.001185       0.152235         -3.982744e-08     
   0.001185       0.188220         -5.750780e-08     
   0.001185       0.227742         -7.810102e-08     
   0.001185       0.270694         -1.002956e-07     
   0.001185       0.316959         -1.222973e-07     
   0.001185       0.366414         -1.421535e-07     
   0.001185       0.418925         -1.581837e-07     
   0.001185       0.474351         -1.693605e-07     
   0.001185       0.532541         -1.754808e-07     
   0.001185       0.593339         -1.770574e-07     
   0.001185       0.656582         -1.750159e-07     
   0.001185       0.722098         -1.703803e-07     
   0.001185       0.789711         -1.640964e-07     
   0.001185       0.859239         -1.569924e-07     
   0.001185       0.930495         -1.497624e-07     
   0.001185       1.003286         -1.428969e-07     
   0.001185       1.077416         -1.366156e-07     
   0.001185       1.152685         -1.309018e-07     
   0.001185       1.228890         -1.256393e-07     
   0.001185       1.305826         -1.207286e-07     
   0.001185       1.383286         -1.160934e-07     
   0.001185       1.461060         -1.116251e-07     
   0.001185       1.538940         -1.071766e-07     
   0.001185       1.616714         -1.026243e-07     
   0.001185       1.694174         -9.791732e-08     
   0.001185       1.771110         -9.305924e-08     
   0.001185       1.847315         -8.805923e-08     
   0.001185       1.922584         -8.291834e-08     
   0.001185       1.996714         -7.765491e-08     
   0.001185       2.069505         -7.232315e-08     
   0.001185       2.140761         -6.699943e-08     
   0.001185       2.210289         -6.175553e-08     
   0.001185       2.277902         -5.664736e-08     
   0.001185       2.343418         -5.172183e-08     
   0.001185       2.406661         -4.702539e-08     
   0.001185       2.467459         -4.260318e-08     
   0.001185       2.525649         -3.849163e-08     
   0.001185       2.581075         -3.471304e-08     
   0.001185       2.633586         -3.127575e-08     
   0.001185       2.683041         -2.817796e-08     
   0.001185       2.729306         -2.541158e-08     
   0.001185       2.772258         -2.296446e-08     
   0.001185       2.811780         -2.082132e-08     
   0.001185       2.847765         -1.896440e-08     
   0.001185       2.880118         -1.737426e-08     
   0.001185       2.908749         -1.603086e-08     
   0.001185       2.933583         -1.491474e-08     
   0.001185       2.954553         -1.400789e-08     
   0.001185       2.971601         -1.329450e-08     
   0.001185       2.984682         -1.276137e-08     
   0.001185       2.993761         -1.239823e-08     
   0.001185       2.998815         -1.219781e-08     
   0.001185       3.004739         -1.197261e-08     
   0.001185       3.024957         -1.121488e-08     
   0.001185       3.061273         -9.920691e-09     
   0.001185       3.113597         -8.216882e-09     
   0.001185       3.181789         -6.277567e-09     
   0.001185       3.265666         -4.309732e-09     
   0.001185       3.365002         -2.526617e-09     
   0.001185       3.479529         -1.103968e-09     
   0.001185       3.608938         -1.400534e-10     
   0.001185       3.752880         3.600768e-10      
   0.001185       3.910968         4.892331e-10      
   0.001185       4.082775         4.009755e-10      
   0.001185       4.267838         2.428974e-10      
   0.001185       4.465657         1.121218e-10      
   0.001185       4.675701         3.849462e-11      
   0.001185       4.897402         9.249065e-12      
   0.001185       5.130163         1.334444e-12      
   0.001185       5.373356         5.041411e-14      
   0.001185       5.626327         -1.881442e-14     
   0.001185       5.888392         -3.466538e-15     
   0.001185       6.158845         -1.776953e-16     
   0.001185       6.436958         2.083557e-17      
   0.001185       6.721980         5.277866e-18      
   0.001185       7.013143         5.867557e-19      
   0.001185       7.309662         4.066999e-20      
   0.001185       7.610739         2.090590e-21      
   0.001185       7.915560         1.079252e-22      
   0.001185       8.223305         5.489988e-24      
   0.001185       8.533144         1.957363e-25      
   0.001185       8.844241         3.744155e-27      
   0.001185       9.155759         -8.682758e-30     
   0.001185       9.466856         -3.870022e-30     
   0.001185       9.776695         -1.738180e-31     
   0.001185       10.084440        -4.416779e-33     
   0.001185       10.389261        -6.708802e-35     
   0.001185       10.690338        -3.811131e-37     
   0.001185       10.986857        1.121600e-38      
   0.001185       11.278020        1.458739e-38      
   0.001185       11.563042        1.044975e-36      
   0.001185       11.841155        -8.892424e-36     
   0.001185       12.111608        -3.552094e-33     
   0.001185       12.373673        -1.069504e-32     
   0.001185       12.626644        1.636318e-29      
   0.001185       12.869837        7.527720e-28      
   0.001185       13.102598        -1.104347e-26     
   0.001185       13.324299        -1.489278e-24     
   0.001185       13.534343        -2.108494e-23     
   0.001185       13.732162        1.208167e-21      
   0.001185       13.917225        5.883449e-20      
   0.001185       14.089032        7.130311e-19      
   0.001185       14.247120        -5.218587e-18     
   0.001185       14.391062        -1.681070e-16     
   0.001185       14.520471        -1.397124e-15     
   0.001185       14.634998        -6.234612e-15     
   0.001185       14.734334        -1.855313e-14     
   0.001185       14.818211        -4.278138e-14     
   0.001185       14.886403        -8.758788e-14     
   0.001185       14.938727        -1.856833e-13     
   0.001185       14.975043        1.765572e-13      
   0.001185       14.995261        3.519312e-10      
   0.006239       0.001185         -7.468986e-11     
   0.006239       0.006239         -2.068956e-09     
   0.006239       0.015318         -1.248316e-08     
   0.006239       0.028399         -4.278386e-08     
   0.006239       0.045447         -1.088450e-07     
   0.006239       0.066417         -2.298083e-07     
   0.006239       0.091251         -4.257185e-07     
   0.006239       0.119882         -7.139415e-07     
   0.006239       0.152235         -1.104437e-06     
   0.006239       0.188220         -1.594722e-06     
   0.006239       0.227742         -2.165784e-06     
   0.006239       0.270694         -2.781252e-06     
   0.006239       0.316959         -3.391370e-06     
   0.006239       0.366414         -3.941994e-06     
   0.006239       0.418925         -4.386520e-06     
   0.006239       0.474351         -4.696460e-06     
   0.006239       0.532541         -4.866177e-06     
   0.006239       0.593339         -4.909899e-06     
   0.006239       0.656582         -4.853288e-06     
   0.006239       0.722098         -4.724739e-06     
   0.006239       0.789711         -4.550483e-06     
   0.006239       0.859239         -4.353487e-06     
   0.006239       0.930495         -4.152994e-06     
   0.006239       1.003286         -3.962613e-06     
   0.006239       1.077416         -3.788428e-06     
   0.006239       1.152685         -3.629982e-06     
   0.006239       1.228890         -3.484050e-06     
   0.006239       1.305826         -3.347875e-06     
   0.006239       1.383286         -3.219338e-06     
   0.006239       1.461060         -3.095429e-06     
   0.006239       1.538940         -2.972072e-06     
   0.006239       1.616714         -2.845834e-06     
   0.006239       1.694174         -2.715307e-06     
