#       k             kp                 V11                    V12                    V21                    V22          
   0.001947       0.001947         1.638600e+00           -1.575565e-05          -1.575565e-05          5.742842e-11      
   0.001947       0.010250         1.638751e+00           -4.367081e-04          -1.574805e-05          1.592222e-09      
   0.001947       0.025159         1.639543e+00           -2.628288e-03          -1.570854e-05          9.568189e-09      
   0.001947       0.046627         1.641846e+00           -8.999425e-03          -1.559406e-05          3.261833e-08      
   0.001947       0.074585         1.646859e+00           -2.286928e-02          -1.534685e-05          8.209641e-08      
   0.001947       0.108938         1.656010e+00           -4.817491e-02          -1.490278e-05          1.699078e-07      
   0.001947       0.149573         1.670767e+00           -8.895531e-02          -1.420586e-05          3.048016e-07      
   0.001947       0.196355         1.692381e+00           -1.486086e-01          -1.322731e-05          4.876832e-07      
   0.001947       0.249129         1.721576e+00           -2.290380e-01          -1.198278e-05          7.078265e-07      
   0.001947       0.307719         1.758303e+00           -3.299402e-01          -1.053857e-05          9.426450e-07      
   0.001947       0.371930         1.801642e+00           -4.485363e-01          -8.999974e-06          1.162567e-06      
   0.001947       0.441550         1.849925e+00           -5.799289e-01          -7.484266e-06          1.339558e-06      
   0.001947       0.516347         1.901053e+00           -7.180051e-01          -6.091037e-06          1.455188e-06      
   0.001947       0.596072         1.952899e+00           -8.565601e-01          -4.882967e-06          1.504316e-06      
   0.001947       0.680461         2.003640e+00           -9.902597e-01          -3.882787e-06          1.493551e-06      
   0.001947       0.769234         2.051952e+00           -1.115196e+00          -3.082379e-06          1.436495e-06      
   0.001947       0.862094         2.097058e+00           -1.229007e+00          -2.456090e-06          1.348720e-06      
   0.001947       0.958735         2.138648e+00           -1.330688e+00          -1.972158e-06          1.244237e-06      
   0.001947       1.058835         2.176766e+00           -1.420245e+00          -1.599929e-06          1.133879e-06      
   0.001947       1.162061         2.211674e+00           -1.498350e+00          -1.313215e-06          1.025069e-06      
   0.001947       1.268071         2.243744e+00           -1.566031e+00          -1.091137e-06          9.223402e-07      
   0.001947       1.376513         2.273373e+00           -1.624456e+00          -9.177170e-07          8.280684e-07      
   0.001947       1.487025         2.300930e+00           -1.674786e+00          -7.809892e-07          7.431728e-07      
   0.001947       1.599241         2.326695e+00           -1.718073e+00          -6.720837e-07          6.676585e-07      
   0.001947       1.712789         2.350846e+00           -1.755215e+00          -5.844396e-07          6.010106e-07      
   0.001947       1.827291         2.373420e+00           -1.786918e+00          -5.131856e-07          5.424505e-07      
   0.001947       1.942367         2.394297e+00           -1.813686e+00          -4.546786e-07          4.910964e-07      
   0.001947       2.057633         2.413172e+00           -1.835806e+00          -4.061659e-07          4.460566e-07      
   0.001947       2.172709         2.429535e+00           -1.853336e+00          -3.655431e-07          4.064801e-07      
   0.001947       2.287211         2.442661e+00           -1.866119e+00          -3.311822e-07          3.715838e-07      
   0.001947       2.400759         2.451600e+00           -1.873778e+00          -3.018070e-07          3.406602e-07      
   0.001947       2.512975         2.455191e+00           -1.875745e+00          -2.764057e-07          3.130811e-07      
   0.001947       2.623487         2.452100e+00           -1.871290e+00          -2.541679e-07          2.882948e-07      
   0.001947       2.731929         2.440885e+00           -1.859586e+00          -2.344414e-07          2.658242e-07      
   0.001947       2.837939         2.420093e+00           -1.839793e+00          -2.167013e-07          2.452637e-07      
   0.001947       2.941165         2.388397e+00           -1.811159e+00          -2.005290e-07          2.262779e-07      
   0.001947       3.041265         2.205241e+00           -1.585243e+00          -2.167547e-07          2.062178e-07      
   0.001947       3.137906         2.137883e+00           -1.534816e+00          -2.048688e-07          1.914778e-07      
   0.001947       3.230766         2.059100e+00           -1.476534e+00          -1.934183e-07          1.776744e-07      
   0.001947       3.319539         1.969919e+00           -1.411137e+00          -1.822477e-07          1.646604e-07      
   0.001947       3.403928         1.872029e+00           -1.339816e+00          -1.712783e-07          1.523458e-07      
   0.001947       3.483653         1.767690e+00           -1.264166e+00          -1.605020e-07          1.406929e-07      
   0.001947       3.558450         1.659602e+00           -1.186086e+00          -1.499714e-07          1.297076e-07      
   0.001947       3.628070         1.550692e+00           -1.107634e+00          -1.397855e-07          1.194283e-07      
   0.001947       3.692281         1.443896e+00           -1.030870e+00          -1.300716e-07          1.099124e-07      
   0.001947       3.750871         1.341937e+00           -9.577062e-01          -1.209671e-07          1.012227e-07      
   0.001947       3.803645         1.247175e+00           -8.897957e-01          -1.126032e-07          9.341708e-08      
   0.001947       3.850427         1.161495e+00           -8.284548e-01          -1.050932e-07          8.654044e-08      
   0.001947       3.891062         1.086282e+00           -7.746511e-01          -9.852533e-08          8.062120e-08      
   0.001947       3.925415         1.022459e+00           -7.290228e-01          -9.296130e-08          7.567139e-08      
   0.001947       3.953373         9.705621e-01           -6.919369e-01          -8.843865e-08          7.168945e-08      
   0.001947       3.974841         9.308403e-01           -6.635610e-01          -8.497612e-08          6.866500e-08      
   0.001947       3.989750         9.033631e-01           -6.439372e-01          -8.257980e-08          6.658372e-08      
   0.001947       3.998053         8.881098e-01           -6.330447e-01          -8.124890e-08          6.543189e-08      
   0.001947       4.008499         8.689768e-01           -6.193838e-01          -7.957884e-08          6.399063e-08      
   0.001947       4.044761         8.031733e-01           -5.724115e-01          -7.382703e-08          5.906081e-08      
   0.001947       4.109915         6.882323e-01           -4.904054e-01          -6.373859e-08          5.053595e-08      
   0.001947       4.203828         5.334196e-01           -3.800236e-01          -5.002508e-08          3.918133e-08      
   0.001947       4.326294         3.584293e-01           -2.553324e-01          -3.426331e-08          2.644387e-08      
   0.001947       4.477040         1.948170e-01           -1.387980e-01          -1.913787e-08          1.453184e-08      
   0.001947       4.655730         7.660985e-02           -5.460822e-02          -7.807617e-09          5.830056e-09      
   0.001947       4.861964         1.823080e-02           -1.300933e-02          -1.947942e-09          1.431300e-09      
   0.001947       5.095283         1.973486e-03           -1.411072e-03          -2.235658e-10          1.619079e-10      
   0.001947       5.355166         6.163360e-05           -4.421625e-05          -7.490240e-12          5.359518e-12      
   0.001947       5.641033         2.691141e-07           -1.941056e-07          -3.553368e-14          2.519705e-14      
   0.001947       5.952247         5.213394e-11           -3.792995e-11          -7.593174e-18          5.354260e-18      
   0.001947       6.288112         7.344729e-17           -5.421104e-17          -1.205597e-23          8.485810e-24      
   0.001947       6.647880         4.434595e-26           -3.359411e-26          -8.524186e-33          6.015834e-33      
   0.001947       7.030747         1.394356e-40           -1.117753e-40          -3.435594e-47          2.446144e-47      
   0.001947       7.435859         2.210781e-63           -2.169005e-63          -9.836350e-70          7.147459e-70      
   0.001947       7.862313         -1.522140e-98          1.495679e-99          -7.536519e-105          5.783896e-105     
   0.001947       8.309157        -7.888239e-152          4.213377e-152         -1.926089e-159          2.230113e-159     
   0.001947       8.775393        -3.837138e-234          2.291591e-234          1.739655e-241         -9.142449e-242     
   0.001947       9.259982         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       9.761842         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       10.279853        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       10.812859        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       11.359671        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       11.919069        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       12.489804        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       13.070603        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       13.660171        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       14.257191        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       14.860331        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       15.468245        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       16.079578        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       16.692964        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       17.307036        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       17.920422        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       18.531755        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       19.139669        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       19.742809        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       20.339829        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       20.929397        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       21.510196        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       22.080931        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       22.640329        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       23.187141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       23.720147        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       24.238158        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       24.740018        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       25.224607        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       25.690843        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       26.137687        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       26.564141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       26.969253        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       27.352120        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       27.711888        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       28.047753        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       28.358967        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       28.644834        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       28.904717        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.138036        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.344270        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.522960        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.673706        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.796172        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.890085        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.955239        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.991501        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       0.001947         1.638751e+00           -1.574805e-05          -4.367081e-04          1.592222e-09      
   0.010250       0.010250         1.638902e+00           -4.364974e-04          -4.364974e-04          4.411968e-08      
   0.010250       0.025159         1.639694e+00           -2.627022e-03          -4.354027e-04          2.651303e-07      
   0.010250       0.046627         1.641995e+00           -8.995113e-03          -4.322309e-04          9.038424e-07      
   0.010250       0.074585         1.647005e+00           -2.285844e-02          -4.253808e-04          2.274879e-06      
   0.010250       0.108938         1.656150e+00           -4.815252e-02          -4.130759e-04          4.708180e-06      
   0.010250       0.149573         1.670897e+00           -8.891528e-02          -3.937643e-04          8.446282e-06      
   0.010250       0.196355         1.692499e+00           -1.485449e-01          -3.666476e-04          1.351445e-05      
   0.010250       0.249129         1.721677e+00           -2.289462e-01          -3.321586e-04          1.961569e-05      
   0.010250       0.307719         1.758388e+00           -3.298191e-01          -2.921341e-04          2.612424e-05      
   0.010250       0.371930         1.801709e+00           -4.483888e-01          -2.494906e-04          3.222061e-05      
   0.010250       0.441550         1.849974e+00           -5.797614e-01          -2.074789e-04          3.712774e-05      
   0.010250       0.516347         1.901089e+00           -7.178259e-01          -1.688595e-04          4.033440e-05      
   0.010250       0.596072         1.952923e+00           -8.563781e-01          -1.353710e-04          4.169782e-05      
   0.010250       0.680461         2.003656e+00           -9.900824e-01          -1.076441e-04          4.140080e-05      
   0.010250       0.769234         2.051963e+00           -1.115029e+00          -8.545463e-05          3.982036e-05      
   0.010250       0.862094         2.097064e+00           -1.228852e+00          -6.809183e-05          3.738800e-05      
   0.010250       0.958735         2.138653e+00           -1.330548e+00          -5.467551e-05          3.449222e-05      
   0.010250       1.058835         2.176769e+00           -1.420119e+00          -4.435593e-05          3.143331e-05      
   0.010250       1.162061         2.211676e+00           -1.498238e+00          -3.640711e-05          2.841719e-05      
   0.010250       1.268071         2.243746e+00           -1.565932e+00          -3.025027e-05          2.556951e-05      
   0.010250       1.376513         2.273374e+00           -1.624368e+00          -2.544238e-05          2.295620e-05      
   0.010250       1.487025         2.300931e+00           -1.674708e+00          -2.165177e-05          2.060277e-05      
   0.010250       1.599241         2.326697e+00           -1.718004e+00          -1.863251e-05          1.850937e-05      
   0.010250       1.712789         2.350847e+00           -1.755153e+00          -1.620269e-05          1.666174e-05      
   0.010250       1.827291         2.373421e+00           -1.786863e+00          -1.422727e-05          1.503832e-05      
   0.010250       1.942367         2.394298e+00           -1.813637e+00          -1.260524e-05          1.361466e-05      
   0.010250       2.057633         2.413174e+00           -1.835761e+00          -1.126029e-05          1.236604e-05      
   0.010250       2.172709         2.429537e+00           -1.853295e+00          -1.013409e-05          1.126887e-05      
   0.010250       2.287211         2.442663e+00           -1.866082e+00          -9.181488e-06          1.030145e-05      
   0.010250       2.400759         2.451600e+00           -1.873745e+00          -8.367104e-06          9.444160e-06      
   0.010250       2.512975         2.455191e+00           -1.875714e+00          -7.662892e-06          8.679587e-06      
   0.010250       2.623487         2.452101e+00           -1.871262e+00          -7.046385e-06          7.992439e-06      
   0.010250       2.731929         2.440886e+00           -1.859560e+00          -6.499501e-06          7.369488e-06      
   0.010250       2.837939         2.420094e+00           -1.839770e+00          -6.007684e-06          6.799489e-06      
   0.010250       2.941165         2.388397e+00           -1.811139e+00          -5.559334e-06          6.273144e-06      
   0.010250       3.041265         2.205245e+00           -1.585226e+00          -6.009153e-06          5.717014e-06      
   0.010250       3.137906         2.137887e+00           -1.534801e+00          -5.679636e-06          5.308373e-06      
   0.010250       3.230766         2.059104e+00           -1.476522e+00          -5.362189e-06          4.925700e-06      
   0.010250       3.319539         1.969923e+00           -1.411125e+00          -5.052504e-06          4.564912e-06      
   0.010250       3.403928         1.872032e+00           -1.339805e+00          -4.748396e-06          4.223515e-06      
   0.010250       3.483653         1.767693e+00           -1.264157e+00          -4.449639e-06          3.900458e-06      
   0.010250       3.558450         1.659605e+00           -1.186078e+00          -4.157696e-06          3.595911e-06      
   0.010250       3.628070         1.550696e+00           -1.107627e+00          -3.875311e-06          3.310937e-06      
   0.010250       3.692281         1.443899e+00           -1.030863e+00          -3.606011e-06          3.047124e-06      
   0.010250       3.750871         1.341941e+00           -9.577013e-01          -3.353603e-06          2.806218e-06      
   0.010250       3.803645         1.247178e+00           -8.897907e-01          -3.121728e-06          2.589821e-06      
   0.010250       3.850427         1.161497e+00           -8.284508e-01          -2.913527e-06          2.399180e-06      
   0.010250       3.891062         1.086285e+00           -7.746474e-01          -2.731444e-06          2.235079e-06      
   0.010250       3.925415         1.022462e+00           -7.290195e-01          -2.577191e-06          2.097855e-06      
   0.010250       3.953373         9.705649e-01           -6.919339e-01          -2.451808e-06          1.987463e-06      
   0.010250       3.974841         9.308423e-01           -6.635582e-01          -2.355815e-06          1.903615e-06      
   0.010250       3.989750         9.033658e-01           -6.439346e-01          -2.289381e-06          1.845915e-06      
   0.010250       3.998053         8.881116e-01           -6.330421e-01          -2.252485e-06          1.813983e-06      
   0.010250       4.008499         8.689794e-01           -6.193813e-01          -2.206185e-06          1.774027e-06      
   0.010250       4.044761         8.031754e-01           -5.724093e-01          -2.046726e-06          1.637357e-06      
   0.010250       4.109915         6.882342e-01           -4.904037e-01          -1.767042e-06          1.401020e-06      
   0.010250       4.203828         5.334211e-01           -3.800224e-01          -1.386858e-06          1.086233e-06      
   0.010250       4.326294         3.584303e-01           -2.553317e-01          -9.498907e-07          7.331094e-07      
   0.010250       4.477040         1.948176e-01           -1.387977e-01          -5.305643e-07          4.028696e-07      
   0.010250       4.655730         7.661010e-02           -5.460814e-02          -2.164526e-07          1.616281e-07      
   0.010250       4.861964         1.823086e-02           -1.300932e-02          -5.400330e-08          3.968029e-08      
   0.010250       5.095283         1.973493e-03           -1.411072e-03          -6.197975e-09          4.488615e-09      
   0.010250       5.355166         6.163385e-05           -4.421628e-05          -2.076540e-10          1.485833e-10      
   0.010250       5.641033         2.691153e-07           -1.941059e-07          -9.851101e-13          6.985446e-13      
   0.010250       5.952247         5.213416e-11           -3.793004e-11          -2.105078e-16          1.484376e-16      
   0.010250       6.288112         7.344767e-17           -5.421120e-17          -3.342313e-22          2.352546e-22      
   0.010250       6.647880         4.434621e-26           -3.359424e-26          -2.363186e-31          1.667788e-31      
   0.010250       7.030747         1.394368e-40           -1.117759e-40          -9.524609e-46          6.781522e-46      
   0.010250       7.435859         2.210813e-63           -2.169024e-63          -2.726966e-68          1.981514e-68      
   0.010250       7.862313         -1.522112e-98          1.495497e-99          -2.089379e-103          1.603492e-103     
   0.010250       8.309157        -7.888221e-152          4.213364e-152         -5.339860e-158          6.182676e-158     
   0.010250       8.775393        -3.837139e-234          2.291591e-234          4.822869e-240         -2.534569e-240     
   0.010250       9.259982         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       9.761842         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       10.279853        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       10.812859        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       11.359671        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       11.919069        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       12.489804        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       13.070603        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       13.660171        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       14.257191        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       14.860331        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       15.468245        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       16.079578        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       16.692964        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       17.307036        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       17.920422        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       18.531755        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       19.139669        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       19.742809        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       20.339829        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       20.929397        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       21.510196        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       22.080931        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       22.640329        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       23.187141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       23.720147        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       24.238158        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       24.740018        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       25.224607        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       25.690843        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       26.137687        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       26.564141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       26.969253        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       27.352120        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       27.711888        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.047753        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.358967        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.644834        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.904717        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.138036        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.344270        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.522960        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.673706        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.796172        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.890085        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.955239        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.991501        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.025159       0.001947         1.639543e+00           -1.570854e-05          -2.628288e-03          9.568189e-09      
   0.025159       0.010250         1.639694e+00           -4.354027e-04          -2.627022e-03          2.651303e-07      
   0.025159       0.025159         1.640483e+00           -2.620445e-03          -2.620445e-03          1.593266e-06      
   0.025159       0.046627         1.642775e+00           -8.972702e-03          -2.601388e-03          5.431615e-06      
   0.025159       0.074585         1.647768e+00           -2.280209e-02          -2.560228e-03          1.367133e-05      
   0.025159       0.108938         1.656883e+00           -4.803616e-02          -2.486288e-03          2.829658e-05      
   0.025159       0.149573         1.671582e+00           -8.870726e-02          -2.370228e-03          5.076821e-05      
   0.025159       0.196355         1.693117e+00           -1.482138e-01          -2.207229e-03          8.124360e-05      
   0.025159       0.249129         1.722214e+00           -2.284691e-01          -1.999864e-03          1.179444e-04      
   0.025159       0.307719         1.758832e+00           -3.291897e-01          -1.759142e-03          1.571144e-04      
   0.025159       0.371930         1.802059e+00           -4.476219e-01          -1.502583e-03          1.938265e-04      
   0.025159       0.441550         1.850238e+00           -5.788900e-01          -1.249737e-03          2.234016e-04      
   0.025159       0.516347         1.901279e+00           -7.168946e-01          -1.017235e-03          2.427537e-04      
   0.025159       0.596072         1.953056e+00           -8.554321e-01          -8.155665e-04          2.510121e-04      
   0.025159       0.680461         2.003745e+00           -9.891603e-01          -6.485595e-04          2.492684e-04      
   0.025159       0.769234         2.052023e+00           -1.114158e+00          -5.148849e-04          2.397875e-04      
   0.025159       0.862094         2.097105e+00           -1.228051e+00          -4.102763e-04          2.251663e-04      
   0.025159       0.958735         2.138682e+00           -1.329821e+00          -3.294397e-04          2.077452e-04      
   0.025159       1.058835         2.176791e+00           -1.419468e+00          -2.672596e-04          1.893343e-04      
   0.025159       1.162061         2.211695e+00           -1.497659e+00          -2.193636e-04          1.711761e-04      
   0.025159       1.268071         2.243761e+00           -1.565419e+00          -1.822654e-04          1.540287e-04      
   0.025159       1.376513         2.273389e+00           -1.623914e+00          -1.532955e-04          1.382906e-04      
   0.025159       1.487025         2.300944e+00           -1.674305e+00          -1.304553e-04          1.241162e-04      
   0.025159       1.599241         2.326710e+00           -1.717647e+00          -1.122631e-04          1.115070e-04      
   0.025159       1.712789         2.350860e+00           -1.754835e+00          -9.762261e-05          1.003777e-04      
   0.025159       1.827291         2.373433e+00           -1.786579e+00          -8.572017e-05          9.059856e-05      
   0.025159       1.942367         2.394309e+00           -1.813382e+00          -7.594709e-05          8.202244e-05      
   0.025159       2.057633         2.413185e+00           -1.835531e+00          -6.784354e-05          7.450059e-05      
   0.025159       2.172709         2.429548e+00           -1.853088e+00          -6.105795e-05          6.789098e-05      
   0.025159       2.287211         2.442674e+00           -1.865895e+00          -5.531840e-05          6.206290e-05      
   0.025159       2.400759         2.451611e+00           -1.873575e+00          -5.041165e-05          5.689823e-05      
   0.025159       2.512975         2.455203e+00           -1.875560e+00          -4.616872e-05          5.229209e-05      
   0.025159       2.623487         2.452112e+00           -1.871121e+00          -4.245422e-05          4.815236e-05      
   0.025159       2.731929         2.440896e+00           -1.859432e+00          -3.915922e-05          4.439934e-05      
   0.025159       2.837939         2.420103e+00           -1.839652e+00          -3.619600e-05          4.096533e-05      
   0.025159       2.941165         2.388407e+00           -1.811030e+00          -3.349469e-05          3.779429e-05      
   0.025159       3.041265         2.205272e+00           -1.585144e+00          -3.620452e-05          3.444370e-05      
   0.025159       3.137906         2.137914e+00           -1.534728e+00          -3.421919e-05          3.198177e-05      
   0.025159       3.230766         2.059130e+00           -1.476457e+00          -3.230658e-05          2.967628e-05      
   0.025159       3.319539         1.969949e+00           -1.411069e+00          -3.044075e-05          2.750264e-05      
   0.025159       3.403928         1.872057e+00           -1.339756e+00          -2.860852e-05          2.544581e-05      
   0.025159       3.483653         1.767717e+00           -1.264114e+00          -2.680852e-05          2.349947e-05      
   0.025159       3.558450         1.659628e+00           -1.186041e+00          -2.504960e-05          2.166465e-05      
