#        q              total               1              \delta U         \delta U^2    

     0.001185        4.032096e+04      4.079660e+04     -5.219779e+02      4.633825e+01   
     0.006239        2.923547e+04      2.971142e+04     -5.222885e+02      4.633906e+01   
     0.015318        1.994074e+04      2.041668e+04     -5.222819e+02      4.634075e+01   
     0.028399        1.177333e+04      1.224892e+04     -5.219378e+02      4.634410e+01   
     0.045447        1.022477e+04      1.070037e+04     -5.219416e+02      4.634981e+01   
     0.066417        8.813205e+03      9.288156e+03     -5.213141e+02      4.636313e+01   
     0.091251        7.532037e+03      8.006010e+03     -5.203559e+02      4.638358e+01   
     0.119882        6.596929e+03      7.069714e+03     -5.192018e+02      4.641642e+01   
     0.152235        5.946760e+03      6.417545e+03     -5.172493e+02      4.646464e+01   
     0.188220        5.338949e+03      5.806769e+03     -5.143560e+02      4.653600e+01   
     0.227742        4.957453e+03      5.421911e+03     -5.110933e+02      4.663475e+01   
     0.270694        4.594509e+03      5.054446e+03     -5.067072e+02      4.677033e+01   
     0.316959        4.250203e+03      4.703970e+03     -5.007182e+02      4.695205e+01   
     0.366414        3.924264e+03      4.370081e+03     -4.930128e+02      4.719548e+01   
     0.418925        3.770910e+03      4.209232e+03     -4.858350e+02      4.751336e+01   
     0.474351        3.472857e+03      3.899470e+03     -4.745368e+02      4.792321e+01   
     0.532541        3.193130e+03      3.605292e+03     -4.605994e+02      4.843759e+01   
     0.593339        3.064378e+03      3.463920e+03     -4.486150e+02      4.907243e+01   
     0.656582        2.812307e+03      3.192361e+03     -4.298922e+02      4.983823e+01   
     0.722098        2.577823e+03      2.935379e+03     -4.082895e+02      5.073384e+01   
     0.789711        2.360342e+03      2.692571e+03     -3.839654e+02      5.173651e+01   
     0.859239        2.263430e+03      2.576357e+03     -3.657568e+02      5.282932e+01   
     0.930495        2.070033e+03      2.354058e+03     -3.379826e+02      5.395723e+01   
     1.003286        1.801216e+03      2.045177e+03     -2.990032e+02      5.504283e+01   
     1.077416        1.642147e+03      1.855048e+03     -2.688701e+02      5.596990e+01   
     1.152685        1.348587e+03      1.510880e+03     -2.189473e+02      5.665470e+01   
     1.228890        3.951898e+02      3.968460e+02     -5.862260e+01      5.696640e+01   
     1.305826        5.677202e+01      0.000000e+00      0.000000e+00      5.677202e+01   
     1.383286        5.598907e+01      0.000000e+00      0.000000e+00      5.598907e+01   
     1.461060        5.457262e+01      0.000000e+00      0.000000e+00      5.457262e+01   
     1.538940        5.250438e+01      0.000000e+00      0.000000e+00      5.250438e+01   
     1.616714        4.982170e+01      0.000000e+00      0.000000e+00      4.982170e+01   
     1.694174        4.659902e+01      0.000000e+00      0.000000e+00      4.659902e+01   
     1.771110        4.294168e+01      0.000000e+00      0.000000e+00      4.294168e+01   
     1.847315        3.899002e+01      0.000000e+00      0.000000e+00      3.899002e+01   
     1.922584        3.491391e+01      0.000000e+00      0.000000e+00      3.491391e+01   
     1.996714        3.086382e+01      0.000000e+00      0.000000e+00      3.086382e+01   
     2.069505        2.696446e+01      0.000000e+00      0.000000e+00      2.696446e+01   
     2.140761        2.331590e+01      0.000000e+00      0.000000e+00      2.331590e+01   
     2.210289        1.998964e+01      0.000000e+00      0.000000e+00      1.998964e+01   
     2.277902        1.702735e+01      0.000000e+00      0.000000e+00      1.702735e+01   
     2.343418        1.444229e+01      0.000000e+00      0.000000e+00      1.444229e+01   
     2.406661        1.222945e+01      0.000000e+00      0.000000e+00      1.222945e+01   
     2.467459        1.035987e+01      0.000000e+00      0.000000e+00      1.035987e+01   
     2.525649        8.795159e+00      0.000000e+00      0.000000e+00      8.795159e+00   
     2.581075        7.496842e+00      0.000000e+00      0.000000e+00      7.496842e+00   
     2.633586        6.425846e+00      0.000000e+00      0.000000e+00      6.425846e+00   
