#        q              total               1              \delta U         \delta U^2    

     0.001185        1.158110e+04      1.161273e+04     -3.414659e+01      2.514621e+00   
     0.006239        6.744182e+03      6.775837e+03     -3.417037e+01      2.514634e+00   
     0.015318        4.177582e+03      4.209232e+03     -3.416405e+01      2.514634e+00   
     0.028399        3.432276e+03      3.463920e+03     -3.415883e+01      2.514540e+00   
     0.045447        2.544726e+03      2.576357e+03     -3.414583e+01      2.514354e+00   
     0.066417        1.916975e+03      1.948567e+03     -3.410588e+01      2.514118e+00   
     0.091251        1.561002e+03      1.592536e+03     -3.404773e+01      2.513699e+00   
     0.119882        1.324591e+03      1.356037e+03     -3.395887e+01      2.513195e+00   
     0.152235        1.112894e+03      1.144193e+03     -3.381213e+01      2.512660e+00   
     0.188220        9.245784e+02      9.556474e+02     -3.358142e+01      2.512419e+00   
     0.227742        8.114226e+02      8.422233e+02     -3.331358e+01      2.512851e+00   
     0.270694        7.077150e+02      7.381486e+02     -3.294826e+01      2.514660e+00   
     0.316959        6.130839e+02      6.430212e+02     -3.245620e+01      2.518901e+00   
     0.366414        5.271625e+02      5.564389e+02     -3.180333e+01      2.526980e+00   
     0.418925        4.495963e+02      4.779996e+02     -3.094393e+01      2.540627e+00   
     0.474351        4.140462e+02      4.417079e+02     -3.022361e+01      2.561921e+00   
     0.532541        3.483925e+02      3.747292e+02     -2.892952e+01      2.592870e+00   
     0.593339        2.902200e+02      3.148881e+02     -2.730366e+01      2.635538e+00   
     0.656582        2.641149e+02      2.875186e+02     -2.609497e+01      2.691284e+00   
     0.722098        2.164668e+02      2.376301e+02     -2.392380e+01      2.760565e+00   
     0.789711        1.954218e+02      2.150106e+02     -2.243080e+01      2.842011e+00   
     0.859239        1.572941e+02      1.741699e+02     -1.980955e+01      2.933728e+00   
     0.930495        1.407327e+02      1.558481e+02     -1.814644e+01      3.031021e+00   
     1.003286        1.109603e+02      1.231504e+02     -1.531685e+01      3.126737e+00   
     1.077416        8.609027e+01      9.537875e+01     -1.250047e+01      3.211994e+00   
     1.152685        6.558224e+01      7.213097e+01     -9.827557e+00      3.278834e+00   
     1.228890        4.891293e+01      5.300495e+01     -7.409564e+00      3.317538e+00   
     1.305826        2.505428e+01      2.550973e+01     -3.774823e+00      3.319370e+00   
     1.383286        1.149377e+01      9.676105e+00     -1.461479e+00      3.279144e+00   
     1.461060        3.195137e+00      0.000000e+00      0.000000e+00      3.195137e+00   
     1.538940        3.067995e+00      0.000000e+00      0.000000e+00      3.067995e+00   
     1.616714        2.902156e+00      0.000000e+00      0.000000e+00      2.902156e+00   
     1.694174        2.704371e+00      0.000000e+00      0.000000e+00      2.704371e+00   
     1.771110        2.482960e+00      0.000000e+00      0.000000e+00      2.482960e+00   
     1.847315        2.247659e+00      0.000000e+00      0.000000e+00      2.247659e+00   
     1.922584        2.008816e+00      0.000000e+00      0.000000e+00      2.008816e+00   
     1.996714        1.775120e+00      0.000000e+00      0.000000e+00      1.775120e+00   
     2.069505        1.553316e+00      0.000000e+00      0.000000e+00      1.553316e+00   
     2.140761        1.348345e+00      0.000000e+00      0.000000e+00      1.348345e+00   
     2.210289        1.163316e+00      0.000000e+00      0.000000e+00      1.163316e+00   
     2.277902        9.996796e-01      0.000000e+00      0.000000e+00      9.996796e-01   
     2.343418        8.574639e-01      0.000000e+00      0.000000e+00      8.574639e-01   
     2.406661        7.358472e-01      0.000000e+00      0.000000e+00      7.358472e-01   
     2.467459        6.329108e-01      0.000000e+00      0.000000e+00      6.329108e-01   
     2.525649        5.464371e-01      0.000000e+00      0.000000e+00      5.464371e-01   
     2.581075        4.742266e-01      0.000000e+00      0.000000e+00      4.742266e-01   
     2.633586        4.141757e-01      0.000000e+00      0.000000e+00      4.141757e-01   
     2.683041        3.644503e-01      0.000000e+00      0.000000e+00      3.644503e-01   
     2.729306        3.233077e-01      0.000000e+00      0.000000e+00      3.233077e-01   
     2.772258        2.892746e-01      0.000000e+00      0.000000e+00      2.892746e-01   
     2.811780        2.611625e-01      0.000000e+00      0.000000e+00      2.611625e-01   
     2.847765        2.380107e-01      0.000000e+00      0.000000e+00      2.380107e-01   
     2.880118        2.189781e-01      0.000000e+00      0.000000e+00      2.189781e-01   
     2.908749        2.034509e-01      0.000000e+00      0.000000e+00      2.034509e-01   
     2.933583        1.908946e-01      0.000000e+00      0.000000e+00      1.908946e-01   
     2.954553        1.809200e-01      0.000000e+00      0.000000e+00      1.809200e-01   
     2.971601        1.732020e-01      0.000000e+00      0.000000e+00      1.732020e-01   
