#        q              total               1              \delta U         \delta U^2    

     0.000790        1.038235e+04      1.040722e+04     -2.562533e+01      7.587009e-01   
     0.004159        6.392674e+03      6.417545e+03     -2.562984e+01      7.586873e-01   
     0.010212        2.910509e+03      2.935379e+03     -2.562802e+01      7.586301e-01   
     0.018933        2.223014e+03      2.247872e+03     -2.561677e+01      7.584853e-01   
     0.030298        1.652258e+03      1.677083e+03     -2.558307e+01      7.582023e-01   
     0.044278        1.331265e+03      1.356037e+03     -2.552992e+01      7.577978e-01   
     0.060834        1.119493e+03      1.144193e+03     -2.545767e+01      7.571996e-01   
     0.079922        9.310620e+02      9.556474e+02     -2.534177e+01      7.564181e-01   
     0.101490        7.646390e+02      7.890424e+02     -2.515878e+01      7.553840e-01   
     0.125480        6.652780e+02      6.894916e+02     -2.496772e+01      7.541141e-01   
     0.151828        5.747320e+02      5.986870e+02     -2.470762e+01      7.526100e-01   
     0.180462        4.926214e+02      5.162265e+02     -2.435606e+01      7.509223e-01   
     0.211306        4.185728e+02      4.417079e+02     -2.388439e+01      7.492204e-01   
     0.244276        3.845007e+02      4.073012e+02     -2.354811e+01      7.475757e-01   
     0.279283        3.218647e+02      3.439416e+02     -2.282319e+01      7.463561e-01   
     0.316234        2.933107e+02      3.148881e+02     -2.232320e+01      7.458014e-01   
     0.355027        2.665118e+02      2.875186e+02     -2.175316e+01      7.463817e-01   
     0.395559        2.178245e+02      2.376301e+02     -2.055412e+01      7.485708e-01   
     0.437721        1.959923e+02      2.150106e+02     -1.977135e+01      7.530026e-01   
     0.481399        1.757243e+02      1.938740e+02     -1.890990e+01      7.602279e-01   
     0.526474        1.569681e+02      1.741699e+02     -1.797263e+01      7.708606e-01   
     0.572826        1.235467e+02      1.388584e+02     -1.609713e+01      7.854327e-01   
     0.620330        1.089758e+02      1.231504e+02     -1.497897e+01      8.043782e-01   
     0.668857        9.568385e+01      1.086740e+02     -1.381805e+01      8.279193e-01   
     0.718277        8.360546e+01      9.537875e+01     -1.262930e+01      8.560061e-01   
     0.768456        7.267435e+01      8.321451e+01     -1.142856e+01      8.883988e-01   
     0.819260        6.282235e+01      7.213097e+01     -1.023312e+01      9.245047e-01   
     0.870551        4.589047e+01      5.300495e+01     -8.077808e+00      9.633297e-01   
     0.922191        3.888324e+01      4.486194e+01     -6.982265e+00      1.003565e+00   
     0.974040        3.269039e+01      3.759858e+01     -5.952230e+00      1.044040e+00   
     1.025960        2.724911e+01      3.116460e+01     -4.998569e+00      1.083084e+00   
     1.077809        1.827654e+01      2.058372e+01     -3.426172e+00      1.118995e+00   
     1.129449        1.475934e+01      1.633628e+01     -2.727375e+00      1.150430e+00   
     1.180740        9.205173e+00      9.676105e+00     -1.647154e+00      1.176222e+00   
     1.231544        5.441115e+00      5.127079e+00     -8.811109e-01      1.195147e+00   
     1.281723        3.100152e+00      2.287079e+00     -3.934238e-01      1.206496e+00   
     1.331143        1.501336e+00      3.518584e-01     -6.049634e-02      1.209974e+00   
     1.379670        1.205550e+00      0.000000e+00      0.000000e+00      1.205550e+00   
     1.427174        1.193698e+00      0.000000e+00      0.000000e+00      1.193698e+00   
     1.473526        1.175108e+00      0.000000e+00      0.000000e+00      1.175108e+00   
     1.518601        1.150700e+00      0.000000e+00      0.000000e+00      1.150700e+00   
     1.562279        1.121487e+00      0.000000e+00      0.000000e+00      1.121487e+00   
     1.604441        1.088348e+00      0.000000e+00      0.000000e+00      1.088348e+00   
     1.644973        1.052467e+00      0.000000e+00      0.000000e+00      1.052467e+00   
     1.683766        1.015038e+00      0.000000e+00      0.000000e+00      1.015038e+00   
     1.720717        9.770465e-01      0.000000e+00      0.000000e+00      9.770465e-01   
     1.755724        9.393219e-01      0.000000e+00      0.000000e+00      9.393219e-01   
     1.788694        9.024980e-01      0.000000e+00      0.000000e+00      9.024980e-01   
     1.819538        8.672680e-01      0.000000e+00      0.000000e+00      8.672680e-01   
     1.848172        8.341075e-01      0.000000e+00      0.000000e+00      8.341075e-01   
     1.874520        8.033580e-01      0.000000e+00      0.000000e+00      8.033580e-01   
     1.898510        7.753039e-01      0.000000e+00      0.000000e+00      7.753039e-01   
     1.920078        7.500976e-01      0.000000e+00      0.000000e+00      7.500976e-01   
     1.939166        7.278986e-01      0.000000e+00      0.000000e+00      7.278986e-01   
     1.955722        7.087230e-01      0.000000e+00      0.000000e+00      7.087230e-01   
     1.969702        6.926605e-01      0.000000e+00      0.000000e+00      6.926605e-01   
     1.981067        6.796511e-01      0.000000e+00      0.000000e+00      6.796511e-01   
     1.989788        6.697255e-01      0.000000e+00      0.000000e+00      6.697255e-01   
     1.995841        6.628845e-01      0.000000e+00      0.000000e+00      6.628845e-01   
     1.999210        6.590825e-01      0.000000e+00      0.000000e+00      6.590825e-01   
     2.003160        6.546334e-01      0.000000e+00      0.000000e+00      6.546334e-01   
     2.016638        6.395186e-01      0.000000e+00      0.000000e+00      6.395186e-01   
     2.040848        6.127630e-01      0.000000e+00      0.000000e+00      6.127630e-01   
     2.075731        5.751459e-01      0.000000e+00      0.000000e+00      5.751459e-01   
     2.121193        5.280673e-01      0.000000e+00      0.000000e+00      5.280673e-01   
     2.177111        4.735816e-01      0.000000e+00      0.000000e+00      4.735816e-01   
     2.243335        4.144234e-01      0.000000e+00      0.000000e+00      4.144234e-01   
     2.319686        3.536508e-01      0.000000e+00      0.000000e+00      3.536508e-01   
     2.405959        2.945969e-01      0.000000e+00      0.000000e+00      2.945969e-01   
     2.501920        2.399874e-01      0.000000e+00      0.000000e+00      2.399874e-01   
     2.607312        1.918237e-01      0.000000e+00      0.000000e+00      1.918237e-01   
     2.721850        1.509851e-01      0.000000e+00      0.000000e+00      1.509851e-01   
     2.845225        1.173603e-01      0.000000e+00      0.000000e+00      1.173603e-01   
     2.977105        9.020894e-02      0.000000e+00      0.000000e+00      9.020894e-02   
     3.117134        6.854503e-02      0.000000e+00      0.000000e+00      6.854503e-02   
     3.264935        5.141174e-02      0.000000e+00      0.000000e+00      5.141174e-02   
     3.420109        3.799289e-02      0.000000e+00      0.000000e+00      3.799289e-02   
     3.582238        2.761391e-02      0.000000e+00      0.000000e+00      2.761391e-02   
     3.750884        1.971129e-02      0.000000e+00      0.000000e+00      1.971129e-02   
     3.925594        1.380420e-02      0.000000e+00      0.000000e+00      1.380420e-02   
     4.105897        9.478267e-03      0.000000e+00      0.000000e+00      9.478267e-03   
     4.291305        6.378404e-03      0.000000e+00      0.000000e+00      6.378404e-03   
     4.481320        4.206500e-03      0.000000e+00      0.000000e+00      4.206500e-03   
     4.675429        2.718855e-03      0.000000e+00      0.000000e+00      2.718855e-03   
     4.873108        1.722548e-03      0.000000e+00      0.000000e+00      1.722548e-03   
     5.073826        1.069861e-03      0.000000e+00      0.000000e+00      1.069861e-03   
     5.277040        6.514228e-04      0.000000e+00      0.000000e+00      6.514228e-04   
     5.482203        3.887562e-04      0.000000e+00      0.000000e+00      3.887562e-04   
     5.688763        2.272535e-04      0.000000e+00      0.000000e+00      2.272535e-04   
     5.896161        1.299916e-04      0.000000e+00      0.000000e+00      1.299916e-04   
     6.103839        7.264422e-05      0.000000e+00      0.000000e+00      7.264422e-05   
     6.311237        3.957562e-05      0.000000e+00      0.000000e+00      3.957562e-05   
     6.517797        2.096395e-05      0.000000e+00      0.000000e+00      2.096395e-05   
     6.722960        1.077205e-05      0.000000e+00      0.000000e+00      1.077205e-05   
     6.926174        5.367098e-06      0.000000e+00      0.000000e+00      5.367098e-06   
     7.126892        2.610852e-06      0.000000e+00      0.000000e+00      2.610852e-06   
     7.324571        1.273292e-06      0.000000e+00      0.000000e+00      1.273292e-06   
     7.518680        6.651241e-07      0.000000e+00      0.000000e+00      6.651241e-07   
     7.708695        4.121287e-07      0.000000e+00      0.000000e+00      4.121287e-07   
     7.894103        3.188864e-07      0.000000e+00      0.000000e+00      3.188864e-07   
     8.074406        2.886491e-07      0.000000e+00      0.000000e+00      2.886491e-07   
     8.249116        2.771104e-07      0.000000e+00      0.000000e+00      2.771104e-07   
     8.417762        2.665017e-07      0.000000e+00      0.000000e+00      2.665017e-07   
     8.579891        2.515774e-07      0.000000e+00      0.000000e+00      2.515774e-07   
     8.735065        2.323477e-07      0.000000e+00      0.000000e+00      2.323477e-07   
     8.882866        2.105382e-07      0.000000e+00      0.000000e+00      2.105382e-07   
     9.022895        1.880368e-07      0.000000e+00      0.000000e+00      1.880368e-07   
     9.154775        1.663358e-07      0.000000e+00      0.000000e+00      1.663358e-07   
     9.278150        1.464339e-07      0.000000e+00      0.000000e+00      1.464339e-07   
     9.392688        1.288944e-07      0.000000e+00      0.000000e+00      1.288944e-07   
     9.498080        1.139230e-07      0.000000e+00      0.000000e+00      1.139230e-07   
     9.594041        1.014990e-07      0.000000e+00      0.000000e+00      1.014990e-07   
     9.680314        9.148925e-08      0.000000e+00      0.000000e+00      9.148925e-08   
     9.756665        8.364427e-08      0.000000e+00      0.000000e+00      8.364427e-08   
     9.822889        7.761418e-08      0.000000e+00      0.000000e+00      7.761418e-08   
     9.878807        7.302883e-08      0.000000e+00      0.000000e+00      7.302883e-08   
     9.924269        6.958600e-08      0.000000e+00      0.000000e+00      6.958600e-08   
     9.959152        6.710728e-08      0.000000e+00      0.000000e+00      6.710728e-08   
     9.983362        6.556223e-08      0.000000e+00      0.000000e+00      6.556223e-08   
     9.996840        6.483354e-08      0.000000e+00      0.000000e+00      6.483354e-08   
