#        q              total               1              \delta U         \delta U^2    

     0.001185        4.509107e+03      4.513595e+03     -4.500849e+00      1.284067e-02   
     0.006239        4.509100e+03      4.513595e+03     -4.507798e+00      1.283660e-02   
     0.015318        4.321046e+03      4.325546e+03     -4.512579e+00      1.282110e-02   
     0.028399        3.261646e+03      3.266157e+03     -4.524036e+00      1.280001e-02   
     0.045447        2.515007e+03      2.519526e+03     -4.531671e+00      1.277389e-02   
     0.066417        1.991959e+03      1.996482e+03     -4.536343e+00      1.273930e-02   
     0.091251        1.629922e+03      1.634445e+03     -4.535477e+00      1.266136e-02   
     0.119882        1.314535e+03      1.319054e+03     -4.531985e+00      1.257881e-02   
     0.152235        1.173332e+03      1.177846e+03     -4.526460e+00      1.249748e-02   
     0.188220        9.810108e+02      9.855113e+02     -4.512912e+00      1.236261e-02   
     0.227742        8.108642e+02      8.153438e+02     -4.491865e+00      1.220566e-02   
     0.270694        7.090916e+02      7.135437e+02     -4.464142e+00      1.204640e-02   
     0.316959        6.161773e+02      6.205902e+02     -4.424751e+00      1.186858e-02   
     0.366414        5.317241e+02      5.360814e+02     -4.368900e+00      1.167064e-02   
     0.418925        4.553365e+02      4.596150e+02     -4.289982e+00      1.147780e-02   
     0.474351        4.200578e+02      4.242721e+02     -4.225633e+00      1.130902e-02   
     0.532541        3.550365e+02      3.591155e+02     -4.090124e+00      1.118006e-02   
     0.593339        2.970937e+02      3.009960e+02     -3.913423e+00      1.112271e-02   
     0.656582        2.706752e+02      2.744495e+02     -3.785534e+00      1.117784e-02   
     0.722098        2.226185e+02      2.261318e+02     -3.524687e+00      1.138942e-02   
     0.789711        2.009231e+02      2.042601e+02     -3.348770e+00      1.180706e-02   
     0.859239        1.618508e+02      1.648394e+02     -3.001063e+00      1.248674e-02   
     0.930495        1.282533e+02      1.308473e+02     -2.607504e+00      1.348707e-02   
     1.003286        9.970681e+01      1.018818e+02     -2.189907e+00      1.486640e-02   
     1.077416        7.573246e+01      7.748424e+01     -1.768459e+00      1.667995e-02   
     1.152685        4.664268e+01      4.778991e+01     -1.166200e+00      1.897627e-02   
     1.228890        1.425226e+01      1.460212e+01     -3.716579e-01      2.179250e-02   
     1.305826        2.515090e-02      0.000000e+00      0.000000e+00      2.515090e-02   
     1.383286        2.905657e-02      0.000000e+00      0.000000e+00      2.905657e-02   
     1.461060        3.349448e-02      0.000000e+00      0.000000e+00      3.349448e-02   
