#        q              total               1              \delta U         \delta U^2    

     0.001185        4.178511e+04      4.225784e+04     -5.088117e+02      3.608043e+01   
     0.006239        3.042283e+04      3.089580e+04     -5.090565e+02      3.608027e+01   
     0.015318        1.738898e+04      1.786199e+04     -5.090907e+02      3.607957e+01   
     0.028399        8.815440e+03      9.288156e+03     -5.087935e+02      3.607701e+01   
     0.045447        7.533266e+03      8.006010e+03     -5.088137e+02      3.607038e+01   
     0.066417        6.375440e+03      6.847642e+03     -5.082600e+02      3.605831e+01   
     0.091251        5.534392e+03      6.005846e+03     -5.074922e+02      3.603896e+01   
     0.119882        4.765588e+03      5.236030e+03     -5.064511e+02      3.600961e+01   
     0.152235        4.235185e+03      4.703970e+03     -5.047539e+02      3.596920e+01   
     0.188220        3.742945e+03      4.209232e+03     -5.022040e+02      3.591788e+01   
     0.227742        3.435981e+03      3.899470e+03     -4.993450e+02      3.585528e+01   
     0.270694        3.145610e+03      3.605292e+03     -4.954675e+02      3.578584e+01   
     0.316959        2.871803e+03      3.326293e+03     -4.902054e+02      3.571549e+01   
     0.366414        2.614426e+03      3.062073e+03     -4.833029e+02      3.565586e+01   
     0.418925        2.373390e+03      2.812228e+03     -4.744596e+02      3.562111e+01   
     0.474351        2.261516e+03      2.692571e+03     -4.666855e+02      3.563080e+01   
     0.532541        2.045502e+03      2.463536e+03     -4.537411e+02      3.570642e+01   
     0.593339        1.946976e+03      2.354058e+03     -4.429567e+02      3.587469e+01   
     0.656582        1.755892e+03      2.144929e+03     -4.251910e+02      3.615441e+01   
     0.722098        1.580843e+03      1.948567e+03     -4.042929e+02      3.656944e+01   
     0.789711        1.503592e+03      1.855048e+03     -3.885779e+02      3.712249e+01   
     0.859239        1.351813e+03      1.677083e+03     -3.630925e+02      3.782267e+01   
     0.930495        1.214311e+03      1.510880e+03     -3.352138e+02      3.864501e+01   
     1.003286        1.090005e+03      1.356037e+03     -3.055835e+02      3.955161e+01   
     1.077416        9.209915e+02      1.144193e+03     -2.636700e+02      4.046837e+01   
     1.152685        8.243557e+02      1.015991e+03     -2.329698e+02      4.133436e+01   
     1.228890        6.063158e+02      7.346300e+02     -1.703679e+02      4.205366e+01   
