#        q              total               1              \delta U         \delta U^2    

     0.001185        3.254480e+04      3.273075e+04     -2.032993e+02      1.735426e+01   
     0.006239        1.677210e+04      1.695834e+04     -2.035990e+02      1.735414e+01   
     0.015318        1.111663e+04      1.130307e+04     -2.038005e+02      1.735329e+01   
     0.028399        8.065530e+03      8.252336e+03     -2.041573e+02      1.735156e+01   
     0.045447        6.230484e+03      6.417545e+03     -2.044084e+02      1.734744e+01   
     0.066417        5.049037e+03      5.236030e+03     -2.043324e+02      1.733951e+01   
     0.091251        4.183142e+03      4.370081e+03     -2.042658e+02      1.732702e+01   
     0.119882        3.563797e+03      3.750458e+03     -2.039691e+02      1.730777e+01   
     0.152235        3.140082e+03      3.326293e+03     -2.034921e+02      1.728124e+01   
     0.188220        2.749758e+03      2.935379e+03     -2.028672e+02      1.724657e+01   
     0.227742        2.391707e+03      2.576357e+03     -2.018547e+02      1.720431e+01   
     0.270694        2.064659e+03      2.247872e+03     -2.003687e+02      1.715558e+01   
     0.316959        1.863637e+03      2.045177e+03     -1.986435e+02      1.710376e+01   
     0.366414        1.675718e+03      1.855048e+03     -1.963842e+02      1.705440e+01   
     0.418925        1.500724e+03      1.677083e+03     -1.933736e+02      1.701533e+01   
     0.474351        1.419042e+03      1.592536e+03     -1.904900e+02      1.699597e+01   
     0.532541        1.263115e+03      1.432064e+03     -1.859567e+02      1.700837e+01   
     0.593339        1.119576e+03      1.282750e+03     -1.802401e+02      1.706626e+01   
     0.656582        1.053975e+03      1.212152e+03     -1.753570e+02      1.717957e+01   
     0.722098        9.288541e+02      1.078823e+03     -1.673282e+02      1.735939e+01   
     0.789711        8.726384e+02      1.015991e+03     -1.609623e+02      1.760966e+01   
     0.859239        7.651248e+02      8.977415e+02     -1.505487e+02      1.793198e+01   
     0.930495        6.686236e+02      7.890424e+02     -1.387350e+02      1.831625e+01   
     1.003286        5.824570e+02      6.894916e+02     -1.257751e+02      1.874043e+01   
     1.077416        5.057862e+02      5.986870e+02     -1.120708e+02      1.917001e+01   
     1.152685        4.377279e+02      5.162265e+02     -9.807039e+01      1.957175e+01   
     1.228890        3.482573e+02      4.073012e+02     -7.894295e+01      1.989902e+01   
     1.305826        2.303875e+02      2.617826e+02     -5.149245e+01      2.009734e+01   
     1.383286        7.000328e+01      6.172601e+01     -1.184918e+01      2.012644e+01   
     1.461060        1.995940e+01      0.000000e+00      0.000000e+00      1.995940e+01   
     1.538940        1.957374e+01      0.000000e+00      0.000000e+00      1.957374e+01   
     1.616714        1.896834e+01      0.000000e+00      0.000000e+00      1.896834e+01   
     1.694174        1.815592e+01      0.000000e+00      0.000000e+00      1.815592e+01   
     1.771110        1.716131e+01      0.000000e+00      0.000000e+00      1.716131e+01   
     1.847315        1.602282e+01      0.000000e+00      0.000000e+00      1.602282e+01   
     1.922584        1.479128e+01      0.000000e+00      0.000000e+00      1.479128e+01   
     1.996714        1.351723e+01      0.000000e+00      0.000000e+00      1.351723e+01   
     2.069505        1.224499e+01      0.000000e+00      0.000000e+00      1.224499e+01   
     2.140761        1.101284e+01      0.000000e+00      0.000000e+00      1.101284e+01   
     2.210289        9.850426e+00      0.000000e+00      0.000000e+00      9.850426e+00   
     2.277902        8.778520e+00      0.000000e+00      0.000000e+00      8.778520e+00   
     2.343418        7.809024e+00      0.000000e+00      0.000000e+00      7.809024e+00   
     2.406661        6.947664e+00      0.000000e+00      0.000000e+00      6.947664e+00   
     2.467459        6.190897e+00      0.000000e+00      0.000000e+00      6.190897e+00   
     2.525649        5.532111e+00      0.000000e+00      0.000000e+00      5.532111e+00   
