#        q              total               1              \delta U         \delta U^2    

     0.001185        9.272108e+03      9.288156e+03     -1.663624e+01      5.880036e-01   
     0.006239        4.518921e+03      4.534977e+03     -1.664431e+01      5.879877e-01   
     0.015318        2.796177e+03      2.812228e+03     -1.663916e+01      5.879155e-01   
     0.028399        2.029126e+03      2.045177e+03     -1.663858e+01      5.877235e-01   
     0.045447        1.494839e+03      1.510880e+03     -1.662828e+01      5.873193e-01   
     0.066417        1.128169e+03      1.144193e+03     -1.661094e+01      5.865977e-01   
     0.091251        8.817504e+02      8.977415e+02     -1.657661e+01      5.854561e-01   
     0.119882        7.222083e+02      7.381486e+02     -1.652403e+01      5.837743e-01   
     0.152235        5.828323e+02      5.986870e+02     -1.643627e+01      5.815066e-01   
     0.188220        5.004746e+02      5.162265e+02     -1.633052e+01      5.786529e-01   
     0.227742        3.917607e+02      4.073012e+02     -1.611587e+01      5.753470e-01   
     0.270694        3.286418e+02      3.439416e+02     -1.587168e+01      5.719029e-01   
     0.316959        2.997939e+02      3.148881e+02     -1.566303e+01      5.688076e-01   
     0.366414        2.471012e+02      2.617826e+02     -1.524825e+01      5.668288e-01   
     0.418925        2.008953e+02      2.150106e+02     -1.468227e+01      5.669537e-01   
     0.474351        1.801978e+02      1.938740e+02     -1.424656e+01      5.704277e-01   
     0.532541        1.430554e+02      1.558481e+02     -1.337125e+01      5.785461e-01   
     0.593339        1.267070e+02      1.388584e+02     -1.274410e+01      5.926848e-01   
     0.656582        9.778130e+01      1.086740e+02     -1.150665e+01      6.139789e-01   
     0.722098        8.532950e+01      9.537875e+01     -1.069236e+01      6.431043e-01   
     0.789711        6.366401e+01      7.213097e+01     -9.146937e+00      6.799829e-01   
     0.859239        5.458102e+01      6.207787e+01     -8.220901e+00      7.240458e-01   
     0.930495        3.908043e+01      4.486194e+01     -6.554979e+00      7.734664e-01   
     1.003286        2.705078e+01      3.116460e+01     -4.939127e+00      8.253103e-01   
     1.077416        1.798129e+01      2.058372e+01     -3.478269e+00      8.758414e-01   
     1.152685        1.138511e+01      1.271717e+01     -2.253253e+00      9.211972e-01   
     1.228890        5.120060e+00      5.127079e+00     -9.641417e-01      9.571225e-01   
     1.305826        9.999374e-01      2.513274e-02     -5.070556e-03      9.798753e-01   
     1.383286        9.869437e-01      0.000000e+00      0.000000e+00      9.869437e-01   
     1.461060        9.772314e-01      0.000000e+00      0.000000e+00      9.772314e-01   
     1.538940        9.509493e-01      0.000000e+00      0.000000e+00      9.509493e-01   
     1.616714        9.096850e-01      0.000000e+00      0.000000e+00      9.096850e-01   
     1.694174        8.560650e-01      0.000000e+00      0.000000e+00      8.560650e-01   
     1.771110        7.933791e-01      0.000000e+00      0.000000e+00      7.933791e-01   
     1.847315        7.252055e-01      0.000000e+00      0.000000e+00      7.252055e-01   
