#        q              total               1              \delta U         \delta U^2    

     0.001185        6.060654e+04      6.069580e+04     -8.972128e+01      4.667509e-01   
     0.006239        3.720231e+04      3.729171e+04     -8.987033e+01      4.667406e-01   
     0.015318        2.625121e+04      2.634065e+04     -8.990629e+01      4.666720e-01   
     0.028399        2.029390e+04      2.038353e+04     -9.010088e+01      4.665028e-01   
     0.045447        1.646953e+04      1.655933e+04     -9.027530e+01      4.661921e-01   
     0.066417        1.385005e+04      1.394010e+04     -9.052030e+01      4.657112e-01   
     0.091251        1.183765e+04      1.192800e+04     -9.081088e+01      4.649761e-01   
     0.119882        1.031677e+04      1.040722e+04     -9.091243e+01      4.639864e-01   
     0.152235        9.197620e+03      9.288156e+03     -9.099858e+01      4.626502e-01   
     0.188220        8.161868e+03      8.252336e+03     -9.092844e+01      4.609679e-01   
     0.227742        7.437833e+03      7.528161e+03     -9.078627e+01      4.589798e-01   
     0.270694        6.757507e+03      6.847642e+03     -9.059128e+01      4.567516e-01   
     0.316959        6.327735e+03      6.417545e+03     -9.026456e+01      4.545036e-01   
     0.366414        5.916469e+03      6.005846e+03     -8.982852e+01      4.524284e-01   
     0.418925        5.333166e+03      5.421911e+03     -8.919649e+01      4.509936e-01   
     0.474351        4.966442e+03      5.054446e+03     -8.845391e+01      4.507307e-01   
     0.532541        4.789905e+03      4.877109e+03     -8.765605e+01      4.525046e-01   
     0.593339        4.448948e+03      4.534977e+03     -8.648577e+01      4.572368e-01   
     0.656582        4.124683e+03      4.209232e+03     -8.501451e+01      4.662137e-01   
     0.722098        3.816788e+03      3.899470e+03     -8.316322e+01      4.808129e-01   
     0.789711        3.669423e+03      3.750458e+03     -8.153823e+01      5.027808e-01   
     0.859239        3.385522e+03      3.463920e+03     -7.893163e+01      5.338739e-01   
     0.930495        3.117128e+03      3.192361e+03     -7.580931e+01      5.760554e-01   
     1.003286        2.863858e+03      2.935379e+03     -7.215177e+01      6.310804e-01   
     1.077416        2.625269e+03      2.692571e+03     -6.800346e+01      7.009177e-01   
