#        q              total               1              \delta U         \delta U^2    

     0.001185        4.322680e+04      4.375356e+04     -5.960694e+02      6.930059e+01   
     0.006239        3.220307e+04      3.273075e+04     -5.969795e+02      6.930161e+01   
     0.015318        2.474857e+04      2.527650e+04     -5.972362e+02      6.930321e+01   
     0.028399        1.766461e+04      1.819372e+04     -5.984121e+02      6.930340e+01   
     0.045447        1.486979e+04      1.539996e+04     -5.994701e+02      6.930100e+01   
     0.066417        1.305862e+04      1.359015e+04     -6.008333e+02      6.930040e+01   
     0.091251        1.139490e+04      1.192800e+04     -6.024004e+02      6.929786e+01   
     0.119882        9.873965e+03      1.040722e+04     -6.025483e+02      6.929632e+01   
     0.152235        8.755046e+03      9.288156e+03     -6.024042e+02      6.929365e+01   
     0.188220        7.720579e+03      8.252336e+03     -6.010563e+02      6.929993e+01   
     0.227742        6.767033e+03      7.296537e+03     -5.988172e+02      6.931290e+01   
     0.270694        6.320889e+03      6.847642e+03     -5.960986e+02      6.934610e+01   
     0.316959        5.687022e+03      6.209421e+03     -5.918095e+02      6.941086e+01   
     0.366414        5.289872e+03      5.806769e+03     -5.864229e+02      6.952582e+01   
     0.418925        4.911839e+03      5.421911e+03     -5.797859e+02      6.971335e+01   
     0.474351        4.552929e+03      5.054446e+03     -5.715186e+02      7.000162e+01   
     0.532541        4.213413e+03      4.703970e+03     -5.609774e+02      7.042078e+01   
     0.593339        3.892914e+03      4.370081e+03     -5.481736e+02      7.100619e+01   
     0.656582        3.745365e+03      4.209232e+03     -5.356451e+02      7.177885e+01   
     0.722098        3.453966e+03      3.899470e+03     -5.182731e+02      7.276836e+01   
     0.789711        3.181525e+03      3.605292e+03     -4.977278e+02      7.396143e+01   
     0.859239        3.059663e+03      3.463920e+03     -4.796232e+02      7.536641e+01   
     0.930495        2.815186e+03      3.192361e+03     -4.540951e+02      7.691986e+01   
     1.003286        2.588310e+03      2.935379e+03     -4.256211e+02      7.855223e+01   
     1.077416        2.378019e+03      2.692571e+03     -3.946676e+02      8.011566e+01   
     1.152685        2.083701e+03      2.354058e+03     -3.518619e+02      8.150432e+01   
     1.228890        1.821345e+03      2.045177e+03     -3.063743e+02      8.254275e+01   
     1.305826        1.510761e+03      1.677083e+03     -2.493412e+02      8.301997e+01   
     1.383286        8.975362e+02      9.533603e+02     -1.386148e+02      8.279079e+01   
     1.461060        8.174992e+01      0.000000e+00      0.000000e+00      8.174992e+01   
     1.538940        7.981282e+01      0.000000e+00      0.000000e+00      7.981282e+01   
     1.616714        7.697509e+01      0.000000e+00      0.000000e+00      7.697509e+01   
     1.694174        7.328450e+01      0.000000e+00      0.000000e+00      7.328450e+01   
     1.771110        6.883935e+01      0.000000e+00      0.000000e+00      6.883935e+01   
     1.847315        6.379674e+01      0.000000e+00      0.000000e+00      6.379674e+01   
     1.922584        5.837371e+01      0.000000e+00      0.000000e+00      5.837371e+01   
     1.996714        5.278426e+01      0.000000e+00      0.000000e+00      5.278426e+01   
     2.069505        4.722121e+01      0.000000e+00      0.000000e+00      4.722121e+01   
     2.140761        4.185102e+01      0.000000e+00      0.000000e+00      4.185102e+01   
     2.210289        3.680595e+01      0.000000e+00      0.000000e+00      3.680595e+01   
     2.277902        3.218015e+01      0.000000e+00      0.000000e+00      3.218015e+01   
     2.343418        2.802488e+01      0.000000e+00      0.000000e+00      2.802488e+01   
     2.406661        2.436491e+01      0.000000e+00      0.000000e+00      2.436491e+01   
     2.467459        2.118465e+01      0.000000e+00      0.000000e+00      2.118465e+01   
     2.525649        1.844835e+01      0.000000e+00      0.000000e+00      1.844835e+01   
     2.581075        1.611514e+01      0.000000e+00      0.000000e+00      1.611514e+01   
     2.633586        1.413845e+01      0.000000e+00      0.000000e+00      1.413845e+01   
     2.683041        1.247510e+01      0.000000e+00      0.000000e+00      1.247510e+01   
     2.729306        1.107948e+01      0.000000e+00      0.000000e+00      1.107948e+01   
     2.772258        9.910778e+00      0.000000e+00      0.000000e+00      9.910778e+00   
     2.811780        8.935844e+00      0.000000e+00      0.000000e+00      8.935844e+00   
     2.847765        8.126191e+00      0.000000e+00      0.000000e+00      8.126191e+00   
     2.880118        7.455833e+00      0.000000e+00      0.000000e+00      7.455833e+00   
     2.908749        6.905764e+00      0.000000e+00      0.000000e+00      6.905764e+00   
     2.933583        6.458854e+00      0.000000e+00      0.000000e+00      6.458854e+00   
     2.954553        6.102896e+00      0.000000e+00      0.000000e+00      6.102896e+00   
     2.971601        5.826685e+00      0.000000e+00      0.000000e+00      5.826685e+00   
     2.984682        5.622591e+00      0.000000e+00      0.000000e+00      5.622591e+00   
     2.993761        5.485009e+00      0.000000e+00      0.000000e+00      5.485009e+00   
     2.998815        5.409747e+00      0.000000e+00      0.000000e+00      5.409747e+00   
     3.004739        5.322657e+00      0.000000e+00      0.000000e+00      5.322657e+00   
     3.024957        5.034945e+00      0.000000e+00      0.000000e+00      5.034945e+00   
     3.061273        4.553854e+00      0.000000e+00      0.000000e+00      4.553854e+00   
     3.113597        3.933869e+00      0.000000e+00      0.000000e+00      3.933869e+00   
     3.181789        3.240989e+00      0.000000e+00      0.000000e+00      3.240989e+00   
     3.265666        2.540951e+00      0.000000e+00      0.000000e+00      2.540951e+00   
     3.365002        1.889691e+00      0.000000e+00      0.000000e+00      1.889691e+00   
     3.479529        1.327660e+00      0.000000e+00      0.000000e+00      1.327660e+00   
     3.608938        8.775119e-01      0.000000e+00      0.000000e+00      8.775119e-01   
     3.752880        5.450341e-01      0.000000e+00      0.000000e+00      5.450341e-01   
     3.910968        3.208897e-01      0.000000e+00      0.000000e+00      3.208897e-01   
     4.082775        1.851400e-01      0.000000e+00      0.000000e+00      1.851400e-01   
     4.267838        1.129368e-01      0.000000e+00      0.000000e+00      1.129368e-01   
     4.465657        7.980595e-02      0.000000e+00      0.000000e+00      7.980595e-02   
     4.675701        6.563232e-02      0.000000e+00      0.000000e+00      6.563232e-02   
     4.897402        5.705709e-02      0.000000e+00      0.000000e+00      5.705709e-02   
     5.130163        4.761495e-02      0.000000e+00      0.000000e+00      4.761495e-02   
     5.373356        3.614483e-02      0.000000e+00      0.000000e+00      3.614483e-02   
     5.626327        2.428551e-02      0.000000e+00      0.000000e+00      2.428551e-02   
     5.888392        1.417359e-02      0.000000e+00      0.000000e+00      1.417359e-02   
     6.158845        7.056494e-03      0.000000e+00      0.000000e+00      7.056494e-03   
     6.436958        2.963706e-03      0.000000e+00      0.000000e+00      2.963706e-03   
     6.721980        1.105396e-03      0.000000e+00      0.000000e+00      1.105396e-03   
     7.013143        4.869639e-04      0.000000e+00      0.000000e+00      4.869639e-04   
     7.309662        3.475115e-04      0.000000e+00      0.000000e+00      3.475115e-04   
     7.610739        2.945672e-04      0.000000e+00      0.000000e+00      2.945672e-04   
     7.915560        2.153911e-04      0.000000e+00      0.000000e+00      2.153911e-04   
     8.223305        1.252045e-04      0.000000e+00      0.000000e+00      1.252045e-04   
     8.533144        5.701239e-05      0.000000e+00      0.000000e+00      5.701239e-05   
     8.844241        2.097028e-05      0.000000e+00      0.000000e+00      2.097028e-05   
     9.155759        8.143984e-06      0.000000e+00      0.000000e+00      8.143984e-06   
