#        q              total               1              \delta U         \delta U^2    

     0.001185        2.455826e+04      2.475535e+04     -2.132236e+02      1.613255e+01   
     0.006239        1.304891e+04      1.324611e+04     -2.133325e+02      1.613256e+01   
     0.015318        8.824351e+03      9.021523e+03     -2.133044e+02      1.613235e+01   
     0.028399        6.650549e+03      6.847642e+03     -2.132252e+02      1.613247e+01   
     0.045447        5.224839e+03      5.421911e+03     -2.132052e+02      1.613237e+01   
     0.066417        4.338134e+03      4.534977e+03     -2.129750e+02      1.613186e+01   
     0.091251        3.702921e+03      3.899470e+03     -2.126814e+02      1.613165e+01   
     0.119882        3.130191e+03      3.326293e+03     -2.122330e+02      1.613123e+01   
     0.152235        2.740021e+03      2.935379e+03     -2.114895e+02      1.613191e+01   
     0.188220        2.382073e+03      2.576357e+03     -2.104193e+02      1.613469e+01   
     0.227742        2.161039e+03      2.354058e+03     -2.091609e+02      1.614200e+01   
     0.270694        1.953634e+03      2.144929e+03     -2.074514e+02      1.615673e+01   
     0.316959        1.759615e+03      1.948567e+03     -2.051358e+02      1.618376e+01   
     0.366414        1.578660e+03      1.764570e+03     -2.021399e+02      1.622974e+01   
     0.418925        1.410561e+03      1.592536e+03     -1.982780e+02      1.630303e+01   
     0.474351        1.255148e+03      1.432064e+03     -1.933281e+02      1.641293e+01   
     0.532541        1.183589e+03      1.356037e+03     -1.890185e+02      1.657034e+01   
     0.593339        1.047094e+03      1.212152e+03     -1.818454e+02      1.678697e+01   
     0.656582        9.852704e+02      1.144193e+03     -1.759923e+02      1.706955e+01   
     0.722098        8.670884e+02      1.015991e+03     -1.663275e+02      1.742485e+01   
     0.789711        7.604980e+02      8.977415e+02     -1.550950e+02      1.785146e+01   
     0.859239        7.136151e+02      8.422233e+02     -1.469530e+02      1.834482e+01   
     0.930495        6.233097e+02      7.381486e+02     -1.337267e+02      1.888785e+01   
     1.003286        5.428038e+02      6.430212e+02     -1.196690e+02      1.945163e+01   
     1.077416        4.711896e+02      5.564389e+02     -1.052443e+02      1.999503e+01   
     1.152685        3.765960e+02      4.417079e+02     -8.559045e+01      2.047854e+01   
     1.228890        2.977574e+02      3.439416e+02     -6.703529e+01      2.085109e+01   
     1.305826        6.901968e+01      5.981592e+01     -1.185171e+01      2.105547e+01   
     1.383286        2.105063e+01      0.000000e+00      0.000000e+00      2.105063e+01   
     1.461060        2.081169e+01      0.000000e+00      0.000000e+00      2.081169e+01   
     1.538940        2.032019e+01      0.000000e+00      0.000000e+00      2.032019e+01   
     1.616714        1.958096e+01      0.000000e+00      0.000000e+00      1.958096e+01   
     1.694174        1.861421e+01      0.000000e+00      0.000000e+00      1.861421e+01   
     1.771110        1.745263e+01      0.000000e+00      0.000000e+00      1.745263e+01   
     1.847315        1.614202e+01      0.000000e+00      0.000000e+00      1.614202e+01   
     1.922584        1.474090e+01      0.000000e+00      0.000000e+00      1.474090e+01   
     1.996714        1.330636e+01      0.000000e+00      0.000000e+00      1.330636e+01   
     2.069505        1.188733e+01      0.000000e+00      0.000000e+00      1.188733e+01   
     2.140761        1.052513e+01      0.000000e+00      0.000000e+00      1.052513e+01   
     2.210289        9.251034e+00      0.000000e+00      0.000000e+00      9.251034e+00   
     2.277902        8.086356e+00      0.000000e+00      0.000000e+00      8.086356e+00   
     2.343418        7.042531e+00      0.000000e+00      0.000000e+00      7.042531e+00   
     2.406661        6.124429e+00      0.000000e+00      0.000000e+00      6.124429e+00   
     2.467459        5.326637e+00      0.000000e+00      0.000000e+00      5.326637e+00   
     2.525649        4.640409e+00      0.000000e+00      0.000000e+00      4.640409e+00   
     2.581075        4.054697e+00      0.000000e+00      0.000000e+00      4.054697e+00   
     2.633586        3.558079e+00      0.000000e+00      0.000000e+00      3.558079e+00   
     2.683041        3.139634e+00      0.000000e+00      0.000000e+00      3.139634e+00   
     2.729306        2.788235e+00      0.000000e+00      0.000000e+00      2.788235e+00   
     2.772258        2.493592e+00      0.000000e+00      0.000000e+00      2.493592e+00   
     2.811780        2.247536e+00      0.000000e+00      0.000000e+00      2.247536e+00   
     2.847765        2.043086e+00      0.000000e+00      0.000000e+00      2.043086e+00   
     2.880118        1.873674e+00      0.000000e+00      0.000000e+00      1.873674e+00   
     2.908749        1.734639e+00      0.000000e+00      0.000000e+00      1.734639e+00   
     2.933583        1.621682e+00      0.000000e+00      0.000000e+00      1.621682e+00   
     2.954553        1.531641e+00      0.000000e+00      0.000000e+00      1.531641e+00   
     2.971601        1.461778e+00      0.000000e+00      0.000000e+00      1.461778e+00   
     2.984682        1.410164e+00      0.000000e+00      0.000000e+00      1.410164e+00   
     2.993761        1.375337e+00      0.000000e+00      0.000000e+00      1.375337e+00   
     2.998815        1.356292e+00      0.000000e+00      0.000000e+00      1.356292e+00   
     3.004739        1.334284e+00      0.000000e+00      0.000000e+00      1.334284e+00   
     3.024957        1.261476e+00      0.000000e+00      0.000000e+00      1.261476e+00   
     3.061273        1.139779e+00      0.000000e+00      0.000000e+00      1.139779e+00   
     3.113597        9.830457e-01      0.000000e+00      0.000000e+00      9.830457e-01   
     3.181789        8.079810e-01      0.000000e+00      0.000000e+00      8.079810e-01   
     3.265666        6.313967e-01      0.000000e+00      0.000000e+00      6.313967e-01   
     3.365002        4.675403e-01      0.000000e+00      0.000000e+00      4.675403e-01   
     3.479529        3.266699e-01      0.000000e+00      0.000000e+00      3.266699e-01   
     3.608938        2.144914e-01      0.000000e+00      0.000000e+00      2.144914e-01   
     3.752880        1.322643e-01      0.000000e+00      0.000000e+00      1.322643e-01   
     3.910968        7.738027e-02      0.000000e+00      0.000000e+00      7.738027e-02   
     4.082775        4.459864e-02      0.000000e+00      0.000000e+00      4.459864e-02   
     4.267838        2.749765e-02      0.000000e+00      0.000000e+00      2.749765e-02   
     4.465657        1.985593e-02      0.000000e+00      0.000000e+00      1.985593e-02   
     4.675701        1.664380e-02      0.000000e+00      0.000000e+00      1.664380e-02   
     4.897402        1.459004e-02      0.000000e+00      0.000000e+00      1.459004e-02   
     5.130163        1.218017e-02      0.000000e+00      0.000000e+00      1.218017e-02   
     5.373356        9.214089e-03      0.000000e+00      0.000000e+00      9.214089e-03   
     5.626327        6.158840e-03      0.000000e+00      0.000000e+00      6.158840e-03   
     5.888392        3.572037e-03      0.000000e+00      0.000000e+00      3.572037e-03   
     6.158845        1.764340e-03      0.000000e+00      0.000000e+00      1.764340e-03   
     6.436958        7.319657e-04      0.000000e+00      0.000000e+00      7.319657e-04   
     6.721980        2.664936e-04      0.000000e+00      0.000000e+00      2.664936e-04   
     7.013143        1.131181e-04      0.000000e+00      0.000000e+00      1.131181e-04   
     7.309662        7.959570e-05      0.000000e+00      0.000000e+00      7.959570e-05   
     7.610739        6.766115e-05      0.000000e+00      0.000000e+00      6.766115e-05   
     7.915560        4.939539e-05      0.000000e+00      0.000000e+00      4.939539e-05   
     8.223305        2.844594e-05      0.000000e+00      0.000000e+00      2.844594e-05   
     8.533144        1.274448e-05      0.000000e+00      0.000000e+00      1.274448e-05   
     8.844241        4.623554e-06      0.000000e+00      0.000000e+00      4.623554e-06   
     9.155759        1.863825e-06      0.000000e+00      0.000000e+00      1.863825e-06   
     9.466856        1.378196e-06      0.000000e+00      0.000000e+00      1.378196e-06   
     9.776695        1.282449e-06      0.000000e+00      0.000000e+00      1.282449e-06   
    10.084440        1.008966e-06      0.000000e+00      0.000000e+00      1.008966e-06   
    10.389261        6.325484e-07      0.000000e+00      0.000000e+00      6.325484e-07   
    10.690338        3.197608e-07      0.000000e+00      0.000000e+00      3.197608e-07   
    10.986857        1.328637e-07      0.000000e+00      0.000000e+00      1.328637e-07   
    11.278020        4.799008e-08      0.000000e+00      0.000000e+00      4.799008e-08   
    11.563042        1.875958e-08      0.000000e+00      0.000000e+00      1.875958e-08   
    11.841155        1.141111e-08      0.000000e+00      0.000000e+00      1.141111e-08   
    12.111608        9.858393e-09      0.000000e+00      0.000000e+00      9.858393e-09   
    12.373673        8.916308e-09      0.000000e+00      0.000000e+00      8.916308e-09   
    12.626644        7.728550e-09      0.000000e+00      0.000000e+00      7.728550e-09   
    12.869837        6.460333e-09      0.000000e+00      0.000000e+00      6.460333e-09   
    13.102598        5.282217e-09      0.000000e+00      0.000000e+00      5.282217e-09   
    13.324299        4.252185e-09      0.000000e+00      0.000000e+00      4.252185e-09   
    13.534343        3.378055e-09      0.000000e+00      0.000000e+00      3.378055e-09   
    13.732162        2.655414e-09      0.000000e+00      0.000000e+00      2.655414e-09   
    13.917225        2.074597e-09      0.000000e+00      0.000000e+00      2.074597e-09   
    14.089032        1.620558e-09      0.000000e+00      0.000000e+00      1.620558e-09   
    14.247120        1.274266e-09      0.000000e+00      0.000000e+00      1.274266e-09   
    14.391062        1.015651e-09      0.000000e+00      0.000000e+00      1.015651e-09   
    14.520471        8.257667e-10      0.000000e+00      0.000000e+00      8.257667e-10   
    14.634998        6.887544e-10      0.000000e+00      0.000000e+00      6.887544e-10   
    14.734334        5.918250e-10      0.000000e+00      0.000000e+00      5.918250e-10   
    14.818211        5.240781e-10      0.000000e+00      0.000000e+00      5.240781e-10   
    14.886403        4.771214e-10      0.000000e+00      0.000000e+00      4.771214e-10   
    14.938727        4.452270e-10      0.000000e+00      0.000000e+00      4.452270e-10   
    14.975043        4.252488e-10      0.000000e+00      0.000000e+00      4.252488e-10   
    14.995261        4.157265e-10      0.000000e+00      0.000000e+00      4.157265e-10   
