#        q              total               1              \delta U         \delta U^2    

     0.001185        4.489595e+03      4.513595e+03     -2.469088e+01      6.904283e-01   
     0.006239        4.489538e+03      4.513595e+03     -2.474737e+01      6.904057e-01   
     0.015318        4.301425e+03      4.325546e+03     -2.481100e+01      6.902949e-01   
     0.028399        3.241921e+03      3.266157e+03     -2.492565e+01      6.900000e-01   
     0.045447        2.495197e+03      2.519526e+03     -2.501823e+01      6.893772e-01   
     0.066417        1.972102e+03      1.996482e+03     -2.506822e+01      6.882445e-01   
     0.091251        1.610056e+03      1.634445e+03     -2.507489e+01      6.863649e-01   
     0.119882        1.294681e+03      1.319054e+03     -2.505715e+01      6.835848e-01   
     0.152235        1.153504e+03      1.177846e+03     -2.502182e+01      6.797479e-01   
     0.188220        9.612520e+02      9.855113e+02     -2.493407e+01      6.747066e-01   
     0.227742        7.912159e+02      8.153438e+02     -2.479648e+01      6.685395e-01   
     0.270694        6.895900e+02      7.135437e+02     -2.461514e+01      6.615005e-01   
     0.316959        5.968830e+02      6.205902e+02     -2.436123e+01      6.540484e-01   
     0.366414        5.127214e+02      5.360814e+02     -2.400689e+01      6.469501e-01   
     0.418925        4.367403e+02      4.596150e+02     -2.351602e+01      6.413185e-01   
     0.474351        4.018061e+02      4.242721e+02     -2.310452e+01      6.385612e-01   
     0.532541        3.374686e+02      3.591155e+02     -2.228715e+01      6.403177e-01   
     0.593339        2.804043e+02      3.009960e+02     -2.124004e+01      6.483559e-01   
     0.656582        2.546469e+02      2.744495e+02     -2.046705e+01      6.643775e-01   
     0.722098        2.078572e+02      2.261318e+02     -1.896443e+01      6.897728e-01   
     0.789711        1.870487e+02      2.042601e+02     -1.793677e+01      7.253651e-01   
     0.859239        1.496228e+02      1.648394e+02     -1.598776e+01      7.711642e-01   
     0.930495        1.178581e+02      1.308473e+02     -1.381536e+01      8.261695e-01   
     1.003286        9.122953e+01      1.018818e+02     -1.154060e+01      8.882821e-01   
     1.077416        6.916680e+01      7.748424e+01     -9.271794e+00      9.543571e-01   
     1.152685        4.272776e+01      4.778991e+01     -6.082567e+00      1.020415e+00   
     1.228890        1.375406e+01      1.460212e+01     -1.930052e+00      1.081994e+00   
     1.305826        1.134615e+00      0.000000e+00      0.000000e+00      1.134615e+00   
     1.383286        1.174294e+00      0.000000e+00      0.000000e+00      1.174294e+00   
     1.461060        1.197992e+00      0.000000e+00      0.000000e+00      1.197992e+00   
     1.538940        1.203946e+00      0.000000e+00      0.000000e+00      1.203946e+00   
     1.616714        1.191815e+00      0.000000e+00      0.000000e+00      1.191815e+00   
     1.694174        1.162640e+00      0.000000e+00      0.000000e+00      1.162640e+00   
     1.771110        1.118627e+00      0.000000e+00      0.000000e+00      1.118627e+00   
     1.847315        1.062806e+00      0.000000e+00      0.000000e+00      1.062806e+00   
     1.922584        9.986268e-01      0.000000e+00      0.000000e+00      9.986268e-01   
     1.996714        9.295757e-01      0.000000e+00      0.000000e+00      9.295757e-01   
     2.069505        8.588476e-01      0.000000e+00      0.000000e+00      8.588476e-01   
     2.140761        7.891253e-01      0.000000e+00      0.000000e+00      7.891253e-01   
     2.210289        7.224641e-01      0.000000e+00      0.000000e+00      7.224641e-01   
     2.277902        6.602752e-01      0.000000e+00      0.000000e+00      6.602752e-01   
     2.343418        6.033832e-01      0.000000e+00      0.000000e+00      6.033832e-01   
     2.406661        5.521296e-01      0.000000e+00      0.000000e+00      5.521296e-01   
     2.467459        5.064942e-01      0.000000e+00      0.000000e+00      5.064942e-01   
     2.525649        4.662131e-01      0.000000e+00      0.000000e+00      4.662131e-01   
     2.581075        4.308797e-01      0.000000e+00      0.000000e+00      4.308797e-01   
     2.633586        4.000230e-01      0.000000e+00      0.000000e+00      4.000230e-01   
     2.683041        3.731620e-01      0.000000e+00      0.000000e+00      3.731620e-01   
     2.729306        3.498400e-01      0.000000e+00      0.000000e+00      3.498400e-01   
