#        q              total               1              \delta U         \delta U^2    

     0.001185        2.033285e+04      2.033574e+04     -2.909929e+00      1.235209e-02   
     0.006239        2.033283e+04      2.033574e+04     -2.923040e+00      1.236494e-02   
     0.015318        1.447328e+04      1.447621e+04     -2.944719e+00      1.239513e-02   
     0.028399        7.408780e+03      7.411746e+03     -2.977850e+00      1.238280e-02   
     0.045447        5.705891e+03      5.708902e+03     -3.023709e+00      1.235930e-02   
     0.066417        4.127238e+03      4.130308e+03     -3.082972e+00      1.232148e-02   
     0.091251        3.255724e+03      3.258868e+03     -3.156704e+00      1.226170e-02   
     0.119882        2.516294e+03      2.519526e+03     -3.244406e+00      1.218869e-02   
     0.152235        2.192667e+03      2.195998e+03     -3.343903e+00      1.212663e-02   
     0.188220        1.717026e+03      1.720456e+03     -3.441431e+00      1.200571e-02   
     0.227742        1.390200e+03      1.393705e+03     -3.516174e+00      1.185842e-02   
     0.270694        1.174287e+03      1.177846e+03     -3.570213e+00      1.169357e-02   
     0.316959        9.228024e+02      9.263928e+02     -3.601902e+00      1.149646e-02   
     0.366414        7.597027e+02      7.633128e+02     -3.621309e+00      1.126375e-02   
     0.418925        6.169778e+02      6.205902e+02     -3.623445e+00      1.100993e-02   
     0.474351        5.324698e+02      5.360814e+02     -3.622327e+00      1.074444e-02   
     0.532541        4.206956e+02      4.242721e+02     -3.587003e+00      1.047582e-02   
     0.593339        3.555733e+02      3.591155e+02     -3.552387e+00      1.022250e-02   
     0.656582        2.975075e+02      3.009960e+02     -3.498507e+00      1.000840e-02   
     0.722098        2.461014e+02      2.495116e+02     -3.420020e+00      9.859831e-03   
     0.789711        2.009578e+02      2.042601e+02     -3.312054e+00      9.807044e-03   
     0.859239        1.616826e+02      1.648394e+02     -3.166665e+00      9.884069e-03   
     0.930495        1.278798e+02      1.308473e+02     -2.977647e+00      1.012685e-02   
     1.003286        9.915294e+01      1.018818e+02     -2.739480e+00      1.057187e-02   
     1.077416        7.509966e+01      7.754079e+01     -2.452389e+00      1.125475e-02   
     1.152685        5.531680e+01      5.742203e+01     -2.117440e+00      1.220873e-02   
     1.228890        3.273411e+01      3.428106e+01     -1.560410e+00      1.346288e-02   
     1.305826        1.739478e+01      1.837832e+01     -9.985757e-01      1.504039e-02   
     1.383286        5.703737e+00      6.088407e+00     -4.016262e-01      1.695697e-02   
     1.461060        1.921947e-02      0.000000e+00      0.000000e+00      1.921947e-02   
     1.538940        2.182486e-02      0.000000e+00      0.000000e+00      2.182486e-02   
     1.616714        2.475949e-02      0.000000e+00      0.000000e+00      2.475949e-02   
     1.694174        2.799842e-02      0.000000e+00      0.000000e+00      2.799842e-02   
     1.771110        3.150542e-02      0.000000e+00      0.000000e+00      3.150542e-02   
     1.847315        3.523364e-02      0.000000e+00      0.000000e+00      3.523364e-02   
     1.922584        3.912701e-02      0.000000e+00      0.000000e+00      3.912701e-02   
     1.996714        4.312228e-02      0.000000e+00      0.000000e+00      4.312228e-02   
     2.069505        4.715172e-02      0.000000e+00      0.000000e+00      4.715172e-02   
     2.140761        5.114627e-02      0.000000e+00      0.000000e+00      5.114627e-02   
     2.210289        5.503811e-02      0.000000e+00      0.000000e+00      5.503811e-02   
     2.277902        5.876498e-02      0.000000e+00      0.000000e+00      5.876498e-02   
     2.343418        6.227132e-02      0.000000e+00      0.000000e+00      6.227132e-02   
     2.406661        6.551261e-02      0.000000e+00      0.000000e+00      6.551261e-02   
     2.467459        6.845519e-02      0.000000e+00      0.000000e+00      6.845519e-02   
     2.525649        7.107725e-02      0.000000e+00      0.000000e+00      7.107725e-02   
     2.581075        7.336936e-02      0.000000e+00      0.000000e+00      7.336936e-02   
     2.633586        7.533272e-02      0.000000e+00      0.000000e+00      7.533272e-02   
     2.683041        7.697856e-02      0.000000e+00      0.000000e+00      7.697856e-02   
     2.729306        7.832582e-02      0.000000e+00      0.000000e+00      7.832582e-02   
     2.772258        7.939986e-02      0.000000e+00      0.000000e+00      7.939986e-02   
     2.811780        8.023084e-02      0.000000e+00      0.000000e+00      8.023084e-02   
     2.847765        8.085255e-02      0.000000e+00      0.000000e+00      8.085255e-02   
     2.880118        8.129976e-02      0.000000e+00      0.000000e+00      8.129976e-02   
     2.908749        8.160742e-02      0.000000e+00      0.000000e+00      8.160742e-02   
     2.933583        8.180817e-02      0.000000e+00      0.000000e+00      8.180817e-02   
     2.954553        8.193121e-02      0.000000e+00      0.000000e+00      8.193121e-02   
     2.971601        8.200105e-02      0.000000e+00      0.000000e+00      8.200105e-02   
     2.984682        8.203705e-02      0.000000e+00      0.000000e+00      8.203705e-02   
     2.993761        8.205304e-02      0.000000e+00      0.000000e+00      8.205304e-02   
     2.998815        8.205859e-02      0.000000e+00      0.000000e+00      8.205859e-02   
     3.004739        8.206066e-02      0.000000e+00      0.000000e+00      8.206066e-02   
     3.024957        8.203285e-02      0.000000e+00      0.000000e+00      8.203285e-02   
     3.061273        8.186460e-02      0.000000e+00      0.000000e+00      8.186460e-02   
     3.113597        8.136625e-02      0.000000e+00      0.000000e+00      8.136625e-02   
     3.181789        8.030972e-02      0.000000e+00      0.000000e+00      8.030972e-02   
     3.265666        7.844141e-02      0.000000e+00      0.000000e+00      7.844141e-02   
     3.365002        7.543485e-02      0.000000e+00      0.000000e+00      7.543485e-02   
     3.479529        7.103215e-02      0.000000e+00      0.000000e+00      7.103215e-02   
     3.608938        6.515177e-02      0.000000e+00      0.000000e+00      6.515177e-02   
     3.752880        5.789157e-02      0.000000e+00      0.000000e+00      5.789157e-02   
     3.910968        4.957733e-02      0.000000e+00      0.000000e+00      4.957733e-02   
