#        q              total               1              \delta U         \delta U^2    

     0.001185        2.455861e+04      2.475535e+04     -2.154895e+02      1.875574e+01   
     0.006239        1.757832e+04      1.777548e+04     -2.159165e+02      1.875548e+01   
     0.015318        1.339258e+04      1.359015e+04     -2.163312e+02      1.875417e+01   
     0.028399        8.823266e+03      9.021523e+03     -2.170070e+02      1.875033e+01   
     0.045447        6.870776e+03      7.069714e+03     -2.176802e+02      1.874195e+01   
     0.066417        5.607566e+03      5.806769e+03     -2.179293e+02      1.872647e+01   
     0.091251        4.677673e+03      4.877109e+03     -2.181365e+02      1.870079e+01   
     0.119882        4.009909e+03      4.209232e+03     -2.179841e+02      1.866182e+01   
     0.152235        3.406250e+03      3.605292e+03     -2.176479e+02      1.860637e+01   
     0.188220        2.993735e+03      3.192361e+03     -2.171572e+02      1.853147e+01   
     0.227742        2.614419e+03      2.812228e+03     -2.162445e+02      1.843518e+01   
     0.270694        2.379553e+03      2.576357e+03     -2.151210e+02      1.831688e+01   
     0.316959        2.158561e+03      2.354058e+03     -2.136753e+02      1.817763e+01   
     0.366414        1.851881e+03      2.045177e+03     -2.113171e+02      1.802087e+01   
     0.418925        1.757260e+03      1.948567e+03     -2.091592e+02      1.785283e+01   
     0.474351        1.576396e+03      1.764570e+03     -2.058564e+02      1.768255e+01   
     0.532541        1.408417e+03      1.592536e+03     -2.016404e+02      1.752166e+01   
     0.593339        1.253164e+03      1.432064e+03     -1.962836e+02      1.738376e+01   
     0.656582        1.181639e+03      1.356037e+03     -1.916807e+02      1.728313e+01   
     0.722098        1.045281e+03      1.212152e+03     -1.841038e+02      1.723297e+01   
     0.789711        9.210560e+02      1.078823e+03     -1.750101e+02      1.724314e+01   
     0.859239        8.651692e+02      1.015991e+03     -1.681396e+02      1.731780e+01   
     0.930495        7.584941e+02      8.977415e+02     -1.567007e+02      1.745324e+01   
     1.003286        6.627597e+02      7.890424e+02     -1.439191e+02      1.763632e+01   
     1.077416        5.772476e+02      6.894916e+02     -1.300881e+02      1.784405e+01   
