#        q              total               1              \delta U         \delta U^2    

     0.001185        7.296483e+03      7.296537e+03     -5.494250e-02      6.963245e-05   
     0.006239        4.534922e+03      4.534977e+03     -5.497369e-02      6.532647e-05   
     0.015318        2.463482e+03      2.463536e+03     -5.495435e-02      5.739996e-05   
     0.028399        1.764515e+03      1.764570e+03     -5.496281e-02      4.740717e-05   
     0.045447        1.355982e+03      1.356037e+03     -5.494487e-02      4.304586e-05   
     0.066417        1.015936e+03      1.015991e+03     -5.491094e-02      3.873940e-05   
     0.091251        8.421685e+02      8.422233e+02     -5.487059e-02      3.341717e-05   
     0.119882        6.894369e+02      6.894916e+02     -5.478283e-02      2.894701e-05   
     0.152235        5.563843e+02      5.564389e+02     -5.462781e-02      2.379527e-05   
     0.188220        4.779452e+02      4.779996e+02     -5.444357e-02      1.939281e-05   
     0.227742        4.072471e+02      4.073012e+02     -5.416139e-02      1.555915e-05   
     0.270694        3.438878e+02      3.439416e+02     -5.373343e-02      1.235128e-05   
     0.316959        2.874655e+02      2.875186e+02     -5.309216e-02      1.006084e-05   
     0.366414        2.375779e+02      2.376301e+02     -5.213332e-02      8.035670e-06   
     0.418925        2.149591e+02      2.150106e+02     -5.147410e-02      6.715211e-06   
     0.474351        1.741201e+02      1.741699e+02     -4.977326e-02      5.523939e-06   
     0.532541        1.557995e+02      1.558481e+02     -4.864586e-02      4.771577e-06   
     0.593339        1.231046e+02      1.231504e+02     -4.582844e-02      4.112308e-06   
     0.656582        1.086299e+02      1.086740e+02     -4.404970e-02      3.710818e-06   
     0.722098        9.533673e+01      9.537875e+01     -4.202895e-02      3.398930e-06   
     0.789711        7.209362e+01      7.213097e+01     -3.734823e-02      3.260513e-06   
     0.859239        6.204322e+01      6.207787e+01     -3.464962e-02      3.221797e-06   
     0.930495        4.483311e+01      4.486194e+01     -2.883318e-02      3.323770e-06   
     1.003286        3.757284e+01      3.759858e+01     -2.574037e-02      3.535937e-06   
     1.077416        2.549014e+01      2.550973e+01     -1.959901e-02      3.881451e-06   
     1.152685        1.632246e+01      1.633628e+01     -1.382878e-02      4.352430e-06   
     1.228890        7.156048e+00      7.162831e+00     -6.788615e-03      4.959263e-06   
     1.305826        1.380867e+00      1.382301e+00     -1.439584e-03      5.703067e-06   
     1.383286        6.590571e-06      0.000000e+00      0.000000e+00      6.590571e-06   
     1.461060        7.628578e-06      0.000000e+00      0.000000e+00      7.628578e-06   
     1.538940        8.825071e-06      0.000000e+00      0.000000e+00      8.825071e-06   
     1.616714        1.018786e-05      0.000000e+00      0.000000e+00      1.018786e-05   
     1.694174        1.172314e-05      0.000000e+00      0.000000e+00      1.172314e-05   
     1.771110        1.343444e-05      0.000000e+00      0.000000e+00      1.343444e-05   
     1.847315        1.532298e-05      0.000000e+00      0.000000e+00      1.532298e-05   
     1.922584        1.738588e-05      0.000000e+00      0.000000e+00      1.738588e-05   
     1.996714        1.961545e-05      0.000000e+00      0.000000e+00      1.961545e-05   
     2.069505        2.200136e-05      0.000000e+00      0.000000e+00      2.200136e-05   
