#        q              total               1              \delta U         \delta U^2    

     0.001185        2.207471e+04      2.225678e+04     -1.953976e+02      1.333226e+01   
     0.006239        1.598443e+04      1.616664e+04     -1.955364e+02      1.333225e+01   
     0.015318        1.206676e+04      1.224892e+04     -1.954898e+02      1.333181e+01   
     0.028399        5.624681e+03      5.806769e+03     -1.954172e+02      1.332925e+01   
     0.045447        4.694987e+03      4.877109e+03     -1.954447e+02      1.332315e+01   
     0.066417        4.027295e+03      4.209232e+03     -1.952484e+02      1.331239e+01   
     0.091251        3.423536e+03      3.605292e+03     -1.950507e+02      1.329458e+01   
     0.119882        2.880588e+03      3.062073e+03     -1.947530e+02      1.326783e+01   
     0.152235        2.511649e+03      2.692571e+03     -1.941513e+02      1.322899e+01   
     0.188220        2.173868e+03      2.354058e+03     -1.933681e+02      1.317807e+01   
     0.227742        1.866069e+03      2.045177e+03     -1.922203e+02      1.311210e+01   
     0.270694        1.677281e+03      1.855048e+03     -1.907990e+02      1.303224e+01   
     0.316959        1.501151e+03      1.677083e+03     -1.888719e+02      1.293974e+01   
     0.366414        1.337386e+03      1.510880e+03     -1.863315e+02      1.283770e+01   
     0.418925        1.260753e+03      1.432064e+03     -1.840427e+02      1.273166e+01   
     0.474351        1.115330e+03      1.282750e+03     -1.800491e+02      1.262908e+01   
     0.532541        9.818777e+02      1.144193e+03     -1.748549e+02      1.253939e+01   
     0.593339        9.206376e+02      1.078823e+03     -1.706593e+02      1.247398e+01   
     0.656582        8.048046e+02      9.556474e+02     -1.632846e+02      1.244182e+01   
     0.722098        7.524763e+02      8.977415e+02     -1.577198e+02      1.245460e+01   
     0.789711        6.535797e+02      7.890424e+02     -1.479785e+02      1.251576e+01   
     0.859239        5.653468e+02      6.894916e+02     -1.367769e+02      1.263206e+01   
     0.930495        5.265618e+02      6.430212e+02     -1.292558e+02      1.279641e+01   
     1.003286        4.530660e+02      5.564389e+02     -1.163705e+02      1.299760e+01   
     1.077416        3.576858e+02      4.417079e+02     -9.723312e+01      1.321103e+01   
     1.152685        3.046915e+02      3.747292e+02     -8.345425e+01      1.341659e+01   
     1.228890        2.158824e+02      2.617826e+02     -5.948195e+01      1.358169e+01   
     1.305826        3.327444e+01      2.550973e+01     -5.903987e+00      1.366869e+01   
     1.383286        1.365117e+01      0.000000e+00      0.000000e+00      1.365117e+01   
     1.461060        1.351039e+01      0.000000e+00      0.000000e+00      1.351039e+01   
     1.538940        1.323202e+01      0.000000e+00      0.000000e+00      1.323202e+01   
     1.616714        1.281563e+01      0.000000e+00      0.000000e+00      1.281563e+01   
     1.694174        1.227004e+01      0.000000e+00      0.000000e+00      1.227004e+01   
     1.771110        1.161239e+01      0.000000e+00      0.000000e+00      1.161239e+01   
     1.847315        1.086894e+01      0.000000e+00      0.000000e+00      1.086894e+01   
     1.922584        1.007363e+01      0.000000e+00      0.000000e+00      1.007363e+01   
     1.996714        9.258316e+00      0.000000e+00      0.000000e+00      9.258316e+00   
     2.069505        8.451042e+00      0.000000e+00      0.000000e+00      8.451042e+00   
     2.140761        7.675181e+00      0.000000e+00      0.000000e+00      7.675181e+00   
     2.210289        6.948505e+00      0.000000e+00      0.000000e+00      6.948505e+00   
     2.277902        6.282912e+00      0.000000e+00      0.000000e+00      6.282912e+00   
     2.343418        5.684018e+00      0.000000e+00      0.000000e+00      5.684018e+00   
     2.406661        5.153979e+00      0.000000e+00      0.000000e+00      5.153979e+00   
     2.467459        4.689607e+00      0.000000e+00      0.000000e+00      4.689607e+00   
     2.525649        4.285441e+00      0.000000e+00      0.000000e+00      4.285441e+00   
     2.581075        3.935613e+00      0.000000e+00      0.000000e+00      3.935613e+00   
     2.633586        3.633803e+00      0.000000e+00      0.000000e+00      3.633803e+00   
     2.683041        3.374303e+00      0.000000e+00      0.000000e+00      3.374303e+00   
     2.729306        3.151335e+00      0.000000e+00      0.000000e+00      3.151335e+00   
     2.772258        2.959875e+00      0.000000e+00      0.000000e+00      2.959875e+00   
     2.811780        2.795885e+00      0.000000e+00      0.000000e+00      2.795885e+00   
     2.847765        2.655980e+00      0.000000e+00      0.000000e+00      2.655980e+00   
     2.880118        2.537143e+00      0.000000e+00      0.000000e+00      2.537143e+00   
     2.908749        2.437141e+00      0.000000e+00      0.000000e+00      2.437141e+00   
     2.933583        2.354041e+00      0.000000e+00      0.000000e+00      2.354041e+00   
     2.954553        2.286442e+00      0.000000e+00      0.000000e+00      2.286442e+00   
     2.971601        2.233061e+00      0.000000e+00      0.000000e+00      2.233061e+00   
     2.984682        2.193059e+00      0.000000e+00      0.000000e+00      2.193059e+00   
     2.993761        2.165778e+00      0.000000e+00      0.000000e+00      2.165778e+00   
     2.998815        2.150751e+00      0.000000e+00      0.000000e+00      2.150751e+00   
     3.004739        2.133279e+00      0.000000e+00      0.000000e+00      2.133279e+00   
     3.024957        2.074797e+00      0.000000e+00      0.000000e+00      2.074797e+00   
     3.061273        1.974097e+00      0.000000e+00      0.000000e+00      1.974097e+00   
     3.113597        1.838001e+00      0.000000e+00      0.000000e+00      1.838001e+00   
     3.181789        1.675040e+00      0.000000e+00      0.000000e+00      1.675040e+00   
     3.265666        1.494274e+00      0.000000e+00      0.000000e+00      1.494274e+00   
     3.365002        1.304429e+00      0.000000e+00      0.000000e+00      1.304429e+00   
     3.479529        1.113488e+00      0.000000e+00      0.000000e+00      1.113488e+00   
     3.608938        9.284305e-01      0.000000e+00      0.000000e+00      9.284305e-01   
     3.752880        7.551875e-01      0.000000e+00      0.000000e+00      7.551875e-01   
     3.910968        5.983450e-01      0.000000e+00      0.000000e+00      5.983450e-01   
     4.082775        4.610076e-01      0.000000e+00      0.000000e+00      4.610076e-01   
     4.267838        3.447637e-01      0.000000e+00      0.000000e+00      3.447637e-01   
     4.465657        2.497845e-01      0.000000e+00      0.000000e+00      2.497845e-01   
     4.675701        1.749398e-01      0.000000e+00      0.000000e+00      1.749398e-01   
     4.897402        1.181463e-01      0.000000e+00      0.000000e+00      1.181463e-01   
     5.130163        7.670010e-02      0.000000e+00      0.000000e+00      7.670010e-02   
     5.373356        4.767879e-02      0.000000e+00      0.000000e+00      4.767879e-02   
     5.626327        2.823429e-02      0.000000e+00      0.000000e+00      2.823429e-02   
     5.888392        1.581751e-02      0.000000e+00      0.000000e+00      1.581751e-02   
     6.158845        8.300808e-03      0.000000e+00      0.000000e+00      8.300808e-03   
     6.436958        4.023468e-03      0.000000e+00      0.000000e+00      4.023468e-03   
     6.721980        1.764053e-03      0.000000e+00      0.000000e+00      1.764053e-03   
     7.013143        6.802518e-04      0.000000e+00      0.000000e+00      6.802518e-04   
     7.309662        2.272993e-04      0.000000e+00      0.000000e+00      2.272993e-04   
     7.610739        7.875456e-05      0.000000e+00      0.000000e+00      7.875456e-05   
     7.915560        5.474992e-05      0.000000e+00      0.000000e+00      5.474992e-05   
     8.223305        6.693185e-05      0.000000e+00      0.000000e+00      6.693185e-05   
     8.533144        7.898010e-05      0.000000e+00      0.000000e+00      7.898010e-05   
     8.844241        8.079056e-05      0.000000e+00      0.000000e+00      8.079056e-05   
     9.155759        7.332883e-05      0.000000e+00      0.000000e+00      7.332883e-05   
     9.466856        6.072547e-05      0.000000e+00      0.000000e+00      6.072547e-05   
     9.776695        4.680987e-05      0.000000e+00      0.000000e+00      4.680987e-05   
    10.084440        3.405243e-05      0.000000e+00      0.000000e+00      3.405243e-05   
    10.389261        2.360414e-05      0.000000e+00      0.000000e+00      2.360414e-05   
    10.690338        1.569876e-05      0.000000e+00      0.000000e+00      1.569876e-05   
    10.986857        1.006901e-05      0.000000e+00      0.000000e+00      1.006901e-05   
    11.278020        6.251380e-06      0.000000e+00      0.000000e+00      6.251380e-06   
    11.563042        3.767086e-06      0.000000e+00      0.000000e+00      3.767086e-06   
    11.841155        2.207591e-06      0.000000e+00      0.000000e+00      2.207591e-06   
    12.111608        1.259767e-06      0.000000e+00      0.000000e+00      1.259767e-06   
    12.373673        7.007516e-07      0.000000e+00      0.000000e+00      7.007516e-07   
    12.626644        3.804996e-07      0.000000e+00      0.000000e+00      3.804996e-07   
    12.869837        2.023233e-07      0.000000e+00      0.000000e+00      2.023233e-07   
    13.102598        1.062656e-07      0.000000e+00      0.000000e+00      1.062656e-07   
    13.324299        5.625873e-08      0.000000e+00      0.000000e+00      5.625873e-08   
    13.534343        3.133947e-08      0.000000e+00      0.000000e+00      3.133947e-08   
    13.732162        1.960973e-08      0.000000e+00      0.000000e+00      1.960973e-08   
    13.917225        1.453945e-08      0.000000e+00      0.000000e+00      1.453945e-08   
    14.089032        1.264910e-08      0.000000e+00      0.000000e+00      1.264910e-08   
    14.247120        1.215518e-08      0.000000e+00      0.000000e+00      1.215518e-08   
    14.391062        1.219785e-08      0.000000e+00      0.000000e+00      1.219785e-08   
    14.520471        1.239061e-08      0.000000e+00      0.000000e+00      1.239061e-08   
    14.634998        1.258415e-08      0.000000e+00      0.000000e+00      1.258415e-08   
    14.734334        1.273643e-08      0.000000e+00      0.000000e+00      1.273643e-08   
    14.818211        1.284235e-08      0.000000e+00      0.000000e+00      1.284235e-08   
    14.886403        1.290717e-08      0.000000e+00      0.000000e+00      1.290717e-08   
    14.938727        1.294088e-08      0.000000e+00      0.000000e+00      1.294088e-08   
    14.975043        1.295666e-08      0.000000e+00      0.000000e+00      1.295666e-08   
    14.995261        1.296850e-08      0.000000e+00      0.000000e+00      1.296850e-08   
