#        q              total               1              \delta U         \delta U^2    

     0.001185        1.393898e+04      1.394010e+04     -1.119592e+00      5.229055e-04   
     0.006239        7.068593e+03      7.069714e+03     -1.121562e+00      5.209708e-04   
     0.015318        4.702848e+03      4.703970e+03     -1.121840e+00      5.176817e-04   
     0.028399        3.325172e+03      3.326293e+03     -1.121990e+00      5.040570e-04   
     0.045447        2.575236e+03      2.576357e+03     -1.121970e+00      5.003798e-04   
     0.066417        2.044056e+03      2.045177e+03     -1.121515e+00      5.359289e-04   
     0.091251        1.675962e+03      1.677083e+03     -1.120829e+00      4.459801e-04   
     0.119882        1.354918e+03      1.356037e+03     -1.119443e+00      4.254169e-04   
     0.152235        1.143076e+03      1.144193e+03     -1.117302e+00      5.008166e-04   
     0.188220        9.545342e+02      9.556474e+02     -1.113617e+00      4.448703e-04   
     0.227742        8.411140e+02      8.422233e+02     -1.109684e+00      3.973799e-04   
     0.270694        7.370451e+02      7.381486e+02     -1.103937e+00      4.129095e-04   
     0.316959        6.419260e+02      6.430212e+02     -1.095563e+00      4.218374e-04   
     0.366414        5.553557e+02      5.564389e+02     -1.083564e+00      3.963298e-04   
     0.418925        4.769335e+02      4.779996e+02     -1.066454e+00      3.833017e-04   
     0.474351        4.406535e+02      4.417079e+02     -1.054854e+00      3.886713e-04   
     0.532541        3.737032e+02      3.747292e+02     -1.026333e+00      3.861418e-04   
     0.593339        3.429343e+02      3.439416e+02     -1.007615e+00      3.795489e-04   
     0.656582        2.865562e+02      2.875186e+02     -9.627360e-01      3.791244e-04   
     0.722098        2.608484e+02      2.617826e+02     -9.345815e-01      3.827355e-04   
     0.789711        2.141413e+02      2.150106e+02     -8.696798e-01      3.872288e-04   
     0.859239        1.930432e+02      1.938740e+02     -8.311539e-01      3.943736e-04   
     0.930495        1.551018e+02      1.558481e+02     -7.467536e-01      4.060874e-04   
     1.003286        1.224984e+02      1.231504e+02     -6.524147e-01      4.225658e-04   
     1.077416        9.482695e+01      9.537875e+01     -5.522443e-01      4.440729e-04   
     1.152685        7.168032e+01      7.213097e+01     -4.511206e-01      4.714791e-04   
     1.228890        4.455356e+01      4.486194e+01     -3.088920e-01      5.056007e-04   
     1.305826        2.532139e+01      2.550973e+01     -1.888879e-01      5.470263e-04   
     1.383286        5.086096e+00      5.127079e+00     -4.157984e-02      5.962761e-04   
     1.461060        6.538358e-04      0.000000e+00      0.000000e+00      6.538358e-04   
     1.538940        7.201146e-04      0.000000e+00      0.000000e+00      7.201146e-04   
     1.616714        7.954101e-04      0.000000e+00      0.000000e+00      7.954101e-04   
