#        q              total               1              \delta U         \delta U^2    

     0.001185        1.539390e+04      1.539996e+04     -6.068833e+00      1.193575e-02   
     0.006239        7.758569e+03      7.764635e+03     -6.077815e+00      1.193319e-02   
     0.015318        5.048380e+03      5.054446e+03     -6.077794e+00      1.192486e-02   
     0.028399        3.599225e+03      3.605292e+03     -6.078925e+00      1.190881e-02   
     0.045447        2.686505e+03      2.692571e+03     -6.077943e+00      1.188647e-02   
     0.066417        2.138865e+03      2.144929e+03     -6.075601e+00      1.185745e-02   
     0.091251        1.671023e+03      1.677083e+03     -6.071566e+00      1.181506e-02   
     0.119882        1.426009e+03      1.432064e+03     -6.065885e+00      1.176300e-02   
     0.152235        1.206108e+03      1.212152e+03     -6.055647e+00      1.169252e-02   
     0.188220        1.009964e+03      1.015991e+03     -6.038369e+00      1.160573e-02   
     0.227742        8.362258e+02      8.422233e+02     -6.009026e+00      1.149945e-02   
     0.270694        7.321834e+02      7.381486e+02     -5.976544e+00      1.137208e-02   
     0.316959        6.371029e+02      6.430212e+02     -5.929538e+00      1.122454e-02   
     0.366414        5.505874e+02      5.564389e+02     -5.862502e+00      1.105495e-02   
     0.418925        5.104228e+02      5.162265e+02     -5.814609e+00      1.086836e-02   
     0.474351        4.360178e+02      4.417079e+02     -5.700821e+00      1.066759e-02   
     0.532541        3.691968e+02      3.747292e+02     -5.542845e+00      1.046291e-02   
     0.593339        3.385150e+02      3.439416e+02     -5.436794e+00      1.026372e-02   
     0.656582        2.823390e+02      2.875186e+02     -5.189602e+00      1.008620e-02   
     0.722098        2.567608e+02      2.617826e+02     -5.031767e+00      9.947052e-03   
     0.789711        2.103441e+02      2.150106e+02     -4.676390e+00      9.868360e-03   
     0.859239        1.894213e+02      1.938740e+02     -4.462505e+00      9.873248e-03   
     0.930495        1.518550e+02      1.558481e+02     -4.003104e+00      9.988432e-03   
     1.003286        1.196692e+02      1.231504e+02     -3.491506e+00      1.024059e-02   
     1.077416        9.243926e+01      9.537875e+01     -2.950146e+00      1.065752e-02   
     1.152685        6.973682e+01      7.213097e+01     -2.405413e+00      1.126616e-02   
     1.228890        4.322997e+01      4.486194e+01     -1.644067e+00      1.209182e-02   
     1.305826        1.977003e+01      2.058372e+01     -8.268439e-01      1.315580e-02   
     1.383286        3.380235e+00      3.518584e+00     -1.528247e-01      1.447559e-02   
     1.461060        1.606426e-02      0.000000e+00      0.000000e+00      1.606426e-02   
     1.538940        1.792760e-02      0.000000e+00      0.000000e+00      1.792760e-02   
     1.616714        2.006489e-02      0.000000e+00      0.000000e+00      2.006489e-02   
     1.694174        2.246817e-02      0.000000e+00      0.000000e+00      2.246817e-02   
     1.771110        2.512168e-02      0.000000e+00      0.000000e+00      2.512168e-02   
     1.847315        2.800290e-02      0.000000e+00      0.000000e+00      2.800290e-02   
     1.922584        3.108149e-02      0.000000e+00      0.000000e+00      3.108149e-02   
     1.996714        3.431921e-02      0.000000e+00      0.000000e+00      3.431921e-02   
     2.069505        3.767353e-02      0.000000e+00      0.000000e+00      3.767353e-02   
     2.140761        4.109858e-02      0.000000e+00      0.000000e+00      4.109858e-02   
     2.210289        4.454675e-02      0.000000e+00      0.000000e+00      4.454675e-02   
     2.277902        4.797079e-02      0.000000e+00      0.000000e+00      4.797079e-02   
     2.343418        5.132510e-02      0.000000e+00      0.000000e+00      5.132510e-02   
     2.406661        5.456918e-02      0.000000e+00      0.000000e+00      5.456918e-02   
     2.467459        5.766592e-02      0.000000e+00      0.000000e+00      5.766592e-02   
     2.525649        6.058442e-02      0.000000e+00      0.000000e+00      6.058442e-02   
