#        q              total               1              \delta U         \delta U^2    

     0.001185        2.792800e+04      2.799222e+04     -6.502554e+01      8.068066e-01   
     0.006239        1.423168e+04      1.429601e+04     -6.513270e+01      8.067826e-01   
     0.015318        9.495652e+03      9.559992e+03     -6.514711e+01      8.066622e-01   
     0.028399        6.783294e+03      6.847642e+03     -6.515364e+01      8.063296e-01   
     0.045447        5.357550e+03      5.421911e+03     -6.516723e+01      8.056212e-01   
     0.066417        4.305746e+03      4.370081e+03     -6.513973e+01      8.043676e-01   
     0.091251        3.540974e+03      3.605292e+03     -6.511998e+01      8.023236e-01   
     0.119882        2.997797e+03      3.062073e+03     -6.507501e+01      7.992846e-01   
     0.152235        2.628373e+03      2.692571e+03     -6.499349e+01      7.950072e-01   
     0.188220        2.289961e+03      2.354058e+03     -6.488703e+01      7.893478e-01   
     0.227742        1.981254e+03      2.045177e+03     -6.470546e+01      7.822259e-01   
     0.270694        1.791334e+03      1.855048e+03     -6.448739e+01      7.737091e-01   
     0.316959        1.529240e+03      1.592536e+03     -6.406066e+01      7.640687e-01   
     0.366414        1.369225e+03      1.432064e+03     -6.359215e+01      7.538179e-01   
     0.418925        1.293563e+03      1.356037e+03     -6.321822e+01      7.437925e-01   
     0.474351        1.150457e+03      1.212152e+03     -6.243073e+01      7.351596e-01   
     0.532541        1.018197e+03      1.078823e+03     -6.135539e+01      7.294638e-01   
     0.593339        9.561476e+02      1.015991e+03     -6.057208e+01      7.285687e-01   
     0.656582        8.395789e+02      8.977415e+02     -5.889724e+01      7.346339e-01   
     0.722098        7.330661e+02      7.890424e+02     -5.672628e+01      7.499841e-01   
     0.789711        6.836320e+02      7.381486e+02     -5.529357e+01      7.769272e-01   
     0.859239        5.915589e+02      6.430212e+02     -5.227997e+01      8.177071e-01   
     0.930495        5.085969e+02      5.564389e+02     -4.871609e+01      8.741425e-01   
     1.003286        4.342790e+02      4.779996e+02     -4.466794e+01      9.473478e-01   
     1.077416        3.680892e+02      4.073012e+02     -4.024960e+01      1.037638e+00   
     1.152685        2.826612e+02      3.148881e+02     -3.337149e+01      1.144621e+00   
     1.228890        1.919312e+02      2.150106e+02     -2.434606e+01      1.266655e+00   
     1.305826        7.449415e+01      8.321451e+01     -1.012126e+01      1.400908e+00   
     1.383286        1.846807e+00      3.518584e-01     -4.877474e-02      1.543723e+00   
     1.461060        1.690963e+00      0.000000e+00      0.000000e+00      1.690963e+00   
     1.538940        1.837676e+00      0.000000e+00      0.000000e+00      1.837676e+00   
     1.616714        1.978871e+00      0.000000e+00      0.000000e+00      1.978871e+00   
     1.694174        2.109793e+00      0.000000e+00      0.000000e+00      2.109793e+00   
     1.771110        2.226145e+00      0.000000e+00      0.000000e+00      2.226145e+00   
     1.847315        2.324231e+00      0.000000e+00      0.000000e+00      2.324231e+00   
     1.922584        2.401252e+00      0.000000e+00      0.000000e+00      2.401252e+00   
     1.996714        2.455655e+00      0.000000e+00      0.000000e+00      2.455655e+00   
     2.069505        2.487025e+00      0.000000e+00      0.000000e+00      2.487025e+00   
     2.140761        2.496003e+00      0.000000e+00      0.000000e+00      2.496003e+00   
     2.210289        2.484147e+00      0.000000e+00      0.000000e+00      2.484147e+00   
     2.277902        2.453739e+00      0.000000e+00      0.000000e+00      2.453739e+00   
     2.343418        2.407557e+00      0.000000e+00      0.000000e+00      2.407557e+00   
     2.406661        2.348464e+00      0.000000e+00      0.000000e+00      2.348464e+00   
     2.467459        2.279708e+00      0.000000e+00      0.000000e+00      2.279708e+00   
     2.525649        2.204459e+00      0.000000e+00      0.000000e+00      2.204459e+00   
     2.581075        2.125554e+00      0.000000e+00      0.000000e+00      2.125554e+00   
     2.633586        2.045468e+00      0.000000e+00      0.000000e+00      2.045468e+00   
     2.683041        1.966241e+00      0.000000e+00      0.000000e+00      1.966241e+00   
     2.729306        1.889628e+00      0.000000e+00      0.000000e+00      1.889628e+00   
     2.772258        1.817011e+00      0.000000e+00      0.000000e+00      1.817011e+00   
     2.811780        1.749393e+00      0.000000e+00      0.000000e+00      1.749393e+00   
     2.847765        1.687504e+00      0.000000e+00      0.000000e+00      1.687504e+00   
     2.880118        1.631851e+00      0.000000e+00      0.000000e+00      1.631851e+00   
     2.908749        1.582750e+00      0.000000e+00      0.000000e+00      1.582750e+00   
     2.933583        1.540377e+00      0.000000e+00      0.000000e+00      1.540377e+00   
     2.954553        1.504820e+00      0.000000e+00      0.000000e+00      1.504820e+00   
     2.971601        1.476089e+00      0.000000e+00      0.000000e+00      1.476089e+00   
     2.984682        1.454168e+00      0.000000e+00      0.000000e+00      1.454168e+00   
     2.993761        1.439029e+00      0.000000e+00      0.000000e+00      1.439029e+00   
     2.998815        1.430623e+00      0.000000e+00      0.000000e+00      1.430623e+00   
     3.004739        1.420795e+00      0.000000e+00      0.000000e+00      1.420795e+00   
     3.024957        1.387446e+00      0.000000e+00      0.000000e+00      1.387446e+00   
     3.061273        1.328401e+00      0.000000e+00      0.000000e+00      1.328401e+00   
     3.113597        1.245540e+00      0.000000e+00      0.000000e+00      1.245540e+00   
     3.181789        1.142067e+00      0.000000e+00      0.000000e+00      1.142067e+00   
     3.265666        1.022653e+00      0.000000e+00      0.000000e+00      1.022653e+00   
     3.365002        8.931608e-01      0.000000e+00      0.000000e+00      8.931608e-01   
     3.479529        7.602157e-01      0.000000e+00      0.000000e+00      7.602157e-01   
     3.608938        6.303419e-01      0.000000e+00      0.000000e+00      6.303419e-01   
     3.752880        5.090766e-01      0.000000e+00      0.000000e+00      5.090766e-01   
     3.910968        4.003453e-01      0.000000e+00      0.000000e+00      4.003453e-01   
     4.082775        3.063412e-01      0.000000e+00      0.000000e+00      3.063412e-01   
     4.267838        2.277803e-01      0.000000e+00      0.000000e+00      2.277803e-01   
     4.465657        1.642796e-01      0.000000e+00      0.000000e+00      1.642796e-01   
     4.675701        1.146617e-01      0.000000e+00      0.000000e+00      1.146617e-01   
     4.897402        7.724040e-02      0.000000e+00      0.000000e+00      7.724040e-02   
     5.130163        5.004980e-02      0.000000e+00      0.000000e+00      5.004980e-02   
     5.373356        3.106595e-02      0.000000e+00      0.000000e+00      3.106595e-02   
     5.626327        1.837124e-02      0.000000e+00      0.000000e+00      1.837124e-02   
     5.888392        1.027558e-02      0.000000e+00      0.000000e+00      1.027558e-02   
     6.158845        5.380904e-03      0.000000e+00      0.000000e+00      5.380904e-03   
     6.436958        2.599599e-03      0.000000e+00      0.000000e+00      2.599599e-03   
     6.721980        1.133975e-03      0.000000e+00      0.000000e+00      1.133975e-03   
     7.013143        4.338834e-04      0.000000e+00      0.000000e+00      4.338834e-04   
     7.309662        1.439250e-04      0.000000e+00      0.000000e+00      1.439250e-04   
     7.610739        5.088869e-05      0.000000e+00      0.000000e+00      5.088869e-05   
     7.915560        3.757464e-05      0.000000e+00      0.000000e+00      3.757464e-05   
     8.223305        4.664906e-05      0.000000e+00      0.000000e+00      4.664906e-05   
     8.533144        5.476331e-05      0.000000e+00      0.000000e+00      5.476331e-05   
     8.844241        5.567051e-05      0.000000e+00      0.000000e+00      5.567051e-05   
     9.155759        5.028046e-05      0.000000e+00      0.000000e+00      5.028046e-05   
     9.466856        4.147888e-05      0.000000e+00      0.000000e+00      4.147888e-05   
     9.776695        3.187370e-05      0.000000e+00      0.000000e+00      3.187370e-05   
    10.084440        2.312431e-05      0.000000e+00      0.000000e+00      2.312431e-05   
    10.389261        1.598960e-05      0.000000e+00      0.000000e+00      1.598960e-05   
    10.690338        1.060936e-05      0.000000e+00      0.000000e+00      1.060936e-05   
    10.986857        6.788604e-06      0.000000e+00      0.000000e+00      6.788604e-06   
    11.278020        4.204315e-06      0.000000e+00      0.000000e+00      4.204315e-06   
    11.563042        2.526792e-06      0.000000e+00      0.000000e+00      2.526792e-06   
    11.841155        1.476346e-06      0.000000e+00      0.000000e+00      1.476346e-06   
    12.111608        8.395495e-07      0.000000e+00      0.000000e+00      8.395495e-07   
    12.373673        4.650232e-07      0.000000e+00      0.000000e+00      4.650232e-07   
    12.626644        2.511187e-07      0.000000e+00      0.000000e+00      2.511187e-07   
    12.869837        1.325392e-07      0.000000e+00      0.000000e+00      1.325392e-07   
    13.102598        6.887822e-08      0.000000e+00      0.000000e+00      6.887822e-08   
    13.324299        3.592624e-08      0.000000e+00      0.000000e+00      3.592624e-08   
    13.534343        1.962781e-08      0.000000e+00      0.000000e+00      1.962781e-08   
    13.732162        1.204695e-08      0.000000e+00      0.000000e+00      1.204695e-08   
    13.917225        8.838093e-09      0.000000e+00      0.000000e+00      8.838093e-09   
    14.089032        7.696329e-09      0.000000e+00      0.000000e+00      7.696329e-09   
    14.247120        7.448062e-09      0.000000e+00      0.000000e+00      7.448062e-09   
    14.391062        7.530762e-09      0.000000e+00      0.000000e+00      7.530762e-09   
    14.520471        7.695506e-09      0.000000e+00      0.000000e+00      7.695506e-09   
    14.634998        7.847963e-09      0.000000e+00      0.000000e+00      7.847963e-09   
    14.734334        7.964490e-09      0.000000e+00      0.000000e+00      7.964490e-09   
    14.818211        8.044927e-09      0.000000e+00      0.000000e+00      8.044927e-09   
    14.886403        8.094893e-09      0.000000e+00      0.000000e+00      8.094893e-09   
    14.938727        8.121841e-09      0.000000e+00      0.000000e+00      8.121841e-09   
    14.975043        8.134921e-09      0.000000e+00      0.000000e+00      8.134921e-09   
    14.995261        8.143884e-09      0.000000e+00      0.000000e+00      8.143884e-09   
