#        q              total               1              \delta U         \delta U^2    

     0.001185        3.147157e+04      3.149962e+04     -2.817676e+01      1.236430e-01   
     0.006239        1.613847e+04      1.616664e+04     -2.828608e+01      1.236383e-01   
     0.015318        1.067205e+04      1.070037e+04     -2.843679e+01      1.236180e-01   
     0.028399        7.977452e+03      8.006010e+03     -2.868149e+01      1.235563e-01   
     0.045447        6.180548e+03      6.209421e+03     -2.899604e+01      1.234441e-01   
     0.066417        5.025228e+03      5.054446e+03     -2.934040e+01      1.232743e-01   
     0.091251        4.179742e+03      4.209232e+03     -2.961271e+01      1.228878e-01   
     0.119882        3.575645e+03      3.605292e+03     -2.976936e+01      1.223930e-01   
     0.152235        3.032332e+03      3.062073e+03     -2.986259e+01      1.217766e-01   
     0.188220        2.662778e+03      2.692571e+03     -2.991380e+01      1.208150e-01   
     0.227742        2.324262e+03      2.354058e+03     -2.991546e+01      1.195861e-01   
     0.270694        2.115153e+03      2.144929e+03     -2.989347e+01      1.181294e-01   
     0.316959        1.918846e+03      1.948567e+03     -2.983732e+01      1.163687e-01   
     0.366414        1.734951e+03      1.764570e+03     -2.973328e+01      1.142854e-01   
     0.418925        1.563080e+03      1.592536e+03     -2.956848e+01      1.119689e-01   
     0.474351        1.402849e+03      1.432064e+03     -2.932459e+01      1.094979e-01   
     0.532541        1.253882e+03      1.282750e+03     -2.897456e+01      1.069536e-01   
     0.593339        1.183545e+03      1.212152e+03     -2.871124e+01      1.044911e-01   
     0.656582        1.050801e+03      1.078823e+03     -2.812434e+01      1.023178e-01   
     0.722098        9.883877e+02      1.015991e+03     -2.770402e+01      1.006681e-01   
     0.789711        8.710533e+02      8.977415e+02     -2.678804e+01      9.981334e-02   
     0.859239        8.161497e+02      8.422233e+02     -2.617368e+01      1.000630e-01   
     0.930495        7.133859e+02      7.381486e+02     -2.486441e+01      1.017478e-01   
     1.003286        6.198370e+02      6.430212e+02     -2.328934e+01      1.052056e-01   
     1.077416        5.350752e+02      5.564389e+02     -2.147450e+01      1.107691e-01   
     1.152685        4.586494e+02      4.779996e+02     -1.946896e+01      1.187504e-01   
     1.228890        3.585471e+02      3.747292e+02     -1.631150e+01      1.294228e-01   
     1.305826        2.745519e+02      2.875186e+02     -1.310966e+01      1.430024e-01   
     1.383286        3.493192e+00      3.518584e+00     -1.850214e-01      1.596300e-01   
     1.461060        1.793598e-01      0.000000e+00      0.000000e+00      1.793598e-01   
     1.538940        2.021536e-01      0.000000e+00      0.000000e+00      2.021536e-01   
     1.616714        2.278735e-01      0.000000e+00      0.000000e+00      2.278735e-01   
     1.694174        2.562805e-01      0.000000e+00      0.000000e+00      2.562805e-01   
     1.771110        2.870347e-01      0.000000e+00      0.000000e+00      2.870347e-01   
     1.847315        3.197031e-01      0.000000e+00      0.000000e+00      3.197031e-01   
     1.922584        3.537767e-01      0.000000e+00      0.000000e+00      3.537767e-01   
     1.996714        3.886917e-01      0.000000e+00      0.000000e+00      3.886917e-01   
     2.069505        4.238534e-01      0.000000e+00      0.000000e+00      4.238534e-01   
     2.140761        4.586586e-01      0.000000e+00      0.000000e+00      4.586586e-01   
     2.210289        4.925316e-01      0.000000e+00      0.000000e+00      4.925316e-01   
     2.277902        5.249278e-01      0.000000e+00      0.000000e+00      5.249278e-01   
     2.343418        5.553938e-01      0.000000e+00      0.000000e+00      5.553938e-01   
     2.406661        5.835431e-01      0.000000e+00      0.000000e+00      5.835431e-01   
     2.467459        6.091101e-01      0.000000e+00      0.000000e+00      6.091101e-01   
     2.525649        6.319065e-01      0.000000e+00      0.000000e+00      6.319065e-01   
     2.581075        6.518625e-01      0.000000e+00      0.000000e+00      6.518625e-01   
     2.633586        6.689958e-01      0.000000e+00      0.000000e+00      6.689958e-01   
     2.683041        6.833862e-01      0.000000e+00      0.000000e+00      6.833862e-01   
     2.729306        6.952078e-01      0.000000e+00      0.000000e+00      6.952078e-01   
     2.772258        7.046614e-01      0.000000e+00      0.000000e+00      7.046614e-01   
     2.811780        7.120303e-01      0.000000e+00      0.000000e+00      7.120303e-01   
     2.847765        7.175875e-01      0.000000e+00      0.000000e+00      7.175875e-01   
     2.880118        7.216458e-01      0.000000e+00      0.000000e+00      7.216458e-01   
     2.908749        7.244925e-01      0.000000e+00      0.000000e+00      7.244925e-01   
     2.933583        7.264032e-01      0.000000e+00      0.000000e+00      7.264032e-01   
     2.954553        7.276179e-01      0.000000e+00      0.000000e+00      7.276179e-01   
     2.971601        7.283406e-01      0.000000e+00      0.000000e+00      7.283406e-01   
     2.984682        7.287361e-01      0.000000e+00      0.000000e+00      7.287361e-01   
     2.993761        7.289277e-01      0.000000e+00      0.000000e+00      7.289277e-01   
     2.998815        7.290041e-01      0.000000e+00      0.000000e+00      7.290041e-01   
     3.004739        7.290583e-01      0.000000e+00      0.000000e+00      7.290583e-01   
     3.024957        7.289592e-01      0.000000e+00      0.000000e+00      7.289592e-01   
     3.061273        7.277861e-01      0.000000e+00      0.000000e+00      7.277861e-01   
     3.113597        7.239271e-01      0.000000e+00      0.000000e+00      7.239271e-01   
     3.181789        7.153650e-01      0.000000e+00      0.000000e+00      7.153650e-01   
     3.265666        6.999157e-01      0.000000e+00      0.000000e+00      6.999157e-01   
     3.365002        6.748037e-01      0.000000e+00      0.000000e+00      6.748037e-01   
     3.479529        6.376121e-01      0.000000e+00      0.000000e+00      6.376121e-01   
     3.608938        5.874696e-01      0.000000e+00      0.000000e+00      5.874696e-01   
     3.752880        5.249804e-01      0.000000e+00      0.000000e+00      5.249804e-01   
     3.910968        4.526452e-01      0.000000e+00      0.000000e+00      4.526452e-01   
     4.082775        3.749063e-01      0.000000e+00      0.000000e+00      3.749063e-01   
     4.267838        2.973019e-01      0.000000e+00      0.000000e+00      2.973019e-01   
     4.465657        2.252657e-01      0.000000e+00      0.000000e+00      2.252657e-01   
     4.675701        1.629481e-01      0.000000e+00      0.000000e+00      1.629481e-01   
     4.897402        1.125146e-01      0.000000e+00      0.000000e+00      1.125146e-01   
     5.130163        7.414932e-02      0.000000e+00      0.000000e+00      7.414932e-02   
     5.373356        4.658790e-02      0.000000e+00      0.000000e+00      4.658790e-02   
     5.626327        2.782776e-02      0.000000e+00      0.000000e+00      2.782776e-02   
     5.888392        1.571937e-02      0.000000e+00      0.000000e+00      1.571937e-02   
     6.158845        8.325946e-03      0.000000e+00      0.000000e+00      8.325946e-03   
     6.436958        4.080504e-03      0.000000e+00      0.000000e+00      4.080504e-03   
     6.721980        1.813014e-03      0.000000e+00      0.000000e+00      1.813014e-03   
     7.013143        7.085097e-04      0.000000e+00      0.000000e+00      7.085097e-04   
     7.309662        2.363154e-04      0.000000e+00      0.000000e+00      2.363154e-04   
     7.610739        7.470646e-05      0.000000e+00      0.000000e+00      7.470646e-05   
     7.915560        4.416656e-05      0.000000e+00      0.000000e+00      4.416656e-05   
     8.223305        5.469970e-05      0.000000e+00      0.000000e+00      5.469970e-05   
     8.533144        6.792012e-05      0.000000e+00      0.000000e+00      6.792012e-05   
     8.844241        7.208016e-05      0.000000e+00      0.000000e+00      7.208016e-05   
     9.155759        6.711106e-05      0.000000e+00      0.000000e+00      6.711106e-05   
     9.466856        5.662973e-05      0.000000e+00      0.000000e+00      5.662973e-05   
     9.776695        4.430283e-05      0.000000e+00      0.000000e+00      4.430283e-05   
    10.084440        3.262842e-05      0.000000e+00      0.000000e+00      3.262842e-05   
    10.389261        2.286246e-05      0.000000e+00      0.000000e+00      2.286246e-05   
    10.690338        1.535605e-05      0.000000e+00      0.000000e+00      1.535605e-05   
    10.986857        9.941489e-06      0.000000e+00      0.000000e+00      9.941489e-06   
    11.278020        6.228739e-06      0.000000e+00      0.000000e+00      6.228739e-06   
    11.563042        3.788066e-06      0.000000e+00      0.000000e+00      3.788066e-06   
    11.841155        2.240899e-06      0.000000e+00      0.000000e+00      2.240899e-06   
    12.111608        1.291313e-06      0.000000e+00      0.000000e+00      1.291313e-06   
    12.373673        7.255126e-07      0.000000e+00      0.000000e+00      7.255126e-07   
    12.626644        3.977460e-07      0.000000e+00      0.000000e+00      3.977460e-07   
    12.869837        2.130969e-07      0.000000e+00      0.000000e+00      2.130969e-07   
    13.102598        1.120586e-07      0.000000e+00      0.000000e+00      1.120586e-07   
    13.324299        5.852773e-08      0.000000e+00      0.000000e+00      5.852773e-08   
    13.534343        3.123532e-08      0.000000e+00      0.000000e+00      3.123532e-08   
    13.732162        1.799431e-08      0.000000e+00      0.000000e+00      1.799431e-08   
    13.917225        1.201103e-08      0.000000e+00      0.000000e+00      1.201103e-08   
    14.089032        9.607847e-09      0.000000e+00      0.000000e+00      9.607847e-09   
    14.247120        8.861160e-09      0.000000e+00      0.000000e+00      8.861160e-09   
    14.391062        8.807446e-09      0.000000e+00      0.000000e+00      8.807446e-09   
    14.520471        8.991665e-09      0.000000e+00      0.000000e+00      8.991665e-09   
    14.634998        9.218461e-09      0.000000e+00      0.000000e+00      9.218461e-09   
    14.734334        9.416572e-09      0.000000e+00      0.000000e+00      9.416572e-09   
    14.818211        9.567342e-09      0.000000e+00      0.000000e+00      9.567342e-09   
    14.886403        9.672474e-09      0.000000e+00      0.000000e+00      9.672474e-09   
    14.938727        9.739744e-09      0.000000e+00      0.000000e+00      9.739744e-09   
    14.975043        9.783981e-09      0.000000e+00      0.000000e+00      9.783981e-09   
    14.995261        9.807454e-09      0.000000e+00      0.000000e+00      9.807454e-09   
