#        q              total               1              \delta U         \delta U^2    

     0.001185        9.288139e+03      9.288156e+03     -1.789111e-02      2.777837e-05   
     0.006239        4.534959e+03      4.534977e+03     -1.789930e-02      2.738505e-05   
     0.015318        2.812210e+03      2.812228e+03     -1.789640e-02      2.619205e-05   
     0.028399        2.045159e+03      2.045177e+03     -1.789850e-02      2.415678e-05   
     0.045447        1.510862e+03      1.510880e+03     -1.789098e-02      2.177150e-05   
     0.066417        1.144175e+03      1.144193e+03     -1.788208e-02      1.940470e-05   
     0.091251        8.977237e+02      8.977415e+02     -1.786204e-02      1.651588e-05   
     0.119882        7.381308e+02      7.381486e+02     -1.783235e-02      1.408295e-05   
     0.152235        5.986693e+02      5.986870e+02     -1.777960e-02      1.135081e-05   
     0.188220        5.162088e+02      5.162265e+02     -1.772220e-02      9.042379e-06   
     0.227742        4.072836e+02      4.073012e+02     -1.757377e-02      7.052504e-06   
     0.270694        3.439242e+02      3.439416e+02     -1.741339e-02      5.388774e-06   
     0.316959        3.148708e+02      3.148881e+02     -1.730632e-02      4.213847e-06   
     0.366414        2.617656e+02      2.617826e+02     -1.701470e-02      3.176564e-06   
     0.418925        2.149940e+02      2.150106e+02     -1.658774e-02      2.503780e-06   
     0.474351        1.938577e+02      1.938740e+02     -1.631019e-02      1.897405e-06   
     0.532541        1.558325e+02      1.558481e+02     -1.558695e-02      1.512804e-06   
     0.593339        1.388433e+02      1.388584e+02     -1.513206e-02      1.171822e-06   
     0.656582        1.086600e+02      1.086740e+02     -1.400264e-02      9.518427e-07   
     0.722098        9.536542e+01      9.537875e+01     -1.332875e-02      7.682807e-07   
     0.789711        7.211920e+01      7.213097e+01     -1.176300e-02      6.585655e-07   
     0.859239        6.206698e+01      6.207787e+01     -1.088975e-02      5.857108e-07   
     0.930495        4.485293e+01      4.486194e+01     -9.008804e-03      5.655956e-07   
     1.003286        3.115754e+01      3.116460e+01     -7.058817e-03      5.812923e-07   
     1.077416        2.057854e+01      2.058372e+01     -5.178102e-03      6.394525e-07   
