#        q              total               1              \delta U         \delta U^2    

     0.001185        3.528632e+04      3.528840e+04     -2.087349e+00      5.276348e-04   
     0.006239        2.130435e+04      2.130643e+04     -2.087373e+00      5.223859e-04   
     0.015318        1.616455e+04      1.616664e+04     -2.087473e+00      5.094003e-04   
     0.028399        1.290584e+04      1.290792e+04     -2.086116e+00      4.789825e-04   
     0.045447        1.099688e+04      1.099897e+04     -2.086912e+00      4.596603e-04   
     0.066417        9.557906e+03      9.559992e+03     -2.086113e+00      4.385152e-04   
     0.091251        8.501579e+03      8.503663e+03     -2.084745e+00      4.079210e-04   
     0.119882        7.762551e+03      7.764635e+03     -2.084080e+00      3.809353e-04   
     0.152235        7.067633e+03      7.069714e+03     -2.081795e+00      3.452000e-04   
     0.188220        6.415468e+03      6.417545e+03     -2.077699e+00      3.096525e-04   
     0.227742        6.003771e+03      6.005846e+03     -2.074315e+00      2.772092e-04   
     0.270694        5.610072e+03      5.612141e+03     -2.069656e+00      2.447951e-04   
     0.316959        5.233967e+03      5.236030e+03     -2.062418e+00      2.219492e-04   
     0.366414        4.875057e+03      4.877109e+03     -2.052155e+00      1.982880e-04   
     0.418925        4.532939e+03      4.534977e+03     -2.038072e+00      1.828308e-04   
     0.474351        4.368052e+03      4.370081e+03     -2.029289e+00      1.676349e-04   
     0.532541        4.050372e+03      4.052378e+03     -2.006241e+00      1.590933e-04   
     0.593339        3.748484e+03      3.750458e+03     -1.975000e+00      1.509286e-04   
     0.656582        3.603336e+03      3.605292e+03     -1.955845e+00      1.475567e-04   
     0.722098        3.324384e+03      3.326293e+03     -1.909367e+00      1.456175e-04   
     0.789711        3.060221e+03      3.062073e+03     -1.851394e+00      1.478911e-04   
     0.859239        2.933560e+03      2.935379e+03     -1.818220e+00      1.528069e-04   
     0.930495        2.574657e+03      2.576357e+03     -1.700474e+00      1.623902e-04   
     1.003286        2.352449e+03      2.354058e+03     -1.609371e+00      1.759384e-04   
     1.077416        2.043719e+03      2.045177e+03     -1.458180e+00      1.953122e-04   
     1.152685        1.675840e+03      1.677083e+03     -1.242777e+00      2.205901e-04   
     1.228890        3.346344e+02      3.348938e+02     -2.596615e-01      2.529608e-04   
     1.305826        1.381537e+00      1.382301e+00     -1.056101e-03      2.926654e-04   
     1.383286        3.402151e-04      0.000000e+00      0.000000e+00      3.402151e-04   
     1.461060        3.959469e-04      0.000000e+00      0.000000e+00      3.959469e-04   
