#        q              total               1              \delta U         \delta U^2    

     0.001185        3.528808e+04      3.528840e+04     -3.263547e-01      8.087518e-05   
     0.006239        2.130611e+04      2.130643e+04     -3.263699e-01      8.057457e-05   
     0.015318        1.616631e+04      1.616664e+04     -3.263871e-01      7.932584e-05   
     0.028399        1.290760e+04      1.290792e+04     -3.261718e-01      7.641462e-05   
     0.045447        1.099864e+04      1.099897e+04     -3.262863e-01      7.274401e-05   
     0.066417        9.559666e+03      9.559992e+03     -3.261434e-01      6.872793e-05   
     0.091251        8.503337e+03      8.503663e+03     -3.259033e-01      6.290540e-05   
     0.119882        7.764309e+03      7.764635e+03     -3.257611e-01      5.778698e-05   
     0.152235        7.069389e+03      7.069714e+03     -3.253471e-01      5.101955e-05   
     0.188220        6.417220e+03      6.417545e+03     -3.246263e-01      4.430856e-05   
     0.227742        6.005522e+03      6.005846e+03     -3.239933e-01      3.816320e-05   
     0.270694        5.611818e+03      5.612141e+03     -3.231294e-01      3.200450e-05   
     0.316959        5.235708e+03      5.236030e+03     -3.218241e-01      2.767159e-05   
     0.366414        4.876789e+03      4.877109e+03     -3.200037e-01      2.318824e-05   
     0.418925        4.534659e+03      4.534977e+03     -3.175398e-01      2.022030e-05   
     0.474351        4.369765e+03      4.370081e+03     -3.158742e-01      1.725867e-05   
     0.532541        4.052066e+03      4.052378e+03     -3.119119e-01      1.548968e-05   
     0.593339        3.750152e+03      3.750458e+03     -3.066200e-01      1.371145e-05   
     0.656582        3.604989e+03      3.605292e+03     -3.031876e-01      1.272653e-05   
     0.722098        3.325998e+03      3.326293e+03     -2.954315e-01      1.188457e-05   
     0.789711        3.061787e+03      3.062073e+03     -2.858597e-01      1.164878e-05   
     0.859239        2.935098e+03      2.935379e+03     -2.801310e-01      1.167785e-05   
     0.930495        2.576096e+03      2.576357e+03     -2.612741e-01      1.228932e-05   
     1.003286        2.353812e+03      2.354058e+03     -2.465926e-01      1.332517e-05   
     1.077416        2.044954e+03      2.045177e+03     -2.227348e-01      1.505191e-05   
     1.152685        1.676893e+03      1.677083e+03     -1.892102e-01      1.744012e-05   
     1.228890        3.348544e+02      3.348938e+02     -3.938725e-02      2.064960e-05   
     1.305826        1.382167e+00      1.382301e+00     -1.586394e-04      2.468722e-05   
     1.383286        2.961603e-05      0.000000e+00      0.000000e+00      2.961603e-05   
     1.461060        3.547524e-05      0.000000e+00      0.000000e+00      3.547524e-05   
     1.538940        4.231185e-05      0.000000e+00      0.000000e+00      4.231185e-05   
     1.616714        5.017154e-05      0.000000e+00      0.000000e+00      5.017154e-05   
     1.694174        5.909015e-05      0.000000e+00      0.000000e+00      5.909015e-05   
     1.771110        6.909744e-05      0.000000e+00      0.000000e+00      6.909744e-05   
     1.847315        8.020766e-05      0.000000e+00      0.000000e+00      8.020766e-05   
     1.922584        9.240601e-05      0.000000e+00      0.000000e+00      9.240601e-05   
     1.996714        1.056706e-04      0.000000e+00      0.000000e+00      1.056706e-04   
     2.069505        1.199426e-04      0.000000e+00      0.000000e+00      1.199426e-04   
     2.140761        1.351672e-04      0.000000e+00      0.000000e+00      1.351672e-04   
     2.210289        1.512638e-04      0.000000e+00      0.000000e+00      1.512638e-04   
     2.277902        1.681274e-04      0.000000e+00      0.000000e+00      1.681274e-04   
