#        q              total               1              \delta U         \delta U^2    

     0.001185        9.008975e+03      9.021523e+03     -1.304962e+01      5.010041e-01   
     0.006239        4.357526e+03      4.370081e+03     -1.305633e+01      5.009948e-01   
     0.015318        2.799677e+03      2.812228e+03     -1.305228e+01      5.009621e-01   
     0.028399        1.936016e+03      1.948567e+03     -1.305122e+01      5.008836e-01   
     0.045447        1.419522e+03      1.432064e+03     -1.304199e+01      5.007342e-01   
     0.066417        1.131665e+03      1.144193e+03     -1.302844e+01      5.004585e-01   
     0.091251        8.852419e+02      8.977415e+02     -1.299967e+01      5.000371e-01   
     0.119882        7.256921e+02      7.381486e+02     -1.295598e+01      4.994247e-01   
     0.152235        5.863025e+02      5.986870e+02     -1.288322e+01      4.986661e-01   
     0.188220        5.039285e+02      5.162265e+02     -1.279580e+01      4.978258e-01   
     0.227742        3.951784e+02      4.073012e+02     -1.261991e+01      4.970950e-01   
     0.270694        3.320182e+02      3.439416e+02     -1.242021e+01      4.968081e-01   
     0.316959        3.031369e+02      3.148881e+02     -1.224861e+01      4.974294e-01   
     0.366414        2.503708e+02      2.617826e+02     -1.191151e+01      4.996563e-01   
     0.418925        2.040609e+02      2.150106e+02     -1.145401e+01      5.043304e-01   
     0.474351        1.832858e+02      1.938740e+02     -1.110065e+01      5.124808e-01   
     0.532541        1.459739e+02      1.558481e+02     -1.039929e+01      5.250923e-01   
     0.593339        1.295060e+02      1.388584e+02     -9.895541e+00      5.431788e-01   
     0.656582        1.003277e+02      1.086740e+02     -8.913678e+00      5.674337e-01   
     0.722098        8.771003e+01      9.537875e+01     -8.266813e+00      5.980861e-01   
     0.789711        6.571257e+01      7.213097e+01     -7.053010e+00      6.346090e-01   
     0.859239        5.642837e+01      6.207787e+01     -6.325581e+00      6.760773e-01   
     0.930495        4.055232e+01      4.486194e+01     -5.030017e+00      7.203956e-01   
     1.003286        2.814891e+01      3.116460e+01     -3.780250e+00      7.645641e-01   
     1.077416        1.873284e+01      2.058372e+01     -2.655886e+00      8.050061e-01   
     1.152685        1.183844e+01      1.271717e+01     -1.716977e+00      8.382472e-01   
     1.228890        5.254527e+00      5.127079e+00     -7.332165e-01      8.606640e-01   
     1.305826        9.758953e-01      1.256637e-01     -1.912963e-02      8.693612e-01   
     1.383286        8.627610e-01      0.000000e+00      0.000000e+00      8.627610e-01   
     1.461060        8.406496e-01      0.000000e+00      0.000000e+00      8.406496e-01   
     1.538940        8.040410e-01      0.000000e+00      0.000000e+00      8.040410e-01   
     1.616714        7.551203e-01      0.000000e+00      0.000000e+00      7.551203e-01   
     1.694174        6.968603e-01      0.000000e+00      0.000000e+00      6.968603e-01   
     1.771110        6.326427e-01      0.000000e+00      0.000000e+00      6.326427e-01   
     1.847315        5.659270e-01      0.000000e+00      0.000000e+00      5.659270e-01   
     1.922584        4.999634e-01      0.000000e+00      0.000000e+00      4.999634e-01   
     1.996714        4.372437e-01      0.000000e+00      0.000000e+00      4.372437e-01   
     2.069505        3.794667e-01      0.000000e+00      0.000000e+00      3.794667e-01   
     2.140761        3.276450e-01      0.000000e+00      0.000000e+00      3.276450e-01   
     2.210289        2.821951e-01      0.000000e+00      0.000000e+00      2.821951e-01   
     2.277902        2.430581e-01      0.000000e+00      0.000000e+00      2.430581e-01   
     2.343418        2.098349e-01      0.000000e+00      0.000000e+00      2.098349e-01   
     2.406661        1.819580e-01      0.000000e+00      0.000000e+00      1.819580e-01   
     2.467459        1.587234e-01      0.000000e+00      0.000000e+00      1.587234e-01   
     2.525649        1.394263e-01      0.000000e+00      0.000000e+00      1.394263e-01   
     2.581075        1.234229e-01      0.000000e+00      0.000000e+00      1.234229e-01   
     2.633586        1.101508e-01      0.000000e+00      0.000000e+00      1.101508e-01   
     2.683041        9.913855e-02      0.000000e+00      0.000000e+00      9.913855e-02   
     2.729306        8.998706e-02      0.000000e+00      0.000000e+00      8.998706e-02   
     2.772258        8.236574e-02      0.000000e+00      0.000000e+00      8.236574e-02   
     2.811780        7.601454e-02      0.000000e+00      0.000000e+00      7.601454e-02   
     2.847765        7.072897e-02      0.000000e+00      0.000000e+00      7.072897e-02   
     2.880118        6.634040e-02      0.000000e+00      0.000000e+00      6.634040e-02   
     2.908749        6.271963e-02      0.000000e+00      0.000000e+00      6.271963e-02   
     2.933583        5.976395e-02      0.000000e+00      0.000000e+00      5.976395e-02   
     2.954553        5.739261e-02      0.000000e+00      0.000000e+00      5.739261e-02   
     2.971601        5.554420e-02      0.000000e+00      0.000000e+00      5.554420e-02   
     2.984682        5.417235e-02      0.000000e+00      0.000000e+00      5.417235e-02   
     2.993761        5.324283e-02      0.000000e+00      0.000000e+00      5.324283e-02   
     2.998815        5.273324e-02      0.000000e+00      0.000000e+00      5.273324e-02   
     3.004739        5.214280e-02      0.000000e+00      0.000000e+00      5.214280e-02   
     3.024957        5.018377e-02      0.000000e+00      0.000000e+00      5.018377e-02   
     3.061273        4.686856e-02      0.000000e+00      0.000000e+00      4.686856e-02   
     3.113597        4.251135e-02      0.000000e+00      0.000000e+00      4.251135e-02   
     3.181789        3.748374e-02      0.000000e+00      0.000000e+00      3.748374e-02   
     3.265666        3.215791e-02      0.000000e+00      0.000000e+00      3.215791e-02   
     3.365002        2.685670e-02      0.000000e+00      0.000000e+00      2.685670e-02   
     3.479529        2.183530e-02      0.000000e+00      0.000000e+00      2.183530e-02   
     3.608938        1.727536e-02      0.000000e+00      0.000000e+00      1.727536e-02   
     3.752880        1.328968e-02      0.000000e+00      0.000000e+00      1.328968e-02   
     3.910968        9.929002e-03      0.000000e+00      0.000000e+00      9.929002e-03   
     4.082775        7.194451e-03      0.000000e+00      0.000000e+00      7.194451e-03   
     4.267838        5.048812e-03      0.000000e+00      0.000000e+00      5.048812e-03   
     4.465657        3.427042e-03      0.000000e+00      0.000000e+00      3.427042e-03   
     4.675701        2.247418e-03      0.000000e+00      0.000000e+00      2.247418e-03   
     4.897402        1.422496e-03      0.000000e+00      0.000000e+00      1.422496e-03   
     5.130163        8.684046e-04      0.000000e+00      0.000000e+00      8.684046e-04   
     5.373356        5.112385e-04      0.000000e+00      0.000000e+00      5.112385e-04   
     5.626327        2.904671e-04      0.000000e+00      0.000000e+00      2.904671e-04   
     5.888392        1.596893e-04      0.000000e+00      0.000000e+00      1.596893e-04   
     6.158845        8.546440e-05      0.000000e+00      0.000000e+00      8.546440e-05   
     6.436958        4.506778e-05      0.000000e+00      0.000000e+00      4.506778e-05   
     6.721980        2.391991e-05      0.000000e+00      0.000000e+00      2.391991e-05   
     7.013143        1.318125e-05      0.000000e+00      0.000000e+00      1.318125e-05   
     7.309662        7.794516e-06      0.000000e+00      0.000000e+00      7.794516e-06   
     7.610739        5.031900e-06      0.000000e+00      0.000000e+00      5.031900e-06   
     7.915560        3.510372e-06      0.000000e+00      0.000000e+00      3.510372e-06   
     8.223305        2.572717e-06      0.000000e+00      0.000000e+00      2.572717e-06   
     8.533144        1.925871e-06      0.000000e+00      0.000000e+00      1.925871e-06   
     8.844241        1.445357e-06      0.000000e+00      0.000000e+00      1.445357e-06   
     9.155759        1.077744e-06      0.000000e+00      0.000000e+00      1.077744e-06   
     9.466856        7.964605e-07      0.000000e+00      0.000000e+00      7.964605e-07   
     9.776695        5.840939e-07      0.000000e+00      0.000000e+00      5.840939e-07   
    10.084440        4.264960e-07      0.000000e+00      0.000000e+00      4.264960e-07   
    10.389261        3.114205e-07      0.000000e+00      0.000000e+00      3.114205e-07   
    10.690338        2.284780e-07      0.000000e+00      0.000000e+00      2.284780e-07   
    10.986857        1.692306e-07      0.000000e+00      0.000000e+00      1.692306e-07   
