# 9Be(3/2-) -- AV18+UX -- 05-Sep-13

# VMC 80k samples using 250 gauss points in r out to 25.00 fm

# K = momentum in 1/fm
# RHOKN = neutron momentum distribution in fm**3
# DRHOKN = Monte Carlo error bar (1 sigma)
# RHOKP = proton momentum distribution in fm**3
# DRHOKP = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOKN*K**2:K)/(2*PI)**3 =  4.9999
# 4*PI*TOTINT(RHOKP*K**2:K)/(2*PI)**3 =  4

# number above K = 2 fm**-1
# 4*PI*TOTINT(RHOKN(I)*K(I)**2:K(I))/(2*PI)**3 =  .30267
# 4*PI*TOTINT(RHOKP(I)*K(I)**2:K(I))/(2*PI)**3 =  .29322

# Kinetic energy
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN*K**4:K)/(2*PI)**3 =  135.49
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP*K**4:K)/(2*PI)**3 =  119.21
#                                                   =  254.7

# Kinetic energy above K =  2 fm**-1
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN(I)*K(I)**4:K(I))/(2*PI)**3 =  64.208
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP(I)*K(I)**4:K(I))/(2*PI)**3 =  62.104
#                                                            = 126.31
 
#  K      RHOKN       DRHOKN      RHOKP       DRHOKP
# ****  ***********  *********  ***********  *********
  0    471.4        1.5677     493.6         .87357
   .1  479.1        1.462      486.1         .82165
   .2  491.7        1.1953     463.1         .69321
   .3  488           .86019    423.5         .53537
   .4  455.4         .55542    369.6         .38594
   .5  394.9         .33591    306.4         .26983
   .6  318.4         .21413    241.1         .19276
   .7  239.51        .15948    180.13        .14276
   .8  169.5         .12688    128.17        .10542
   .9  113.75        .096926    87.17        .074409
  1     72.97        .069081    56.95        .049094
  1.1   45.17        .046448    35.94        .030646
  1.2   27.23        .030977    22.09        .020174
  1.3   16.179       .022815    13.342       .017133
  1.4    9.61        .019959     8.034       .017557
  1.5    5.807       .019256     4.915       .018123
  1.6    3.641       .018705     3.121       .017911
  1.7    2.411       .017714     2.101       .016964
  1.8    1.7055      .016316     1.5187      .015535
  1.9    1.2901      .014645     1.1762      .013856
  2      1.0342      .012852      .9647      .012089
  2.1     .8667      .011062      .8242      .010353
  2.2     .7488      .0093565     .7224      .0087257
  2.3     .6593      .0077985     .6421      .0072493
  2.4     .5861      .0064193     .5742      .0059482
  2.5     .5232      .0052253     .5141      .0048267
  2.6     .4674      .0042181     .4594      .0038813
  2.7     .4166      .0033823     .4091      .0030964
  2.8     .37        .0026985     .3629      .0024572
  2.9     .3273      .0021456     .3206      .0019424
  3       .2887      .0017055     .2822      .0015366
  3.1     .2539      .0013637     .2476      .0012271
  3.2     .2226      .0011057     .2165     9.9994E-4
  3.3     .1945     9.2053E-4     .18885    8.4225E-4
  3.4     .16948    7.943E-4      .16423    7.3816E-4
  3.5     .14728    7.1109E-4     .14246    6.7056E-4
  3.6     .12761    6.5517E-4     .12329    6.2382E-4
  3.7     .11025    6.1357E-4     .10642    5.8698E-4
  3.8     .09502    5.7783E-4     .09164    5.5311E-4
  3.9     .08171    5.4276E-4     .07874    5.1888E-4
  4       .07011    5.0615E-4     .06751    4.8303E-4
  4.1     .06003    4.6747E-4     .05775    4.4534E-4
  4.2     .05128    4.2709E-4     .04929    4.0638E-4
  4.3     .0437     3.86E-4       .04196    3.6692E-4
  4.4     .03714    3.4504E-4     .03562    3.2782E-4
  4.5     .03148    3.0514E-4     .03015    2.8992E-4
  4.6     .0266     2.673E-4      .02544    2.5378E-4
  4.7     .02242    2.3186E-4     .02141    2.1984E-4
  4.8     .018848   1.9925E-4     .017976   1.8866E-4
  4.9     .015811   1.6962E-4     .015055   1.6016E-4
  5       .013231   1.4296E-4     .012579   1.3454E-4
  5.1     .011039   1.1923E-4     .01048    1.1181E-4
  5.2     .009177   9.8374E-5     .008698   9.1847E-5
  5.3     .007599   8.0201E-5     .007189   7.4551E-5
  5.4     .006264   6.4616E-5     .005919   5.9787E-5
  5.5     .005139   5.1504E-5     .004851   4.7441E-5
  5.6     .0042     4.0738E-5     .003959   3.7365E-5
  5.7     .003418   3.22E-5       .003218   2.9424E-5
  5.8     .002771   2.5697E-5     .002606   2.3442E-5
  5.9     .002235   2.1023E-5     .002102   1.9213E-5
  6       .0017971  1.7906E-5     .00169    1.6455E-5
  6.1     .0014395  1.595E-5      .001354   1.4786E-5
  6.2     .0011493  1.4755E-5     .0010812  1.3794E-5
  6.3    9.144E-4   1.3972E-5    8.6E-4     1.3144E-5
  6.4    7.242E-4   1.3337E-5    6.809E-4   1.2606E-5
  6.5    5.701E-4   1.2727E-5    5.361E-4   1.2059E-5
  6.6    4.459E-4   1.208E-5     4.196E-4   1.1455E-5
  6.7    3.465E-4   1.1371E-5    3.265E-4   1.0782E-5
  6.8    2.678E-4   1.0606E-5    2.526E-4   1.0049E-5
  6.9    2.0619E-4  9.7951E-6    1.9447E-4  9.2702E-6
  7      1.5846E-4  8.9579E-6    1.4911E-4  8.469E-6
  7.1    1.2177E-4  8.1128E-6    1.1422E-4  7.6622E-6
  7.2    9.382E-5   7.2791E-6    8.772E-5   6.8675E-6
  7.3    7.285E-5   6.4743E-6    6.789E-5   6.1002E-6
  7.4    5.727E-5   5.7085E-6    5.33E-5    5.3698E-6
  7.5    4.568E-5   4.9893E-6    4.273E-5   4.686E-6
  7.6    3.712E-5   4.3231E-6    3.514E-5   4.0539E-6
  7.7    3.096E-5   3.7134E-6    2.97E-5    3.4776E-6
  7.8    2.661E-5   3.1645E-6    2.582E-5   2.9607E-6
  7.9    2.358E-5   2.6799E-6    2.303E-5   2.5046E-6
  8      2.148E-5   2.2584E-6    2.098E-5   2.1072E-6
  8.1    2.0032E-5  1.8947E-6    1.9472E-5  1.7678E-6
  8.2    1.8964E-5  1.5863E-6    1.8325E-5  1.48E-6
  8.3    1.8051E-5  1.3322E-6    1.7421E-5  1.2418E-6
  8.4    1.7199E-5  1.132E-6     1.6662E-5  1.0499E-6
  8.5    1.6393E-5  9.7997E-7    1.5988E-5  9.001E-7
  8.6    1.5627E-5  8.6409E-7    1.535E-5   7.8703E-7
  8.7    1.4897E-5  7.7369E-7    1.4708E-5  7.0443E-7
  8.8    1.4208E-5  7.0616E-7    1.4035E-5  6.4701E-7
  8.9    1.3524E-5  6.6273E-7    1.3306E-5  6.1031E-7
  9      1.2788E-5  6.3974E-7    1.2508E-5  5.8853E-7
  9.1    1.1993E-5  6.2608E-7    1.1651E-5  5.7389E-7
  9.2    1.1208E-5  6.0956E-7    1.0785E-5  5.5925E-7
