#        q                pp                pn                nn        

     0.001185        1.814467e+08      1.577260e+08      1.371058e+08   
     0.006239        4.313492e+07      3.832426e+07      3.405052e+07   
     0.015318        1.803509e+07      1.628143e+07      1.469856e+07   
     0.028399        8.858812e+06      8.206779e+06      7.602932e+06   
     0.045447        5.095581e+06      4.887536e+06      4.688142e+06   
     0.066417        3.318807e+06      3.173407e+06      3.034504e+06   
     0.091251        2.091373e+06      1.992528e+06      1.898454e+06   
     0.119882        1.556852e+06      1.479619e+06      1.406302e+06   
     0.152235        1.025402e+06      1.025364e+06      1.025402e+06   
     0.188220        7.346555e+05      7.346235e+05      7.346555e+05   
     0.227742        5.819286e+05      5.480099e+05      5.161182e+05   
     0.270694        4.566302e+05      4.289382e+05      4.029692e+05   
     0.316959        3.546694e+05      3.322542e+05      3.112933e+05   
     0.366414        2.724311e+05      2.544557e+05      2.376988e+05   
     0.418925        2.067376e+05      2.067217e+05      2.067376e+05   
     0.474351        1.548116e+05      1.547982e+05      1.548116e+05   
     0.532541        1.332444e+05      1.233664e+05      1.142414e+05   
     0.593339        9.755253e+04      9.754249e+04      9.755253e+04   
     0.656582        8.294673e+04      7.630525e+04      7.021061e+04   
     0.722098        5.914754e+04      5.914033e+04      5.914754e+04   
     0.789711        4.133315e+04      4.132740e+04      4.133315e+04   
     0.859239        3.426478e+04      3.425982e+04      3.426478e+04   
     0.930495        2.311452e+04      2.311069e+04      2.311452e+04   
     1.003286        1.516736e+04      1.516445e+04      1.516736e+04   
     1.077416        9.640648e+03      9.638494e+03      9.640648e+03   
     1.152685        5.904871e+03      5.903315e+03      5.904871e+03   
     1.228890        1.926746e+03      1.925931e+03      1.926746e+03   
     1.305826        2.046358e+02      2.577859e+02      3.253376e+02   
     1.383286        1.790550e-04      3.335301e-03      1.771157e-04   
     1.461060        2.082754e-04      4.218245e-03      2.065200e-04   
     1.538940        2.404362e-04      5.324606e-03      2.390464e-04   
     1.616714        2.775601e-04      6.678952e-03      2.767066e-04   
     1.694174        3.225008e-04      8.300136e-03      3.223344e-04   
     1.771110        3.787311e-04      1.019675e-02      3.793800e-04   
     1.847315        4.500090e-04      1.236869e-02      4.515752e-04   
     1.922584        5.398674e-04      1.480505e-02      5.424280e-04   
     1.996714        6.513094e-04      1.748173e-02      6.549175e-04   
     2.069505        7.863894e-04      2.036576e-02      7.910763e-04   
     2.140761        9.459598e-04      2.341309e-02      9.517371e-04   
     2.210289        1.129526e-03      2.657265e-02      1.136387e-03   
     2.277902        1.335323e-03      2.978808e-02      1.343247e-03   
     2.343418        1.560385e-03      3.300118e-02      1.569335e-03   
     2.406661        1.800745e-03      3.615481e-02      1.810676e-03   
     2.467459        2.051789e-03      3.919535e-02      2.062645e-03   
     2.525649        2.308529e-03      4.207622e-02      2.320245e-03   
     2.581075        2.565947e-03      4.475820e-02      2.578454e-03   
     2.633586        2.819217e-03      4.721159e-02      2.832442e-03   
     2.683041        3.063989e-03      4.941637e-02      3.077855e-03   
     2.729306        3.296463e-03      5.136253e-02      3.310896e-03   
     2.772258        3.513619e-03      5.304858e-02      3.528545e-03   
     2.811780        3.713071e-03      5.448075e-02      3.728418e-03   
     2.847765        3.893193e-03      5.567218e-02      3.908894e-03   
     2.880118        4.052938e-03      5.663869e-02      4.068931e-03   
     2.908749        4.191807e-03      5.740178e-02      4.208034e-03   
     2.933583        4.309739e-03      5.798190e-02      4.326148e-03   
     2.954553        4.406934e-03      5.840041e-02      4.423478e-03   
     2.971601        4.483775e-03      5.867701e-02      4.500411e-03   
     2.984682        4.540737e-03      5.882948e-02      4.557428e-03   
     2.993761        4.578269e-03      5.887118e-02      4.594979e-03   
     2.998815        4.596701e-03      5.881028e-02      4.613399e-03   
     3.004739        4.635601e-03      5.934019e-02      4.652459e-03   
     3.024957        4.748405e-03      6.047371e-02      4.765612e-03   
     3.061273        4.929514e-03      6.184961e-02      4.947163e-03   
     3.113597        5.167538e-03      6.326829e-02      5.185673e-03   
     3.181789        5.442435e-03      6.441464e-02      5.461028e-03   
     3.265666        5.722872e-03      6.484960e-02      5.741791e-03   
     3.365002        5.964548e-03      6.402580e-02      5.983532e-03   
     3.479529        6.111287e-03      6.134933e-02      6.129928e-03   
     3.608938        6.100871e-03      5.630334e-02      6.118624e-03   
     3.752880        5.876982e-03      4.864088e-02      5.893219e-03   
     3.910968        5.406431e-03      3.861272e-02      5.420537e-03   
     4.082775        4.697377e-03      2.716057e-02      4.708902e-03   
     4.267838        3.810789e-03      1.595796e-02      3.819599e-03   
     4.465657        2.855951e-03      7.183991e-03      2.862328e-03   
     4.675701        1.965128e-03      2.970933e-03      1.969749e-03   
     4.897402        1.252439e-03      4.600804e-03      1.256185e-03   
     5.130163        7.740593e-04      1.172124e-02      7.777103e-04   
     5.373356        5.115586e-04      2.201866e-02      5.155095e-04   
     5.626327        3.904108e-04      3.175507e-02      3.945665e-04   
     5.888392        3.242098e-04      3.718910e-02      3.281330e-04   
     6.158845        2.571769e-04      3.626864e-02      2.604009e-04   
     6.436958        1.791199e-04      2.958766e-02      1.814235e-04   
     6.721980        1.087781e-04      1.993307e-02      1.102573e-04   
     7.013143        6.493585e-05      1.069289e-02      6.586969e-05   
     7.309662        4.922974e-05      4.187976e-03      4.988379e-05   
     7.610739        4.884477e-05      9.373100e-04      4.936000e-05   
     7.915560        4.932412e-05      6.632769e-05      4.972935e-05   
     8.223305        4.373173e-05      2.735766e-04      4.401607e-05   
     8.533144        3.302281e-05      6.029529e-04      3.319081e-05   
     8.844241        2.138710e-05      6.769137e-04      2.146881e-05   
     9.155759        1.209577e-05      5.229430e-04      1.212960e-05   
     9.466856        6.152965e-06      2.999769e-04      6.168179e-06   
     9.776695        2.964768e-06      1.253766e-04      2.975798e-06   
    10.084440        1.460089e-06      3.300511e-05      1.470425e-06   
    10.389261        7.807087e-07      3.145781e-06      7.893273e-07   
    10.690338        4.494190e-07      2.911310e-06      4.551449e-07   
    10.986857        2.658691e-07      8.942515e-06      2.687703e-07   
    11.278020        1.604193e-07      1.159644e-05      1.614393e-07   
    11.563042        1.040942e-07      1.009921e-05      1.042815e-07   
    11.841155        7.638667e-08      6.760271e-06      7.643463e-08   
    12.111608        6.142554e-08      3.627295e-06      6.160902e-08   
    12.373673        4.986792e-08      1.557281e-06      5.019118e-08   
    12.626644        3.842586e-08      5.184582e-07      3.879441e-08   
    12.869837        2.731667e-08      1.382777e-07      2.764374e-08   
    13.102598        1.774908e-08      6.123103e-08      1.799229e-08   
