#        q                pp                pn                nn        

     0.001185        2.661753e+07      2.658712e+07      2.661753e+07   
     0.006239        1.028170e+07      1.026276e+07      1.028170e+07   
     0.015318        3.033809e+06      2.889172e+06      2.770130e+06   
     0.028399        1.556358e+06      1.549013e+06      1.556358e+06   
     0.045447        9.190404e+05      9.134137e+05      9.190404e+05   
     0.066417        5.158387e+05      5.116441e+05      5.158387e+05   
     0.091251        3.544402e+05      3.288252e+05      3.110790e+05   
     0.119882        2.375138e+05      2.347102e+05      2.375139e+05   
     0.152235        1.546653e+05      1.524302e+05      1.546653e+05   
     0.188220        1.141184e+05      1.122268e+05      1.141184e+05   
     0.227742        8.284493e+04      7.476784e+04      7.011735e+04   
     0.270694        5.906462e+04      5.776087e+04      5.906464e+04   
     0.316959        4.126685e+04      4.020891e+04      4.126687e+04   
     0.366414        2.818186e+04      2.733860e+04      2.818187e+04   
     0.418925        2.307018e+04      2.233722e+04      2.307020e+04   
     0.474351        1.513406e+04      1.456968e+04      1.513407e+04   
     0.532541        1.211659e+04      1.163864e+04      1.211661e+04   
     0.593339        7.563236e+03      7.210130e+03      7.563246e+03   
     0.656582        5.889370e+03      5.599463e+03      5.889378e+03   
     0.722098        4.536519e+03      4.302153e+03      4.536523e+03   
     0.789711        2.593950e+03      2.433426e+03      2.593950e+03   
     0.859239        1.921765e+03      1.798177e+03      1.921760e+03   
     0.930495        1.004138e+03      9.272478e+02      1.004129e+03   
     1.003286        7.062337e+02      6.530311e+02      7.062217e+02   
     1.077416        3.265247e+02      3.016999e+02      3.265102e+02   
     1.152685        1.357569e+02      1.313982e+02      1.357413e+02   
     1.228890        2.881326e+01      4.173447e+01      2.879812e+01   
     1.305826        4.372928e+00      2.857141e+01      5.953471e+00   
     1.383286        3.095858e+00      3.107031e+01      3.085048e+00   
     1.461060        2.519981e+00      3.225302e+01      2.512082e+00   
     1.538940        1.888013e+00      3.195294e+01      1.882814e+00   
     1.616714        1.292602e+00      3.038406e+01      1.289550e+00   
     1.694174        7.990519e-01      2.791495e+01      7.974777e-01   
     1.771110        4.360983e-01      2.495835e+01      4.354036e-01   
     1.847315        2.003707e-01      2.187805e+01      2.001233e-01   
     1.922584        6.872620e-02      1.893662e+01      6.866665e-02   
     1.996714        1.128487e-02      1.628570e+01      1.128208e-02   
     2.069505        5.264694e-04      1.398516e+01      5.244689e-04   
     2.140761        1.540343e-02      1.203368e+01      1.538170e-02   
     2.210289        4.178499e-02      1.039739e+01      4.173700e-02   
     2.277902        7.112970e-02      9.030591e+00      7.105413e-02   
     2.343418        9.877699e-02      7.887714e+00      9.867495e-02   
     2.406661        1.225152e-01      6.928711e+00      1.223894e-01   
     2.467459        1.415788e-01      6.120499e+00      1.414328e-01   
     2.525649        1.560069e-01      5.436519e+00      1.558447e-01   
     2.581075        1.662514e-01      4.855647e+00      1.660772e-01   
     2.633586        1.729437e-01      4.361059e+00      1.727611e-01   
     2.683041        1.767587e-01      3.939274e+00      1.765709e-01   
     2.729306        1.783405e-01      3.579394e+00      1.781500e-01   
     2.772258        1.782648e-01      3.272543e+00      1.780736e-01   
     2.811780        1.770248e-01      3.011439e+00      1.768344e-01   
     2.847765        1.750300e-01      2.790081e+00      1.748412e-01   
     2.880118        1.726116e-01      2.603516e+00      1.724252e-01   
     2.908749        1.700328e-01      2.447652e+00      1.698490e-01   
     2.933583        1.674980e-01      2.319133e+00      1.673168e-01   
     2.954553        1.651637e-01      2.215225e+00      1.649849e-01   
     2.971601        1.631467e-01      2.133745e+00      1.629701e-01   
     2.984682        1.615323e-01      2.072993e+00      1.613574e-01   
     2.993761        1.603799e-01      2.031710e+00      1.602062e-01   
     2.998815        1.597275e-01      2.009034e+00      1.595545e-01   
     3.004739        1.589533e-01      1.982736e+00      1.587812e-01   
     3.024957        1.562382e-01      1.895196e+00      1.560691e-01   
     3.061273        1.511094e-01      1.746241e+00      1.509459e-01   
     3.113597        1.432683e-01      1.549219e+00      1.431135e-01   
     3.181789        1.325195e-01      1.320968e+00      1.323769e-01   
     3.265666        1.189411e-01      1.079671e+00      1.188140e-01   
     3.365002        1.029991e-01      8.427681e-01      1.028902e-01   
     3.479529        8.555558e-02      6.251681e-01      8.546675e-02   
     3.608938        6.775831e-02      4.379130e-01      6.768978e-02   
     3.752880        5.083721e-02      2.874169e-01      5.078772e-02   
     3.910968        3.587096e-02      1.753364e-01      3.583792e-02   
     4.082775        2.359437e-02      9.907464e-02      2.357436e-02   
     4.267838        1.430077e-02      5.283045e-02      1.429009e-02   
     4.465657        7.857792e-03      2.900096e-02      7.853074e-03   
     4.675701        3.816665e-03      1.966926e-02      3.815221e-03   
     4.897402        1.569146e-03      1.788770e-02      1.569132e-03   
     5.130163        5.003529e-04      1.852408e-02      5.007107e-04   
     5.373356        9.850843e-05      1.855791e-02      9.877550e-05   
     5.626327        5.348451e-06      1.686339e-02      5.424208e-06   
     5.888392        1.329899e-05      1.364357e-02      1.324414e-05   
     6.158845        2.949089e-05      9.745521e-03      2.939537e-05   
     6.436958        2.961069e-05      6.071637e-03      2.953312e-05   
     6.721980        1.881579e-05      3.220702e-03      1.877403e-05   
     7.013143        7.478498e-06      1.383583e-03      7.464573e-06   
     7.309662        1.205374e-06      4.281804e-04      1.203925e-06   
     7.610739        8.252657e-08      6.651038e-05      8.220113e-08   
     7.915560        1.546301e-06      7.979167e-06      1.542781e-06   
     8.223305        3.124432e-06      4.692171e-05      3.118357e-06   
     8.533144        3.643848e-06      8.025571e-05      3.637520e-06   
     8.844241        3.119247e-06      8.100770e-05      3.114406e-06   
     9.155759        2.104370e-06      5.947736e-05      2.101525e-06   
     9.466856        1.130492e-06      3.342943e-05      1.129252e-06   
     9.776695        4.642868e-07      1.399436e-05      4.639608e-07   
    10.084440        1.259658e-07      3.763517e-06      1.259821e-07   
    10.389261        1.205618e-08      3.434306e-07      1.210309e-08   
    10.690338        4.716401e-09      2.364336e-07      4.696769e-09   
    10.986857        2.471671e-08      9.422332e-07      2.464388e-08   
    11.278020        3.724512e-08      1.350849e-06      3.716014e-08   
    11.563042        3.627444e-08      1.291033e-06      3.620608e-08   
    11.841155        2.732622e-08      9.656919e-07      2.728347e-08   
    12.111608        1.690866e-08      5.991970e-07      1.688767e-08   
    12.373673        8.710916e-09      3.139645e-07      8.703519e-09   
    12.626644        3.650019e-09      1.373996e-07      3.649036e-09   
    12.869837        1.142075e-09      4.773696e-08      1.143033e-09   
    13.102598        2.030429e-10      1.147459e-08      2.038899e-10   
    13.324299        1.719204e-11      1.620725e-09      1.737363e-11   
    13.534343        8.826013e-11      1.898402e-09      8.789260e-11   
    13.732162        1.842750e-10      4.507304e-09      1.836423e-10   
    13.917225        2.315642e-10      6.609255e-09      2.308991e-10   
    14.089032        2.287618e-10      7.655943e-09      2.281920e-10   
    14.247120        1.961281e-10      7.879931e-09      1.956965e-10   
    14.391062        1.530750e-10      7.634252e-09      1.527756e-10   
    14.520471        1.118353e-10      7.185801e-09      1.116420e-10   
    14.634998        7.798070e-11      6.692562e-09      7.786380e-11   
    14.734334        5.275767e-11      6.233380e-09      5.269153e-11   
    14.818211        3.523348e-11      5.841130e-09      3.519883e-11   
    14.886403        2.372628e-11      5.526034e-09      2.371001e-11   
    14.938727        1.657024e-11      5.288818e-09      1.656403e-11   
    14.975043        1.243899e-11      5.127490e-09      1.243787e-11   
    14.995261        1.269894e-11      5.054101e-09      1.267100e-11   
