#        q                pp                pn                nn        

     0.001185        1.185762e+08      1.072908e+08      9.716036e+07   
     0.006239        3.014337e+07      2.742283e+07      2.498915e+07   
     0.015318        1.277282e+07      1.187202e+07      1.106284e+07   
     0.028399        6.498438e+06      5.984878e+06      5.531536e+06   
     0.045447        3.624507e+06      3.459827e+06      3.318366e+06   
     0.066417        2.299995e+06      2.186517e+06      2.091027e+06   
     0.091251        1.406021e+06      1.400711e+06      1.406022e+06   
     0.119882        1.025166e+06      9.664842e+05      9.191940e+05   
     0.152235        7.344589e+05      6.897286e+05      6.544031e+05   
     0.188220        5.159571e+05      4.823866e+05      4.564792e+05   
     0.227742        3.545397e+05      3.520039e+05      3.545397e+05   
     0.270694        2.723210e+05      2.701451e+05      2.723211e+05   
     0.316959        2.066454e+05      2.047988e+05      2.066455e+05   
     0.366414        1.547355e+05      1.531875e+05      1.547356e+05   
     0.418925        1.331772e+05      1.220355e+05      1.141796e+05   
     0.474351        9.749858e+04      9.636452e+04      9.749864e+04   
     0.532541        7.016808e+04      6.925450e+04      7.016814e+04   
     0.593339        5.911138e+04      5.831912e+04      5.911143e+04   
     0.656582        4.130566e+04      4.068648e+04      4.130570e+04   
     0.722098        3.424213e+04      3.371816e+04      3.424215e+04   
     0.789711        2.309816e+04      2.270300e+04      2.309818e+04   
     0.859239        1.878050e+04      1.845604e+04      1.878050e+04   
     0.930495        1.213573e+04      1.190239e+04      1.213571e+04   
     1.003286        7.578005e+03      7.416888e+03      7.577968e+03   
     1.077416        4.546374e+03      4.441926e+03      4.546325e+03   
     1.152685        2.601427e+03      2.541146e+03      2.601370e+03   
     1.228890        1.008299e+03      9.900320e+02      1.008240e+03   
     1.305826        2.152774e+02      2.804156e+02      3.284825e+02   
     1.383286        1.027040e+01      4.911006e+01      1.709008e+01   
     1.461060        3.719004e+00      4.846169e+01      3.678022e+00   
     1.538940        3.000780e+00      5.249529e+01      2.970575e+00   
     1.616714        2.218433e+00      5.457761e+01      2.198321e+00   
     1.694174        1.481333e+00      5.466267e+01      1.469418e+00   
     1.771110        8.711860e-01      5.296205e+01      8.650755e-01   
     1.847315        4.290052e-01      4.986864e+01      4.264369e-01   
     1.922584        1.563578e-01      4.585690e+01      1.555880e-01   
     1.996714        2.689129e-02      4.138898e+01      2.679813e-02   
     2.069505        1.349616e-03      3.684846e+01      1.336829e-03   
     2.140761        4.024069e-02      3.250952e+01      4.006006e-02   
     2.210289        1.113424e-01      2.853703e+01      1.109298e-01   
     2.277902        1.921855e-01      2.500599e+01      1.915518e-01   
     2.343418        2.692323e-01      2.192845e+01      2.684080e-01   
     2.406661        3.356458e-01      1.927880e+01      3.346620e-01   
     2.467459        3.889516e-01      1.701325e+01      3.878360e-01   
     2.525649        4.291903e-01      1.508260e+01      4.279685e-01   
     2.581075        4.576725e-01      1.343934e+01      4.563686e-01   
     2.633586        4.762263e-01      1.204090e+01      4.748631e-01   
     2.683041        4.867806e-01      1.085070e+01      4.853785e-01   
     2.729306        4.911516e-01      9.837925e+00      4.897281e-01   
     2.772258        4.909473e-01      8.976899e+00      4.895164e-01   
     2.811780        4.875356e-01      8.246347e+00      4.861080e-01   
     2.847765        4.820470e-01      7.628670e+00      4.806303e-01   
     2.880118        4.753947e-01      7.109339e+00      4.739936e-01   
     2.908749        4.683020e-01      6.676397e+00      4.669190e-01   
     2.933583        4.613315e-01      6.320060e+00      4.599671e-01   
     2.954553        4.549127e-01      6.032403e+00      4.535659e-01   
     2.971601        4.493669e-01      5.807112e+00      4.480357e-01   
     2.984682        4.449281e-01      5.639294e+00      4.436096e-01   
     2.993761        4.417596e-01      5.525331e+00      4.404502e-01   
     2.998815        4.399660e-01      5.462759e+00      4.386617e-01   
     3.004739        4.378375e-01      5.390251e+00      4.365395e-01   
     3.024957        4.303730e-01      5.149033e+00      4.290968e-01   
     3.061273        4.162730e-01      4.739210e+00      4.150388e-01   
     3.113597        3.947177e-01      4.198425e+00      3.935489e-01   
     3.181789        3.651694e-01      3.573790e+00      3.640922e-01   
     3.265666        3.278418e-01      2.915648e+00      3.268820e-01   
     3.365002        2.840121e-01      2.271694e+00      2.831917e-01   
     3.479529        2.360450e-01      1.682134e+00      2.353776e-01   
     3.608938        1.870882e-01      1.176290e+00      1.865763e-01   
     3.752880        1.405167e-01      7.708030e-01      1.401504e-01   
     3.910968        9.929296e-02      4.694983e-01      9.905203e-02   
     4.082775        6.544008e-02      2.648838e-01      6.529765e-02   
     4.267838        3.977303e-02      1.410247e-01      3.970037e-02   
     4.465657        2.194020e-02      7.731263e-02      2.191115e-02   
     4.675701        1.072049e-02      5.242372e-02      1.071445e-02   
     4.897402        4.451398e-03      4.771517e-02      4.454477e-03   
     5.130163        1.447194e-03      4.944987e-02      1.451702e-03   
     5.373356        3.004038e-04      4.955889e-02      3.032537e-04   
     5.626327        2.171696e-05      4.504247e-02      2.254694e-05   
     5.888392        3.433365e-05      3.644896e-02      3.390985e-05   
     6.158845        7.702300e-05      2.604306e-02      7.621551e-05   
     6.436958        7.851418e-05      1.623446e-02      7.785482e-05   
     6.721980        5.041944e-05      8.621202e-03      5.006547e-05   
     7.013143        2.024291e-05      3.712563e-03      2.012550e-05   
     7.309662        3.329418e-06      1.156442e-03      3.317361e-06   
     7.610739        2.086078e-07      1.851645e-04      2.059714e-07   
     7.915560        4.119079e-06      2.411622e-05      4.089863e-06   
     8.223305        8.407674e-06      1.249491e-04      8.357512e-06   
     8.533144        9.865265e-06      2.125363e-04      9.813410e-06   
     8.844241        8.489637e-06      2.144328e-04      8.450393e-06   
     9.155759        5.759762e-06      1.575030e-04      5.737095e-06   
     9.466856        3.116291e-06      8.862941e-05      3.106756e-06   
     9.776695        1.293907e-06      3.722113e-05      1.291690e-06   
    10.084440        3.591907e-07      1.012440e-05      3.595785e-07   
    10.389261        3.805928e-08      1.017975e-06      3.854389e-08   
    10.690338        1.214949e-08      6.714245e-07      1.200221e-08   
    10.986857        6.486869e-08      2.490781e-06      6.425393e-08   
    11.278020        9.947482e-08      3.548359e-06      9.875967e-08   
    11.563042        9.793115e-08      3.387582e-06      9.736190e-08   
    11.841155        7.442513e-08      2.535732e-06      7.407499e-08   
    12.111608        4.646430e-08      1.577377e-06      4.629736e-08   
    12.373673        2.419835e-08      8.310809e-07      2.414385e-08   
    12.626644        1.030347e-08      3.679283e-07      1.030043e-08   
    12.869837        3.323903e-09      1.312223e-07      3.335042e-09   
    13.102598        6.464560e-10      3.395946e-08      6.551455e-10   
    13.324299        6.696233e-11      6.125568e-09      6.915636e-11   
    13.534343        2.263381e-10      5.443962e-09      2.234560e-10   
    13.732162        4.782961e-10      1.152510e-08      4.729905e-10   
    13.917225        6.096004e-10      1.679085e-08      6.039631e-10   
    14.089032        6.083839e-10      1.960563e-08      6.035482e-10   
    14.247120        5.257449e-10      2.040826e-08      5.220885e-10   
    14.391062        4.131354e-10      2.001102e-08      4.106088e-10   
    14.520471        3.037750e-10      1.905333e-08      3.021536e-10   
    14.634998        2.132078e-10      1.792645e-08      2.122362e-10   
    14.734334        1.452671e-10      1.683622e-08      1.447254e-10   
    14.818211        9.777768e-11      1.587833e-08      9.750150e-11   
    14.886403        6.641608e-11      1.509189e-08      6.629391e-11   
    14.938727        4.680719e-11      1.448999e-08      4.676883e-11   
    14.975043        3.542776e-11      1.407763e-08      3.543159e-11   
    14.995261        3.012979e-11      1.394316e-08      3.014198e-11   
