#        q                pp                pn                nn        

     0.001185        3.064089e+08      4.050463e+08      5.356445e+08   
     0.006239        8.772742e+07      1.122712e+08      1.437897e+08   
     0.015318        4.069239e+07      5.095507e+07      6.387779e+07   
     0.028399        2.344394e+07      2.823154e+07      3.404912e+07   
     0.045447        1.469766e+07      1.737958e+07      2.059137e+07   
     0.066417        1.028226e+07      1.185759e+07      1.370714e+07   
     0.091251        7.602303e+06      8.507656e+06      9.548098e+06   
     0.119882        5.531584e+06      6.226716e+06      7.032375e+06   
     0.152235        4.307766e+06      4.872507e+06      5.531597e+06   
     0.188220        3.318418e+06      3.773117e+06      4.307779e+06   
     0.227742        2.770447e+06      3.025109e+06      3.318431e+06   
     0.270694        2.300053e+06      2.404221e+06      2.526149e+06   
     0.316959        1.898188e+06      1.986795e+06      2.091097e+06   
     0.366414        1.556622e+06      1.631606e+06      1.720362e+06   
     0.418925        1.267888e+06      1.330999e+06      1.406098e+06   
     0.474351        1.025235e+06      1.136515e+06      1.267901e+06   
     0.532541        9.192689e+05      9.675468e+05      1.025248e+06   
     0.593339        7.345327e+05      7.745624e+05      8.225956e+05   
     0.656582        6.544810e+05      6.909165e+05      7.345443e+05   
     0.722098        5.160317e+05      5.459347e+05      5.818388e+05   
     0.789711        4.029006e+05      4.543400e+05      5.160415e+05   
     0.859239        3.546120e+05      3.765868e+05      4.029093e+05   
     0.930495        2.723876e+05      2.900630e+05      3.112478e+05   
     1.003286        2.067060e+05      2.207917e+05      2.376655e+05   
     1.077416        1.547900e+05      1.659044e+05      1.791897e+05   
     1.152685        9.754132e+04      1.135808e+05      1.332302e+05   
     1.228890        5.914427e+04      6.979665e+04      8.294126e+04   
     1.305826        1.801932e+03      7.903227e+03      3.426845e+04   
     1.383286        1.554370e+01      1.534398e+02      1.918687e+03   
     1.461060        1.387557e+01      1.773264e+02      1.504705e+01   
     1.538940        1.143673e+01      1.959317e+02      1.244636e+01   
     1.616714        8.623659e+00      2.075346e+02      9.426432e+00   
     1.694174        5.863904e+00      2.114674e+02      6.441798e+00   
     1.771110        3.506562e+00      2.081105e+02      3.872641e+00   
     1.847315        1.753847e+00      1.986777e+02      1.947440e+00   
     1.922584        6.495455e-01      1.848682e+02      7.250848e-01   
     1.996714        1.146544e-01      1.684934e+02      1.286713e-01   
     2.069505        4.901597e-03      1.511723e+02      5.481568e-03   
     2.140761        1.645229e-01      1.341519e+02      1.856385e-01   
     2.210289        4.613322e-01      1.182540e+02      5.221029e-01   
     2.277902        8.008220e-01      1.039193e+02      9.081163e-01   
     2.343418        1.125137e+00      9.130025e+01      1.277506e+00   
     2.406661        1.404784e+00      8.036198e+01      1.596195e+00   
     2.467459        1.629036e+00      7.096825e+01      1.851657e+00   
     2.525649        1.798045e+00      6.294128e+01      2.043979e+00   
     2.581075        1.917434e+00      5.609813e+01      2.179614e+00   
     2.633586        1.995020e+00      5.026929e+01      2.267555e+00   
     2.683041        2.039006e+00      4.530605e+01      2.317229e+00   
     2.729306        2.057081e+00      4.108172e+01      2.337445e+00   
     2.772258        2.056022e+00      3.749004e+01      2.335947e+00   
     2.811780        2.041576e+00      3.444256e+01      2.319285e+00   
     2.847765        2.018480e+00      3.186597e+01      2.292846e+00   
     2.880118        1.990552e+00      2.969968e+01      2.260966e+00   
     2.908749        1.960813e+00      2.789380e+01      2.227069e+00   
     2.933583        1.931610e+00      2.640748e+01      2.193813e+00   
     2.954553        1.904733e+00      2.520766e+01      2.163225e+00   
     2.971601        1.881520e+00      2.426798e+01      2.136819e+00   
     2.984682        1.862945e+00      2.356802e+01      2.115695e+00   
     2.993761        1.849689e+00      2.309268e+01      2.100623e+00   
