#        q              proton           neutron      

     0.001185        9.281916e+03      9.015277e+03   
     0.006239        4.528359e+03      4.363465e+03   
     0.015318        2.805726e+03      2.805724e+03   
     0.028399        2.038667e+03      1.942052e+03   
     0.045447        1.504379e+03      1.425562e+03   
     0.066417        1.137710e+03      1.137706e+03   
     0.091251        8.912661e+02      8.912636e+02   
     0.119882        7.316859e+02      7.316838e+02   
     0.152235        5.922562e+02      5.922549e+02   
     0.188220        5.098281e+02      5.098275e+02   
     0.227742        4.009767e+02      4.009777e+02   
     0.270694        3.377004e+02      3.377028e+02   
     0.316959        3.087140e+02      3.087172e+02   
     0.366414        2.557526e+02      2.557577e+02   
     0.418925        2.091818e+02      2.091890e+02   
     0.474351        1.881948e+02      1.882031e+02   
     0.532541        1.504888e+02      1.504995e+02   
     0.593339        1.337225e+02      1.337343e+02   
     0.656582        1.040057e+02      1.040195e+02   
     0.722098        9.101317e+01      9.102767e+01   
     0.789711        6.837032e+01      6.838576e+01   
     0.859239        5.867738e+01      5.869280e+01   
     0.930495        4.213870e+01      4.215351e+01   
     1.003286        2.911321e+01      2.912641e+01   
     1.077416        1.915370e+01      1.916449e+01   
     1.152685        1.182064e+01      1.182862e+01   
     1.228890        4.805870e+00      4.809879e+00   
     1.305826        1.450453e-01      2.366490e-01   
     1.383286        1.365817e-01      1.366057e-01   
     1.461060        1.509436e-01      1.509676e-01   
     1.538940        1.647256e-01      1.647497e-01   
     1.616714        1.773631e-01      1.773876e-01   
     1.694174        1.883415e-01      1.883666e-01   
     1.771110        1.972306e-01      1.972564e-01   
     1.847315        2.037064e-01      2.037327e-01   
     1.922584        2.075764e-01      2.076031e-01   
     1.996714        2.088138e-01      2.088408e-01   
     2.069505        2.075303e-01      2.075576e-01   
     2.140761        2.039554e-01      2.039829e-01   
     2.210289        1.984070e-01      1.984348e-01   
     2.277902        1.912578e-01      1.912858e-01   
     2.343418        1.829043e-01      1.829326e-01   
     2.406661        1.737278e-01      1.737565e-01   
     2.467459        1.640980e-01      1.641272e-01   
     2.525649        1.543425e-01      1.543721e-01   
     2.581075        1.447315e-01      1.447616e-01   
     2.633586        1.354755e-01      1.355060e-01   
     2.683041        1.267307e-01      1.267616e-01   
     2.729306        1.186080e-01      1.186392e-01   
     2.772258        1.111782e-01      1.112096e-01   
     2.811780        1.044758e-01      1.045074e-01   
     2.847765        9.851421e-02      9.854585e-02   
     2.880118        9.328656e-02      9.331823e-02   
     2.908749        8.877578e-02      8.880742e-02   
     2.933583        8.495826e-02      8.498984e-02   
     2.954553        8.180730e-02      8.183881e-02   
     2.971601        7.929599e-02      7.932743e-02   
     2.984682        7.740113e-02      7.743250e-02   
     2.993761        7.610254e-02      7.613386e-02   
     2.998815        7.538521e-02      7.541650e-02   
     3.004739        7.454984e-02      7.458109e-02   
     3.024957        7.174115e-02      7.177225e-02   
     3.061273        6.686499e-02      6.689577e-02   
     3.113597        6.023242e-02      6.026260e-02   
     3.181789        5.229910e-02      5.232829e-02   
     3.265666        4.363648e-02      4.366414e-02   
     3.365002        3.485630e-02      3.488179e-02   
     3.479529        2.655516e-02      2.657784e-02   
     3.608938        1.922078e-02      1.924012e-02   
     3.752880        1.316453e-02      1.318022e-02   
     3.910968        8.498862e-03      8.510914e-03   
     4.082775        5.163117e-03      5.171829e-03   
     4.267838        2.972649e-03      2.978541e-03   
     4.465657        1.674535e-03      1.678235e-03   
     4.675701        9.992171e-04      1.001353e-03   
     4.897402        7.021447e-04      7.032632e-04   
     5.130163        5.914263e-04      5.919475e-04   
     5.373356        5.395558e-04      5.397663e-04   
     5.626327        4.803921e-04      4.804635e-04   
     5.888392        3.951373e-04      3.951580e-04   
     6.158845        2.930476e-04      2.930548e-04   
     6.436958        1.931338e-04      1.931389e-04   
     6.721980        1.113471e-04      1.113515e-04   
     7.013143        5.487258e-05      5.487570e-05   
     7.309662        2.236346e-05      2.236521e-05   
     7.610739        7.434570e-06      7.435462e-06   
     7.915560        2.622334e-06      2.622952e-06   
     8.223305        2.057333e-06      2.057992e-06   
     8.533144        2.368053e-06      2.368783e-06   
     8.844241        2.287624e-06      2.288318e-06   
     9.155759        1.747378e-06      1.747929e-06   
     9.466856        1.071376e-06      1.071745e-06   
     9.776695        5.279852e-07      5.281932e-07   
    10.084440        2.067150e-07      2.068133e-07   
    10.389261        6.842029e-08      6.845923e-08   
    10.690338        3.253591e-08      3.255018e-08   
    10.986857        3.358411e-08      3.359162e-08   
    11.278020        3.750429e-08      3.751135e-08   
    11.563042        3.452969e-08      3.453696e-08   
    11.841155        2.642100e-08      2.642750e-08   
    12.111608        1.734106e-08      1.734605e-08   
    12.373673        9.986441e-09      9.989771e-09   
    12.626644        5.122926e-09      5.124896e-09   
    12.869837        2.374634e-09      2.375675e-09   
    13.102598        1.025027e-09      1.025522e-09   
    13.324299        4.511328e-10      4.513501e-10   
    13.534343        2.473576e-10      2.474536e-10   
    13.732162        1.952899e-10      1.953423e-10   
    13.917225        1.944922e-10      1.945330e-10   
    14.089032        2.054442e-10      2.054831e-10   
    14.247120        2.153512e-10      2.153890e-10   
    14.391062        2.215010e-10      2.215363e-10   
    14.520471        2.243161e-10      2.243478e-10   
    14.634998        2.249894e-10      2.250171e-10   
    14.734334        2.245783e-10      2.246022e-10   
    14.818211        2.237059e-10      2.237266e-10   
    14.886403        2.226167e-10      2.226348e-10   
    14.938727        2.214836e-10      2.214997e-10   
    14.975043        2.211324e-10      2.211472e-10   
    14.995261        2.211010e-10      2.211152e-10   
