#        q                pp                pn                nn        

     0.001185        2.476767e+08      2.529920e+08      2.586021e+08   
     0.006239        1.306762e+08      1.337860e+08      1.371018e+08   
     0.015318        6.387704e+07      7.290198e+07      8.330420e+07   
     0.028399        1.370680e+07      2.429474e+07      4.313276e+07   
     0.045447        1.028198e+07      1.359940e+07      1.803373e+07   
     0.066417        7.602061e+06      9.493032e+06      1.189201e+07   
     0.091251        5.531382e+06      6.987018e+06      8.857901e+06   
     0.119882        3.953711e+06      5.058143e+06      6.498302e+06   
     0.152235        3.033993e+06      3.762008e+06      4.687519e+06   
     0.188220        2.299928e+06      2.879358e+06      3.624440e+06   
     0.227742        1.898078e+06      2.286120e+06      2.770353e+06   
     0.270694        1.556526e+06      1.885920e+06      2.299975e+06   
     0.316959        1.267805e+06      1.471428e+06      1.720290e+06   
     0.366414        1.025166e+06      1.195934e+06      1.406040e+06   
     0.418925        9.192074e+05      1.075322e+06      1.267852e+06   
     0.474351        7.344829e+05      8.641819e+05      1.025210e+06   
     0.532541        5.817891e+05      6.887969e+05      8.225679e+05   
     0.593339        5.159989e+05      6.130189e+05      7.345229e+05   
     0.656582        4.028764e+05      4.820213e+05      5.818252e+05   
     0.722098        3.545932e+05      4.259389e+05      5.160330e+05   
     0.789711        2.723752e+05      3.298375e+05      4.029066e+05   
     0.859239        2.066990e+05      2.525401e+05      3.112498e+05   
     0.930495        1.791856e+05      2.200411e+05      2.724001e+05   
     1.003286        1.332305e+05      1.653187e+05      2.067211e+05   
     1.077416        8.294570e+04      1.129309e+05      1.548072e+05   
     1.152685        4.958562e+04      7.507630e+04      1.142466e+05   
     1.228890        2.313108e+04      4.378365e+04      8.295903e+04   
     1.305826        2.381799e+02      3.450516e+03      4.959499e+04   
     1.383286        2.527753e+01      2.535079e+02      4.368427e+01   
     1.461060        2.175397e+01      2.703159e+02      2.680077e+01   
     1.538940        1.737247e+01      2.739741e+02      2.174680e+01   
     1.616714        1.283428e+01      2.651760e+02      1.637806e+01   
     1.694174        8.734903e+00      2.464958e+02      1.139785e+01   
     1.771110        5.439222e+00      2.214835e+02      7.280415e+00   
     1.847315        3.059784e+00      1.937130e+02      4.219167e+00   
     1.922584        1.516240e+00      1.660880e+02      2.170865e+00   
     1.996714        6.273914e-01      1.405352e+02      9.500581e-01   
     2.069505        1.920705e-01      1.180373e+02      3.244217e-01   
     2.140761        3.789320e-02      9.886216e+01      8.069993e-02   
     2.210289        3.871398e-02      8.283972e+01      5.491205e-02   
     2.277902        1.122876e-01      6.959281e+01      1.360187e-01   
     2.343418        2.099166e-01      5.868866e+01      2.562917e-01   
     2.406661        3.054559e-01      4.971878e+01      3.784127e-01   
     2.467459        3.866648e-01      4.233053e+01      4.843367e-01   
     2.525649        4.493139e-01      3.623254e+01      5.673158e-01   
     2.581075        4.934796e-01      3.118875e+01      6.267518e-01   
     2.633586        5.213241e-01      2.700924e+01      6.650784e-01   
     2.683041        5.358165e-01      2.354130e+01      6.859591e-01   
     2.729306        5.400302e-01      2.066180e+01      6.932942e-01   
     2.772258        5.367869e-01      1.827116e+01      6.907137e-01   
     2.811780        5.285041e-01      1.628862e+01      6.813541e-01   
     2.847765        5.171582e-01      1.464856e+01      6.677949e-01   
