#        q              proton           neutron      

     0.001185        2.024916e+04      2.024861e+04   
     0.006239        1.489094e+04      1.416048e+04   
     0.015318        1.086414e+04      9.984097e+03   
     0.028399        6.934906e+03      5.671414e+03   
     0.045447        4.919671e+03      4.568677e+03   
     0.066417        4.074626e+03      3.764359e+03   
     0.091251        3.470823e+03      3.191342e+03   
     0.119882        2.927865e+03      2.677624e+03   
     0.152235        2.558800e+03      2.329447e+03   
     0.188220        2.114754e+03      2.011549e+03   
     0.227742        1.912844e+03      1.816090e+03   
     0.270694        1.633536e+03      1.633318e+03   
     0.316959        1.463013e+03      1.462885e+03   
     0.366414        1.304544e+03      1.304529e+03   
     0.418925        1.157880e+03      1.158007e+03   
     0.474351        1.089775e+03      1.023060e+03   
     0.532541        9.604866e+02      9.608519e+02   
     0.593339        8.423848e+02      8.429296e+02   
     0.656582        7.887332e+02      7.893684e+02   
     0.722098        6.870021e+02      6.878235e+02   
     0.789711        6.415654e+02      5.966060e+02   
     0.859239        5.552296e+02      5.562779e+02   
     0.930495        4.784008e+02      4.795654e+02   
     1.003286        4.104019e+02      4.116380e+02   
     1.077416        3.504692e+02      3.517212e+02   
     1.152685        2.726803e+02      2.738798e+02   
     1.228890        2.091350e+02      2.101845e+02   
     1.305826        6.488091e+01      1.038060e+02   
     1.383286        1.634666e+01      2.033156e+01   
     1.461060        1.436905e+01      1.438400e+01   
     1.538940        1.401704e+01      1.403188e+01   
     1.616714        1.348464e+01      1.349950e+01   
     1.694174        1.278905e+01      1.280385e+01   
     1.771110        1.195684e+01      1.197131e+01   
     1.847315        1.102324e+01      1.103705e+01   
     1.922584        1.003170e+01      1.004453e+01   
     1.996714        9.023306e+00      9.034899e+00   
     2.069505        8.032605e+00      8.042770e+00   
     2.140761        7.087802e+00      7.096465e+00   
     2.210289        6.209925e+00      6.217115e+00   
     2.277902        5.412482e+00      5.418313e+00   
     2.343418        4.701974e+00      4.706615e+00   
     2.406661        4.079996e+00      4.083640e+00   
     2.467459        3.542109e+00      3.544947e+00   
     2.525649        3.081127e+00      3.083335e+00   
     2.581075        2.689100e+00      2.690829e+00   
     2.633586        2.357551e+00      2.358926e+00   
     2.683041        2.078797e+00      2.079915e+00   
     2.729306        1.845033e+00      1.845967e+00   
     2.772258        1.649375e+00      1.650180e+00   
     2.811780        1.486117e+00      1.486831e+00   
     2.847765        1.350514e+00      1.351165e+00   
     2.880118        1.238255e+00      1.238863e+00   
     2.908749        1.146138e+00      1.146715e+00   
     2.933583        1.071314e+00      1.071869e+00   
     2.954553        1.011679e+00      1.012218e+00   
     2.971601        9.654174e-01      9.659465e-01   
     2.984682        9.312423e-01      9.317641e-01   
     2.993761        9.081997e-01      9.087167e-01   
     2.998815        8.955847e-01      8.960992e-01   
     3.004739        8.810011e-01      8.815128e-01   
     3.024957        8.328353e-01      8.333384e-01   
     3.061273        7.522815e-01      7.527710e-01   
     3.113597        6.485433e-01      6.490169e-01   
     3.181789        5.327107e-01      5.331655e-01   
     3.265666        4.158987e-01      4.163286e-01   
     3.365002        3.075629e-01      3.079576e-01   
     3.479529        2.145107e-01      2.148574e-01   
     3.608938        1.405205e-01      1.408076e-01   
     3.752880        8.641934e-02      8.664026e-02   
     3.910968        5.045507e-02      5.061105e-02   
     4.082775        2.910768e-02      2.920735e-02   
     4.267838        1.808740e-02      1.814401e-02   
     4.465657        1.323541e-02      1.326335e-02   
     4.675701        1.121189e-02      1.122363e-02   
     4.897402        9.865473e-03      9.869781e-03   
     5.130163        8.225868e-03      8.227673e-03   
     5.373356        6.196969e-03      6.198271e-03   
     5.626327        4.116781e-03      4.117986e-03   
     5.888392        2.368225e-03      2.369215e-03   
     6.158845        1.157458e-03      1.158152e-03   
     6.436958        4.742582e-04      4.747340e-04   
     6.721980        1.717157e-04      1.721087e-04   
     7.013143        7.505475e-05      7.544725e-05   
     7.309662        5.499567e-05      5.538701e-05   
     7.610739        4.703980e-05      4.738389e-05   
     7.915560        3.402135e-05      3.427770e-05   
     8.223305        1.932869e-05      1.948843e-05   
     8.533144        8.519598e-06      8.601772e-06   
     8.844241        3.041105e-06      3.075218e-06   
     9.155759        1.234769e-06      1.245901e-06   
     9.466856        9.395917e-07      9.426845e-07   
     9.776695        8.777769e-07      8.791153e-07   
    10.084440        6.844994e-07      6.856482e-07   
    10.389261        4.237146e-07      4.246512e-07   
    10.690338        2.110002e-07      2.115805e-07   
    10.986857        8.619586e-08      8.647066e-08   
    11.278020        3.072840e-08      3.083665e-08   
    11.563042        1.217559e-08      1.222593e-08   
    11.841155        7.707001e-09      7.747152e-09   
    12.111608        6.767688e-09      6.805677e-09   
    12.373673        6.108218e-09      6.139422e-09   
    12.626644        5.264906e-09      5.286145e-09   
    12.869837        4.379722e-09      4.391917e-09   
    13.102598        3.567724e-09      3.573866e-09   
    13.324299        2.863240e-09      2.866232e-09   
    13.534343        2.268464e-09      2.270212e-09   
    13.732162        1.778764e-09      1.780198e-09   
    13.917225        1.386564e-09      1.387986e-09   
    14.089032        1.080865e-09      1.082285e-09   
    14.247120        8.482454e-10      8.495992e-10   
    14.391062        6.748386e-10      6.760705e-10   
    14.520471        5.477035e-10      5.487875e-10   
    14.634998        4.560783e-10      4.570180e-10   
    14.734334        3.913340e-10      3.921481e-10   
    14.818211        3.461927e-10      3.469042e-10   
    14.886403        3.149778e-10      3.156101e-10   
    14.938727        2.938209e-10      2.943956e-10   
    14.975043        2.805630e-10      2.811004e-10   
    14.995261        2.742484e-10      2.747675e-10   
