#        q                pp                pn                nn        

     0.001185        1.814460e+08      1.577010e+08      1.371052e+08   
     0.006239        4.313462e+07      3.831222e+07      3.405025e+07   
     0.015318        1.803489e+07      1.627353e+07      1.469838e+07   
     0.028399        8.858678e+06      8.201103e+06      7.602808e+06   
     0.045447        5.095481e+06      4.883087e+06      4.688046e+06   
     0.066417        3.318726e+06      3.169838e+06      3.034427e+06   
     0.091251        2.091309e+06      1.989718e+06      1.898394e+06   
     0.119882        1.556798e+06      1.477216e+06      1.406251e+06   
     0.152235        1.025359e+06      1.023330e+06      1.025359e+06   
     0.188220        7.346195e+05      7.329222e+05      7.346195e+05   
     0.227742        5.818974e+05      5.466057e+05      5.160888e+05   
     0.270694        4.566033e+05      4.277211e+05      4.029440e+05   
     0.316959        3.546465e+05      3.312099e+05      3.112720e+05   
     0.366414        2.724119e+05      2.535700e+05      2.376809e+05   
     0.418925        2.067217e+05      2.059244e+05      2.067217e+05   
     0.474351        1.547987e+05      1.541374e+05      1.547987e+05   
     0.532541        1.332332e+05      1.228269e+05      1.142311e+05   
     0.593339        9.754372e+04      9.707235e+04      9.754373e+04   
     0.656582        8.293933e+04      7.593290e+04      7.020383e+04   
     0.722098        5.914195e+04      5.882421e+04      5.914195e+04   
     0.789711        4.132905e+04      4.108585e+04      4.132905e+04   
     0.859239        3.426156e+04      3.406104e+04      3.426156e+04   
     0.930495        2.311235e+04      2.296531e+04      2.311235e+04   
     1.003286        1.516602e+04      1.506139e+04      1.516601e+04   
     1.077416        9.639950e+03      9.568257e+03      9.639941e+03   
     1.152685        5.904666e+03      5.858064e+03      5.904656e+03   
     1.228890        1.927045e+03      1.907435e+03      1.927033e+03   
     1.305826        2.052848e+02      2.583597e+02      3.259444e+02   
     1.383286        7.799812e-01      9.198978e+00      7.689336e-01   
     1.461060        7.511727e-01      1.169053e+01      7.413065e-01   
     1.538940        6.820422e-01      1.433418e+01      6.738335e-01   
     1.616714        5.808663e-01      1.697679e+01      5.745566e-01   
     1.694174        4.604280e-01      1.945151e+01      4.560181e-01   
     1.771110        3.355046e-01      2.159592e+01      3.327882e-01   
     1.847315        2.201133e-01      2.327152e+01      2.187397e-01   
     1.922584        1.251753e-01      2.438061e+01      1.247258e-01   
     1.996714        5.709695e-02      2.487730e+01      5.715730e-02   
     2.069505        1.747305e-02      2.477019e+01      1.768998e-02   
     2.140761        3.785516e-03      2.411677e+01      3.898555e-03   
     2.210289        1.073821e-02      2.301102e+01      1.058790e-02   
     2.277902        3.178476e-02      2.156766e+01      3.130202e-02   
     2.343418        6.046848e-02      1.990629e+01      5.965315e-02   
     2.406661        9.134753e-02      1.813816e+01      9.024363e-02   
     2.467459        1.204483e-01      1.635736e+01      1.191216e-01   
     2.525649        1.453187e-01      1.463650e+01      1.438401e-01   
     2.581075        1.648186e-01      1.302620e+01      1.632529e-01   
     2.633586        1.787861e-01      1.155738e+01      1.771866e-01   
     2.683041        1.876911e-01      1.024488e+01      1.860982e-01   
     2.729306        1.923398e-01      9.091599e+00      1.907814e-01   
     2.772258        1.936564e-01      8.092268e+00      1.921500e-01   
     2.811780        1.925428e-01      7.236680e+00      1.910976e-01   
     2.847765        1.898008e-01      6.512129e+00      1.884198e-01   
     2.880118        1.861000e-01      5.905154e+00      1.847818e-01   
     2.908749        1.819741e-01      5.402702e+00      1.807145e-01   
     2.933583        1.778330e-01      4.992827e+00      1.766258e-01   
     2.954553        1.739816e-01      4.665087e+00      1.728194e-01   
     2.971601        1.706400e-01      4.410716e+00      1.695146e-01   
     2.984682        1.679620e-01      4.222679e+00      1.668650e-01   
     2.993761        1.660507e-01      4.095650e+00      1.649734e-01   
     2.998815        1.649697e-01      4.025945e+00      1.639034e-01   
     3.004739        1.636825e-01      3.947574e+00      1.626290e-01   
     3.024957        1.591836e-01      3.686445e+00      1.581739e-01   
     3.061273        1.507489e-01      3.249219e+00      1.498170e-01   
     3.113597        1.380659e-01      2.691144e+00      1.372428e-01   
     3.181789        1.212061e-01      2.081266e+00      1.205166e-01   
     3.265666        1.009315e-01      1.490048e+00      1.003903e-01   
     3.365002        7.876899e-02      9.762493e-01      7.837747e-02   
     3.479529        5.677534e-02      5.769373e-01      5.652110e-02   
     3.608938        3.706657e-02      3.036501e-01      3.692519e-02   
     3.752880        2.129107e-02      1.451926e-01      2.123069e-02   
     3.910968        1.023995e-02      7.511250e-02      1.022762e-02   
     4.082775        3.729180e-03      6.085220e-02      3.737036e-03   
     4.267838        7.885212e-04      7.194245e-02      7.979601e-04   
     4.465657        7.181222e-05      8.564450e-02      7.437606e-05   
     4.675701        3.130662e-04      8.942109e-02      3.082788e-04   
     4.897402        6.491385e-04      8.032623e-02      6.406726e-04   
     5.130163        7.127314e-04      6.205476e-02      7.047116e-04   
     5.373356        5.175562e-04      4.097981e-02      5.123322e-04   
     5.626327        2.446324e-04      2.268855e-02      2.423712e-04   
     5.888392        5.453560e-05      1.008492e-02      5.407186e-05   
     6.158845        1.126803e-07      3.269513e-03      1.114410e-07   
     6.436958        3.970231e-05      6.120707e-04      3.939931e-05   
     6.721980        9.958488e-05      9.982932e-05      9.889040e-05   
     7.013143        1.286032e-04      2.495238e-04      1.277943e-04   
     7.309662        1.163716e-04      3.595835e-04      1.157335e-04   
     7.610739        8.024781e-05      2.981416e-04      7.989102e-05   
     7.915560        4.272432e-05      1.647665e-04      4.259778e-05   
     8.223305        1.687101e-05      5.962667e-05      1.686277e-05   
     8.533144        4.304444e-06      1.177455e-05      4.325584e-06   
     8.844241        4.441995e-07      2.535336e-06      4.555918e-07   
     9.155759        1.746883e-07      5.852741e-06      1.727777e-07   
     9.466856        5.077231e-07      7.896651e-06      5.009963e-07   
     9.776695        5.267662e-07      6.460660e-06      5.216327e-07   
    10.084440        3.155716e-07      3.765719e-06      3.134555e-07   
    10.389261        1.147802e-07      1.656972e-06      1.144780e-07   
    10.690338        1.893025e-08      5.573881e-07      1.908644e-08   
    10.986857        1.840569e-09      1.434747e-07      1.852111e-09   
    11.278020        1.125634e-08      3.351064e-08      1.109593e-08   
    11.563042        1.755042e-08      1.907631e-08      1.736192e-08   
    11.841155        1.533078e-08      2.645751e-08      1.520627e-08   
    12.111608        9.294649e-09      3.609420e-08      9.243066e-09   
    12.373673        4.022535e-09      4.182506e-08      4.014065e-09   
    12.626644        1.110412e-09      4.140732e-08      1.115624e-09   
    12.869837        1.258400e-10      3.579039e-08      1.295148e-10   
    13.102598        1.043508e-10      2.776426e-08      1.030014e-10   
    13.324299        3.359003e-10      1.994667e-08      3.312877e-10   
    13.534343        5.004716e-10      1.374533e-08      4.951364e-10   
    13.732162        5.343591e-10      9.429777e-09      5.298833e-10   
    13.917225        4.772260e-10      6.646446e-09      4.741290e-10   
    14.089032        3.829050e-10      4.890780e-09      3.810812e-10   
    14.247120        2.878395e-10      3.754600e-09      2.869546e-10   
    14.391062        2.087659e-10      2.979673e-09      2.084786e-10   
    14.520471        1.494824e-10      2.423524e-09      1.495310e-10   
    14.634998        1.076688e-10      2.012246e-09      1.078834e-10   
    14.734334        7.922115e-11      1.706402e-09      7.950464e-11   
    14.818211        6.028345e-11      1.481966e-09      6.058622e-11   
    14.886403        4.788851e-11      1.321694e-09      4.818862e-11   
    14.938727        3.997493e-11      1.212127e-09      4.026517e-11   
    14.975043        3.520825e-11      1.142931e-09      3.548876e-11   
    14.995261        3.284344e-11      1.123839e-09      3.311593e-11   
