#        q                pp                pn                nn        

     0.001185        1.185728e+08      1.072804e+08      9.715722e+07   
     0.006239        3.014154e+07      2.741752e+07      2.498749e+07   
     0.015318        1.277162e+07      1.186850e+07      1.106172e+07   
     0.028399        6.497582e+06      5.982405e+06      5.530748e+06   
     0.045447        3.623870e+06      3.457929e+06      3.317757e+06   
     0.066417        2.299489e+06      2.185026e+06      2.090545e+06   
     0.091251        1.405628e+06      1.399503e+06      1.405628e+06   
     0.119882        1.024830e+06      9.655238e+05      9.188767e+05   
     0.152235        7.341746e+05      6.889323e+05      6.541355e+05   
     0.188220        5.157185e+05      4.817362e+05      4.562555e+05   
     0.227742        3.543413e+05      3.514424e+05      3.543414e+05   
     0.270694        2.721455e+05      2.696647e+05      2.721456e+05   
     0.316959        2.064905e+05      2.043915e+05      2.064906e+05   
     0.366414        1.545992e+05      1.528454e+05      1.545993e+05   
     0.418925        1.330472e+05      1.217508e+05      1.140599e+05   
     0.474351        9.738419e+04      9.610672e+04      9.738431e+04   
     0.532541        7.006771e+04      6.904219e+04      7.006783e+04   
     0.593339        5.901508e+04      5.812706e+04      5.901520e+04   
     0.656582        4.122148e+04      4.052935e+04      4.122158e+04   
     0.722098        3.416125e+04      3.357590e+04      3.416133e+04   
     0.789711        2.302819e+04      2.258779e+04      2.302824e+04   
     0.859239        1.871359e+04      1.835248e+04      1.871360e+04   
     0.930495        1.207904e+04      1.182113e+04      1.207902e+04   
     1.003286        7.531017e+03      7.355754e+03      7.530956e+03   
     1.077416        4.508525e+03      4.399027e+03      4.508433e+03   
     1.152685        2.572048e+03      2.514453e+03      2.571935e+03   
     1.228890        9.908543e+02      9.828826e+02      9.907343e+02   
     1.305826        2.099198e+02      2.909514e+02      3.202763e+02   
     1.383286        1.440812e+01      7.157224e+01      2.020372e+01   
     1.461060        9.809960e+00      7.106120e+01      9.751641e+00   
     1.538940        8.796073e+00      7.101250e+01      8.773566e+00   
     1.616714        7.693683e+00      6.828042e+01      7.705773e+00   
     1.694174        6.648277e+00      6.356820e+01      6.689397e+00   
     1.771110        5.743344e+00      5.769099e+01      5.805377e+00   
     1.847315        5.004127e+00      5.139279e+01      5.078295e+00   
     1.922584        4.418624e+00      4.523960e+01      4.497006e+00   
     1.996714        3.959994e+00      3.958949e+01      4.036453e+00   
     2.069505        3.600839e+00      3.461618e+01      3.671346e+00   
     2.140761        3.318461e+00      3.035796e+01      3.380939e+00   
     2.210289        3.094922e+00      2.677008e+01      3.148799e+00   
     2.277902        2.915757e+00      2.376794e+01      2.961430e+00   
     2.343418        2.769138e+00      2.125662e+01      2.807510e+00   
     2.406661        2.645649e+00      1.914751e+01      2.677790e+00   
     2.467459        2.538220e+00      1.736534e+01      2.565176e+00   
     2.525649        2.441933e+00      1.584950e+01      2.464632e+00   
     2.581075        2.353660e+00      1.455245e+01      2.372883e+00   
     2.633586        2.271610e+00      1.343728e+01      2.288000e+00   
     2.683041        2.194908e+00      1.247531e+01      2.208986e+00   
     2.729306        2.123244e+00      1.164406e+01      2.135433e+00   
     2.772258        2.056629e+00      1.092573e+01      2.067271e+00   
     2.811780        1.995225e+00      1.030608e+01      2.004600e+00   
     2.847765        1.939247e+00      9.773572e+00      1.947585e+00   
     2.880118        1.888908e+00      9.318840e+00      1.896398e+00   
     2.908749        1.844388e+00      8.934222e+00      1.851190e+00   
     2.933583        1.805828e+00      8.613469e+00      1.812076e+00   
     2.954553        1.773332e+00      8.351521e+00      1.779140e+00   
     2.971601        1.746967e+00      8.144338e+00      1.752437e+00   
     2.984682        1.726778e+00      7.988780e+00      1.732000e+00   
     2.993761        1.712789e+00      7.882519e+00      1.717843e+00   
     2.998815        1.705010e+00      7.823958e+00      1.709973e+00   
     3.004739        1.695902e+00      7.755858e+00      1.700760e+00   
     3.024957        1.664893e+00      7.527734e+00      1.669404e+00   
     3.061273        1.609529e+00      7.134070e+00      1.613465e+00   
     3.113597        1.530694e+00      6.601231e+00      1.533900e+00   
     3.181789        1.430019e+00      5.963020e+00      1.432423e+00   
     3.265666        1.310146e+00      5.256996e+00      1.311761e+00   
     3.365002        1.174917e+00      4.521027e+00      1.175825e+00   
     3.479529        1.029347e+00      3.790352e+00      1.029674e+00   
     3.608938        8.793252e-01      3.095268e+00      8.792209e-01   
     3.752880        7.310740e-01      2.459517e+00      7.306888e-01   
     3.910968        5.904799e-01      1.899391e+00      5.899478e-01   
     4.082775        4.624639e-01      1.423604e+00      4.618914e-01   
     4.267838        3.505252e-01      1.033873e+00      3.499870e-01   
     4.465657        2.565378e-01      7.261101e-01      2.560780e-01   
     4.675701        1.808013e-01      4.919906e-01      1.804382e-01   
     4.897402        1.222928e-01      3.206394e-01      1.220260e-01   
     5.130163        7.903935e-02      2.002038e-01      7.885637e-02   
     5.373356        4.852455e-02      1.191303e-01      4.840784e-02   
     5.626327        2.806426e-02      6.705804e-02      2.799551e-02   
     5.888392        1.510408e-02      3.532204e-02      1.506720e-02   
     6.158845        7.419117e-03      1.711865e-02      7.401585e-03   
     6.436958        3.215735e-03      7.418642e-03      3.208754e-03   
     6.721980        1.150221e-03      2.723439e-03      1.148227e-03   
     7.013143        2.880334e-04      7.500183e-04      2.878925e-04   
     7.309662        2.924553e-05      1.104509e-04      2.944354e-05   
     7.610739        2.290048e-05      2.869107e-05      2.287596e-05   
     7.915560        8.680846e-05      1.154722e-04      8.647870e-05   
     8.223305        1.422013e-04      2.052262e-04      1.416695e-04   
     8.533144        1.663847e-04      2.481199e-04      1.657856e-04   
     8.844241        1.621330e-04      2.451290e-04      1.615686e-04   
     9.155759        1.402782e-04      2.132315e-04      1.398041e-04   
     9.466856        1.113544e-04      1.695086e-04      1.109881e-04   
     9.776695        8.266380e-05      1.257869e-04      8.239870e-05   
    10.084440        5.808640e-05      8.829723e-05      5.790468e-05   
    10.389261        3.894997e-05      5.914924e-05      3.883113e-05   
    10.690338        2.506299e-05      3.804228e-05      2.498850e-05   
    10.986857        1.553421e-05      2.358890e-05      1.548933e-05   
    11.278020        9.295771e-06      1.414077e-05      9.269747e-06   
    11.563042        5.375905e-06      8.208905e-06      5.361396e-06   
    11.841155        3.003195e-06      4.617917e-06      2.995442e-06   
    12.111608        1.616905e-06      2.517293e-06      1.612962e-06   
