#        q                pp                pn                nn        

     0.001185        3.917811e+08      2.982079e+08      2.269812e+08   
     0.006239        1.021874e+08      8.300713e+07      6.742741e+07   
     0.015318        4.569641e+07      3.826819e+07      3.204783e+07   
     0.028399        2.344487e+07      2.056256e+07      1.803490e+07   
     0.045447        1.469839e+07      1.322132e+07      1.189294e+07   
     0.066417        9.548662e+06      8.520258e+06      7.602808e+06   
     0.091251        6.498947e+06      5.995921e+06      5.532005e+06   
     0.119882        4.688045e+06      4.305448e+06      3.954222e+06   
     0.152235        3.624882e+06      3.316470e+06      3.034426e+06   
     0.188220        2.770718e+06      2.524510e+06      2.300290e+06   
     0.227742        2.091307e+06      1.992460e+06      1.898392e+06   
     0.270694        1.720540e+06      1.636571e+06      1.556795e+06   
     0.316959        1.268033e+06      1.267987e+06      1.268033e+06   
     0.366414        1.025356e+06      1.025314e+06      1.025356e+06   
     0.418925        9.193732e+05      8.696486e+05      8.226812e+05   
     0.474351        7.346159e+05      6.933972e+05      6.545508e+05   
     0.532541        5.818931e+05      5.818627e+05      5.818931e+05   
     0.593339        5.160844e+05      4.854055e+05      4.565985e+05   
     0.656582        4.029392e+05      4.029146e+05      4.029392e+05   
     0.722098        3.112667e+05      3.112454e+05      3.112667e+05   
     0.789711        2.724059e+05      2.544313e+05      2.376752e+05   
     0.859239        2.067153e+05      2.066988e+05      2.067153e+05   
     0.930495        1.547922e+05      1.547782e+05      1.547922e+05   
     1.003286        1.142244e+05      1.142128e+05      1.142244e+05   
     1.077416        8.293212e+04      8.292247e+04      8.293212e+04   
     1.152685        4.956549e+04      4.955828e+04      4.956549e+04   
     1.228890        2.310663e+04      2.553359e+04      2.822501e+04   
     1.305826        3.459130e+03      5.118993e+03      7.578279e+03   
     1.383286        5.754518e-02      9.022999e-01      1.295245e+01   
     1.461060        1.003085e-02      2.341212e-02      1.002024e-02   
     1.538940        1.086008e-02      2.604778e-02      1.084715e-02   
     1.616714        1.190895e-02      2.919946e-02      1.189345e-02   
     1.694174        1.319882e-02      3.289831e-02      1.318089e-02   
     1.771110        1.474874e-02      3.716475e-02      1.472862e-02   
     1.847315        1.657374e-02      4.200503e-02      1.655178e-02   
     1.922584        1.868456e-02      4.740982e-02      1.866117e-02   
     1.996714        2.108569e-02      5.335603e-02      2.106134e-02   
     2.069505        2.377457e-02      5.980348e-02      2.374978e-02   
     2.140761        2.674080e-02      6.670091e-02      2.671614e-02   
     2.210289        2.996588e-02      7.398142e-02      2.994197e-02   
     2.277902        3.342328e-02      8.157203e-02      3.340075e-02   
     2.343418        3.707931e-02      8.938852e-02      3.705876e-02   
     2.406661        4.089372e-02      9.734233e-02      4.087575e-02   
     2.467459        4.482125e-02      1.053434e-01      4.480639e-02   
     2.525649        4.881318e-02      1.133007e-01      4.880190e-02   
     2.581075        5.281884e-02      1.211255e-01      5.281152e-02   
     2.633586        5.678704e-02      1.287337e-01      5.678395e-02   
     2.683041        6.066770e-02      1.360466e-01      6.066902e-02   
     2.729306        6.441292e-02      1.429956e-01      6.441871e-02   
     2.772258        6.797773e-02      1.495168e-01      6.798796e-02   
     2.811780        7.132153e-02      1.555572e-01      7.133605e-02   
     2.847765        7.440813e-02      1.610703e-01      7.442671e-02   
     2.880118        7.720584e-02      1.660201e-01      7.722816e-02   
     2.908749        7.968779e-02      1.703748e-01      7.971346e-02   
     2.933583        8.183200e-02      1.741125e-01      8.186056e-02   
     2.954553        8.362059e-02      1.772149e-01      8.365155e-02   
     2.971601        8.504012e-02      1.796722e-01      8.507293e-02   
     2.984682        8.608084e-02      1.814740e-01      8.611494e-02   
     2.993761        8.673643e-02      1.826176e-01      8.677123e-02   
     2.998815        8.700272e-02      1.830952e-01      8.703760e-02   
     3.004739        8.806489e-02      1.848238e-01      8.810213e-02   
     3.024957        9.092162e-02      1.895082e-01      9.096463e-02   
     3.061273        9.544453e-02      1.969058e-01      9.549609e-02   
     3.113597        1.017135e-01      2.070404e-01      1.017767e-01   
     3.181789        1.097938e-01      2.198706e-01      1.098721e-01   
     3.265666        1.197020e-01      2.352480e-01      1.197992e-01   
     3.365002        1.313586e-01      2.528519e-01      1.314785e-01   
     3.479529        1.445301e-01      2.721214e-01      1.446763e-01   
     3.608938        1.587681e-01      2.921911e-01      1.589435e-01   
     3.752880        1.733558e-01      3.118458e-01      1.735623e-01   
     3.910968        1.872843e-01      3.295224e-01      1.875221e-01   
     4.082775        1.992767e-01      3.433747e-01      1.995441e-01   
     4.267838        2.078836e-01      3.514290e-01      2.081766e-01   
     4.465657        2.116558e-01      3.518258e-01      2.119686e-01   
     4.675701        2.093871e-01      3.431388e-01      2.097122e-01   
     4.897402        2.003862e-01      3.247128e-01      2.007149e-01   
     5.130163        1.847143e-01      2.969407e-01      1.850369e-01   
     5.373356        1.633037e-01      2.613817e-01      1.636104e-01   
     5.626327        1.378934e-01      2.206392e-01      1.381745e-01   
     5.888392        1.107596e-01      1.779800e-01      1.110070e-01   
     6.158845        8.429298e-02      1.367650e-01      8.450072e-02   
     6.436958        6.054316e-02      9.984353e-02      6.070873e-02   
     6.721980        4.087046e-02      6.909565e-02      4.099506e-02   
     7.013143        2.580795e-02      4.525204e-02      2.589608e-02   
     7.309662        1.514848e-02      2.801393e-02      1.520682e-02   
     7.610739        8.187772e-03      1.638265e-02      8.223740e-03   
     7.915560        4.011453e-03      9.052480e-03      4.031974e-03   
     8.223305        1.730646e-03      4.737282e-03      1.741356e-03   
     8.533144        6.195189e-04      2.366676e-03      6.245123e-04   
     8.844241        1.589820e-04      1.154136e-03      1.609453e-04   
     9.155759        1.816601e-05      5.780905e-04      1.869962e-05   
     9.466856        8.672385e-06      3.230439e-04      8.639346e-06   
     9.776695        3.618443e-05      2.145437e-04      3.599887e-05   
    10.084440        6.140886e-05      1.650973e-04      6.123844e-05   
    10.389261        7.327852e-05      1.358239e-04      7.317043e-05   
    10.690338        7.281438e-05      1.122613e-04      7.276571e-05   
    10.986857        6.461484e-05      9.064674e-05      6.460763e-05   
    11.278020        5.308921e-05      7.097257e-05      5.310547e-05   
    11.563042        4.126685e-05      5.395630e-05      4.129329e-05   
    11.841155        3.078272e-05      4.001539e-05      3.081117e-05   
    12.111608        2.226104e-05      2.911414e-05      2.228722e-05   
    12.373673        1.572808e-05      2.090345e-05      1.575024e-05   
    12.626644        1.092388e-05      1.489711e-05      1.094170e-05   
    12.869837        7.496910e-06      1.059879e-05      7.510795e-06   
    13.102598        5.106560e-06      7.570826e-06      5.117153e-06   
    13.324299        3.466140e-06      5.459800e-06      3.474120e-06   
