#        q                pp                pn                nn        

     0.001185        6.226345e+08      1.070930e+09      1.841988e+09   
     0.006239        2.269813e+08      3.972753e+08      6.953346e+08   
     0.015318        1.306795e+08      2.129188e+08      3.469140e+08   
     0.028399        8.330684e+07      1.315537e+08      2.077435e+08   
     0.045447        6.048828e+07      9.106710e+07      1.371052e+08   
     0.066417        4.569641e+07      6.663303e+07      9.716276e+07   
     0.091251        3.615587e+07      5.071531e+07      7.113819e+07   
     0.119882        3.014452e+07      4.040363e+07      5.415474e+07   
     0.152235        2.499020e+07      3.283187e+07      4.313462e+07   
     0.188220        2.059223e+07      2.647947e+07      3.405025e+07   
     0.227742        1.803490e+07      2.260611e+07      2.833636e+07   
     0.270694        1.574788e+07      1.921462e+07      2.344488e+07   
     0.316959        1.370783e+07      1.680090e+07      2.059223e+07   
     0.366414        1.189294e+07      1.464528e+07      1.803490e+07   
     0.418925        1.028286e+07      1.229384e+07      1.469839e+07   
     0.474351        9.548665e+06      1.104390e+07      1.277355e+07   
     0.532541        8.210755e+06      9.881698e+06      1.189294e+07   
     0.593339        7.032850e+06      8.503895e+06      1.028286e+07   
     0.656582        6.498951e+06      7.587537e+06      8.858682e+06   
     0.722098        5.532009e+06      6.485193e+06      7.602813e+06   
     0.789711        4.688049e+06      5.741907e+06      7.032853e+06   
     0.859239        4.308133e+06      5.083787e+06      5.999264e+06   
     0.930495        3.318730e+06      4.112182e+06      5.095486e+06   
     1.003286        2.770724e+06      3.454891e+06      4.308135e+06   
     1.077416        2.091313e+06      2.753277e+06      3.624889e+06   
     1.152685        1.406254e+06      2.065684e+06      3.034433e+06   
     1.228890        5.606715e+04      3.424402e+05      2.091314e+06   
     1.305826        9.503378e-01      1.159121e+03      1.406255e+06   
     1.383286        3.605866e-02      8.607720e-02      3.503412e+05   
     1.461060        3.772542e-02      9.426942e-02      5.711943e-02   
     1.538940        3.999480e-02      1.042883e-01      6.034934e-02   
     1.616714        4.293778e-02      1.163233e-01      6.452573e-02   
     1.694174        4.661451e-02      1.304892e-01      6.976093e-02   
     1.771110        5.108245e-02      1.468626e-01      7.614571e-02   
     1.847315        5.638731e-02      1.654637e-01      8.375246e-02   
     1.922584        6.256470e-02      1.862512e-01      9.263552e-02   
     1.996714        6.963344e-02      2.091317e-01      1.028256e-01   
     2.069505        7.759404e-02      2.339461e-01      1.143271e-01   
     2.140761        8.642506e-02      2.604950e-01      1.271117e-01   
     2.210289        9.608135e-02      2.885190e-01      1.411177e-01   
     2.277902        1.064938e-01      3.177380e-01      1.562479e-01   
     2.343418        1.175711e-01      3.478292e-01      1.723714e-01   
     2.406661        1.292000e-01      3.784542e-01      1.893260e-01   
     2.467459        1.412495e-01      4.092693e-01      2.069217e-01   
     2.525649        1.535752e-01      4.399275e-01      2.249479e-01   
     2.581075        1.660226e-01      4.700892e-01      2.431787e-01   
     2.633586        1.784322e-01      4.994329e-01      2.613792e-01   
     2.683041        1.906444e-01      5.276560e-01      2.793135e-01   
     2.729306        2.025028e-01      5.544946e-01      2.967496e-01   
     2.772258        2.138574e-01      5.797012e-01      3.134640e-01   
     2.811780        2.245691e-01      6.030690e-01      3.292487e-01   
     2.847765        2.345113e-01      6.244164e-01      3.439135e-01   
     2.880118        2.435706e-01      6.436017e-01      3.572872e-01   
     2.908749        2.516477e-01      6.604965e-01      3.692201e-01   
     2.933583        2.586596e-01      6.750133e-01      3.795860e-01   
     2.954553        2.645368e-01      6.870764e-01      3.882786e-01   
     2.971601        2.692254e-01      6.966452e-01      3.952155e-01   
     2.984682        2.726848e-01      7.036755e-01      4.003347e-01   
     2.993761        2.748875e-01      7.081543e-01      4.035928e-01   
     2.998815        2.758150e-01      7.100479e-01      4.049615e-01   
     3.004739        2.791867e-01      7.166682e-01      4.099719e-01   
     3.024957        2.883776e-01      7.346962e-01      4.236230e-01   
     3.061273        3.031032e-01      7.632711e-01      4.454994e-01   
     3.113597        3.237155e-01      8.025136e-01      4.761507e-01   
     3.181789        3.505702e-01      8.523146e-01      5.161463e-01   
     3.265666        3.839158e-01      9.121733e-01      5.659116e-01   
     3.365002        4.237381e-01      9.809492e-01      6.254978e-01   
     3.479529        4.695537e-01      1.056594e+00      6.942723e-01   
     3.608938        5.201723e-01      1.135890e+00      7.705580e-01   
     3.752880        5.734611e-01      1.214246e+00      8.512710e-01   
     3.910968        6.261820e-01      1.285670e+00      9.316578e-01   
     4.082775        6.739785e-01      1.342970e+00      1.005252e+00   
     4.267838        7.116180e-01      1.378320e+00      1.064208e+00   
     4.465657        7.335432e-01      1.384174e+00      1.100101e+00   
     4.675701        7.347377e-01      1.354530e+00      1.105211e+00   
     4.897402        7.117930e-01      1.286307e+00      1.074123e+00   
     5.130163        6.639303e-01      1.180534e+00      1.005303e+00   
     5.373356        5.936449e-01      1.042931e+00      9.021276e-01   
     5.626327        5.066652e-01      8.835275e-01      7.729080e-01   
     5.888392        4.110893e-01      7.152184e-01      6.296713e-01   
     6.158845        3.158422e-01      5.514952e-01      4.858854e-01   
     6.436958        2.289038e-01      4.039808e-01      3.537791e-01   
     6.721980        1.558655e-01      2.805134e-01      2.421027e-01   
     7.013143        9.925807e-02      1.843360e-01      1.550201e-01   
     7.309662        5.875805e-02      1.145101e-01      9.233214e-02   
